RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,06251,Chris DiMarco,61.00,61,1
2,0,01307,Joel Edwards,63.00,63,1
2,0,01320,Bob Estes,63.00,63,1
4,0,06515,Shaun Micheel,65.00,65,1
4,0,20127,Chris Riley,65.00,65,1
6,0,01723,Andrew Magee,66.00,66,1
6,0,01920,Craig Parry,66.00,66,1
8,0,01706,Davis Love III,66.50,133,2
8,0,10585,Scott McCarron,66.50,133,2
10,0,01313,Steve Elkington,67.00,67,1
10,0,19846,Brian Gay,67.00,67,1
10,0,01619,Skip Kendall,67.00,201,3
10,0,01677,Tom Lehman,67.00,201,3
10,0,01724,Jeff Maggert,67.00,134,2
15,0,01226,Fred Couples,67.50,135,2
15,0,19881,Robert Damron,67.50,135,2
15,0,07457,Steve Flesch,67.50,135,2
15,0,01577,Lee Janzen,67.50,135,2
15,0,21949,Joe Ogilvie,67.50,270,4
20,0,20566,Kaname Yokoo,67.67,203,3
21,0,01175,Jim Carter,67.75,271,4
22,0,01938,David Peoples,67.80,339,5
23,0,01042,Paul Azinger,68.00,68,1
23,0,01157,Tom Byrum,68.00,68,1
23,0,01203,Russ Cochran,68.00,272,4
23,0,12760,Danny Ellis,68.00,68,1
23,0,22892,Jason Gore,68.00,136,2
23,0,01527,Scott Hoch,68.00,68,1
23,0,01766,Billy Mayfair,68.00,68,1
23,0,01771,Blaine McCallister,68.00,136,2
23,0,06591,Rocky Walcher,68.00,68,1
23,0,08057,Brian Wilson,68.00,204,3
33,0,12652,Cameron Beckman,68.33,205,3
34,0,10885,Robert Allenby,68.50,137,2
34,0,23614,Rich Beem,68.50,137,2
34,0,01139,Olin Browne,68.50,137,2
34,0,08881,Tripp Isenhour,68.50,137,2
34,0,01887,Mark O'Meara,68.50,137,2
34,0,06078,Esteban Toledo,68.50,137,2
40,0,12660,Jesper Parnevik,68.67,206,3
40,0,02110,Jerry Smith,68.67,206,3
40,0,02239,Scott Verplank,68.67,206,3
43,0,01132,Mark Brooks,69.00,69,1
43,0,20593,Greg Chalmers,69.00,69,1
43,0,20229,Stewart Cink,69.00,276,4
43,0,08931,Glen Day,69.00,69,1
43,0,21806,Paul Gow,69.00,69,1
43,0,06332,Neal Lancaster,69.00,69,1
