RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,08793,Tiger Woods,27.14,254,936,1
2,0,01810,Phil Mickelson,25.12,312,1242,21
3,0,24925,Jonathan Byrd,24.07,286,1188,8
4,0,20850,Daniel Chopra,23.26,448,1926,148
5,0,23322,Brett Wetterich,23.04,340,1476,33
6,0,23325,Vaughn Taylor,22.98,364,1584,134
7,0,25900,Lucas Glover,22.77,414,1818,40
8,0,10809,Jim Furyk,22.73,360,1584,4
9,0,22405,Justin Rose,22.63,387,1710,29
10,0,06567,Vijay Singh,22.61,407,1800,31
11,0,12716,Charley Hoffman,22.51,397,1764,53
12,0,24502,Adam Scott,22.39,274,1224,12
13,0,21805,Harrison Frazar,22.28,365,1638,135
14,0,08537,J.P. Hayes,22.22,220,990,127
14,0,06527,Steve Stricker,22.22,248,1116,24
16,0,01706,Davis Love III,22.15,303,1368,54
17,0,02206,David Toms,21.90,272,1242,71
18,0,24358,Robert Garrigus,21.89,327,1494,119
19,0,24781,Hunter Mahan,21.88,386,1764,39
20,0,23623,Bo Van Pelt,21.84,401,1836,60
21,0,21209,Sergio Garcia,21.82,216,990,37
22,0,27095,Nick Watney,21.81,373,1710,96
23,0,10885,Robert Allenby,21.79,302,1386,29
24,0,22378,Trevor Immelman,21.77,337,1548,14
25,0,27141,J.B. Holmes,21.65,300,1386,101
26,0,19824,Craig Barlow,21.61,284,1314,87
27,0,22913,John Rollins,21.49,352,1638,73
28,0,20498,Briny Baird,21.43,297,1386,5
29,0,23541,Ben Crane,21.39,308,1440,178
30,0,20098,Stuart Appleby,21.37,300,1404,147
31,0,20608,David Howell,21.36,173,810,152
32,0,23320,Ryan Palmer,21.32,380,1782,129
33,0,11032,Frank Lickliter II,21.31,372,1746,26
33,0,25804,Bubba Watson,21.31,303,1422,50
35,0,23048,Eric Axley,21.29,341,1602,88
36,0,23983,Luke Donald,21.25,241,1134,74
37,0,10423,Mike Weir,21.24,325,1530,59
38,0,11123,Chris Couch,21.19,286,1350,72
39,0,23135,Tim Clark,21.17,301,1422,80
40,0,06197,Michael Allen,21.16,320,1512,166
41,0,06004,Stephen Ames,21.15,236,1116,58
42,0,21878,Mark Wilson,21.13,289,1368,26
43,0,21949,Joe Ogilvie,21.12,346,1638,111
44,0,24361,Pat Perez,21.11,190,900,118
45,0,06034,Marco Dawson,21.07,330,1566,113
46,0,26360,Bubba Dickerson,21.06,364,1728,90
47,0,01941,Tom Pernice Jr.,21.05,394,1872,120
48,0,27770,Camilo Villegas,20.97,351,1674,102
49,0,20628,Arron Oberholser,20.96,298,1422,11
50,0,20472,Alex Cejka,20.94,343,1638,35
51,0,06522,Ernie Els,20.92,241,1152,143
52,0,20766,Padraig Harrington,20.89,188,900,109
53,0,02239,Scott Verplank,20.87,323,1548,77
54,0,20691,Greg Owen,20.85,289,1386,18
55,0,20229,Stewart Cink,20.77,329,1584,114
55,0,12660,Jesper Parnevik,20.77,314,1512,124
57,0,20157,Retief Goosen,20.74,224,1080,92
58,0,20378,Mathias Grönberg,20.66,331,1602,57
59,0,24912,Will MacKenzie,20.64,327,1584,25
60,0,06621,Joe Durant,20.63,375,1818,6
60,0,20572,Rod Pampling,20.63,312,1512,172
