RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,01487,Jeff Hart,36' 0",47944,111,3995.333,+8.00
2,0,12454,Mario Tiziani,37' 0",94537,213,7878.083,+13.00
3,0,26758,David Hearn,38' 5",77369,168,6447.417,+31.00
4,0,01473,Todd Hamilton,38' 11",123404,264,10283.667,+55.00
5,0,20099,Doug Barron,39' 2",89797,191,7483.083,+22.00
6,0,01418,Bill Glasson,39' 5",72791,154,6065.917,+26.00
6,0,22405,Justin Rose,39' 5",153337,324,12778.083,+13.00
8,0,08545,Glen Hnatiuk,39' 7",84520,178,7043.333,+17.00
9,0,20548,Hidemichi Tanaka,39' 8",127468,268,10622.333,+24.00
10,0,20812,Tjaart van der Walt,39' 9",83529,175,6960.750,+21.00
11,0,23623,Bo Van Pelt,39' 10",166459,348,13871.583,+24.00
12,0,22295,Darron Stiles,39' 11",96832,202,8069.333,+19.00
13,0,01226,Fred Couples,40' 0",84071,175,7005.917,+13.00
14,0,21959,Ted Purdy,40' 1",149053,310,12421.083,+25.00
15,0,20850,Daniel Chopra,40' 3",184925,383,15410.417,+2.00
15,0,20628,Arron Oberholser,40' 3",79190,164,6599.167,+14.00
17,0,01035,Tommy Armour III,40' 4",145099,300,12091.583,+51.00
18,0,01139,Olin Browne,40' 5",103790,214,8649.167,+21.00
19,0,08931,Glen Day,40' 6",126874,261,10572.833,+28.00
20,0,20498,Briny Baird,40' 7",124794,256,10399.500,+13.00
20,0,23983,Luke Donald,40' 7",66264,136,5522.000,+10.00
20,0,20663,Brenden Pappas,40' 7",96412,198,8034.333,+22.00
23,0,24024,Zach Johnson,40' 8",118090,242,9840.833,+35.00
24,0,23725,Brendan Jones,40' 9",143394,293,11949.500,+45.00
25,0,06567,Vijay Singh,40' 10",167709,342,13975.750,-7.00
26,0,01381,Fred Funk,40' 11",92730,189,7727.500,+29.00
26,0,10425,Jay Williamson,40' 11",67270,137,5605.833,+25.00
28,0,23320,Ryan Palmer,41' 0",135769,276,11314.083,+33.00
29,0,24502,Adam Scott,41' 1",104976,213,8748.000,+23.00
30,0,21951,Joey Snyder III,41' 2",138441,280,11536.750,+22.00
31,0,06197,Michael Allen,41' 3",156441,316,13036.750,+35.00
31,0,22046,Geoff Ogilvy,41' 3",140950,285,11745.833,+3.00
31,0,24138,Ian Poulter,41' 3",67264,136,5605.333,+24.00
34,0,24507,Jason Bohn,41' 4",139871,282,11655.917,+23.00
34,0,23621,Rory Sabbatini,41' 4",124113,250,10342.750,+42.00
34,0,26287,Roland Thatcher,41' 4",111667,225,9305.583,+32.00
37,0,21209,Sergio Garcia,41' 7",109727,220,9143.917,+9.00
37,0,01945,Kenny Perry,41' 7",99270,199,8272.500,+11.00
39,0,24925,Jonathan Byrd,41' 8",172039,344,14336.583,+34.00
39,0,26420,Richard Johnson,41' 8",70522,141,5876.833,+16.00
