RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS(<= 5'),TOT MADE (>=20'),TOT MADE (<= 5')
1,0,32150,Michael Thompson,102.57,623,28,611
2,0,23800,Bryce Molder,102.14,886,35,870
3,0,48822,Sebastián Muñoz,102.06,535,25,521
4,0,27895,Jonas Blixt,101.77,792,30,776
5,0,34466,Peter Malnati,101.60,1002,44,974
6,0,32102,Rickie Fowler,101.53,851,36,828
7,0,25572,Graeme McDowell,101.48,675,29,656
8,0,48081,Xander Schauffele,101.44,1041,44,1012
9,0,35450,Patrick Cantlay,101.37,657,27,639
10,0,27649,Brandt Snedeker,101.21,580,25,562
11,0,19846,Brian Gay,101.14,969,31,949
12,0,24846,Ricky Barnes,101.11,1085,35,1062
13,0,35545,Blayne Barber,101.09,918,37,891
14,0,25892,Steve Wheatcroft,101.08,553,21,538
15,0,29420,Billy Horschel,101.07,1126,45,1093
16,0,27644,Brian Harman,101.01,1183,35,1160
17,0,48084,Wesley Bryan,100.96,1046,36,1020
17,0,34409,David Lingmerth,100.96,940,33,916
19,0,23108,Matt Kuchar,100.94,1069,34,1045
20,0,27466,Spencer Levin,100.93,971,29,951
21,0,26851,Marc Leishman,100.88,1019,34,994
22,0,26329,Louis Oosthuizen,100.86,698,25,679
23,0,29478,Kevin Kisner,100.85,1059,36,1032
24,0,26476,Chez Reavie,100.78,1149,37,1121
25,0,36689,Brooks Koepka,100.77,912,40,879
26,0,25349,Tim Wilkinson,100.75,666,20,651
27,0,24024,Zach Johnson,100.73,955,32,930
28,0,29222,Billy Hurley III,100.72,972,34,945
28,0,34046,Jordan Spieth,100.72,970,41,936
30,0,27436,Graham DeLaet,100.70,996,32,971
30,0,34360,Patrick Reed,100.70,1142,33,1117
32,0,34174,John Huh,100.67,1052,36,1023
33,0,10809,Jim Furyk,100.66,608,22,590
34,0,34099,Harris English,100.61,986,31,961
35,0,39975,Michael Kim,100.60,1167,28,1146
36,0,34098,Russell Henley,100.59,1191,48,1150
37,0,25396,Kevin Na,100.55,916,41,880
38,0,23983,Luke Donald,100.50,601,19,585
39,0,35506,Mackenzie Hughes,100.45,1342,48,1300
40,0,46970,Jon Rahm,100.44,919,32,891
41,0,30191,Julián Etulain,100.43,704,17,690
42,0,23325,Vaughn Taylor,100.37,1071,38,1037
42,0,26951,Johnson Wagner,100.37,813,29,787
44,0,25191,Gonzalo Fernandez-Castaño,100.33,605,18,589
45,0,31557,Jim Herman,100.21,954,23,933
45,0,36699,Patrick Rodgers,100.21,959,36,925
47,0,32640,Troy Merritt,100.20,980,26,956
47,0,01810,Phil Mickelson,100.20,976,30,948
49,0,32333,Kevin Tway,100.19,1039,35,1006
50,0,29720,Andres Gonzales,100.12,827,27,801
50,0,37454,Whee Kim,100.12,857,30,828
52,0,27095,Nick Watney,100.11,915,32,884
53,0,33399,Adam Hadwin,100.09,1110,30,1081
54,0,40026,Daniel Berger,100.00,976,31,945
54,0,28089,Jason Day,100.00,768,29,739
54,0,28500,Martin Flores,100.00,952,28,924
54,0,28679,Fabián Gómez,100.00,729,23,706
54,0,32448,James Hahn,100.00,1164,30,1134
54,0,31560,Brian Stuard,100.00,1016,33,983
60,0,12510,Chad Campbell,99.92,1257,43,1213
61,0,22046,Geoff Ogilvy,99.90,973,28,944
62,0,20593,Greg Chalmers,99.89,938,24,913
62,0,31646,Emiliano Grillo,99.89,934,28,905
64,0,30925,Dustin Johnson,99.88,857,26,830
64,0,24781,Hunter Mahan,99.88,849,15,833
64,0,33418,Shawn Stefani,99.88,856,25,830
67,0,25345,Carl Pettersson,99.86,726,20,705
68,0,25274,Steven Bowditch,99.84,632,23,608
69,0,25834,Daniel Summerhays,99.83,1177,31,1144
70,0,35532,Tom Hoge,99.82,556,17,538
71,0,25364,Paul Casey,99.80,1013,28,983
72,0,24140,Sean O'Hair,99.79,973,31,940
72,0,28252,Seamus Power,99.79,972,30,940
74,0,29223,Sam Saunders,99.77,863,31,830
75,0,25900,Lucas Glover,99.76,1232,35,1194
76,0,33461,Morgan Hoffmann,99.74,1150,41,1106
76,0,27974,Sung Kang,99.74,1152,37,1112
