RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,0,20472,Alex Cejka,6' 9",2396.917,356
2,0,29461,Jamie Lovemark,7' 0",3153.583,449
3,0,25198,Francesco Molinari,7' 3",1959.667,269
4,0,34021,Bud Cauley,7' 5",1779.667,240
5,0,22371,Aaron Baddeley,7' 6",2970.833,398
5,0,30926,Chris Kirk,7' 6",3652.083,489
5,0,34360,Patrick Reed,7' 6",2740.417,364
5,0,29221,Webb Simpson,7' 6",2991.167,397
5,0,08793,Tiger Woods,7' 6",2237.417,298
10,0,24925,Jonathan Byrd,7' 7",1835.083,241
10,0,24024,Zach Johnson,7' 7",2769.083,364
10,0,29926,Danny Lee,7' 7",3028.250,399
10,0,21528,Henrik Stenson,7' 7",1384.583,182
14,0,30925,Dustin Johnson,7' 8",2231.833,290
14,0,26596,Ryan Moore,7' 8",2633.083,344
14,0,35891,Cameron Smith,7' 8",2724.750,357
14,0,26951,Johnson Wagner,7' 8",2169.917,284
18,0,31202,William McGirt,7' 9",3026.833,392
19,0,45526,Abraham Ancer,7' 10",3623.833,463
19,0,40058,Zac Blair,7' 10",2076.500,266
19,0,48084,Wesley Bryan,7' 10",2376.500,304
19,0,21961,Charles Howell III,7' 10",3104.083,397
19,0,33122,Russell Knox,7' 10",2798.000,356
19,0,27942,Rob Oppenheim,7' 10",2450.833,313
19,0,25240,D.A. Points,7' 10",2134.750,273
19,0,22405,Justin Rose,7' 10",2076.500,266
27,0,19803,Ryan Armour,7' 11",3921.500,496
27,0,35545,Blayne Barber,7' 11",2211.417,280
27,0,46402,Talor Gooch,7' 11",2893.833,365
27,0,36689,Brooks Koepka,7' 11",2149.333,272
27,0,27936,Martin Laird,7' 11",2563.583,325
27,0,26329,Louis Oosthuizen,7' 11",2010.583,255
33,0,33141,Keegan Bradley,8' 0",3182.083,398
33,0,32102,Rickie Fowler,8' 0",2289.333,286
33,0,20157,Retief Goosen,8' 0",1849.833,231
33,0,33448,Justin Thomas,8' 0",2737.250,343
37,0,29725,Tony Finau,8' 1",3006.417,373
37,0,32839,Hideki Matsuyama,8' 1",2222.000,275
37,0,28237,Rory McIlroy,8' 1",2195.917,273
37,0,28252,Seamus Power,8' 1",2983.167,370
41,0,25364,Paul Casey,8' 2",2066.750,254
41,0,24358,Robert Garrigus,8' 2",3031.583,371
41,0,28679,Fabián Gómez,8' 2",2927.083,359
41,0,33399,Adam Hadwin,8' 2",2787.167,342
41,0,37455,Si Woo Kim,8' 2",3690.667,454
41,0,26851,Marc Leishman,8' 2",3110.167,382
41,0,34466,Peter Malnati,8' 2",3624.167,443
41,0,25396,Kevin Na,8' 2",3162.833,386
41,0,27963,Chris Stroud,8' 2",2778.500,340
50,0,34076,Joel Dahmen,8' 3",2988.333,361
50,0,34363,Tyrrell Hatton,8' 3",1823.250,222
50,0,47993,Denny McCarthy,8' 3",2055.000,249
53,0,24846,Ricky Barnes,8' 4",2113.750,254
53,0,27895,Jonas Blixt,8' 4",2428.250,292
53,0,23541,Ben Crane,8' 4",2140.083,256
53,0,25900,Lucas Glover,8' 4",2157.917,259
53,0,27141,J.B. Holmes,8' 4",3237.000,389
53,0,36799,Stephan Jaeger,8' 4",2730.583,328
53,0,34213,Grayson Murray,8' 4",2905.083,347
53,0,20572,Rod Pampling,8' 4",2252.167,269
53,0,48081,Xander Schauffele,8' 4",3325.417,398
53,0,27214,Kevin Streelman,8' 4",3237.667,388
63,0,33948,Byeong Hun An,8' 5",3141.583,372
63,0,40009,Dominic Bozzelli,8' 5",3132.417,371
63,0,12510,Chad Campbell,8' 5",3139.750,374
63,0,46435,Austin Cook,8' 5",4249.833,506
63,0,34256,Andrew Putnam,8' 5",3148.333,375
63,0,23621,Rory Sabbatini,8' 5",3346.500,397
63,0,39328,Conrad Shindler,8' 5",1990.000,236
63,0,33418,Shawn Stefani,8' 5",2550.583,302
63,0,25493,Nick Taylor,8' 5",3349.917,398
63,0,29484,Peter Uihlein,8' 5",2799.167,333
63,0,25632,Jimmy Walker,8' 5",3257.583,388
74,0,30978,Kiradech Aphibarnrat,8' 6",1653.333,195
74,0,27644,Brian Harman,8' 6",3164.750,373
74,0,22056,Cameron Percy,8' 6",1682.833,198
74,0,46501,Ollie Schniederjans,8' 6",3877.333,455
78,0,19846,Brian Gay,8' 7",4554.833,533
78,0,32448,James Hahn,8' 7",3050.500,357
78,0,33204,Shane Lowry,8' 7",2111.250,247
78,0,24140,Sean O'Hair,8' 7",2844.667,330
78,0,46970,Jon Rahm,8' 7",2058.167,239
78,0,33419,Cameron Tringale,8' 7",2154.750,252
84,0,12716,Charley Hoffman,8' 8",3193.500,369
84,0,35879,Kelly Kraft,8' 8",3792.167,437
84,0,31420,Anirban Lahiri,8' 8",3340.667,385
84,0,29908,C.T. Pan,8' 8",3362.750,387
84,0,34358,Jonathan Randolph,8' 8",3317.583,382
84,0,26331,Charl Schwartzel,8' 8",2189.167,253
84,0,23325,Vaughn Taylor,8' 8",3176.333,366
84,0,28132,Tyrone Van Aswegen,8' 8",3910.417,451
84,0,37189,Harold Varner III,8' 8",3386.000,392
84,0,27064,Jhonattan Vegas,8' 8",3142.000,364
94,0,39997,Corey Conners,8' 9",3385.333,388
94,0,25686,Jason Dufner,8' 9",2547.583,291
94,0,34099,Harris English,8' 9",3387.917,388
94,0,31646,Emiliano Grillo,8' 9",3242.833,371
94,0,34563,Chesson Hadley,8' 9",3909.917,445
94,0,26758,David Hearn,8' 9",2098.250,240
94,0,35532,Tom Hoge,8' 9",4261.250,485
94,0,39975,Michael Kim,8' 9",2820.500,321
94,0,30692,Scott Stallings,8' 9",3951.583,451
103,0,20229,Stewart Cink,8' 10",2981.417,337
103,0,28089,Jason Day,8' 10",2411.583,274
103,0,34098,Russell Henley,8' 10",2456.583,279
103,0,34174,John Huh,8' 10",3985.583,452
103,0,27129,Luke List,8' 10",3552.417,404
103,0,33413,Ben Martin,8' 10",2998.250,341
103,0,25572,Graeme McDowell,8' 10",2309.750,262
103,0,27349,Alex Noren,8' 10",2378.917,269
103,0,27649,Brandt Snedeker,8' 10",3487.167,395
112,0,30911,Tommy Fleetwood,8' 11",2451.250,275
112,0,23320,Ryan Palmer,8' 11",2889.833,325
112,0,25818,Scott Piercy,8' 11",3002.667,336
112,0,49771,J.T. Poston,8' 11",2643.917,297
112,0,34046,Jordan Spieth,8' 11",2689.917,303
117,0,27958,Ryan Blaum,9' 0",3485.917,389
117,0,26499,Rafa Cabrera Bello,9' 0",2137.000,237
117,0,29974,Branden Grace,9' 0",2191.250,243
117,0,24924,Bill Haas,9' 0",3339.417,370
117,0,35461,Beau Hossler,9' 0",4047.167,448
117,0,35506,Mackenzie Hughes,9' 0",3237.833,361
117,0,29222,Billy Hurley III,9' 0",3009.667,333
117,0,23108,Matt Kuchar,9' 0",3061.917,340
117,0,34409,David Lingmerth,9' 0",3629.417,404
117,0,32640,Troy Merritt,9' 0",3856.167,428
117,0,39546,Keith Mitchell,9' 0",3670.000,409
117,0,27556,Ted Potter Jr.,9' 0",4042.083,448
117,0,34264,Hudson Swafford,9' 0",2256.417,251
130,0,35450,Patrick Cantlay,9' 1",2831.750,311
130,0,35376,Roberto Díaz,9' 1",3025.833,333
130,0,23353,J.J. Henry,9' 1",2664.417,294
130,0,28775,Nate Lashley,9' 1",1432.000,158
130,0,26476,Chez Reavie,9' 1",2871.250,317
130,0,47347,Adam Schenk,9' 1",3127.417,343
130,0,31560,Brian Stuard,9' 1",4147.000,457
137,0,40026,Daniel Berger,9' 2",2907.333,316
137,0,32366,Kevin Chappell,9' 2",2921.250,319
137,0,47959,Bryson DeChambeau,9' 2",3443.833,374
137,0,37454,Whee Kim,9' 2",3930.000,428
137,0,27095,Nick Watney,9' 2",3620.500,395
142,0,47125,Matt Atkins,9' 3",2232.583,241
142,0,28500,Martin Flores,9' 3",3458.500,374
142,0,26300,Matt Jones,9' 3",2132.583,231
142,0,27974,Sung Kang,9' 3",3518.500,381
142,0,29478,Kevin Kisner,9' 3",3291.583,355
142,0,32757,Patton Kizzire,9' 3",3264.417,354
