RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,33461,Morgan Hoffmann,3,35
2,0,26758,David Hearn,2,35
2,0,30925,Dustin Johnson,2,28
2,0,24912,Will MacKenzie,2,42
2,0,30163,Henrik Norlander,2,31
2,0,28475,Jeff Overton,2,44
2,0,25240,D.A. Points,2,27
2,0,10213,Dicky Pride,2,24
9,0,29745,Tyler Aldridge,1,36
9,0,10885,Robert Allenby,1,26
9,0,35545,Blayne Barber,1,45
9,0,20848,Ángel Cabrera,1,31
9,0,25364,Paul Casey,1,28
9,0,24357,K.J. Choi,1,29
9,0,34099,Harris English,1,33
9,0,37273,Derek Ernst,1,30
9,0,28679,Fabián Gómez,1,46
9,0,22892,Jason Gore,1,39
9,0,12716,Charley Hoffman,1,44
9,0,34174,John Huh,1,40
9,0,29222,Billy Hurley III,1,22
9,0,27974,Sung Kang,1,35
9,0,30926,Chris Kirk,1,38
9,0,29926,Danny Lee,1,47
9,0,24781,Hunter Mahan,1,21
9,0,28158,Steve Marino,1,34
9,0,31202,William McGirt,1,36
9,0,25198,Francesco Molinari,1,28
9,0,27942,Rob Oppenheim,1,29
9,0,20691,Greg Owen,1,55
9,0,23320,Ryan Palmer,1,49
9,0,29223,Sam Saunders,1,26
9,0,24502,Adam Scott,1,37
9,0,35891,Cameron Smith,1,25
9,0,33418,Shawn Stefani,1,43
9,0,34431,Robert Streb,1,42
9,0,06527,Steve Stricker,1,13
9,0,25834,Daniel Summerhays,1,33
9,0,27770,Camilo Villegas,1,38
9,0,31323,Gary Woodland,1,38
