RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
1,0,01331,Rick Fehr,1.05,14,1332
2,0,01677,Tom Lehman,1.20,17,1422
3,0,01569,Peter Jacobsen,1.37,16,1170
4,0,01235,Ben Crenshaw,1.51,16,1062
5,0,06527,Steve Stricker,1.56,23,1476
6,0,01928,Corey Pavin,1.58,23,1458
7,0,02010,Loren Roberts,1.65,24,1458
8,0,01599,Steve Jones,1.67,25,1494
9,0,01326,Nick Faldo,1.79,18,1008
9,0,01701,Bob Lohr,1.79,29,1620
9,0,02146,Payne Stewart,1.79,28,1566
12,0,01219,John Cook,1.81,29,1602
13,0,01837,Gil Morgan,1.82,20,1098
14,0,02267,D.A. Weibring,1.89,18,954
15,0,01968,Nick Price,1.92,18,936
16,0,01116,Michael Bradley,1.98,31,1566
17,0,01887,Mark O'Meara,2.01,29,1440
18,0,01457,Jay Haas,2.06,33,1602
19,0,01313,Steve Elkington,2.08,24,1152
19,0,02223,Bob Tway,2.08,30,1440
21,0,01042,Paul Azinger,2.09,29,1386
21,0,01346,Ed Fiori,2.09,23,1098
23,0,01329,Brad Faxon,2.17,32,1476
24,0,01378,David Frost,2.19,28,1278
24,0,06577,John Wilson,2.19,32,1458
26,0,01549,Mike Hulbert,2.25,38,1692
27,0,10860,Justin Leonard,2.26,41,1818
28,0,01226,Fred Couples,2.27,27,1188
29,0,01783,Mark McCumber,2.29,21,918
29,0,01943,Chris Perry,2.29,28,1224
31,0,01040,Emlyn Aubrey,2.30,24,1044
31,0,01139,Olin Browne,2.30,39,1692
31,0,09011,David Duval,2.30,31,1350
31,0,08385,Omar Uresti,2.30,39,1692
35,0,01132,Mark Brooks,2.31,42,1818
35,0,01527,Scott Hoch,2.31,40,1728
35,0,01996,Mike Reid,2.31,30,1296
38,0,01098,Jay Don Blake,2.32,38,1638
39,0,01024,Billy Andrade,2.36,37,1566
39,0,07235,John Morse,2.36,40,1692
41,0,01306,David Edwards,2.37,35,1476
41,0,12660,Jesper Parnevik,2.37,29,1224
43,0,10809,Jim Furyk,2.39,43,1800
43,0,01707,Steve Lowery,2.39,43,1800
45,0,01196,Brian Claar,2.40,45,1872
45,0,01891,David Ogrin,2.40,44,1836
47,0,01093,Ronnie Black,2.42,37,1530
47,0,01577,Lee Janzen,2.42,40,1656
47,0,02242,Lanny Wadkins,2.42,27,1116
50,0,02159,Curtis Strange,2.46,35,1422
50,0,06613,Tommy Tolles,2.46,42,1710
52,0,01920,Craig Parry,2.47,36,1458
52,0,06567,Vijay Singh,2.47,40,1620
54,0,02023,Clarence Rose,2.48,38,1530
55,0,01320,Bob Estes,2.52,29,1152
56,0,01096,Phil Blackmar,2.54,43,1692
57,0,06522,Ernie Els,2.56,30,1170
57,0,06332,Neal Lancaster,2.56,47,1836
57,0,02049,Gene Sauers,2.56,36,1404
60,0,06617,Brian Henninger,2.58,39,1512
61,0,01823,Larry Mize,2.59,34,1314
62,0,01072,Chip Beck,2.60,43,1656
63,0,06140,Sean Murphy,2.61,38,1458
64,0,01249,John Daly,2.62,34,1296
64,0,02099,Scott Simpson,2.62,33,1260
66,0,01766,Billy Mayfair,2.63,44,1674
67,0,01175,Jim Carter,2.65,51,1926
67,0,02104,Jeff Sluman,2.65,50,1890
69,0,01797,Rocco Mediate,2.66,33,1242
70,0,02186,Brian Tennyson,2.67,36,1350
71,0,01185,Brandel Chamblee,2.70,34,1260
72,0,01261,Jay Delsing,2.71,42,1548
72,0,01510,Nolan Henke,2.71,39,1440
74,0,01748,Doug Martin,2.72,45,1656
75,0,01475,Donnie Hammond,2.73,30,1098
76,0,01203,Russ Cochran,2.74,41,1494
76,0,01810,Phil Mickelson,2.74,38,1386
78,0,01435,Wayne Grady,2.78,32,1152
78,0,10585,Scott McCarron,2.78,43,1548
78,0,02115,Taylor Smith,2.78,38,1368
81,0,01724,Jeff Maggert,2.81,46,1638
81,0,10213,Dicky Pride,2.81,41,1458
81,0,02206,David Toms,2.81,45,1602
81,0,02245,Grant Waite,2.81,38,1350
85,0,08375,Paul Stankowski,2.82,36,1278
85,0,02214,Kirk Triplett,2.82,37,1314
87,0,07267,Allen Doyle,2.90,46,1584
87,0,01633,Tom Kite,2.90,36,1242
89,0,01553,John Huston,2.91,44,1512
89,0,01960,Don Pooley,2.91,33,1134
91,0,08931,Glen Day,2.93,47,1602
91,0,07087,Hugh Royer III,2.93,48,1638
93,0,01876,Greg Norman,2.94,27,918
93,0,20095,Carl Paulson,2.94,46,1566
93,0,02131,Mike Springer,2.94,45,1530
96,0,01444,Ken Green,2.95,43,1458
97,0,07101,Dave Stockton Jr.,2.96,49,1656
97,0,02241,Bobby Wadkins,2.96,49,1656
99,0,01385,Jim Gallagher Jr.,2.97,39,1314
99,0,01408,Kelly Gibson,2.97,61,2052
101,0,01603,Jeff Julian,2.98,37,1242
102,0,01706,Davis Love III,2.99,43,1440
102,0,02246,Duffy Waldorf,2.99,36,1206
104,0,01201,Lennie Clements,3.01,45,1494
104,0,02303,Robert Wrenn,3.01,39,1296
106,0,01945,Kenny Perry,3.02,44,1458
107,0,06034,Marco Dawson,3.07,48,1566
108,0,06124,Patrick Burke,3.09,40,1296
108,0,06044,Scott Gump,3.09,54,1746
110,0,06657,Steve Rintoul,3.11,42,1350
111,0,02101,Joey Sindelar,3.13,49,1566
112,0,01381,Fred Funk,3.14,61,1944
112,0,02321,Fuzzy Zoeller,3.14,30,954
114,0,20098,Stuart Appleby,3.16,54,1710
115,0,01142,Bart Bryant,3.17,44,1386
115,0,01771,Blaine McCallister,3.17,52,1638
117,0,08993,Franklin Langham,3.20,53,1656
118,0,08547,John Maginnes,3.22,47,1458
119,0,06064,Jeff Gallagher,3.24,49,1512
119,0,02218,Ted Tryba,3.24,60,1854
121,0,01307,Joel Edwards,3.25,55,1692
121,0,01361,Dan Forsman,3.25,38,1170
123,0,01161,Mark Calcavecchia,3.27,60,1836
123,0,01374,Robin Freeman,3.27,60,1836
123,0,06595,Kevin Sutherland,3.27,63,1926
126,0,06012,Greg Kraft,3.29,48,1458
127,0,02279,Mark Wiebe,3.30,44,1332
128,0,06214,Guy Boros,3.35,56,1674
128,0,02170,Hal Sutton,3.35,53,1584
130,0,01323,Brad Fabel,3.36,52,1548
130,0,08075,Jerry Kelly,3.36,55,1638
130,0,01682,Wayne Levi,3.36,43,1278
133,0,01156,Curt Byrum,3.37,34,1008
133,0,06643,Paul Goydos,3.37,51,1512
135,0,10203,Bryan Gorman,3.38,42,1242
135,0,01971,Dillard Pruitt,3.38,45,1332
137,0,10425,Jay Williamson,3.39,47,1386
138,0,06036,Scott Dunlap,3.40,49,1440
139,0,10569,Mike Brisky,3.41,51,1494
140,0,01006,John Adams,3.42,48,1404
141,0,01864,Larry Nelson,3.44,47,1368
141,0,02008,Lee Rinker,3.44,62,1800
143,0,01761,Len Mattiace,3.46,53,1530
143,0,02167,Mike Sullivan,3.46,53,1530
145,0,02133,Craig Stadler,3.47,35,1008
146,0,12782,Tim Herron,3.50,63,1800
147,0,01157,Tom Byrum,3.51,48,1368
147,0,01723,Andrew Magee,3.51,48,1368
149,0,01557,John Inman,3.52,50,1422
150,0,01938,David Peoples,3.57,36,1008
151,0,02226,Tray Tyner,3.59,33,918
152,0,06066,Gary Rusnak,3.63,51,1404
153,0,01143,Brad Bryant,3.64,55,1512
153,0,01334,Keith Fergus,3.64,55,1512
155,0,07867,Woody Austin,3.66,77,2106
155,0,01414,Bob Gilder,3.66,56,1530
157,0,01133,Billy Ray Brown,3.68,51,1386
157,0,01487,Jeff Hart,3.68,43,1170
157,0,08337,Mike Heinen,3.68,63,1710
160,0,01200,Keith Clearwater,3.70,52,1404
160,0,01607,Brian Kamm,3.70,58,1566
160,0,06090,Jim McGovern,3.70,58,1566
160,0,10215,Charlie Rymer,3.70,60,1620
164,0,02171,Mike Swartz,3.73,49,1314
165,0,01725,John Mahaffey,3.76,44,1170
166,0,01388,Robert Gamez,3.78,51,1350
167,0,01035,Tommy Armour III,3.81,37,972
167,0,10505,Shane Bertsch,3.81,50,1314
167,0,10649,Tom Scherrer,3.81,61,1602
167,0,02256,Tom Watson,3.81,37,972
171,0,01975,Tom Purtzer,3.82,57,1494
171,0,20259,Hisayuki Sasaki,3.82,44,1152
173,0,01905,Joe Ozaki,3.84,47,1224
174,0,06315,Pete Jordan,3.88,51,1314
175,0,01014,Fulton Allem,3.91,38,972
176,0,01060,Dave Barr,3.93,41,1044
177,0,20505,Lucas Parsons,3.97,40,1008
178,0,19913,Ron Whittaker,4.02,42,1044
179,0,02135,Mike Standly,4.12,60,1458
180,0,01604,Steve Jurgensen,4.21,66,1566
181,0,01068,Andy Bean,4.22,57,1350
182,0,11032,Frank Lickliter II,4.30,65,1512
183,0,01958,Dan Pohl,4.31,45,1044
184,0,20051,Joe Acosta Jr.,4.46,57,1278
185,0,12626,Joey Gullion,4.53,71,1566
