RANK,MOVEMENT,PLAYER_ID,PLAYER,HOLE OUTS
1,0,23718,Nathan Green,20
1,0,27214,Kevin Streelman,20
3,0,12782,Tim Herron,18
3,0,28158,Steve Marino,18
3,0,25562,Andres Romero,18
6,0,21753,Brian Davis,17
6,0,21949,Joe Ogilvie,17
6,0,07749,Brett Quigley,17
9,0,06197,Michael Allen,16
9,0,19803,Ryan Armour,16
9,0,20574,Mathew Goggin,16
9,0,27060,John Mallinger,16
9,0,12660,Jesper Parnevik,16
9,0,25345,Carl Pettersson,16
9,0,20645,John Senden,16
9,0,28780,Nicholas Thompson,16
17,0,23778,Brad Adamonis,15
17,0,01941,Tom Pernice Jr.,15
17,0,01945,Kenny Perry,15
17,0,01948,Tim Petrovic,15
17,0,26679,Kevin Stadler,15
17,0,10425,Jay Williamson,15
23,0,20498,Briny Baird,14
23,0,10505,Shane Bertsch,14
23,0,01161,Mark Calcavecchia,14
23,0,28089,Jason Day,14
23,0,07457,Steve Flesch,14
23,0,12823,Carlos Franco,14
23,0,24358,Robert Garrigus,14
23,0,22913,John Rollins,14
23,0,06527,Steve Stricker,14
23,0,26951,Johnson Wagner,14
33,0,01024,Billy Andrade,13
33,0,23135,Tim Clark,13
33,0,21350,Ryuji Imada,13
33,0,22378,Trevor Immelman,13
33,0,30925,Dustin Johnson,13
33,0,23157,Richard Johnson,13
33,0,11032,Frank Lickliter II,13
33,0,01766,Billy Mayfair,13
33,0,24449,Parker McLachlin,13
33,0,25396,Kevin Na,13
33,0,28475,Jeff Overton,13
33,0,25190,Jeff Quinney,13
33,0,26476,Chez Reavie,13
33,0,22548,Patrick Sheehan,13
33,0,23788,D.J. Trahan,13
33,0,12602,Dean Wilson,13
49,0,23048,Eric Axley,12
49,0,24925,Jonathan Byrd,12
49,0,20850,Daniel Chopra,12
49,0,20104,Ken Duke,12
49,0,01320,Bob Estes,12
49,0,27561,Nick Flanagan,12
49,0,01577,Lee Janzen,12
49,0,27936,Martin Laird,12
49,0,01707,Steve Lowery,12
49,0,20572,Rod Pampling,12
49,0,24361,Pat Perez,12
49,0,23621,Rory Sabbatini,12
49,0,06567,Vijay Singh,12
49,0,08845,Scott Sterling,12
49,0,26668,Marc Turnesa,12
49,0,08385,Omar Uresti,12
49,0,02239,Scott Verplank,12
49,0,27095,Nick Watney,12
67,0,06004,Stephen Ames,11
67,0,12652,Cameron Beckman,11
67,0,10875,Todd Demsey,11
67,0,23353,J.J. Henry,11
67,0,20433,Mark Hensby,11
67,0,21961,Charles Howell III,11
67,0,23108,Matt Kuchar,11
67,0,10860,Justin Leonard,11
67,0,25842,Jon Mills,11
67,0,22293,Heath Slocum,11
67,0,06595,Kevin Sutherland,11
67,0,23325,Vaughn Taylor,11
67,0,21878,Mark Wilson,11
80,0,10885,Robert Allenby,10
80,0,23614,Rich Beem,10
80,0,12510,Chad Campbell,10
80,0,20229,Stewart Cink,10
80,0,22621,Ben Curtis,10
80,0,08931,Glen Day,10
80,0,20378,Mathias Grönberg,10
80,0,24924,Bill Haas,10
80,0,26300,Matt Jones,10
80,0,08075,Jerry Kelly,10
80,0,27613,David Lutterus,10
80,0,27120,Troy Matteson,10
80,0,23797,Brett Rumford,10
80,0,27649,Brandt Snedeker,10
80,0,27963,Chris Stroud,10
80,0,23349,Charles Warren,10
80,0,10423,Mike Weir,10
80,0,25349,Tim Wilkinson,10
98,0,20098,Stuart Appleby,9
98,0,01142,Bart Bryant,9
98,0,25720,Chad Collins,9
98,0,23541,Ben Crane,9
98,0,19846,Brian Gay,9
98,0,12716,Charley Hoffman,9
98,0,21731,Freddie Jacobson,9
98,0,24024,Zach Johnson,9
98,0,29718,Anthony Kim,9
98,0,12705,Cliff Kresge,9
98,0,12680,Shigeki Maruyama,9
98,0,24140,Sean O'Hair,9
98,0,23497,Tag Ridings,9
98,0,12309,Bob Sowards,9
98,0,23623,Bo Van Pelt,9
98,0,26289,Boo Weekley,9
98,0,24663,Y.E. Yang,9
115,0,07867,Woody Austin,8
115,0,20623,Gavin Coles,8
115,0,06251,Chris DiMarco,8
115,0,06621,Joe Durant,8
115,0,01313,Steve Elkington,8
115,0,06522,Ernie Els,8
115,0,10809,Jim Furyk,8
115,0,25900,Lucas Glover,8
115,0,20157,Retief Goosen,8
115,0,01473,Todd Hamilton,8
115,0,27141,J.B. Holmes,8
115,0,06090,Jim McGovern,8
115,0,24490,George McNeill,8
115,0,01797,Rocco Mediate,8
115,0,20443,Jin Park,8
115,0,01928,Corey Pavin,8
115,0,25632,Jimmy Walker,8
115,0,25804,Bubba Watson,8
133,0,21633,Steve Allan,7
133,0,22371,Aaron Baddeley,7
133,0,26500,Alejandro Cañizares,7
133,0,06034,Marco Dawson,7
133,0,23409,James Driscoll,7
133,0,09011,David Duval,7
133,0,22892,Jason Gore,7
133,0,26420,Richard Johnson,7
133,0,24912,Will MacKenzie,7
133,0,10585,Scott McCarron,7
133,0,20663,Brenden Pappas,7
133,0,24138,Ian Poulter,7
133,0,21959,Ted Purdy,7
146,0,23540,Jason Allred,6
146,0,01035,Tommy Armour III,6
146,0,01139,Olin Browne,6
146,0,20848,Ángel Cabrera,6
146,0,12826,Paul Claxton,6
146,0,01226,Fred Couples,6
146,0,23125,Brad Elder,6
146,0,06643,Paul Goydos,6
146,0,20766,Padraig Harrington,6
146,0,06575,Dudley Hart,6
146,0,08537,J.P. Hayes,6
146,0,06012,Greg Kraft,6
146,0,01677,Tom Lehman,6
146,0,20634,Peter Lonard,6
146,0,01706,Davis Love III,6
146,0,01724,Jeff Maggert,6
146,0,24781,Hunter Mahan,6
146,0,23320,Ryan Palmer,6
146,0,20127,Chris Riley,6
146,0,22582,Kyle Thompson,6
146,0,02206,David Toms,6
146,0,02223,Bob Tway,6
146,0,27770,Camilo Villegas,6
146,0,19913,Ron Whittaker,6
146,0,20160,Charlie Wi,6
171,0,24227,Justin Bolli,5
171,0,20472,Alex Cejka,5
171,0,24357,K.J. Choi,5
171,0,21461,Kenneth Ferrie,5
171,0,26631,Cody Freeman,5
171,0,30750,Tommy Gainey,5
171,0,21209,Sergio Garcia,5
171,0,01553,John Huston,5
171,0,10733,Kent Jones,5
171,0,26695,Michael Letzig,5
171,0,22348,Nick O'Hern,5
182,0,21805,Harrison Frazar,4
182,0,20105,Jeff Gove,4
182,0,06573,Brandt Jobe,4
182,0,20382,Stephen Leaney,4
182,0,27933,John Merrick,4
182,0,01810,Phil Mickelson,4
182,0,22046,Geoff Ogilvy,4
182,0,02002,John Riegger,4
190,0,25364,Paul Casey,3
190,0,01388,Robert Gamez,3
190,0,07547,Craig Kanada,3
190,0,25594,Travis Perkins,3
190,0,10649,Tom Scherrer,3
195,0,22806,Doug LaBelle II,2
195,0,26596,Ryan Moore,2
195,0,24502,Adam Scott,2
