RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ADJUSTMENT,TOTAL ROUNDS
1,0,01876,Greg Norman,69.060,4053,- 47.498,58
2,0,01313,Steve Elkington,69.590,5058,- 47.499,72
3,0,01968,Nick Price,69.806,4671,- 63.786,66
4,0,06522,Ernie Els,69.813,4232,- 43.227,60
5,0,01677,Tom Lehman,69.846,4594,- 54.004,65
6,0,01326,Nick Faldo,69.853,5074,- 44.585,72
7,0,06567,Vijay Singh,69.921,5593,- 69.253,79
8,0,02223,Bob Tway,69.929,6608,- 34.651,94
9,0,02099,Scott Simpson,69.986,6174,- 15.210,88
10,0,01569,Peter Jacobsen,70.031,6551,- 38.077,93
11,0,01928,Corey Pavin,70.037,5570,- 37.040,79
12,0,01706,Davis Love III,70.087,6280,- 42.278,89
13,0,01457,Jay Haas,70.177,6204,- 28.454,88
14,0,02010,Loren Roberts,70.212,5859,- 31.429,83
15,0,01226,Fred Couples,70.218,3825,- 33.210,54
16,0,02214,Kirk Triplett,70.219,7024,- 2.078,100
17,0,10860,Justin Leonard,70.228,7750,- 24.930,110
17,0,02239,Scott Verplank,70.228,5985,- 15.659,85
19,0,02146,Payne Stewart,70.230,6857,- 44.715,97
20,0,01887,Mark O'Meara,70.248,6753,- 9.148,96
21,0,01783,Mark McCumber,70.265,4691,- 53.508,66
22,0,01161,Mark Calcavecchia,70.282,7428,- 48.377,105
22,0,06315,Pete Jordan,70.282,4167,- 20.380,59
24,0,06527,Steve Stricker,70.288,5857,- 23.103,83
25,0,01766,Billy Mayfair,70.290,6978,- 19.290,99
26,0,01201,Lennie Clements,70.296,6532,5.512,93
27,0,01320,Bob Estes,70.336,6417,- 16.416,91
28,0,02104,Jeff Sluman,70.344,7113,- 8.240,101
29,0,02246,Duffy Waldorf,70.346,6342,- 10.857,90
30,0,02256,Tom Watson,70.351,3972,- 32.328,56
31,0,01945,Kenny Perry,70.352,6630,- 16.943,94
32,0,09011,David Duval,70.354,6298,- 36.531,89
33,0,01385,Jim Gallagher Jr.,70.365,7010,- 43.825,99
34,0,01707,Steve Lowery,70.377,7548,- 17.644,107
35,0,01527,Scott Hoch,70.385,7056,- 17.489,100
36,0,01329,Brad Faxon,70.396,6151,- 26.560,87
37,0,02133,Craig Stadler,70.422,4861,- 1.889,69
38,0,01418,Bill Glasson,70.449,5156,- 13.243,73
39,0,01143,Brad Bryant,70.485,6731,- 34.951,95
40,0,01599,Steve Jones,70.530,5634,8.435,80
