RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300-320,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,27936,Martin Laird,43.38,59,136,+4.12
2,0,25804,Bubba Watson,40.30,54,134,+3.93
3,0,25632,Jimmy Walker,39.87,63,158,+3.98
4,0,25274,Steven Bowditch,39.63,65,164,+3.86
5,0,27095,Nick Watney,38.41,53,138,+3.85
6,0,23497,Tag Ridings,37.04,60,162,+4.13
7,0,11123,Chris Couch,36.99,54,146,+3.96
8,0,23623,Bo Van Pelt,36.54,57,156,+3.60
9,0,30925,Dustin Johnson,36.44,43,118,+4.07
10,0,34072,Will Strickler,36.17,34,94,+3.71
11,0,30110,Kyle Stanley,36.05,62,172,+3.55
12,0,32366,Kevin Chappell,36.03,49,136,+3.73
13,0,06573,Brandt Jobe,35.87,66,184,+3.76
14,0,31557,Jim Herman,35.25,43,122,+3.56
15,0,22371,Aaron Baddeley,35.07,47,134,+4.11
16,0,19970,Robert Karlsson,34.69,34,98,+3.94
16,0,27330,Josh Teater,34.69,68,196,+3.78
18,0,01810,Phil Mickelson,34.62,45,130,+3.80
18,0,30692,Scott Stallings,34.62,54,156,+3.80
20,0,09011,David Duval,33.85,44,130,+3.89
21,0,21209,Sergio Garcia,33.67,33,98,+3.64
22,0,28089,Jason Day,33.61,41,122,+3.90
23,0,29221,Webb Simpson,33.33,60,180,+3.77
24,0,21805,Harrison Frazar,33.00,33,100,+3.76
25,0,24502,Adam Scott,32.65,32,98,+3.91
26,0,27797,Derek Lamely,32.54,41,126,+3.66
27,0,27770,Camilo Villegas,32.50,39,120,+3.69
28,0,26851,Marc Leishman,31.93,53,166,+3.60
28,0,22913,John Rollins,31.93,53,166,+3.60
30,0,23788,D.J. Trahan,31.87,58,182,+3.64
31,0,32698,Bobby Gates,31.76,47,148,+3.66
32,0,01706,Davis Love III,31.67,38,120,+3.76
33,0,33141,Keegan Bradley,31.61,55,174,+3.76
34,0,25818,Scott Piercy,31.43,44,140,+3.73
35,0,24140,Sean O'Hair,31.06,41,132,+3.61
36,0,30926,Chris Kirk,31.03,54,174,+3.67
36,0,27120,Troy Matteson,31.03,54,174,+3.93
38,0,26331,Charl Schwartzel,30.68,27,88,+3.63
39,0,24358,Robert Garrigus,30.52,47,154,+3.74
40,0,30750,Tommy Gainey,30.50,61,200,+3.64
41,0,29718,Anthony Kim,30.33,37,122,+3.84
42,0,24361,Pat Perez,30.26,46,152,+3.80
43,0,23320,Ryan Palmer,30.15,41,136,+3.76
44,0,35087,Bio Kim,30.00,39,130,+3.62
44,0,20645,John Senden,30.00,54,180,+3.78
46,0,31401,Zack Miller,29.88,49,164,+3.61
47,0,22405,Justin Rose,29.85,40,134,+3.58
48,0,28486,Michael Putnam,29.66,35,118,+3.86
49,0,24490,George McNeill,29.51,36,122,+4.03
50,0,21961,Charles Howell III,29.50,59,200,+3.73
51,0,27064,Jhonattan Vegas,29.49,46,156,+3.50
52,0,12716,Charley Hoffman,29.27,48,164,+3.85
53,0,12510,Chad Campbell,29.12,53,182,+3.38
54,0,20848,Ángel Cabrera,28.95,22,76,+3.55
54,0,31193,Jim Renner,28.95,33,114,+3.36
56,0,24781,Hunter Mahan,28.92,48,166,+3.38
57,0,32102,Rickie Fowler,28.87,41,142,+3.68
58,0,24980,Scott Gutschewski,28.81,34,118,+3.62
59,0,24846,Ricky Barnes,28.57,40,140,+3.55
59,0,01577,Lee Janzen,28.57,32,112,+3.84
61,0,28475,Jeff Overton,28.48,45,158,+3.96
62,0,34255,Joseph Bramlett,28.46,37,130,+3.19
63,0,20766,Padraig Harrington,28.43,29,102,+4.03
64,0,23353,J.J. Henry,28.41,50,176,+3.70
64,0,23548,Bill Lunde,28.41,50,176,+3.52
66,0,29720,Andres Gonzales,28.00,28,100,+3.61
67,0,24290,D.J. Brigman,27.97,33,118,+3.27
68,0,31323,Gary Woodland,27.78,45,162,+3.82
69,0,26300,Matt Jones,27.46,39,142,+4.00
70,0,25900,Lucas Glover,27.34,35,128,+3.40
71,0,25562,Andres Romero,27.33,41,150,+3.78
72,0,26476,Chez Reavie,27.27,48,176,+3.54
73,0,24924,Bill Haas,26.88,43,160,+3.63
73,0,26758,David Hearn,26.88,43,160,+3.56
75,0,21949,Joe Ogilvie,26.87,36,134,+3.92
76,0,29420,Billy Horschel,26.81,37,138,+3.59
77,0,22046,Geoff Ogilvy,26.72,31,116,+3.84
78,0,10885,Robert Allenby,26.67,40,150,+3.55
79,0,33413,Ben Martin,26.43,37,140,+3.46
80,0,25457,Alexandre Rocha,26.42,28,106,+3.39
81,0,26679,Kevin Stadler,26.25,42,160,+3.74
82,0,29518,Brendan Steele,25.86,45,174,+3.67
83,0,26289,Boo Weekley,25.81,32,124,+2.94
84,0,20572,Rod Pampling,25.78,33,128,+3.33
85,0,30946,Alex Prugh,25.64,40,156,+3.78
86,0,27141,J.B. Holmes,25.49,26,102,+3.92
87,0,29910,Blake Adams,25.45,57,224,+3.68
87,0,27974,Sung Kang,25.45,28,110,+3.36
89,0,27933,John Merrick,25.40,32,126,+3.19
90,0,12782,Tim Herron,25.31,41,162,+3.44
91,0,20498,Briny Baird,25.00,26,104,+3.69
91,0,24925,Jonathan Byrd,25.00,38,152,+3.89
91,0,33419,Cameron Tringale,25.00,53,212,+3.57
94,0,06567,Vijay Singh,24.68,38,154,+3.34
95,0,26596,Ryan Moore,24.62,32,130,+3.69
96,0,07867,Woody Austin,24.53,26,106,+3.50
97,0,25345,Carl Pettersson,24.18,44,182,+3.55
98,0,20229,Stewart Cink,24.14,28,116,+3.75
99,0,20070,Matt Bettencourt,23.81,40,168,+3.90
100,0,32876,Martin Piller,23.73,28,118,+3.68
101,0,22378,Trevor Immelman,23.65,35,148,+3.57
102,0,23621,Rory Sabbatini,23.24,33,142,+3.79
103,0,26287,Roland Thatcher,23.13,31,134,+3.58
104,0,23409,James Driscoll,23.08,30,130,+3.53
105,0,10585,Scott McCarron,22.95,28,122,+3.39
106,0,08725,Tom Gillis,22.73,25,110,+3.12
107,0,27963,Chris Stroud,22.62,38,168,+3.26
108,0,25240,D.A. Points,22.35,38,170,+3.29
109,0,01116,Michael Bradley,22.14,31,140,+3.90
110,0,24507,Jason Bohn,22.06,30,136,+3.27
111,0,25444,Justin Hicks,21.88,21,96,+2.95
112,0,23614,Rich Beem,20.75,22,106,+3.55
113,0,27214,Kevin Streelman,20.73,34,164,+3.85
114,0,10733,Kent Jones,20.42,29,142,+3.28
115,0,23638,Brendon de Jonge,20.30,41,202,+3.68
116,0,25686,Jason Dufner,20.27,30,148,+3.70
117,0,20157,Retief Goosen,20.24,17,84,+3.24
118,0,28158,Steve Marino,20.00,28,140,+3.11
119,0,20098,Stuart Appleby,19.84,25,126,+3.48
120,0,28087,Kris Blanks,19.44,35,180,+3.06
121,0,27649,Brandt Snedeker,19.33,29,150,+3.66
122,0,06527,Steve Stricker,19.30,22,114,+3.86
123,0,32150,Michael Thompson,19.18,28,146,+3.46
