RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,28158,Steve Marino,50.00,70,140,-0.20
2,0,23983,Luke Donald,49.12,56,114,-0.32
3,0,06567,Vijay Singh,48.05,74,154,-0.11
4,0,32150,Michael Thompson,47.95,70,146,-0.06
5,0,24357,K.J. Choi,47.69,62,130,-0.15
6,0,27963,Chris Stroud,47.62,80,168,-0.15
7,0,26289,Boo Weekley,47.58,59,124,-0.15
8,0,20645,John Senden,46.11,83,180,-0.13
9,0,26668,Marc Turnesa,46.00,46,100,-0.13
10,0,29718,Anthony Kim,45.90,56,122,-0.09
11,0,24846,Ricky Barnes,45.71,64,140,+0.05
12,0,06527,Steve Stricker,45.61,52,114,-0.35
13,0,08725,Tom Gillis,45.45,50,110,+0.08
14,0,21731,Freddie Jacobson,45.39,69,152,E
15,0,32640,Troy Merritt,45.08,55,122,-0.09
16,0,25345,Carl Pettersson,45.05,82,182,-0.11
17,0,26476,Chez Reavie,44.89,79,176,-0.03
18,0,23108,Matt Kuchar,44.87,70,156,-0.27
19,0,10885,Robert Allenby,44.67,67,150,-0.09
20,0,06004,Stephen Ames,44.62,58,130,-0.16
21,0,21878,Mark Wilson,44.30,70,158,-0.21
22,0,20157,Retief Goosen,44.05,37,84,-0.19
23,0,23621,Rory Sabbatini,43.66,62,142,-0.24
24,0,25572,Graeme McDowell,43.59,34,78,-0.12
25,0,10585,Scott McCarron,43.44,53,122,-0.08
26,0,23409,James Driscoll,43.08,56,130,+0.07
27,0,25900,Lucas Glover,42.97,55,128,+0.05
28,0,33419,Cameron Tringale,42.92,91,212,-0.08
29,0,24781,Hunter Mahan,42.77,71,166,-0.20
30,0,12716,Charley Hoffman,42.68,70,164,+0.03
31,0,12782,Tim Herron,42.59,69,162,-0.09
32,0,23541,Ben Crane,42.54,57,134,-0.07
33,0,29518,Brendan Steele,42.53,74,174,-0.14
34,0,24290,D.J. Brigman,42.37,50,118,-0.02
35,0,26596,Ryan Moore,42.31,55,130,-0.16
36,0,21350,Ryuji Imada,42.17,70,166,-0.13
36,0,20160,Charlie Wi,42.17,70,166,-0.09
38,0,24361,Pat Perez,42.11,64,152,-0.17
39,0,25686,Jason Dufner,41.89,62,148,-0.10
40,0,06522,Ernie Els,41.80,51,122,-0.20
41,0,27770,Camilo Villegas,41.67,50,120,-0.04
42,0,27214,Kevin Streelman,41.46,68,164,-0.25
43,0,22046,Geoff Ogilvy,41.38,48,116,-0.17
44,0,23325,Vaughn Taylor,41.01,73,178,-0.07
45,0,30750,Tommy Gainey,41.00,82,200,E
46,0,24925,Jonathan Byrd,40.79,62,152,-0.08
46,0,10809,Jim Furyk,40.79,62,152,-0.10
48,0,27649,Brandt Snedeker,40.67,61,150,-0.11
49,0,12510,Chad Campbell,40.66,74,182,-0.03
50,0,24924,Bill Haas,40.63,65,160,-0.28
50,0,26679,Kevin Stadler,40.63,65,160,-0.09
52,0,06621,Joe Durant,40.58,56,138,-0.16
53,0,23614,Rich Beem,40.57,43,106,+0.05
54,0,26881,Jarrod Lyle,40.51,64,158,-0.19
55,0,26287,Roland Thatcher,40.30,54,134,-0.11
56,0,32102,Rickie Fowler,40.14,57,142,-0.09
57,0,23638,Brendon de Jonge,40.10,81,202,+0.05
58,0,20070,Matt Bettencourt,39.88,67,168,-0.06
59,0,21961,Charles Howell III,39.50,79,200,-0.20
60,0,28087,Kris Blanks,39.44,71,180,-0.10
61,0,29478,Kevin Kisner,39.06,50,128,-0.02
61,0,20572,Rod Pampling,39.06,50,128,-0.16
63,0,27466,Spencer Levin,39.05,82,210,-0.10
64,0,08537,J.P. Hayes,38.89,42,108,-0.12
64,0,08375,Paul Stankowski,38.89,56,144,-0.20
66,0,25240,D.A. Points,38.82,66,170,-0.23
67,0,12652,Cameron Beckman,38.81,52,134,-0.08
67,0,22405,Justin Rose,38.81,52,134,-0.27
69,0,21407,Arjun Atwal,38.76,69,178,-0.10
70,0,25457,Alexandre Rocha,38.68,41,106,-0.10
71,0,23548,Bill Lunde,38.64,68,176,-0.12
72,0,31193,Jim Renner,38.60,44,114,E
73,0,01116,Michael Bradley,38.57,54,140,-0.19
74,0,01948,Tim Petrovic,38.55,64,166,E
74,0,22913,John Rollins,38.55,64,166,-0.06
76,0,31401,Zack Miller,38.41,63,164,-0.02
77,0,31202,William McGirt,38.38,76,198,-0.07
78,0,24138,Ian Poulter,38.37,33,86,-0.24
79,0,21753,Brian Davis,38.35,79,206,-0.24
80,0,01766,Billy Mayfair,38.33,69,180,-0.28
81,0,22621,Ben Curtis,38.28,49,128,-0.18
82,0,28679,Fabián Gómez,38.16,58,152,-0.16
83,0,32876,Martin Piller,38.14,45,118,-0.09
84,0,20098,Stuart Appleby,38.10,48,126,-0.17
85,0,28475,Jeff Overton,37.97,60,158,-0.15
86,0,23788,D.J. Trahan,37.91,69,182,+0.04
