RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,22892,Jason Gore,56,15,41
2,0,23349,Charles Warren,85,10,75
3,0,28780,Nicholas Thompson,88,36,52
4,0,27933,John Merrick,100,20,80
5,0,02002,John Riegger,105,74,31
6,0,12716,Charley Hoffman,107,12,95
7,0,06621,Joe Durant,110,102,8
8,0,20105,Jeff Gove,114,103,11
9,0,20645,John Senden,116,81,35
10,0,20574,Mathew Goggin,118,34,84
10,0,22913,John Rollins,118,80,38
12,0,26596,Ryan Moore,122,56,66
13,0,06197,Michael Allen,126,101,25
13,0,19803,Ryan Armour,126,103,23
15,0,25364,Paul Casey,127,18,109
16,0,23541,Ben Crane,128,86,42
17,0,10875,Todd Demsey,130,53,77
17,0,01553,John Huston,130,65,65
19,0,10885,Robert Allenby,131,61,70
20,0,23353,J.J. Henry,132,61,71
21,0,27095,Nick Watney,135,7,128
22,0,23614,Rich Beem,136,88,48
23,0,24781,Hunter Mahan,137,75,62
24,0,20378,Mathias Grönberg,140,38,102
24,0,28158,Steve Marino,140,49,91
24,0,20160,Charlie Wi,140,95,45
27,0,24361,Pat Perez,141,44,97
28,0,01766,Billy Mayfair,142,129,13
28,0,21878,Mark Wilson,142,122,20
30,0,12510,Chad Campbell,143,75,68
31,0,23320,Ryan Palmer,144,44,100
31,0,23788,D.J. Trahan,144,66,78
33,0,27936,Martin Laird,145,31,114
34,0,26289,Boo Weekley,146,61,85
35,0,10425,Jay Williamson,147,123,24
36,0,25900,Lucas Glover,148,23,125
37,0,20572,Rod Pampling,151,82,69
38,0,01945,Kenny Perry,153,33,120
38,0,27963,Chris Stroud,153,95,58
40,0,21805,Harrison Frazar,154,14,140
41,0,21461,Kenneth Ferrie,155,119,36
42,0,10733,Kent Jones,157,141,16
42,0,26695,Michael Letzig,157,69,88
44,0,24925,Jonathan Byrd,160,114,46
44,0,01388,Robert Gamez,160,153,7
44,0,01724,Jeff Maggert,160,110,50
47,0,26476,Chez Reavie,161,152,9
48,0,27561,Nick Flanagan,164,60,104
