RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,23108,Matt Kuchar,67.33,202,3
2,0,31323,Gary Woodland,68.73,756,11
3,0,32102,Rickie Fowler,68.75,275,4
4,0,25632,Jimmy Walker,68.80,688,10
5,0,25900,Lucas Glover,68.83,826,12
6,0,40026,Daniel Berger,69.00,690,10
6,0,28089,Jason Day,69.00,69,1
6,0,30925,Dustin Johnson,69.00,276,4
6,0,34360,Patrick Reed,69.00,207,3
10,0,25686,Jason Dufner,69.15,899,13
11,0,26329,Louis Oosthuizen,69.20,346,5
12,0,24358,Robert Garrigus,69.25,831,12
13,0,29478,Kevin Kisner,69.29,485,7
14,0,26289,Boo Weekley,69.31,1109,16
15,0,28114,Dawie van der Walt,69.41,1180,17
16,0,27895,Jonas Blixt,69.42,833,12
17,0,36689,Brooks Koepka,69.44,625,9
18,0,24507,Jason Bohn,69.60,1044,15
19,0,32200,Roberto Castro,69.61,1253,18
20,0,23320,Ryan Palmer,69.63,1114,16
20,0,29221,Webb Simpson,69.63,557,8
22,0,22405,Justin Rose,69.67,209,3
23,0,06567,Vijay Singh,69.68,1324,19
24,0,29725,Tony Finau,69.69,1115,16
25,0,20229,Stewart Cink,69.79,977,14
26,0,26851,Marc Leishman,69.83,838,12
26,0,33448,Justin Thomas,69.83,419,6
28,0,25364,Paul Casey,69.86,978,14
29,0,32366,Kevin Chappell,69.87,1048,15
30,0,34098,Russell Henley,69.89,1258,18
31,0,31202,William McGirt,69.93,979,14
32,0,37189,Harold Varner III,69.95,1539,22
33,0,24357,K.J. Choi,70.00,1260,18
33,0,24024,Zach Johnson,70.00,420,6
33,0,29461,Jamie Lovemark,70.00,840,12
33,0,24140,Sean O'Hair,70.00,1050,15
37,0,25198,Francesco Molinari,70.10,701,10
38,0,12716,Charley Hoffman,70.11,1262,18
39,0,30163,Henrik Norlander,70.15,912,13
40,0,24502,Adam Scott,70.17,421,6
41,0,33122,Russell Knox,70.20,351,5
42,0,22371,Aaron Baddeley,70.21,1334,19
43,0,21209,Sergio Garcia,70.25,281,4
43,0,33399,Adam Hadwin,70.25,1405,20
45,0,30944,Jason Kokrak,70.27,773,11
45,0,34264,Hudson Swafford,70.27,1827,26
47,0,40058,Zac Blair,70.30,1406,20
47,0,20472,Alex Cejka,70.30,703,10
49,0,29745,Tyler Aldridge,70.33,844,12
50,0,22892,Jason Gore,70.35,1196,17
51,0,24924,Bill Haas,70.36,774,11
52,0,32757,Patton Kizzire,70.38,915,13
52,0,34409,David Lingmerth,70.38,1126,16
52,0,25396,Kevin Na,70.38,1126,16
55,0,21731,Freddie Jacobson,70.39,1267,18
56,0,37455,Si Woo Kim,70.41,1901,27
57,0,23541,Ben Crane,70.45,1409,20
58,0,24461,Thomas Aiken,70.47,1198,17
59,0,28237,Rory McIlroy,70.50,282,4
59,0,29476,Kyle Reifers,70.50,1128,16
61,0,29485,Brett Stegmaier,70.53,1058,15
62,0,32448,James Hahn,70.55,1411,20
62,0,20572,Rod Pampling,70.55,776,11
64,0,27214,Kevin Streelman,70.57,988,14
65,0,29479,Scott Brown,70.58,847,12
65,0,27466,Spencer Levin,70.58,1694,24
65,0,29289,S.Y. Noh,70.58,1341,19
68,0,27936,Martin Laird,70.64,777,11
