RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,06522,Ernie Els,8.54,452.70,-393.91,477.13
2,0,06567,Vijay Singh,9.98,569.13,-308.12,550.87
3,0,10423,Mike Weir,6.58,302.59,-206.82,390.81
4,0,01968,Nick Price,4.22,168.64,-160.22,158.91
5,0,20157,Retief Goosen,6.05,357.09,-316.25,303.62
6,0,10885,Robert Allenby,3.73,212.74,-175.25,184.59
7,0,20382,Stephen Leaney,2.61,125.30,-97.57,119.82
8,0,20634,Peter Lonard,2.48,161.33,-136.99,137.19
9,0,24502,Adam Scott,3.11,183.44,-134.18,162.70
10,0,20098,Stuart Appleby,3.91,230.95,-135.58,196.93
11,0,24357,K.J. Choi,3.46,221.58,-120.99,193.32
12,0,02020,Eduardo Romero,2.42,106.43,-93.52,61.31
13,0,20400,Michael Campbell,2.50,125.02,-134.01,78.18
14,0,20848,Ángel Cabrera,2.02,92.72,-127.94,54.13
15,0,22378,Trevor Immelman,2.16,138.00,-101.90,142.56
16,0,23135,Tim Clark,2.01,120.41,-78.83,116.86
17,0,01920,Craig Parry,1.88,97.51,-109.99,48.42
18,0,10821,Toshi Izawa,2.32,106.76,-98.97,98.40
19,0,23621,Rory Sabbatini,1.80,93.39,-84.48,99.89
20,0,12680,Shigeki Maruyama,2.65,137.58,-123.84,100.70
21,0,20218,Shingo Katayama,2.11,118.30,-101.73,90.38
22,0,20580,Andre Stolz,1.35,56.77,-45.03,57.13
23,0,20935,Toru Taniguchi,1.43,72.97,-91.32,28.53
24,0,12663,Phil Tataurangi,1.39,55.63,-65.21,24.08
25,0,22046,Geoff Ogilvy,1.81,106.71,-65.70,100.33
26,0,22371,Aaron Baddeley,1.35,71.35,-45.11,70.99
27,0,06004,Stephen Ames,1.45,79.94,-66.90,69.86
28,0,20624,David Smail,1.42,76.46,-67.69,44.09
29,0,01796,Mark McNulty,1.29,55.30,-35.27,47.90
30,0,25732,S.K. Ho,1.03,44.11,-32.72,31.02
31,0,22075,Ricardo Gonzalez,1.70,71.27,-61.57,54.56
32,0,01886,Peter O'Malley,1.02,52.93,-76.47,31.62
33,0,20773,Taichi Teshima,1.21,67.76,-64.74,66.14
34,0,21489,Nobuhito Sato,1.06,57.03,-60.36,30.69
35,0,23725,Brendan Jones,1.36,77.49,-36.38,62.23
36,0,20572,Rod Pampling,1.31,81.23,-57.01,78.69
37,0,21736,Lian-Wei Zhang,.98,56.56,-38.14,47.71
38,0,01313,Steve Elkington,.80,32.17,-56.27,10.36
39,0,20213,Katsumasa Miyamoto,1.26,66.73,-48.09,56.26
40,0,20548,Hidemichi Tanaka,1.26,80.33,-67.80,66.63
41,0,10912,Craig Perks,.78,45.41,-65.89,21.12
42,0,01858,Tommy Nakajima,.88,35.26,-51.52,10.07
43,0,21633,Steve Allan,1.01,57.71,-32.65,40.53
44,0,20650,Jarrod Moseley,1.16,69.54,-48.20,53.97
45,0,12823,Carlos Franco,.78,48.34,-44.58,43.36
46,0,12682,Hirofumi Miyase,1.06,51.95,-34.32,48.00
47,0,22400,Hennie Otto,1.13,59.99,-27.99,59.91
48,0,20721,Darren Fichardt,.78,45.24,-42.23,46.12
49,0,22348,Nick O'Hern,1.36,70.67,-43.27,69.25
50,0,23580,Tetsuji Hiratsuka,1.58,90.15,-29.90,87.04
51,0,21284,Hiroyuki Fujita,1.35,72.75,-48.98,43.33
52,0,01364,Peter Fowler,.95,54.88,-40.39,53.60
55,0,01906,Masashi Jumbo Ozaki,1.15,60.80,-49.17,39.05
60,0,24083,Marcus Fraser,.76,30.50,-5.16,35.66
61,0,20753,Jong-Duck Kim,.92,42.33,-27.79,23.40
