RANK,MOVEMENT,PLAYER_ID,PLAYER,STROKE DIFFERENTIAL,PLAYER'S SCORE,FIELD AVERAGE SCORE
1,1,01876,Greg Norman,+2.17,70.55,72.72
2,2,02146,Payne Stewart,+1.98,70.31,72.29
3,2,01226,Fred Couples,+1.84,70.52,72.36
4,2,01072,Chip Beck,+1.83,70.61,72.44
5,2,02159,Curtis Strange,+1.79,70.68,72.47
6,2,01633,Tom Kite,+1.77,70.44,72.21
7,2,01042,Paul Azinger,+1.65,70.46,72.11
8,3,02100,Tim Simpson,+1.56,70.42,71.98
9,4,02133,Craig Stadler,+1.45,70.60,72.05
10,5,01161,Mark Calcavecchia,+1.42,70.46,71.88
11,7,01783,Mark McCumber,+1.36,71.08,72.44
12,7,02170,Hal Sutton,+1.34,70.53,71.87
13,7,01599,Steve Jones,+1.33,70.83,72.16
14,9,01378,David Frost,+1.22,70.97,72.19
15,9,01527,Scott Hoch,+1.20,70.60,71.80
16,9,01968,Nick Price,+1.19,70.74,71.93
17,9,01996,Mike Reid,+1.16,71.24,72.40
18,9,01887,Mark O'Meara,+1.15,70.91,72.06
19,9,01706,Davis Love III,+1.11,70.92,72.03
20,9,01926,Steve Pate,+1.08,70.76,71.84
20,9,02033,Dave Rummells,+1.08,70.71,71.79
22,10,01823,Larry Mize,+1.06,71.14,72.20
22,10,01960,Don Pooley,+1.06,71.25,72.31
24,11,01235,Ben Crenshaw,+1.03,71.19,72.22
24,11,01690,Bruce Lietzke,+1.03,70.86,71.89
26,11,01771,Blaine McCallister,+1.02,70.81,71.83
27,11,01326,Nick Faldo,+.99,71.33,72.32
28,12,01385,Jim Gallagher Jr.,+.98,70.64,71.62
28,12,01715,Mark Lye,+.98,70.97,71.95
28,12,02010,Loren Roberts,+.98,70.86,71.84
31,12,02049,Gene Sauers,+.95,70.95,71.90
32,14,01418,Bill Glasson,+.91,70.95,71.86
32,14,01569,Peter Jacobsen,+.91,71.00,71.91
32,14,01682,Wayne Levi,+.91,70.69,71.60
32,14,02242,Lanny Wadkins,+.91,71.28,72.19
32,14,02279,Mark Wiebe,+.91,70.97,71.88
37,15,01060,Dave Barr,+.88,70.95,71.83
37,15,01837,Gil Morgan,+.88,70.79,71.67
39,15,01175,Jim Carter,+.86,70.77,71.63
40,16,01549,Mike Hulbert,+.85,70.98,71.83
41,16,01666,Bernhard Langer,+.83,71.73,72.56
42,16,01958,Dan Pohl,+.82,71.52,72.34
43,16,01098,Jay Don Blake,+.81,70.99,71.80
44,16,01475,Donnie Hammond,+.80,70.89,71.69
44,16,02321,Fuzzy Zoeller,+.80,71.32,72.12
46,16,02256,Tom Watson,+.79,71.59,72.38
47,16,01928,Corey Pavin,+.78,71.07,71.85
48,16,01725,John Mahaffey,+.77,71.06,71.83
48,16,02223,Bob Tway,+.77,71.37,72.14
50,16,02104,Jeff Sluman,+.76,71.51,72.27
51,16,01435,Wayne Grady,+.74,71.37,72.11
52,16,01313,Steve Elkington,+.73,70.89,71.62
52,16,01945,Kenny Perry,+.73,71.47,72.20
54,16,01864,Larry Nelson,+.72,71.71,72.43
55,16,01129,Bill Britton,+.71,70.78,71.49
56,17,01133,Billy Ray Brown,+.67,70.94,71.61
56,17,01346,Ed Fiori,+.67,71.09,71.76
56,17,02067,Ted Schulz,+.67,71.00,71.67
59,19,02099,Scott Simpson,+.64,71.68,72.32
60,19,01306,David Edwards,+.62,71.13,71.75
61,19,01736,Roger Maltbie,+.60,71.29,71.89
61,19,02101,Joey Sindelar,+.60,71.29,71.89
63,19,01329,Brad Faxon,+.59,71.59,72.18
64,20,01143,Brad Bryant,+.58,71.02,71.60
64,20,02303,Robert Wrenn,+.58,71.17,71.75
66,20,01331,Rick Fehr,+.57,70.64,71.21
66,20,01639,Kenny Knox,+.57,71.15,71.72
68,20,01717,Sandy Lyle,+.56,71.89,72.45
68,20,01797,Rocco Mediate,+.56,71.24,71.80
68,20,01891,David Ogrin,+.56,71.26,71.82
71,20,01284,Mike Donald,+.55,71.20,71.75
72,20,02118,J.C. Snead,+.54,70.95,71.49
73,20,01943,Chris Perry,+.51,71.17,71.68
74,21,01035,Tommy Armour III,+.50,71.21,71.71
74,21,01049,Ian Baker-Finch,+.50,71.25,71.75
74,21,01390,Buddy Gardner,+.50,71.15,71.65
77,22,01975,Tom Purtzer,+.48,71.70,72.18
77,22,02186,Brian Tennyson,+.48,71.24,71.72
79,23,01014,Fulton Allem,+.44,71.33,71.77
79,23,02167,Mike Sullivan,+.44,71.62,72.06
81,26,01557,John Inman,+.40,71.19,71.59
82,26,02267,D.A. Weibring,+.38,71.70,72.08
83,26,01559,Hale Irwin,+.37,71.54,71.91
84,26,01468,Gary Hallberg,+.36,71.47,71.83
84,26,02246,Duffy Waldorf,+.36,71.25,71.61
86,28,01444,Ken Green,+.32,71.78,72.10
