RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,1,37189,Harold Varner III,2.712,306.432,113.005,199,0227003242
2,-1,35891,Cameron Smith,2.705,303.789,112.305,181,0211803415
2,1,25493,Nick Taylor,2.705,298.074,110.178,169,0220603218
4,0,49960,Sepp Straka,2.701,306.672,113.521,204,0195903153
5,0,33410,Andrew Landry,2.699,293.559,108.782,221,0223403180
6,1,10809,Jim Furyk,2.694,283.540,105.245,127,0224803215
6,0,29221,Webb Simpson,2.694,299.323,111.118,182,0227203367
8,0,28775,Nate Lashley,2.691,294.720,109.533,133,0228103075
9,0,35450,Patrick Cantlay,2.690,311.467,115.787,140,0228203255
10,0,28679,Fabián Gómez,2.689,291.332,108.356,131,0204303099
10,0,33449,Zack Sucher,2.689,301.521,112.120,81,0212803057
12,0,32139,Danny Willett,2.687,303.196,112.836,101,0219603267
13,0,26476,Chez Reavie,2.682,289.255,107.834,203,0207403297
14,0,30925,Dustin Johnson,2.677,320.088,119.564,148,0187503159
14,1,26329,Louis Oosthuizen,2.677,300.901,112.413,138,0205303297
14,1,39324,J.J. Spaun,2.677,299.292,111.805,158,0219303229
17,0,46435,Austin Cook,2.676,296.480,110.779,182,0209103079
17,0,23623,Bo Van Pelt,2.676,295.100,110.273,130,0233803359
19,0,35461,Beau Hossler,2.674,307.317,114.932,204,0211903138
20,0,26758,David Hearn,2.673,281.402,105.260,125,0225503245
20,0,34098,Russell Henley,2.673,293.663,109.866,216,0211303194
20,0,27974,Sung Kang,2.673,306.258,114.578,192,0222103219
23,0,31560,Brian Stuard,2.672,281.152,105.239,230,0218103135
24,0,34563,Chesson Hadley,2.671,301.419,112.858,136,0208203258
24,0,27644,Brian Harman,2.671,293.354,109.811,283,0208803313
24,0,47128,Richy Werenski,2.671,298.140,111.621,180,0238603248
27,0,25349,Tim Wilkinson,2.670,285.257,106.852,98,0235303253
28,0,29268,Bronson Burgoon,2.669,297.375,111.401,143,0213703238
28,0,26499,Rafa Cabrera Bello,2.669,293.463,109.940,156,0209703198
30,0,28237,Rory McIlroy,2.668,317.179,118.884,189,0211903330
30,0,25818,Scott Piercy,2.668,297.757,111.584,155,0136203198
32,0,25364,Paul Casey,2.667,310.324,116.353,155,0190603252
32,0,24502,Adam Scott,2.667,315.292,118.229,114,0225603115
32,0,46441,Robby Shelton,2.667,295.205,110.694,215,0223003123
35,0,33948,Byeong Hun An,2.666,303.100,113.683,224,0225703262
35,0,19803,Ryan Armour,2.666,282.873,106.104,168,0224003151
37,0,33120,Mark Anderson,2.665,293.497,110.114,103,0220503199
38,0,32448,James Hahn,2.664,297.596,111.691,107,0229603049
39,1,35449,Adam Long,2.663,294.292,110.518,254,0221103118
39,1,26596,Ryan Moore,2.663,290.092,108.935,138,0216003164
41,3,23108,Matt Kuchar,2.660,289.943,108.983,162,0221203121
42,3,30911,Tommy Fleetwood,2.659,308.751,116.125,112,0218103220
42,3,34046,Jordan Spieth,2.659,303.216,114.050,151,0219703471
44,4,27649,Brandt Snedeker,2.658,289.206,108.789,187,0195803206
45,5,52375,Doug Ghim,2.657,295.402,111.183,87,0229603013
45,5,33399,Adam Hadwin,2.657,297.360,111.907,205,0212103141
45,-5,30927,Brendon Todd,2.657,285.110,107.289,285,0176003189
48,4,30944,Jason Kokrak,2.656,312.921,117.803,190,0222103235
49,-6,45526,Abraham Ancer,2.655,296.617,111.723,226,0208903418
49,-1,23320,Ryan Palmer,2.655,304.082,114.541,212,0223403420
51,2,34076,Joel Dahmen,2.654,296.690,111.790,223,0162903208
51,2,31420,Anirban Lahiri,2.654,295.271,111.263,67,0226203164
53,2,33141,Keegan Bradley,2.653,303.453,114.396,176,0222003042
53,2,29535,Brice Garnett,2.653,292.914,110.403,153,0216803026
53,2,29908,C.T. Pan,2.653,290.636,109.530,145,0219903261
56,3,28307,Matt Every,2.652,296.423,111.791,132,0203503111
56,-11,32839,Hideki Matsuyama,2.652,306.659,115.630,240,0217103254
56,3,30110,Kyle Stanley,2.652,289.473,109.150,161,0218503253
59,2,32791,K.H. Lee,2.651,298.913,112.739,208,0209903062
60,1,46717,Viktor Hovland,2.649,299.702,113.145,240,0228503360
61,2,19846,Brian Gay,2.648,289.192,109.209,207,0211603175
61,2,49964,Aaron Wise,2.648,304.686,115.049,109,0218103132
63,2,45609,Tyler Duncan,2.646,289.509,109.423,246,0197903538
64,4,40058,Zac Blair,2.645,285.666,107.997,169,0215603326
64,4,48887,Matt Wallace,2.645,304.680,115.200,141,0210503200
66,4,37455,Si Woo Kim,2.644,300.010,113.470,235,0214403052
67,4,34021,Bud Cauley,2.643,294.031,111.250,203,0208403044
67,4,27936,Martin Laird,2.643,302.188,114.323,97,0215403089
67,4,32640,Troy Merritt,2.643,294.434,111.399,185,0220603224
70,-5,50525,Collin Morikawa,2.642,300.018,113.565,244,0212003023
70,4,22056,Cameron Percy,2.642,290.564,109.989,105,0181303233
72,3,29970,Dylan Frittelli,2.641,299.584,113.437,232,0224103163
72,3,33490,Bo Hoag,2.641,294.167,111.402,164,0204103428
74,6,29926,Danny Lee,2.640,302.035,114.400,209,0134803320
75,-10,34363,Tyrrell Hatton,2.639,302.595,114.680,145,0196503249
75,0,46970,Jon Rahm,2.639,312.226,118.332,209,0220303277
75,6,27330,Josh Teater,2.639,294.989,111.780,100,0230703241
75,6,33448,Justin Thomas,2.639,306.714,116.232,168,0132903252
75,6,23788,D.J. Trahan,2.639,296.802,112.481,98,0227703165
80,-5,26851,Marc Leishman,2.638,303.888,115.217,142,0222403383
