RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL RIGHT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01024,Billy Andrade,.00,0,16,E
1,0,22051,Ben Ferguson,.00,0,12,E
1,0,01388,Robert Gamez,.00,0,4,E
1,0,24604,Hunter Haas,.00,0,6,E
1,0,12782,Tim Herron,.00,0,4,E
1,0,08545,Glen Hnatiuk,.00,0,33,E
1,0,01599,Steve Jones,.00,0,16,E
1,0,07547,Craig Kanada,.00,0,17,E
1,0,22122,Andrew McLardy,.00,0,20,E
1,0,06140,Sean Murphy,.00,0,8,E
1,0,08535,Gary Nicklaus,.00,0,19,E
1,0,01927,Dennis Paulson,.00,0,3,E
1,0,02279,Mark Wiebe,.00,0,3,E
14,0,08633,Per-Ulrik Johansson,2.94,1,34,E
15,0,01487,Jeff Hart,3.13,1,32,E
16,0,08881,Tripp Isenhour,4.55,1,22,-1.00
16,0,20566,Kaname Yokoo,4.55,2,44,E
18,0,01553,John Huston,5.26,1,19,E
19,0,01938,David Peoples,5.36,3,56,+0.67
20,0,20098,Stuart Appleby,5.45,3,55,-0.33
20,0,06012,Greg Kraft,5.45,3,55,+0.67
22,0,20099,Doug Barron,5.88,1,17,-1.00
23,0,07867,Woody Austin,6.67,2,30,E
23,0,20043,Edward Fryatt,6.67,1,15,E
25,0,01381,Fred Funk,6.82,3,44,E
25,0,11011,Mike Sposa,6.82,3,44,-0.67
27,0,10885,Robert Allenby,6.90,4,58,-0.50
28,0,01139,Olin Browne,7.14,3,42,E
29,0,19881,Robert Damron,7.50,3,40,+0.33
30,0,01175,Jim Carter,7.69,4,52,-0.25
30,0,02239,Scott Verplank,7.69,5,65,+0.20
32,0,02110,Jerry Smith,8.11,3,37,-0.33
33,0,10733,Kent Jones,8.33,1,12,E
33,0,12705,Cliff Kresge,8.33,1,12,E
33,0,01928,Corey Pavin,8.33,1,12,E
33,0,10423,Mike Weir,8.33,4,48,-0.25
37,0,12388,Michael Clark II,8.57,3,35,+0.33
38,0,01098,Jay Don Blake,8.62,5,58,-0.20
39,0,01926,Steve Pate,8.70,2,23,-0.50
40,0,01723,Andrew Magee,8.89,4,45,-0.25
41,0,23621,Rory Sabbatini,8.93,5,56,E
42,0,21633,Steve Allan,9.09,1,11,E
42,0,08931,Glen Day,9.09,5,55,-0.20
42,0,08063,Kelly Grunewald,9.09,1,11,E
42,0,10962,Bradley Hughes,9.09,3,33,-0.33
42,0,01771,Blaine McCallister,9.09,4,44,-0.25
47,0,10565,Ian Leggatt,9.38,3,32,-0.33
47,0,21949,Joe Ogilvie,9.38,3,32,+0.33
49,0,06809,Bob Burns,9.52,4,42,E
49,0,01203,Russ Cochran,9.52,4,42,E
49,0,20574,Mathew Goggin,9.52,4,42,E
49,0,06591,Rocky Walcher,9.52,2,21,E
53,0,01226,Fred Couples,9.68,3,31,+1.00
53,0,10425,Jay Williamson,9.68,3,31,E
55,0,01666,Bernhard Langer,10.00,5,50,-0.20
55,0,06350,Bob May,10.00,2,20,E
57,0,02223,Bob Tway,10.17,6,59,E
58,0,02002,John Riegger,10.42,5,48,+0.40
59,0,01200,Keith Clearwater,11.11,1,9,E
59,0,21584,Richie Coughlan,11.11,1,9,+1.00
59,0,01619,Skip Kendall,11.11,6,54,E
59,0,06613,Tommy Tolles,11.11,1,9,-1.00
63,0,01766,Billy Mayfair,11.27,8,71,E
64,0,12760,Danny Ellis,11.36,5,44,-0.20
64,0,06515,Shaun Micheel,11.36,5,44,E
66,0,01307,Joel Edwards,11.63,5,43,-0.60
67,0,01418,Bill Glasson,11.76,4,34,-0.25
67,0,02246,Duffy Waldorf,11.76,2,17,+0.50
69,0,12652,Cameron Beckman,11.90,5,42,E
70,0,02099,Scott Simpson,12.00,3,25,E
71,0,06621,Joe Durant,12.20,5,41,E
72,0,19972,José Coceres,12.28,7,57,E
72,0,06617,Brian Henninger,12.28,7,57,-0.29
74,0,07457,Steve Flesch,12.50,7,56,-0.14
