RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,33141,Keegan Bradley,13.24,8765.47,662
2,0,48084,Wesley Bryan,13.12,5052.70,385
3,0,51890,Greyson Sigg,13.03,8588.59,659
4,0,26476,Chez Reavie,13.01,7426.02,571
5,0,45609,Tyler Duncan,12.76,7398.19,580
6,0,32366,Kevin Chappell,12.45,5352.73,430
7,0,52666,Sami Valimaki,12.44,6381.50,513
8,0,47995,Davis Riley,12.43,8739.31,703
9,0,29221,Webb Simpson,12.35,5742.37,465
10,0,59143,Mac Meissner,12.34,7242.32,587
11,0,23108,Matt Kuchar,12.32,8228.60,668
12,0,60767,Blaine Hale Jr.,12.25,4948.82,404
13,0,32102,Rickie Fowler,12.24,7195.62,588
14,0,29535,Brice Garnett,12.23,5126.05,419
15,0,34021,Bud Cauley,12.17,6219.45,511
16,0,34587,Chan Kim,12.16,7478.41,615
17,0,24024,Zach Johnson,12.13,5544.05,457
18,0,32640,Troy Merritt,12.10,7549.13,624
19,0,28089,Jason Day,12.06,7031.22,583
20,0,33948,Byeong Hun An,12.05,7546.39,626
21,0,36326,David Lipsky,12.04,6656.40,553
21,0,49960,Sepp Straka,12.04,7624.34,633
23,0,27649,Brandt Snedeker,11.97,6882.66,575
24,0,27330,Josh Teater,11.93,4880.88,409
25,0,36799,Stephan Jaeger,11.84,9307.45,786
26,0,47806,Raul Pereda,11.82,4596.90,389
27,0,55708,Hayden Buckley,11.81,7180.91,608
28,0,30926,Chris Kirk,11.78,8260.77,701
29,0,55893,Sam Stevens,11.69,9001.24,770
30,0,39975,Michael Kim,11.67,7246.10,621
31,0,27644,Brian Harman,11.65,10191.57,875
32,0,51287,Ryo Hisatsune,11.55,7692.74,666
33,0,40162,Justin Lower,11.54,8409.55,729
34,0,22405,Justin Rose,11.52,5816.01,505
35,0,52375,Doug Ghim,11.48,8367.63,729
36,0,39546,Keith Mitchell,11.46,8688.46,758
37,0,47591,Eric Cole,11.37,10497.81,923
38,0,54591,Ben Griffin,11.33,8520.95,752
38,0,29908,C.T. Pan,11.33,6004.84,530
40,0,45157,Cam Davis,11.25,7190.90,639
41,0,52955,Ludvig Ãberg,11.24,6679.08,594
42,0,35461,Beau Hossler,11.21,8970.30,800
43,0,46717,Viktor Hovland,11.20,5934.66,530
43,0,58168,Davis Thompson,11.20,7882.66,704
45,0,32367,Jorge Campillo,11.05,3966.69,359
46,0,57362,Austin Eckroat,11.04,8400.22,761
46,0,27214,Kevin Streelman,11.04,6027.07,546
48,0,57975,Harry Hall,11.02,7127.32,647
49,0,46113,Ryan McCormick,11.01,4713.75,428
50,0,57900,Chandler Phillips,10.99,8155.97,742
51,0,50525,Collin Morikawa,10.98,6689.11,609
52,0,47983,Chad Ramey,10.97,6979.89,636
53,0,50095,Austin Smotherman,10.95,4205.71,384
54,0,37455,Si Woo Kim,10.93,9031.82,826
55,0,29420,Billy Horschel,10.91,7616.73,698
55,0,48887,Matt Wallace,10.91,5627.49,516
57,0,29478,Kevin Kisner,10.90,5209.74,478
57,0,28775,Nate Lashley,10.90,6693.89,614
59,0,12716,Charley Hoffman,10.88,6072.07,558
60,0,51349,Nico Echavarria,10.87,7121.70,655
60,0,56149,Wilson Furr,10.87,4716.46,434
60,0,32757,Patton Kizzire,10.87,5555.03,511
63,0,48867,Matti Schmid,10.85,5731.20,528
64,0,50484,Hayden Springer,10.83,6063.56,560
65,0,30911,Tommy Fleetwood,10.81,6302.77,583
66,0,55454,Carl Yuan,10.80,5592.64,518
67,0,47504,Sam Burns,10.79,6689.84,620
68,0,31646,Emiliano Grillo,10.76,7758.58,721
69,0,45522,Christiaan Bezuidenhout,10.73,7531.97,702
69,0,35506,Mackenzie Hughes,10.73,9032.40,842
69,0,49771,J.T. Poston,10.73,8501.44,792
72,0,23320,Ryan Palmer,10.70,4163.91,389
72,0,46441,Robby Shelton,10.70,7169.29,670
74,0,50497,Adrien Dumont de Chassart,10.65,6051.83,568
75,0,51997,Andrew Novak,10.64,7552.14,710
