RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,33948,Byeong Hun An,2.579,307.4,119.203,259,0173903059
2,0,48084,Wesley Bryan,2.570,291.8,113.532,150,0210602869
3,0,34587,Chan Kim,2.552,291.0,114.037,242,0210802852
4,0,33141,Keegan Bradley,2.551,294.1,115.301,286,0215602956
5,0,59143,Mac Meissner,2.549,289.9,113.728,221,0209802870
6,0,51890,Greyson Sigg,2.545,281.6,110.657,273,0215602830
7,0,50095,Austin Smotherman,2.537,287.5,113.349,158,0219102782
8,0,45609,Tyler Duncan,2.536,284.4,112.169,205,0217002903
9,0,35461,Beau Hossler,2.535,289.9,114.333,314,0215702836
10,0,24024,Zach Johnson,2.534,274.5,108.339,196,0224402822
10,0,23108,Matt Kuchar,2.534,273.4,107.898,260,0202402843
12,0,27330,Josh Teater,2.532,285.4,112.741,150,0203802834
13,0,60767,Blaine Hale Jr.,2.531,295.7,116.811,161,0191402946
14,0,26476,Chez Reavie,2.528,272.9,107.930,234,0222603088
15,0,32640,Troy Merritt,2.526,280.4,111.030,246,0224002859
15,0,58168,Davis Thompson,2.526,296.0,117.206,283,0203503051
17,0,23320,Ryan Palmer,2.520,283.0,112.295,147,0224402880
18,0,34021,Bud Cauley,2.519,283.5,112.545,219,0222902806
19,0,39975,Michael Kim,2.518,290.1,115.202,261,0209802776
20,0,32366,Kevin Chappell,2.517,291.3,115.759,171,0207602896
21,0,49960,Sepp Straka,2.516,279.8,111.237,259,0202303106
22,0,52666,Sami Valimaki,2.515,289.0,114.898,201,0220002820
23,0,51287,Ryo Hisatsune,2.514,283.6,112.787,241,0182902853
23,0,55893,Sam Stevens,2.514,297.7,118.390,293,0207002876
25,0,52513,Carson Young,2.512,281.1,111.890,295,0214602875
26,0,34374,Erik Barnes,2.511,289.3,115.209,185,0205402840
26,0,55708,Hayden Buckley,2.511,286.2,113.976,254,0208402923
28,0,34563,Chesson Hadley,2.509,288.1,114.800,254,0211302874
29,0,29535,Brice Garnett,2.507,273.3,109.015,180,0178802884
29,0,39546,Keith Mitchell,2.507,298.9,119.199,282,0222602842
31,0,47806,Raul Pereda,2.506,275.1,109.770,151,0188702789
32,0,57900,Chandler Phillips,2.503,280.8,112.212,289,0200902876
32,0,33486,Roger Sloan,2.503,283.1,113.113,195,0216602749
34,0,34255,Joseph Bramlett,2.501,301.9,120.708,267,0213602785
35,0,27649,Brandt Snedeker,2.500,270.5,108.195,208,0216502799
36,0,27644,Brian Harman,2.499,275.8,110.381,327,0213303133
36,0,12716,Charley Hoffman,2.499,288.2,115.309,207,0212202792
38,0,52375,Doug Ghim,2.498,280.6,112.338,276,0202602928
38,0,46717,Viktor Hovland,2.498,289.5,115.905,189,0216003105
38,0,40250,Taylor Pendrith,2.498,300.0,120.125,294,0213302963
38,0,47995,Davis Riley,2.498,290.3,116.217,268,0212902934
38,0,27214,Kevin Streelman,2.498,284.4,113.846,222,0197702915
43,0,56149,Wilson Furr,2.497,301.6,120.777,179,0201402881
44,0,59836,Pierceson Coody,2.496,298.6,119.639,237,0192702812
44,0,47988,Nick Hardy,2.496,292.1,117.034,307,0192202853
44,0,47983,Chad Ramey,2.496,283.4,113.562,278,0197202778
47,0,50188,S.H. Kim,2.495,293.9,117.824,306,0198502792
48,0,29420,Billy Horschel,2.494,284.8,114.200,255,0213503051
49,0,32367,Jorge Campillo,2.493,285.1,114.370,147,0216502764
49,0,52514,Trace Crowe,2.493,287.9,115.478,245,0208702768
51,0,48867,Matti Schmid,2.492,296.1,118.798,223,0207302875
52,0,47591,Eric Cole,2.491,286.0,114.801,339,0193102938
52,0,36326,David Lipsky,2.491,274.8,110.316,234,0183402803
52,0,51997,Andrew Novak,2.491,286.2,114.900,243,0176602799
55,0,48887,Matt Wallace,2.490,289.2,116.115,209,0208702833
56,0,52955,Ludvig Ãberg,2.489,296.4,119.088,241,0213002937
57,0,36799,Stephan Jaeger,2.487,295.0,118.588,267,0208102953
57,0,40162,Justin Lower,2.487,281.4,113.173,319,0203602751
57,0,29908,C.T. Pan,2.487,274.6,110.428,223,0215002753
57,0,55454,Carl Yuan,2.487,292.8,117.752,173,0201502915
61,0,29221,Webb Simpson,2.486,282.6,113.701,193,0220702887
61,0,34046,Jordan Spieth,2.486,291.8,117.378,249,0220102842
63,0,57362,Austin Eckroat,2.485,286.1,115.124,307,0177303923
63,0,32102,Rickie Fowler,2.485,284.0,114.288,241,0191103033
63,0,54421,Garrick Higgo,2.485,296.5,119.314,263,0195603003
63,0,39324,J.J. Spaun,2.485,287.3,115.613,283,0193302821
67,0,34076,Joel Dahmen,2.483,275.7,111.014,270,0203102812
67,0,30926,Chris Kirk,2.483,284.8,114.663,288,0189303154
67,0,50493,Justin Suh,2.483,287.3,115.715,260,0209902807
70,0,45157,Cam Davis,2.482,288.5,116.246,252,0208903208
70,0,60067,Joe Highsmith,2.482,290.7,117.118,213,0205602831
70,0,46113,Ryan McCormick,2.482,294.7,118.775,162,0197002828
73,0,33204,Shane Lowry,2.481,285.1,114.881,267,0211603036
73,0,33448,Justin Thomas,2.481,292.0,117.662,201,0189303061
75,0,37378,Min Woo Lee,2.479,308.1,124.273,208,0219402793
76,0,54783,Dylan Wu,2.477,282.1,113.901,277,0212002873
77,0,28237,Rory McIlroy,2.476,306.1,123.653,184,0193102817
78,0,33408,Tyson Alexander,2.474,291.6,117.856,228,0210702843
78,0,51349,Nico Echavarria,2.474,281.5,113.766,284,0209402919
78,0,57975,Harry Hall,2.474,287.7,116.305,241,0198402882
