RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,311.6,102512.0,329
2,0,37378,Min Woo Lee,308.1,128166.9,416
3,0,33948,Byeong Hun An,307.4,171825.9,559
4,0,28237,Rory McIlroy,306.1,104394.4,341
5,0,47663,Kevin Dougherty,303.0,128461.9,424
6,0,34255,Joseph Bramlett,301.9,167546.5,555
7,0,31323,Gary Woodland,301.7,144801.9,480
8,0,56149,Wilson Furr,301.6,118235.9,392
9,0,50484,Hayden Springer,300.7,134429.7,447
10,0,40250,Taylor Pendrith,300.0,202814.7,676
11,0,59095,Chris Gotterup,299.1,150434.0,503
12,0,39546,Keith Mitchell,298.9,188898.8,632
13,0,59836,Pierceson Coody,298.6,151702.2,508
14,0,51766,Wyndham Clark,298.5,144153.7,483
15,0,37212,Paul Barjon,297.7,100033.3,336
15,0,55893,Sam Stevens,297.7,194685.6,654
17,0,27064,Jhonattan Vegas,297.0,130689.2,440
18,0,57366,Cameron Young,296.7,182169.6,614
19,0,52453,Nicolai HÃ¸jgaard,296.6,97293.6,328
20,0,54421,Garrick Higgo,296.5,161905.7,546
21,0,52955,Ludvig Ãberg,296.4,155601.8,525
22,0,51977,Max Greyserman,296.3,125638.7,424
23,0,48867,Matti Schmid,296.1,129395.2,437
24,0,58168,Davis Thompson,296.0,178496.1,603
25,0,60767,Blaine Hale Jr.,295.7,99045.5,335
26,0,51696,Rico Hoey,295.3,142913.9,484
27,0,36799,Stephan Jaeger,295.0,210019.0,712
28,0,51070,Vincent Norrman,294.9,110583.8,375
29,0,46113,Ryan McCormick,294.7,97561.2,331
29,0,38991,Alejandro Tosti,294.7,147924.7,502
31,0,28420,Ryan Brehm,294.6,110774.8,376
31,0,29936,Ryan Fox,294.6,154056.9,523
33,0,32333,Kevin Tway,294.5,101587.1,345
34,0,33141,Keegan Bradley,294.1,176766.3,601
35,0,50188,S.H. Kim,293.9,196357.9,668
36,0,45242,Kevin Yu,293.7,146238.4,498
37,0,47504,Sam Burns,293.6,159734.8,544
37,0,29725,Tony Finau,293.6,179070.7,610
39,0,33653,Thomas Detry,293.1,156796.8,535
40,0,55454,Carl Yuan,292.8,119183.5,407
41,0,54576,Patrick Fishburn,292.7,121771.1,416
42,0,59866,Nick Dunlap,292.4,155283.8,531
42,0,27129,Luke List,292.4,161106.4,551
44,0,47988,Nick Hardy,292.1,193975.0,664
45,0,33448,Justin Thomas,292.0,126999.7,435
46,0,48084,Wesley Bryan,291.8,99209.7,340
46,0,24502,Adam Scott,291.8,151137.5,518
46,0,34046,Jordan Spieth,291.8,157876.0,541
49,0,33408,Tyson Alexander,291.6,139375.9,478
50,0,32366,Kevin Chappell,291.3,106621.2,366
50,0,48117,Kurt Kitayama,291.3,127594.6,438
52,0,50497,Adrien Dumont de Chassart,291.1,148437.3,510
53,0,34587,Chan Kim,291.0,146975.5,505
54,0,48081,Xander Schauffele,290.9,132072.3,454
54,0,48699,Callum Tarren,290.9,130612.0,449
56,0,40006,Erik van Rooyen,290.8,175621.4,604
56,0,51894,Vince Whaley,290.8,121245.6,417
58,0,60067,Joe Highsmith,290.7,143598.3,494
59,0,47995,Davis Riley,290.3,177080.0,610
60,0,49947,Taylor Moore,290.2,212145.3,731
61,0,39975,Michael Kim,290.1,155788.1,537
62,0,35461,Beau Hossler,289.9,198266.8,684
62,0,59143,Mac Meissner,289.9,135387.9,467
64,0,28089,Jason Day,289.7,155284.6,536
65,0,46717,Viktor Hovland,289.5,141572.0,489
66,0,34374,Erik Barnes,289.3,111085.6,384
67,0,48887,Matt Wallace,289.2,134165.9,464
68,0,52666,Sami Valimaki,289.0,133805.1,463
69,0,33968,ThorbjÃ¸rn Olesen,288.7,76219.5,264
70,0,35450,Patrick Cantlay,288.5,154917.7,537
70,0,59442,Parker Coody,288.5,105578.1,366
70,0,45157,Cam Davis,288.5,166487.9,577
73,0,12716,Charley Hoffman,288.2,136305.4,473
74,0,34563,Chesson Hadley,288.1,154109.1,535
75,0,52215,Robert MacIntyre,288.0,155790.1,541
76,0,52514,Trace Crowe,287.9,156032.5,542
77,0,57975,Harry Hall,287.7,153070.3,532
78,0,32070,Rafael Campos,287.6,107556.3,374
79,0,50095,Austin Smotherman,287.5,100056.5,348
79,0,35617,Martin Trainer,287.5,98899.2,344
81,0,46046,Scottie Scheffler,287.3,171254.1,596
81,0,39324,J.J. Spaun,287.3,166941.9,581
81,0,50493,Justin Suh,287.3,151719.1,528
84,0,47483,Will Zalatoris,287.2,141015.8,491
85,0,60004,Jacob Bridgeman,287.1,144120.9,502
86,0,47420,Jake Knapp,286.8,180699.9,630
86,0,36699,Patrick Rodgers,286.8,239460.0,835
88,0,51997,Andrew Novak,286.2,168277.3,588
88,0,51634,Sahith Theegala,286.2,213470.7,746
90,0,55708,Hayden Buckley,286.1,151087.1,528
90,0,57362,Austin Eckroat,286.1,193980.8,678
90,0,36871,Matt NeSmith,286.1,147917.6,517
93,0,47591,Eric Cole,286.0,229961.0,804
94,0,34099,Harris English,285.6,175942.1,616
95,0,27139,David Skinns,285.5,135594.0,475
96,0,27330,Josh Teater,285.4,91910.1,322
97,0,35506,Mackenzie Hughes,285.3,215387.4,755
97,0,46340,Alex Smalley,285.3,128083.5,449
99,0,39977,Max Homa,285.2,144868.9,508
99,0,32757,Patton Kizzire,285.2,131181.9,460
101,0,56630,Akshay Bhatia,285.1,197592.9,693
101,0,32367,Jorge Campillo,285.1,82119.5,288
101,0,33204,Shane Lowry,285.1,172170.3,604
104,0,29420,Billy Horschel,284.8,168015.6,590
104,0,30926,Chris Kirk,284.8,180533.5,634
106,0,30911,Tommy Fleetwood,284.6,146012.4,513
107,0,45609,Tyler Duncan,284.4,139934.7,492
107,0,48153,Matthieu Pavon,284.4,148466.1,522
107,0,27214,Kevin Streelman,284.4,122878.6,432
110,0,46442,Maverick McNealy,284.2,176516.8,621
111,0,27349,Alex Noren,284.1,114227.3,402
112,0,32102,Rickie Fowler,284.0,151682.4,534
113,0,39997,Corey Conners,283.6,178973.4,631
113,0,51287,Ryo Hisatsune,283.6,155697.1,549
115,0,34021,Bud Cauley,283.5,122776.1,433
116,0,47983,Chad Ramey,283.4,159290.4,562
117,0,33486,Roger Sloan,283.1,144083.6,509
118,0,23320,Ryan Palmer,283.0,89716.3,317
118,0,22405,Justin Rose,283.0,128472.2,454
120,0,29221,Webb Simpson,282.6,102314.0,362
121,0,33399,Adam Hadwin,282.4,173411.6,614
122,0,54783,Dylan Wu,282.1,164187.4,582
123,0,40026,Daniel Berger,282.0,152587.0,541
124,0,35310,Lanto Griffin,281.9,127143.4,451
124,0,32839,Hideki Matsuyama,281.9,147434.1,523
124,0,48119,Ben Taylor,281.9,114179.9,405
127,0,54591,Ben Griffin,281.8,176422.3,626
127,0,39971,Sungjae Im,281.8,203453.4,722
129,0,34466,Peter Malnati,281.7,181105.4,643
130,0,51890,Greyson Sigg,281.6,160239.8,569
131,0,51349,Nico Echavarria,281.5,161273.7,573
132,0,40162,Justin Lower,281.4,180685.9,642
133,0,37275,Sam Ryder,281.1,149556.5,532
133,0,47347,Adam Schenk,281.1,191445.5,681
133,0,52513,Carson Young,281.1,174539.0,621
136,0,50525,Collin Morikawa,280.8,143750.4,512
136,0,57900,Chandler Phillips,280.8,183942.3,655
138,0,52375,Doug Ghim,280.6,182137.1,649
138,0,28252,Seamus Power,280.6,185211.3,660
140,0,32640,Troy Merritt,280.4,149458.3,533
141,0,54628,Lee Hodges,280.0,184786.1,660
141,0,32791,K.H. Lee,280.0,145031.0,518
143,0,49960,Sepp Straka,279.8,155303.3,555
144,0,48319,Tom Whitney,279.7,115782.5,414
145,0,36801,Mark Hubbard,279.3,212261.2,760
146,0,49771,J.T. Poston,279.0,201972.7,724
147,0,40098,Matt Fitzpatrick,278.8,145805.1,523
148,0,46414,Aaron Rai,278.6,190003.8,682
149,0,40115,Adam Svensson,277.8,233637.6,841
150,0,27936,Martin Laird,277.7,128588.1,463
151,0,35532,Tom Hoge,277.5,213146.1,768
151,0,30163,Henrik Norlander,277.5,107668.0,388
153,0,55789,Taylor Montgomery,277.0,90565.5,327
154,0,55182,Tom Kim,276.8,181035.0,654
155,0,47679,Victor Perez,276.1,120096.5,435
156,0,31646,Emiliano Grillo,276.0,185456.3,672
157,0,27644,Brian Harman,275.8,207125.2,751
158,0,34076,Joel Dahmen,275.7,180828.4,656
158,0,28775,Nate Lashley,275.7,147475.5,535
160,0,37455,Si Woo Kim,275.1,201682.4,733
160,0,47806,Raul Pereda,275.1,89403.8,325
162,0,36326,David Lipsky,274.8,128323.7,467
163,0,29908,C.T. Pan,274.6,127426.8,464
164,0,24024,Zach Johnson,274.5,111729.6,407
164,0,36884,Ben Kohles,274.5,156720.7,571
166,0,46441,Robby Shelton,274.4,152552.8,556
167,0,52374,Brandon Wu,274.1,158954.3,580
168,0,45522,Christiaan Bezuidenhout,273.5,156692.1,573
169,0,23108,Matt Kuchar,273.4,156380.6,572
169,0,39327,Ben Silverman,273.4,192495.8,704
171,0,29535,Brice Garnett,273.3,101124.8,370
171,0,47993,Denny McCarthy,273.3,192142.3,703
173,0,25493,Nick Taylor,273.2,178368.3,653
174,0,26476,Chez Reavie,272.9,128803.4,472
175,0,34098,Russell Henley,271.0,162877.6,601
176,0,27649,Brandt Snedeker,270.5,125245.9,463
177,0,29478,Kevin Kisner,270.1,104509.4,387
178,0,22371,Aaron Baddeley,269.9,127112.7,471
178,0,25900,Lucas Glover,269.9,177621.5,658
180,0,27770,Camilo Villegas,268.5,97207.1,362
181,0,40058,Zac Blair,267.1,203495.8,762
182,0,26596,Ryan Moore,265.1,148716.3,561
183,0,34256,Andrew Putnam,264.4,167372.3,633
183,0,30927,Brendon Todd,264.4,193525.9,732
