RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SPIN SPEED,TOTAL ATTEMPTS
1,0,46414,Aaron Rai,3115.4,2339661,751
2,0,29725,Tony Finau,3081.4,2098414,681
3,0,33653,Thomas Detry,3081.0,1885559,612
4,0,47347,Adam Schenk,3023.0,2469778,817
5,0,48153,Matthieu Pavon,2962.7,1662076,561
6,0,34099,Harris English,2943.8,1963502,667
7,0,47420,Jake Knapp,2931.3,2051886,700
8,0,51766,Wyndham Clark,2930.2,1544219,527
9,0,34256,Andrew Putnam,2921.8,2118318,725
10,0,33204,Shane Lowry,2909.3,1882329,647
11,0,40115,Adam Svensson,2908.1,2800497,963
12,0,59866,Nick Dunlap,2905.7,1685277,580
13,0,31323,Gary Woodland,2885.4,1575440,546
14,0,24502,Adam Scott,2875.7,1782934,620
15,0,40058,Zac Blair,2867.1,2353885,821
16,0,36801,Mark Hubbard,2864.5,2417610,844
17,0,39997,Corey Conners,2862.3,2138113,747
18,0,39971,Sungjae Im,2851.7,2258556,792
19,0,22405,Justin Rose,2846.5,1437507,505
20,0,39977,Max Homa,2830.4,1686906,596
21,0,22371,Aaron Baddeley,2822.6,1628643,577
22,0,35506,Mackenzie Hughes,2809.0,2365171,842
23,0,37275,Sam Ryder,2803.5,1771784,632
24,0,30911,Tommy Fleetwood,2791.7,1627566,583
25,0,32102,Rickie Fowler,2777.8,1633355,588
26,0,35450,Patrick Cantlay,2776.6,1621510,584
27,0,47483,Will Zalatoris,2775.0,1490149,537
28,0,33399,Adam Hadwin,2768.6,1937993,700
29,0,34098,Russell Henley,2764.2,1874109,678
30,0,28252,Seamus Power,2764.0,2095136,758
31,0,57366,Cameron Young,2763.4,1942664,703
32,0,45157,Cam Davis,2762.3,1765110,639
33,0,37378,Min Woo Lee,2755.7,1292423,469
34,0,48081,Xander Schauffele,2755.4,1465889,532
35,0,32333,Kevin Tway,2753.6,1126213,409
36,0,33486,Roger Sloan,2753.0,1671077,607
37,0,34466,Peter Malnati,2750.8,2052093,746
38,0,52215,Robert MacIntyre,2746.4,1686277,614
39,0,40250,Taylor Pendrith,2740.2,2118180,773
40,0,29221,Webb Simpson,2739.2,1273749,465
41,0,50493,Justin Suh,2738.5,1615715,590
42,0,25900,Lucas Glover,2736.5,2115278,773
43,0,46046,Scottie Scheffler,2732.4,1754223,642
44,0,59095,Chris Gotterup,2729.7,1667857,611
45,0,34046,Jordan Spieth,2724.5,1760034,646
46,0,27349,Alex Noren,2714.0,1329879,490
47,0,32367,Jorge Campillo,2709.6,972744,359
48,0,47504,Sam Burns,2707.4,1678578,620
49,0,39327,Ben Silverman,2705.0,2164006,800
50,0,30927,Brendon Todd,2700.8,2311924,856
51,0,47679,Victor Perez,2698.4,1413967,524
52,0,32839,Hideki Matsuyama,2689.3,1643157,611
53,0,40098,Matt Fitzpatrick,2688.3,1618332,602
54,0,56630,Akshay Bhatia,2686.7,2211191,823
55,0,52374,Brandon Wu,2686.6,1738259,647
56,0,48867,Matti Schmid,2684.2,1417232,528
57,0,52955,Ludvig Ãberg,2683.7,1594140,594
58,0,29420,Billy Horschel,2674.0,1866420,698
59,0,36871,Matt NeSmith,2672.0,1571142,588
60,0,52514,Trace Crowe,2661.3,1604790,603
61,0,29478,Kevin Kisner,2660.5,1271698,478
62,0,52372,Cameron Champ,2660.3,1002939,377
63,0,49947,Taylor Moore,2658.8,2196169,826
64,0,23320,Ryan Palmer,2658.4,1034134,389
65,0,54576,Patrick Fishburn,2654.2,1319160,497
66,0,38991,Alejandro Tosti,2653.2,1586618,598
67,0,27139,David Skinns,2652.8,1551911,585
68,0,31646,Emiliano Grillo,2649.1,1910032,721
69,0,28089,Jason Day,2648.0,1543788,583
70,0,47988,Nick Hardy,2643.0,2029825,768
71,0,33141,Keegan Bradley,2641.7,1748822,662
72,0,50484,Hayden Springer,2641.5,1479249,560
73,0,33968,ThorbjÃ¸rn Olesen,2638.1,902221,342
74,0,24024,Zach Johnson,2634.6,1204001,457
75,0,54628,Lee Hodges,2634.3,1991504,756
76,0,47995,Davis Riley,2627.2,1846944,703
77,0,48699,Callum Tarren,2625.2,1454376,554
78,0,50497,Adrien Dumont de Chassart,2615.9,1485852,568
79,0,47993,Denny McCarthy,2613.9,2054493,786
80,0,27129,Luke List,2612.5,1575349,603
81,0,55789,Taylor Montgomery,2605.3,984793,378
82,0,37455,Si Woo Kim,2604.6,2151375,826
83,0,55182,Tom Kim,2593.5,1885488,727
84,0,48117,Kurt Kitayama,2592.9,1257580,485
84,0,50525,Collin Morikawa,2592.9,1579093,609
86,0,54783,Dylan Wu,2589.9,1737798,671
87,0,27649,Brandt Snedeker,2589.8,1489140,575
88,0,60067,Joe Highsmith,2588.1,1521802,588
89,0,33408,Tyson Alexander,2586.4,1481996,573
89,0,51696,Rico Hoey,2586.4,1520825,588
91,0,35310,Lanto Griffin,2584.6,1328485,514
92,0,27936,Martin Laird,2584.5,1400810,542
93,0,54591,Ben Griffin,2580.7,1940697,752
94,0,47591,Eric Cole,2577.3,2378833,923
95,0,54421,Garrick Higgo,2574.8,1578369,613
96,0,45242,Kevin Yu,2573.6,1569920,610
97,0,46442,Maverick McNealy,2572.3,1867502,726
98,0,59442,Parker Coody,2570.9,1218606,474
99,0,55708,Hayden Buckley,2566.5,1560460,608
100,0,36884,Ben Kohles,2557.1,1718364,672
101,0,45522,Christiaan Bezuidenhout,2547.0,1787980,702
102,0,47663,Kevin Dougherty,2542.4,1309345,515
103,0,28420,Ryan Brehm,2540.4,1163501,458
104,0,25493,Nick Taylor,2535.5,1876284,740
105,0,51070,Vincent Norrman,2533.0,1104400,436
106,0,27644,Brian Harman,2531.2,2214821,875
107,0,57362,Austin Eckroat,2530.6,1925806,761
108,0,35617,Martin Trainer,2527.0,962804,381
109,0,36699,Patrick Rodgers,2526.7,2377653,941
110,0,33448,Justin Thomas,2525.7,1262828,500
111,0,34255,Joseph Bramlett,2524.8,1620936,642
112,0,30926,Chris Kirk,2522.2,1768086,701
113,0,27064,Jhonattan Vegas,2520.2,1290344,512
114,0,49771,J.T. Poston,2515.8,1992499,792
115,0,46717,Viktor Hovland,2512.3,1331499,530
116,0,51634,Sahith Theegala,2510.5,2071151,825
117,0,52453,Nicolai HÃ¸jgaard,2507.1,990310,395
118,0,39546,Keith Mitchell,2503.8,1897870,758
119,0,51894,Vince Whaley,2488.8,1358891,546
120,0,36799,Stephan Jaeger,2485.9,1953939,786
121,0,26476,Chez Reavie,2483.8,1418232,571
122,0,50188,S.H. Kim,2478.9,1960809,791
123,0,52666,Sami Valimaki,2470.6,1267420,513
124,0,39324,J.J. Spaun,2470.5,1702143,689
125,0,28237,Rory McIlroy,2465.9,1035693,420
126,0,32640,Troy Merritt,2464.5,1537874,624
127,0,30163,Henrik Norlander,2459.3,1030435,419
128,0,58168,Davis Thompson,2458.9,1731094,704
129,0,47983,Chad Ramey,2456.0,1562011,636
130,0,59836,Pierceson Coody,2455.4,1517466,618
131,0,51349,Nico Echavarria,2451.3,1605592,655
132,0,57900,Chandler Phillips,2447.7,1816191,742
133,0,56149,Wilson Furr,2441.6,1059658,434
134,0,40026,Daniel Berger,2439.3,1451371,595
135,0,27330,Josh Teater,2437.1,996769,409
136,0,59143,Mac Meissner,2436.3,1430123,587
137,0,60004,Jacob Bridgeman,2436.0,1429940,587
138,0,57975,Harry Hall,2434.8,1575311,647
139,0,35532,Tom Hoge,2432.7,2038639,838
140,0,27214,Kevin Streelman,2428.3,1325837,546
141,0,29936,Ryan Fox,2423.1,1473220,608
142,0,49960,Sepp Straka,2421.3,1532664,633
143,0,33948,Byeong Hun An,2420.3,1515102,626
144,0,48119,Ben Taylor,2411.0,1142816,474
145,0,60767,Blaine Hale Jr.,2402.0,970424,404
146,0,32366,Kevin Chappell,2398.5,1031369,430
147,0,37212,Paul Barjon,2398.4,952178,397
148,0,32757,Patton Kizzire,2397.9,1225348,511
149,0,51977,Max Greyserman,2389.5,1233005,516
150,0,34374,Erik Barnes,2386.8,1050202,440
151,0,35461,Beau Hossler,2385.3,1908222,800
152,0,40006,Erik van Rooyen,2379.6,1615760,679
153,0,32070,Rafael Campos,2373.4,1051417,443
154,0,12716,Charley Hoffman,2370.4,1322697,558
155,0,46113,Ryan McCormick,2359.8,1010004,428
156,0,52513,Carson Young,2359.7,1665976,706
157,0,55454,Carl Yuan,2353.2,1218974,518
158,0,26596,Ryan Moore,2349.9,1572057,669
159,0,46441,Robby Shelton,2342.9,1569729,670
160,0,34021,Bud Cauley,2341.1,1196283,511
161,0,55893,Sam Stevens,2335.4,1798282,770
162,0,48887,Matt Wallace,2321.1,1197701,516
163,0,51890,Greyson Sigg,2319.2,1528338,659
164,0,28775,Nate Lashley,2318.2,1423398,614
165,0,48319,Tom Whitney,2317.9,1219191,526
166,0,36326,David Lipsky,2315.4,1280406,553
167,0,47806,Raul Pereda,2313.6,900000,389
168,0,51997,Andrew Novak,2309.9,1640023,710
169,0,34587,Chan Kim,2307.0,1418826,615
170,0,51287,Ryo Hisatsune,2305.5,1535489,666
171,0,27770,Camilo Villegas,2297.7,948934,413
172,0,50095,Austin Smotherman,2279.1,875185,384
173,0,34563,Chesson Hadley,2275.5,1385800,609
174,0,29535,Brice Garnett,2257.6,945927,419
175,0,39975,Michael Kim,2255.8,1400825,621
176,0,34076,Joel Dahmen,2252.0,1743049,774
177,0,45609,Tyler Duncan,2249.3,1304604,580
178,0,32791,K.H. Lee,2232.3,1370638,614
179,0,23108,Matt Kuchar,2229.2,1489077,668
180,0,52375,Doug Ghim,2226.4,1623068,729
181,0,48084,Wesley Bryan,2223.1,855895,385
182,0,40162,Justin Lower,2206.4,1608493,729
183,0,46340,Alex Smalley,2101.8,1105550,526
184,0,29908,C.T. Pan,2073.3,1098846,530
