RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,190.12,71674.74,377
2,0,37378,Min Woo Lee,187.86,88107.67,469
3,0,28237,Rory McIlroy,185.58,77944.49,420
4,0,38991,Alejandro Tosti,184.68,110440.59,598
5,0,31323,Gary Woodland,184.52,100746.93,546
6,0,47663,Kevin Dougherty,184.37,94950.45,515
7,0,27064,Jhonattan Vegas,182.29,93333.29,512
8,0,51766,Wyndham Clark,182.24,96041.68,527
9,0,52453,Nicolai HÃ¸jgaard,182.22,71976.94,395
10,0,34255,Joseph Bramlett,182.19,116964.93,642
11,0,59095,Chris Gotterup,182.13,111279.62,611
12,0,51070,Vincent Norrman,182.01,79356.13,436
13,0,48699,Callum Tarren,181.50,100549.41,554
14,0,47420,Jake Knapp,181.49,127041.15,700
15,0,29725,Tony Finau,180.88,123175.94,681
16,0,54576,Patrick Fishburn,180.86,89888.83,497
17,0,57366,Cameron Young,180.83,127120.04,703
18,0,48081,Xander Schauffele,180.77,96168.53,532
19,0,37212,Paul Barjon,180.72,71745.02,397
20,0,33948,Byeong Hun An,180.65,113088.81,626
21,0,29936,Ryan Fox,180.62,109818.98,608
22,0,50484,Hayden Springer,180.50,101079.83,560
23,0,56149,Wilson Furr,180.38,78283.02,434
24,0,51894,Vince Whaley,180.15,98359.81,546
25,0,40250,Taylor Pendrith,180.03,139163.03,773
26,0,45242,Kevin Yu,179.96,109776.83,610
27,0,54421,Garrick Higgo,179.95,110311.13,613
28,0,51977,Max Greyserman,179.93,92841.39,516
29,0,28420,Ryan Brehm,179.80,82347.36,458
30,0,59836,Pierceson Coody,179.74,111082.40,618
31,0,59866,Nick Dunlap,178.75,103674.44,580
32,0,52955,Ludvig Ãberg,178.68,106136.86,594
33,0,32333,Kevin Tway,178.51,73012.49,409
34,0,39546,Keith Mitchell,178.35,135188.48,758
35,0,49947,Taylor Moore,178.05,147065.64,826
36,0,27129,Luke List,178.04,107357.37,603
37,0,55893,Sam Stevens,178.00,137058.79,770
38,0,48867,Matti Schmid,177.98,93975.76,528
39,0,24502,Adam Scott,177.84,110263.44,620
40,0,27139,David Skinns,177.78,104000.01,585
41,0,40006,Erik van Rooyen,177.77,120706.62,679
42,0,33653,Thomas Detry,177.58,108677.85,612
43,0,35310,Lanto Griffin,177.54,91254.45,514
44,0,47347,Adam Schenk,177.53,145044.34,817
