RANK,MOVEMENT,PLAYER_ID,PLAYER,ROUNDS
1,0,01161,Mark Calcavecchia,74
2,0,02104,Jeff Sluman,67
3,0,02049,Gene Sauers,66
4,0,01361,Dan Forsman,65
4,0,01527,Scott Hoch,65
4,0,02146,Payne Stewart,65
4,0,02279,Mark Wiebe,65
8,0,01226,Fred Couples,64
8,0,02033,Dave Rummells,64
10,0,01157,Tom Byrum,62
10,0,01346,Ed Fiori,62
12,0,01444,Ken Green,61
12,0,02101,Joey Sindelar,61
14,0,01072,Chip Beck,60
14,0,01701,Bob Lohr,60
16,0,01235,Ben Crenshaw,59
17,0,01797,Rocco Mediate,58
18,0,01846,Jodie Mudd,57
18,0,01926,Steve Pate,57
18,0,02223,Bob Tway,57
18,0,02241,Bobby Wadkins,57
18,0,02242,Lanny Wadkins,57
23,0,01378,David Frost,56
23,0,01549,Mike Hulbert,56
25,0,01060,Dave Barr,55
25,0,01132,Mark Brooks,55
25,0,01475,Donnie Hammond,55
25,0,01725,John Mahaffey,55
29,0,01098,Jay Don Blake,54
29,0,01390,Buddy Gardner,54
29,0,01639,Kenny Knox,54
29,0,02023,Clarence Rose,54
29,0,02100,Tim Simpson,54
34,0,01042,Paul Azinger,53
34,0,01203,Russ Cochran,53
34,0,01958,Dan Pohl,53
34,0,02303,Robert Wrenn,53
38,0,01633,Tom Kite,52
38,0,01690,Bruce Lietzke,52
38,0,01771,Blaine McCallister,52
38,0,01891,David Ogrin,52
42,0,01219,John Cook,51
42,0,01457,Jay Haas,51
42,0,02010,Loren Roberts,51
45,0,01418,Bill Glasson,50
45,0,01569,Peter Jacobsen,50
45,0,02239,Scott Verplank,50
48,0,01035,Tommy Armour III,49
48,0,01945,Kenny Perry,49
50,0,01284,Mike Donald,48
50,0,01682,Wayne Levi,48
50,0,02186,Brian Tennyson,48
50,0,02225,Howard Twitty,48
54,0,01129,Bill Britton,47
54,0,01201,Lennie Clements,47
54,0,01323,Brad Fabel,47
54,0,01329,Brad Faxon,47
54,0,06284,Jim Hallet,47
54,0,02159,Curtis Strange,47
60,0,01156,Curt Byrum,46
60,0,01783,Mark McCumber,46
60,0,01887,Mark O'Meara,46
60,0,01943,Chris Perry,46
64,0,01313,Steve Elkington,45
64,0,01755,Dick Mast,45
66,0,01175,Jim Carter,44
66,0,01414,Bob Gilder,44
66,0,01469,Dan Halldorson,44
66,0,02321,Fuzzy Zoeller,44
70,0,01133,Billy Ray Brown,43
70,0,01706,Davis Love III,43
70,0,01723,Andrew Magee,43
70,0,01823,Larry Mize,43
70,0,01931,Rick Pearson,43
70,0,01960,Don Pooley,43
70,0,01998,Jack Renner,43
70,0,02007,Larry Rinker,43
70,0,02196,Robert Thompson,43
79,0,02170,Hal Sutton,42
79,0,02185,Lance Ten Broeck,42
81,0,01024,Billy Andrade,41
81,0,01033,George Archer,41
81,0,01495,Morris Hatalsky,41
81,0,01499,Mark Hayes,41
81,0,01553,John Huston,41
81,0,01938,David Peoples,41
81,0,01975,Tom Purtzer,41
88,0,01143,Brad Bryant,40
88,0,01310,Dave Eichelberger,40
88,0,01935,Calvin Peete,40
88,0,01968,Nick Price,40
88,0,02090,Tom Sieckmann,40
88,0,02167,Mike Sullivan,40
94,0,01837,Gil Morgan,39
94,0,01877,Tim Norris,39
96,0,01197,Bobby Clampett,38
97,0,01093,Ronnie Black,37
97,0,01707,Steve Lowery,37
97,0,01715,Mark Lye,37
97,0,01928,Corey Pavin,37
97,0,02041,Bill Sander,37
97,0,02246,Duffy Waldorf,37
97,0,02267,D.A. Weibring,37
104,0,01306,David Edwards,36
104,0,01385,Jim Gallagher Jr.,36
104,0,01662,Greg Ladehoff,36
104,0,01736,Roger Maltbie,36
104,0,02094,Tony Sills,36
104,0,02195,Leonard Thompson,36
104,0,02229,Brett Upper,36
111,0,01006,John Adams,35
111,0,01168,David Canipe,35
111,0,01641,Gary Koch,35
111,0,01717,Sandy Lyle,35
111,0,01864,Larry Nelson,35
111,0,01996,Mike Reid,35
111,0,02148,Ray Stewart,35
111,0,02190,Doug Tewell,35
119,0,01435,Wayne Grady,34
119,0,01559,Hale Irwin,34
119,0,02133,Craig Stadler,34
119,0,02256,Tom Watson,34
123,0,01077,Mike Bender,33
123,0,01151,Clark Burroughs,33
123,0,01443,Hubert Green,33
123,0,01599,Steve Jones,33
123,0,01790,Pat McGowan,33
123,0,01941,Tom Pernice Jr.,33
129,0,01061,Ray Barr Jr.,32
129,0,01154,Bill Buttner,32
129,0,01200,Keith Clearwater,32
129,0,01355,Raymond Floyd,32
133,0,01096,Phil Blackmar,31
133,0,01303,Bob Eastwood,31
133,0,01571,Barry Jaeckel,31
133,0,01648,Billy Kratzert,31
133,0,01971,Dillard Pruitt,31
133,0,02313,Bruce Zabriski,31
139,0,01106,Jim Booros,30
139,0,01179,Antonio Cerda,30
139,0,01557,John Inman,30
139,0,01984,Sam Randolph,30
139,0,02118,J.C. Snead,30
139,0,02160,Ron Streck,30
139,0,02294,Willie Wood,30
146,0,01261,Jay Delsing,29
147,0,01892,Aki Ohmachi,28
147,0,02099,Scott Simpson,28
149,0,01288,Ed Dougherty,27
149,0,02322,Richard Zokol,27
151,0,01014,Fulton Allem,26
151,0,01135,Ken Brown,26
151,0,01305,Danny Edwards,26
151,0,01876,Greg Norman,26
151,0,02255,Denis Watson,26
156,0,01782,Mike McCullough,25
156,0,02192,Steve Thomas,25
158,0,01086,Roy Biancalana,24
158,0,01970,Bob Proben,24
160,0,01185,Brandel Chamblee,23
160,0,01196,Brian Claar,23
160,0,01331,Rick Fehr,23
160,0,01425,Ernie Gonzalez,23
160,0,02311,Kim Young,23
165,0,01127,Danny Briggs,22
165,0,01191,Barry Cheesman,22
165,0,01436,David Graham,22
165,0,01884,Mac O'Grady,22
165,0,01986,Joey Rassett,22
165,0,02180,Harry Taylor,22
171,0,01094,Mike Blackburn,21
171,0,01224,Jeff Coston,21
171,0,01476,Mike Hammond,21
171,0,02244,Fred Wadsworth,21
175,0,01192,T.C. Chen,20
175,0,01858,Tommy Nakajima,20
175,0,01871,Mike Nicolette,20
178,0,01851,Bob Murphy,19
178,0,01861,Jim Nelford,19
180,0,01815,Johnny Miller,18
180,0,02126,Bruce Soulsby,18
182,0,01666,Bernhard Langer,17
183,0,01150,George Burns,16
183,0,01236,Richard Cromwell,16
183,0,01737,Mark Maness,16
183,0,02317,Larry Ziegler,16
187,0,01214,Frank Conner,15
187,0,01278,Andy Dillard,15
187,0,01826,Brian Mogg,15
187,0,01964,Greg Powers,15
191,0,01268,Jim Dent,13
192,0,01030,Isao Aoki,12
192,0,01068,Andy Bean,12
192,0,01078,Jim Benepe,12
192,0,01162,Rex Caldwell,12
192,0,02215,Paul Trittler,12
197,0,01242,Rod Curl,11
197,0,01326,Nick Faldo,11
197,0,01468,Gary Hallberg,11
200,0,01412,Gibby Gilbert,10
200,0,01779,Gary McCord,10
200,0,02152,Dave Stockton,10
200,0,02213,Lee Trevino,10
204,0,01103,Charles Bolling,9
204,0,01357,Brian Fogt,9
204,0,02122,John Snyder,9
207,0,01049,Ian Baker-Finch,8
207,0,01051,Seve Ballesteros,8
207,0,01320,Bob Estes,8
207,0,01803,Hajime Meshiai,8
207,0,01949,Mark Pfeil,8
212,0,01560,David Ishii,7
212,0,01632,Chris Kite,7
212,0,01766,Billy Mayfair,7
212,0,01878,Andy North,7
212,0,02016,Bill Rogers,7
212,0,02098,Jim Simons,7
212,0,02111,Mike Smith,7
219,0,01277,Terry Dill,6
219,0,01282,Trevor Dodds,6
219,0,01925,Jerry Pate,6
219,0,01952,Billy Pierot,6
219,0,02031,Griffin Rudolph,6
219,0,02067,Ted Schulz,6
225,0,01342,Forrest Fezler,5
225,0,01392,Tom Garner,5
225,0,01477,Phillip Hancock,5
225,0,01869,Jack Nicklaus,5
225,0,01901,Jay Overton,5
225,0,02083,Tom Shaw,5
225,0,02087,Don Shirey Jr.,5
225,0,02187,Dave Tentis,5
233,0,01037,Dewey Arnette,4
233,0,01081,Bill Bergin,4
233,0,01095,Woody Blackburn,4
233,0,06218,Tommy Brannen,4
233,0,01328,Greg Farrow,4
233,0,01714,Bob Lunn,4
233,0,01796,Mark McNulty,4
233,0,06377,Jet Ozaki,4
233,0,02107,Gordon Smith,4
242,0,01057,Miller Barber,3
242,0,01065,Beau Baugh,3
242,0,01099,Homero Blancas,3
242,0,01116,Michael Bradley,3
242,0,01248,Rick Dalpos,3
242,0,01256,Rodger Davis,3
242,0,01334,Keith Fergus,3
242,0,01388,Robert Gamez,3
242,0,01446,Brad Greer,3
242,0,01448,Tony Grimes,3
242,0,01507,Webb Heintzelman,3
242,0,01522,Lon Hinkle,3
242,0,01526,David Hobby,3
242,0,01564,David Jackson,3
242,0,01577,Lee Janzen,3
242,0,01668,Jeffrey Lankford,3
242,0,01820,Bobby Mitchell,3
242,0,01910,Arnold Palmer,3
242,0,02110,Jerry Smith,3
242,0,02197,Rocky Thompson,3
242,0,02224,Greg Twiggs,3
242,0,02230,Stan Utley,3
242,0,02292,Bob Wolcott,3
265,0,01039,Perry Arthur,2
265,0,01198,Howard Clark,2
265,0,01266,Clark Dennis,2
265,0,01374,Robin Freeman,2
265,0,11220,Mark Gurnow,2
265,0,01473,Todd Hamilton,2
265,0,01487,Jeff Hart,2
265,0,01501,Vance Heafner,2
265,0,11225,Chris Holmes,2
265,0,01556,Joe Inman,2
265,0,01584,Doug Johnson,2
265,0,01607,Brian Kamm,2
265,0,01758,Gene Matthews,2
265,0,01906,Masashi Jumbo Ozaki,2
265,0,01950,Ed Pfister,2
265,0,01994,Victor Regalado,2
265,0,06066,Gary Rusnak,2
265,0,02054,Ken Schall,2
265,0,02076,Peter Senior,2
265,0,02077,Nobuo Serizawa,2
265,0,02131,Mike Springer,2
265,0,02201,Jim Thorpe,2
265,0,02257,Brian Watts,2
265,0,02300,Ian Woosnam,2
265,0,06503,Randy Wylie,2
290,0,01012,Jim Albus,1
290,0,01032,Kikuo Arai,1
290,0,06489,Greg Aune,1
290,0,01079,Steve Benson,1
290,0,01083,Scott Bess,1
290,0,01100,Lynn Blevins,1
290,0,01113,Steve Bowman,1
290,0,06220,Jaxon Brigman,1
290,0,06223,Louis Brown,1
290,0,07569,Mark Carnevale,1
290,0,01181,Jon Chaffee,1
290,0,01187,Warren Chancellor,1
290,0,01194,Lee Chill,1
290,0,01206,Bobby Cole,1
290,0,01234,Richard Crawford,1
290,0,06247,David Delong,1
290,0,01269,Bruce Devlin,1
290,0,01293,A.J. Duncan,1
290,0,01307,Joel Edwards,1
290,0,01330,David Feherty,1
290,0,01347,Chuck Fiser,1
290,0,06058,John Flannery,1
290,0,01353,Bruce Fleisher,1
290,0,01360,Anders Forsbrand,1
290,0,01367,Brent Franklin,1
290,0,01368,Mike Franko,1
290,0,01381,Fred Funk,1
290,0,01451,Steve Groves,1
290,0,01452,Jeff Grygiel,1
290,0,06044,Scott Gump,1
290,0,01478,Kirk Hanefeld,1
290,0,01494,Steve Haskins,1
290,0,01512,Bunky Henry,1
290,0,01523,Scott Hinkley,1
290,0,01525,Babe Hiskey,1
290,0,01566,Jeff Jackson,1
290,0,01582,Chip Johnson,1
290,0,01593,Philip Jonas,1
290,0,01602,Mark Jordan,1
290,0,01611,Richie Karl,1
290,0,01615,John Keller,1
290,0,01627,Craig King,1
290,0,01629,Eddie Kirby,1
290,0,01637,Kent Kluba,1
290,0,01654,Gary Krueger,1
290,0,01703,Lyn Lott,1
290,0,01709,Chien Soon Lu,1
290,0,01731,Hiroshi Makino,1
290,0,01732,Bob Makoski,1
290,0,08353,Bill Malley,1
290,0,01773,Ronnie McCann,1
290,0,01778,Jack McConachie,1
290,0,11141,Robert McNamara,1
290,0,01810,Phil Mickelson,1
290,0,01813,Mike Miles,1
290,0,07235,John Morse,1
290,0,01872,Lonnie Nielsen,1
290,0,01885,David O'Kelly,1
290,0,01920,Craig Parry,1
290,0,01924,Alan Pate,1
290,0,01946,Peter Persons,1
290,0,02024,Dennis Rose,1
290,0,02053,Steve Schadewitz,1
290,0,02058,Evan Schiller,1
290,0,02073,Ove Sellberg,1
290,0,02074,Ed Selser,1
290,0,02095,Larry Silveira,1
290,0,02135,Mike Standly,1
290,0,02138,Kent Stauffer,1
290,0,02173,Keith Swindell,1
290,0,02188,Ed Terasa,1
290,0,02189,Joe Tesori,1
290,0,02200,David Thore,1
290,0,11203,Tom Tierney,1
290,0,02214,Kirk Triplett,1
290,0,02217,Dennis Trixler,1
290,0,02226,Tray Tyner,1
290,0,02238,Steven Veriato,1
290,0,02245,Grant Waite,1
290,0,02260,DeWitt Weaver,1
290,0,02270,Mike West,1
290,0,11248,Fred Wisdom,1
