RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 1ST TEE LATE ROUNDS
1,0,28237,Rory McIlroy,69.43,2430,35
2,0,25686,Jason Dufner,69.76,2930,42
2,0,10213,Dicky Pride,69.76,1186,17
4,0,28089,Jason Day,69.78,1256,18
5,0,06527,Steve Stricker,69.93,2937,42
6,0,34021,Bud Cauley,69.97,2519,36
6,0,28455,Will Claxton,69.97,2099,30
8,0,29420,Billy Horschel,70.00,1260,18
8,0,23623,Bo Van Pelt,70.00,2590,37
10,0,30926,Chris Kirk,70.04,1821,26
10,0,26329,Louis Oosthuizen,70.04,1611,23
12,0,29221,Webb Simpson,70.05,2942,42
12,0,27649,Brandt Snedeker,70.05,2592,37
14,0,24358,Robert Garrigus,70.07,2102,30
15,0,25834,Daniel Summerhays,70.10,1472,21
16,0,30692,Scott Stallings,70.12,1823,26
17,0,01706,Davis Love III,70.15,1894,27
18,0,26596,Ryan Moore,70.17,2526,36
19,0,22293,Heath Slocum,70.18,1544,22
20,0,27933,John Merrick,70.20,1404,20
21,0,06522,Ernie Els,70.21,2387,34
21,0,25818,Scott Piercy,70.21,2317,33
23,0,08793,Tiger Woods,70.24,2880,41
24,0,20104,Ken Duke,70.25,2248,32
24,0,10809,Jim Furyk,70.25,2810,40
24,0,32698,Bobby Gates,70.25,1405,20
24,0,25457,Alexandre Rocha,70.25,562,8
28,0,23353,J.J. Henry,70.26,1335,19
28,0,25804,Bubba Watson,70.26,2670,38
30,0,26287,Roland Thatcher,70.27,773,11
31,0,23108,Matt Kuchar,70.33,2954,42
32,0,20766,Padraig Harrington,70.35,2181,31
33,0,27060,John Mallinger,70.36,1548,22
34,0,30925,Dustin Johnson,70.38,2252,32
35,0,22405,Justin Rose,70.39,2323,33
36,0,33141,Keegan Bradley,70.43,3099,44
36,0,21878,Mark Wilson,70.43,986,14
38,0,20645,John Senden,70.44,2254,32
39,0,28307,Matt Every,70.46,1832,26
40,0,24024,Zach Johnson,70.47,3030,43
41,0,27895,Jonas Blixt,70.48,1621,23
41,0,34174,John Huh,70.48,1762,25
41,0,29289,S.Y. Noh,70.48,2185,31
44,0,08725,Tom Gillis,70.50,1551,22
44,0,24502,Adam Scott,70.50,1833,26
46,0,01810,Phil Mickelson,70.52,2962,42
47,0,23638,Brendon de Jonge,70.58,2823,40
47,0,23983,Luke Donald,70.58,2188,31
