RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL 10TH TEE LATE RNDS.
1,0,25804,Bubba Watson,65.00,65,1
2,0,23983,Luke Donald,66.00,132,2
3,0,22405,Justin Rose,68.00,272,4
3,0,06527,Steve Stricker,68.00,68,1
3,0,08793,Tiger Woods,68.00,68,1
6,0,27649,Brandt Snedeker,68.25,546,8
7,0,25686,Jason Dufner,68.57,480,7
8,0,10809,Jim Furyk,68.75,550,8
9,0,23638,Brendon de Jonge,68.94,1241,18
10,0,01810,Phil Mickelson,69.00,69,1
10,0,24502,Adam Scott,69.00,276,4
12,0,20645,John Senden,69.20,692,10
13,0,32102,Rickie Fowler,69.25,277,4
13,0,23108,Matt Kuchar,69.25,277,4
15,0,22046,Geoff Ogilvy,69.27,762,11
16,0,21209,Sergio Garcia,69.75,279,4
17,0,20229,Stewart Cink,69.78,628,9
18,0,01724,Jeff Maggert,69.81,1117,16
19,0,06567,Vijay Singh,69.92,909,13
20,0,27120,Troy Matteson,69.94,1189,17
21,0,22913,John Rollins,70.00,1050,15
22,0,29289,S.Y. Noh,70.05,1331,19
23,0,27895,Jonas Blixt,70.08,911,13
24,0,27644,Brian Harman,70.09,771,11
25,0,23135,Tim Clark,70.13,561,8
25,0,29926,Danny Lee,70.13,1052,15
27,0,24140,Sean O'Hair,70.20,1053,15
28,0,23623,Bo Van Pelt,70.25,843,12
29,0,27933,John Merrick,70.27,1546,22
29,0,24361,Pat Perez,70.27,773,11
31,0,08725,Tom Gillis,70.31,914,13
31,0,23718,Nathan Green,70.31,1125,16
31,0,26300,Matt Jones,70.31,914,13
31,0,01797,Rocco Mediate,70.31,914,13
35,0,12652,Cameron Beckman,70.33,844,12
36,0,24494,Erik Compton,70.38,1126,16
37,0,24024,Zach Johnson,70.40,352,5
38,0,32366,Kevin Chappell,70.44,634,9
39,0,26758,David Hearn,70.47,1339,19
40,0,28259,Sangmoon Bae,70.50,846,12
40,0,26329,Louis Oosthuizen,70.50,564,8
40,0,21528,Henrik Stenson,70.50,282,4
43,0,27466,Spencer Levin,70.53,1058,15
44,0,22378,Trevor Immelman,70.55,776,11
45,0,12510,Chad Campbell,70.56,1129,16
46,0,28455,Will Claxton,70.57,1482,21
46,0,24924,Bill Haas,70.57,494,7
46,0,29478,Kevin Kisner,70.57,988,14
49,0,27095,Nick Watney,70.60,353,5
50,0,34174,John Huh,70.62,1836,26
50,0,24490,George McNeill,70.62,1483,21
52,0,19846,Brian Gay,70.63,1342,19
52,0,28308,Troy Kelly,70.63,1130,16
54,0,29910,Blake Adams,70.65,1201,17
54,0,30926,Chris Kirk,70.65,1413,20
56,0,20396,Lee Westwood,70.67,212,3
57,0,23320,Ryan Palmer,70.68,1343,19
58,0,27936,Martin Laird,70.69,1131,16
59,0,01116,Michael Bradley,70.71,990,14
59,0,27141,J.B. Holmes,70.71,990,14
59,0,28475,Jeff Overton,70.71,1697,24
59,0,23621,Rory Sabbatini,70.71,1202,17
63,0,24925,Jonathan Byrd,70.73,778,11
63,0,26679,Kevin Stadler,70.73,778,11
65,0,24846,Ricky Barnes,70.75,1132,16
65,0,34021,Bud Cauley,70.75,849,12
67,0,10860,Justin Leonard,70.77,920,13
68,0,21961,Charles Howell III,70.79,1345,19
68,0,23800,Bryce Molder,70.79,991,14
70,0,32200,Roberto Castro,70.81,1133,16
71,0,23409,James Driscoll,70.86,992,14
71,0,35139,Richard Lee,70.86,496,7
71,0,25892,Steve Wheatcroft,70.86,992,14
