RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,26499,Rafa Cabrera Bello,24.44,22,90
2,0,37455,Si Woo Kim,24.00,24,100
3,0,46402,Talor Gooch,23.96,23,96
4,0,33419,Cameron Tringale,23.81,25,105
5,0,30925,Dustin Johnson,23.58,29,123
6,0,35506,Mackenzie Hughes,23.08,30,130
7,0,27064,Jhonattan Vegas,22.88,27,118
8,0,30911,Tommy Fleetwood,22.78,18,79
9,0,33948,Byeong Hun An,22.70,32,141
10,0,29926,Danny Lee,22.30,31,139
11,0,27129,Luke List,22.12,23,104
12,0,46435,Austin Cook,21.74,15,69
13,0,32757,Patton Kizzire,21.65,21,97
14,0,35450,Patrick Cantlay,21.43,27,126
15,0,29221,Webb Simpson,21.37,25,117
16,0,27330,Josh Teater,21.19,25,118
17,0,25493,Nick Taylor,21.12,34,161
18,0,40009,Dominic Bozzelli,20.91,23,110
18,0,33448,Justin Thomas,20.91,23,110
20,0,51766,Wyndham Clark,20.86,34,163
21,0,24138,Ian Poulter,20.73,17,82
22,0,34076,Joel Dahmen,20.54,23,112
23,0,36852,Jim Knous,20.48,17,83
24,0,36799,Stephan Jaeger,20.47,26,127
24,0,48822,Sebastián Muñoz,20.47,26,127
26,0,34099,Harris English,20.42,29,142
27,0,25364,Paul Casey,20.24,17,84
27,0,37340,Chase Wright,20.24,17,84
29,0,31323,Gary Woodland,20.17,24,119
30,0,39971,Sungjae Im,20.00,34,170
30,0,36689,Brooks Koepka,20.00,23,115
30,0,27556,Ted Potter Jr.,20.00,20,100
30,0,27649,Brandt Snedeker,20.00,32,160
30,0,29518,Brendan Steele,20.00,14,70
35,0,49303,Anders Albertson,19.81,21,106
36,0,34264,Hudson Swafford,19.80,20,101
37,0,45526,Abraham Ancer,19.67,24,122
38,0,35732,Wes Roach,19.30,22,114
39,0,47993,Denny McCarthy,19.26,26,135
40,0,27936,Martin Laird,19.23,25,130
41,0,32058,José de Jesús Rodríguez,19.13,22,115
42,0,35421,Brandon Harkins,19.11,30,157
43,0,29725,Tony Finau,19.05,28,147
43,0,28679,Fabián Gómez,19.05,16,84
45,0,23320,Ryan Palmer,18.99,15,79
46,0,35461,Beau Hossler,18.98,26,137
47,0,32333,Kevin Tway,18.95,29,153
48,0,24781,Hunter Mahan,18.89,17,90
49,0,39324,J.J. Spaun,18.88,27,143
50,0,33399,Adam Hadwin,18.85,23,122
51,0,23621,Rory Sabbatini,18.84,26,138
52,0,49771,J.T. Poston,18.79,31,165
53,0,37380,Curtis Luck,18.64,22,118
54,0,48081,Xander Schauffele,18.60,16,86
55,0,34363,Tyrrell Hatton,18.57,13,70
56,0,26851,Marc Leishman,18.52,25,135
57,0,29484,Peter Uihlein,18.49,22,119
58,0,27963,Chris Stroud,18.42,21,114
59,0,34261,Scott Langley,18.35,20,109
60,0,30944,Jason Kokrak,18.26,21,115
61,0,33486,Roger Sloan,18.24,27,148
62,0,23108,Matt Kuchar,18.18,18,99
62,0,49766,Hank Lebioda,18.18,20,110
64,0,30978,Kiradech Aphibarnrat,17.86,15,84
65,0,32839,Hideki Matsuyama,17.83,28,157
65,0,46601,Trey Mullinax,17.83,28,157
67,0,40026,Daniel Berger,17.65,21,119
68,0,47128,Richy Werenski,17.60,22,125
69,0,45486,Joaquin Niemann,17.58,29,165
70,0,47504,Sam Burns,17.57,26,148
71,0,28089,Jason Day,17.50,14,80
72,0,52372,Cameron Champ,17.45,26,149
73,0,37189,Harold Varner III,17.29,23,133
74,0,29268,Bronson Burgoon,17.28,14,81
75,0,32816,Satoshi Kodaira,17.17,17,99
75,0,33410,Andrew Landry,17.17,17,99
77,0,47856,Seth Reeves,17.16,23,134
78,0,21961,Charles Howell III,17.11,26,152
79,0,39546,Keith Mitchell,17.02,16,94
80,0,34360,Patrick Reed,17.01,25,147
81,0,34431,Robert Streb,16.87,14,83
82,0,34046,Jordan Spieth,16.78,24,143
83,0,27141,J.B. Holmes,16.67,15,90
83,0,26300,Matt Jones,16.67,20,120
83,0,32640,Troy Merritt,16.67,14,84
86,0,45157,Cam Davis,16.55,23,139
87,0,35532,Tom Hoge,16.45,25,152
88,0,25900,Lucas Glover,16.41,21,128
89,0,35449,Adam Long,16.25,13,80
90,0,27349,Alex Noren,16.09,14,87
91,0,21209,Sergio Garcia,16.05,13,81
92,0,29974,Branden Grace,16.00,16,100
93,0,33667,Carlos Ortiz,15.89,17,107
93,0,49960,Sepp Straka,15.89,17,107
95,0,20472,Alex Cejka,15.79,9,57
95,0,32102,Rickie Fowler,15.79,18,114
97,0,39997,Corey Conners,15.75,20,127
98,0,35891,Cameron Smith,15.63,15,96
99,0,37275,Sam Ryder,15.53,16,103
100,0,46501,Ollie Schniederjans,15.33,21,137
101,0,34466,Peter Malnati,15.24,25,164
102,0,27644,Brian Harman,15.22,14,92
102,0,32791,K.H. Lee,15.22,14,92
104,0,28775,Nate Lashley,15.15,15,99
105,0,26476,Chez Reavie,15.00,12,80
106,0,35376,Roberto Díaz,14.94,13,87
107,0,46970,Jon Rahm,14.81,12,81
108,0,34306,John Chin,14.77,13,88
