RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
1,0,27064,Jhonattan Vegas,23.35,53,227
2,0,33419,Cameron Tringale,22.93,47,205
3,0,35450,Patrick Cantlay,22.87,51,223
4,0,33948,Byeong Hun An,22.69,54,238
5,0,23320,Ryan Palmer,22.58,35,155
6,0,45157,Cam Davis,22.48,58,258
7,0,49964,Aaron Wise,20.90,37,177
8,0,37455,Si Woo Kim,20.74,39,188
9,0,51766,Wyndham Clark,20.62,60,291
10,0,24138,Ian Poulter,20.28,29,143
11,0,47993,Denny McCarthy,20.26,46,227
12,0,45526,Abraham Ancer,20.21,39,193
13,0,46402,Talor Gooch,20.11,35,174
14,0,35506,Mackenzie Hughes,19.92,52,261
15,0,32058,José de Jesús Rodríguez,19.90,40,201
15,0,27330,Josh Teater,19.90,38,191
17,0,49771,J.T. Poston,19.86,57,287
18,0,27963,Chris Stroud,19.58,37,189
19,0,47959,Bryson DeChambeau,19.53,42,215
20,0,30925,Dustin Johnson,19.40,45,232
21,0,24781,Hunter Mahan,19.38,31,160
22,0,29926,Danny Lee,19.34,53,274
23,0,40009,Dominic Bozzelli,19.27,37,192
24,0,26851,Marc Leishman,19.21,39,203
25,0,26499,Rafa Cabrera Bello,18.95,29,153
26,0,27214,Kevin Streelman,18.78,37,197
27,0,45486,Joaquin Niemann,18.75,54,288
28,0,25364,Paul Casey,18.67,31,166
29,0,29725,Tony Finau,18.65,47,252
30,0,29535,Brice Garnett,18.60,32,172
31,0,25493,Nick Taylor,18.42,56,304
32,0,34099,Harris English,18.40,53,288
33,0,23621,Rory Sabbatini,18.38,43,234
34,0,39971,Sungjae Im,18.24,58,318
35,0,33448,Justin Thomas,18.18,40,220
36,0,29221,Webb Simpson,18.14,43,237
37,0,34264,Hudson Swafford,18.09,34,188
38,0,48822,Sebastián Muñoz,18.03,44,244
38,0,37340,Chase Wright,18.03,33,183
40,0,23108,Matt Kuchar,18.00,36,200
41,0,33399,Adam Hadwin,17.99,34,189
42,0,34363,Tyrrell Hatton,17.95,21,117
43,0,37275,Sam Ryder,17.93,33,184
44,0,26300,Matt Jones,17.87,42,235
45,0,32839,Hideki Matsuyama,17.81,44,247
46,0,35421,Brandon Harkins,17.75,52,293
47,0,27129,Luke List,17.73,39,220
