RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,01968,Nick Price,68.26,329,482
2,0,01457,Jay Haas,66.35,349,526
3,0,01823,Larry Mize,66.05,284,430
4,0,01306,David Edwards,65.91,350,531
5,0,01928,Corey Pavin,65.59,305,465
6,0,01200,Keith Clearwater,65.43,371,567
7,0,01353,Bruce Fleisher,65.38,374,572
8,0,02267,D.A. Weibring,64.99,310,477
9,0,01724,Jeff Maggert,64.75,316,488
10,0,01510,Nolan Henke,64.67,291,450
11,0,01219,John Cook,64.60,219,339
12,0,02010,Loren Roberts,64.45,359,557
13,0,01960,Don Pooley,64.42,201,312
14,0,01557,John Inman,64.33,413,642
15,0,01331,Rick Fehr,64.24,291,453
16,0,01569,Peter Jacobsen,64.13,345,538
17,0,06090,Jim McGovern,63.94,383,599
18,0,01072,Chip Beck,63.77,294,461
18,0,01093,Ronnie Black,63.77,338,530
20,0,01577,Lee Janzen,63.39,355,560
21,0,01226,Fred Couples,63.35,242,382
22,0,01690,Bruce Lietzke,63.28,212,335
23,0,01329,Brad Faxon,63.13,327,518
24,0,01355,Raymond Floyd,63.10,183,290
25,0,01706,Davis Love III,62.93,292,464
26,0,01129,Bill Britton,62.87,315,501
27,0,01633,Tom Kite,62.81,282,449
28,0,01996,Mike Reid,62.80,265,422
29,0,02090,Tom Sieckmann,62.73,335,534
30,0,01132,Mark Brooks,62.61,345,551
31,0,01361,Dan Forsman,62.59,348,556
32,0,02279,Mark Wiebe,62.35,303,486
33,0,01235,Ben Crenshaw,62.24,305,490
34,0,01677,Tom Lehman,62.22,303,487
35,0,01553,John Huston,62.15,353,568
35,0,02190,Doug Tewell,62.15,243,391
37,0,01946,Peter Persons,62.00,341,550
38,0,02133,Craig Stadler,61.96,246,397
39,0,01313,Steve Elkington,61.92,252,407
40,0,02246,Duffy Waldorf,61.80,275,445
41,0,01196,Brian Claar,61.65,328,532
42,0,01975,Tom Purtzer,61.61,260,422
43,0,02033,Dave Rummells,61.59,356,578
44,0,01346,Ed Fiori,61.55,357,580
45,0,02104,Jeff Sluman,61.48,348,566
46,0,01783,Mark McCumber,61.39,229,373
47,0,01876,Greg Norman,61.30,179,292
48,0,01549,Mike Hulbert,61.24,346,565
49,0,01444,Ken Green,61.21,273,446
50,0,02099,Scott Simpson,61.17,219,358
51,0,01042,Paul Azinger,61.14,236,386
52,0,02111,Mike Smith,61.05,359,588
53,0,01926,Steve Pate,61.04,340,557
54,0,01385,Jim Gallagher Jr.,61.00,316,518
55,0,02292,Bob Wolcott,60.86,395,649
56,0,02159,Curtis Strange,60.73,167,275
57,0,01378,David Frost,60.66,313,516
57,0,01766,Billy Mayfair,60.66,333,549
59,0,01458,Jerry Haas,60.53,230,380
60,0,01014,Fulton Allem,60.49,320,529
61,0,01214,Frank Conner,60.46,367,607
62,0,02049,Gene Sauers,60.40,241,399
63,0,01837,Gil Morgan,60.35,274,454
64,0,02146,Payne Stewart,60.34,245,406
65,0,01157,Tom Byrum,60.33,295,489
66,0,06012,Greg Kraft,60.30,322,534
67,0,02007,Larry Rinker,60.29,290,481
68,0,02311,Kim Young,60.17,281,467
69,0,01381,Fred Funk,60.13,359,597
70,0,01887,Mark O'Meara,59.89,227,379
71,0,01376,Bob Friend,59.86,343,573
72,0,01945,Kenny Perry,59.63,260,436
73,0,01239,Michael Cunning,59.62,316,530
74,0,01723,Andrew Magee,59.57,302,507
75,0,02224,Greg Twiggs,59.53,178,299
76,0,01098,Jay Don Blake,59.52,250,420
77,0,06284,Jim Hallet,59.30,354,597
78,0,01060,Dave Barr,59.29,268,452
79,0,06124,Patrick Burke,59.28,278,469
80,0,01771,Blaine McCallister,59.20,309,522
81,0,01495,Morris Hatalsky,59.18,319,539
82,0,01320,Bob Estes,59.13,311,526
83,0,01261,Jay Delsing,59.12,321,543
84,0,01701,Bob Lohr,59.09,325,550
85,0,01938,David Peoples,59.08,296,501
86,0,01288,Ed Dougherty,59.07,394,667
87,0,02322,Richard Zokol,58.79,194,330
88,0,01133,Billy Ray Brown,58.78,251,427
89,0,01143,Brad Bryant,58.63,367,626
89,0,06034,Marco Dawson,58.63,292,498
89,0,06128,Steve Lamontagne,58.63,282,481
92,0,01390,Buddy Gardner,58.58,331,565
92,0,01550,Ed Humenik,58.58,331,565
94,0,01323,Brad Fabel,58.57,328,560
95,0,01559,Hale Irwin,58.55,202,345
96,0,02167,Mike Sullivan,58.49,279,477
97,0,01846,Jodie Mudd,58.45,242,414
98,0,01489,Steve Hart,58.35,346,593
99,0,01203,Russ Cochran,58.23,283,486
100,0,02225,Howard Twitty,58.12,272,468
101,0,08277,Greg Lesher,58.11,283,487
102,0,06142,Mitch Adcock,58.06,324,558
103,0,01024,Billy Andrade,58.04,278,479
104,0,02321,Fuzzy Zoeller,58.02,170,293
105,0,01533,P.H. Horgan III,57.98,276,476
106,0,02214,Kirk Triplett,57.87,228,394
107,0,01185,Brandel Chamblee,57.62,276,479
108,0,01475,Donnie Hammond,57.59,182,316
109,0,01443,Hubert Green,57.58,209,363
110,0,01307,Joel Edwards,57.51,157,273
111,0,02230,Stan Utley,57.42,321,559
112,0,01797,Rocco Mediate,57.41,217,378
113,0,01469,Dan Halldorson,57.40,256,446
114,0,02135,Mike Standly,57.35,324,565
115,0,01682,Wayne Levi,57.30,267,466
116,0,02100,Tim Simpson,57.28,181,316
117,0,02094,Tony Sills,57.17,259,453
118,0,01414,Bob Gilder,57.09,314,550
119,0,01142,Bart Bryant,57.02,199,349
119,0,06040,John Ross,57.02,268,470
121,0,08537,J.P. Hayes,56.97,286,502
122,0,01418,Bill Glasson,56.95,172,302
123,0,01408,Kelly Gibson,56.83,308,542
124,0,01388,Robert Gamez,56.82,250,440
125,0,02206,David Toms,56.80,309,544
126,0,01522,Lon Hinkle,56.79,205,361
127,0,01958,Dan Pohl,56.69,178,314
128,0,02242,Lanny Wadkins,56.65,264,466
129,0,01096,Phil Blackmar,56.59,262,463
130,0,02303,Robert Wrenn,56.55,272,481
131,0,01161,Mark Calcavecchia,56.52,286,506
132,0,06048,Dicky Thompson,56.43,250,443
133,0,01748,Doug Martin,56.41,308,546
134,0,01049,Ian Baker-Finch,56.36,164,291
135,0,01527,Scott Hoch,56.11,179,319
136,0,06575,Dudley Hart,56.04,320,571
137,0,06132,Sonny Skinner,55.97,253,452
138,0,02313,Bruce Zabriski,55.80,255,457
139,0,01736,Roger Maltbie,55.75,194,348
140,0,01971,Dillard Pruitt,55.70,264,474
141,0,02131,Mike Springer,55.68,289,519
142,0,06044,Scott Gump,55.52,322,580
143,0,01006,John Adams,55.46,264,476
144,0,02101,Joey Sindelar,55.45,290,523
145,0,01943,Chris Perry,55.31,276,499
146,0,06072,Greg Whisman,55.20,276,500
147,0,01468,Gary Hallberg,55.19,287,520
147,0,06332,Neal Lancaster,55.19,383,694
149,0,01249,John Daly,55.18,229,415
150,0,01284,Mike Donald,55.17,331,600
151,0,02195,Leonard Thompson,55.13,231,419
152,0,01168,David Canipe,55.09,287,521
153,0,01435,Wayne Grady,55.04,191,347
154,0,02223,Bob Tway,54.88,225,410
155,0,06383,E.J. Pfister,54.67,240,439
156,0,06122,Greg Hickman,54.59,232,425
157,0,02095,Larry Silveira,54.57,179,328
157,0,02185,Lance Ten Broeck,54.57,346,634
159,0,02063,Dave Schreyer,54.37,224,412
160,0,01639,Kenny Knox,54.30,322,593
161,0,01035,Tommy Armour III,54.23,263,485
161,0,01934,Dave Peege,54.23,250,461
163,0,01755,Dick Mast,54.12,243,449
164,0,02298,Jim Woodward,53.94,219,406
165,0,01891,David Ogrin,53.88,264,490
166,0,01023,Jerry Anderson,53.80,326,606
167,0,06010,Brad Bell,53.72,202,376
168,0,06751,Chris Tucker,53.59,276,515
169,0,07569,Mark Carnevale,53.43,249,466
169,0,02067,Ted Schulz,53.43,288,539
171,0,01040,Emlyn Aubrey,53.30,242,454
172,0,01139,Olin Browne,53.18,284,534
173,0,02170,Hal Sutton,53.13,238,448
174,0,01374,Robin Freeman,52.79,274,519
175,0,02226,Tray Tyner,52.72,213,404
176,0,06150,Carl Cooper,52.45,257,490
177,0,01978,Fran Quinn,52.29,217,415
178,0,02201,Jim Thorpe,51.83,184,355
179,0,01181,Jon Chaffee,51.67,247,478
180,0,01725,John Mahaffey,51.16,220,430
181,0,02002,John Riegger,50.74,239,471
182,0,02041,Bill Sander,49.58,179,361
183,0,06599,John Elliott,46.03,174,378
