RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,20157,Retief Goosen,68.58,1303,19
2,0,10809,Jim Furyk,68.66,2815,41
3,0,06567,Vijay Singh,69.06,2141,31
4,0,06522,Ernie Els,69.22,1246,18
5,0,10423,Mike Weir,69.34,2011,29
6,0,12510,Chad Campbell,69.38,2914,42
7,0,08793,Tiger Woods,69.42,1319,19
8,0,01381,Fred Funk,69.43,3541,51
9,0,02239,Scott Verplank,69.57,3061,44
10,0,20498,Briny Baird,69.61,3063,44
11,0,20229,Stewart Cink,69.70,3067,44
12,0,01968,Nick Price,69.71,1673,24
13,0,02104,Jeff Sluman,69.73,3556,51
14,0,01388,Robert Gamez,69.74,3766,54
15,0,02206,David Toms,69.80,2443,35
16,0,10213,Dicky Pride,69.82,2653,38
17,0,01161,Mark Calcavecchia,69.83,2863,41
18,0,01706,Davis Love III,69.84,2165,31
19,0,01457,Jay Haas,69.85,2864,41
20,0,22548,Patrick Sheehan,69.89,3704,53
21,0,06004,Stephen Ames,69.90,3355,48
22,0,01553,John Huston,69.94,2518,36
22,0,10860,Justin Leonard,69.94,2448,35
24,0,21961,Charles Howell III,70.00,3710,53
24,0,06573,Brandt Jobe,70.00,2730,39
24,0,01948,Tim Petrovic,70.00,3290,47
27,0,12652,Cameron Beckman,70.02,2941,42
27,0,08931,Glen Day,70.02,3431,49
29,0,01810,Phil Mickelson,70.03,2661,38
30,0,06595,Kevin Sutherland,70.07,3083,44
31,0,06251,Chris DiMarco,70.09,3084,44
31,0,01677,Tom Lehman,70.09,3224,46
31,0,01938,David Peoples,70.09,3294,47
34,0,20098,Stuart Appleby,70.10,2944,42
34,0,20628,Arron Oberholser,70.10,2874,41
34,0,01945,Kenny Perry,70.10,2804,40
37,0,12782,Tim Herron,70.14,3577,51
38,0,19825,Darren Clarke,70.16,1754,25
39,0,07457,Steve Flesch,70.17,3649,52
40,0,01320,Bob Estes,70.18,2737,39
41,0,06034,Marco Dawson,70.21,3300,47
41,0,08375,Paul Stankowski,70.21,2036,29
43,0,20572,Rod Pampling,70.22,2528,36
44,0,01797,Rocco Mediate,70.26,2670,38
45,0,06643,Paul Goydos,70.27,2600,37
45,0,02170,Hal Sutton,70.27,2881,41
47,0,12823,Carlos Franco,70.29,3444,49
48,0,01723,Andrew Magee,70.31,3164,45
48,0,02246,Duffy Waldorf,70.31,3164,45
50,0,08123,Jeff Brehaut,70.33,3587,51
51,0,23353,J.J. Henry,70.36,3307,47
51,0,02010,Loren Roberts,70.36,2744,39
53,0,01619,Skip Kendall,70.38,4293,61
54,0,12645,Brent Geiberger,70.39,1971,28
55,0,20472,Alex Cejka,70.41,3591,51
55,0,01361,Dan Forsman,70.41,3802,54
57,0,02214,Kirk Triplett,70.42,3380,48
58,0,01941,Tom Pernice Jr.,70.43,3451,49
59,0,01329,Brad Faxon,70.44,3029,43
60,0,01024,Billy Andrade,70.48,3665,52
60,0,20634,Peter Lonard,70.48,3101,44
62,0,07867,Woody Austin,70.50,3525,50
63,0,20663,Brenden Pappas,70.52,3526,50
64,0,10885,Robert Allenby,70.53,2257,32
64,0,20645,John Senden,70.53,3879,55
66,0,11011,Mike Sposa,70.55,2681,38
67,0,08725,Tom Gillis,70.56,2540,36
68,0,21805,Harrison Frazar,70.57,2964,42
69,0,08337,Mike Heinen,70.58,3388,48
69,0,02223,Bob Tway,70.58,2329,33
71,0,20548,Hidemichi Tanaka,70.59,4094,58
72,0,24357,K.J. Choi,70.60,3530,50
72,0,24502,Adam Scott,70.60,1059,15
74,0,23983,Luke Donald,70.62,2966,42
75,0,20029,Notah Begay III,70.64,3108,44
76,0,01707,Steve Lowery,70.65,2614,37
77,0,24361,Pat Perez,70.67,3180,45
78,0,10107,Deane Pappas,70.68,2827,40
79,0,08075,Jerry Kelly,70.69,3181,45
80,0,22046,Geoff Ogilvy,70.71,2475,35
80,0,02002,John Riegger,70.71,1980,28
82,0,10733,Kent Jones,70.76,2406,34
83,0,06575,Dudley Hart,70.77,2194,31
83,0,08633,Per-Ulrik Johansson,70.77,3326,47
83,0,01766,Billy Mayfair,70.77,4034,57
86,0,01378,David Frost,70.78,3256,46
86,0,23621,Rory Sabbatini,70.78,3539,50
88,0,01226,Fred Couples,70.80,1770,25
88,0,06515,Shaun Micheel,70.80,3540,50
90,0,23541,Ben Crane,70.82,3470,49
90,0,26420,Richard Johnson,70.82,3612,51
90,0,01724,Jeff Maggert,70.82,2762,39
