RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 5 BIRDIES OR BETTER,PAR 5 HOLES
1,0,30911,Tommy Fleetwood,56.32,107,190
2,0,33448,Justin Thomas,55.93,132,236
3,0,36689,Brooks Koepka,55.49,91,164
4,0,30925,Dustin Johnson,55.36,124,224
5,0,22405,Justin Rose,54.37,112,206
6,0,46970,Jon Rahm,53.96,109,202
7,0,47959,Bryson DeChambeau,53.93,151,280
8,0,29725,Tony Finau,53.69,160,298
9,0,39546,Keith Mitchell,53.02,158,298
10,0,34046,Jordan Spieth,52.70,117,222
11,0,31323,Gary Woodland,52.26,139,266
12,0,28237,Rory McIlroy,51.74,89,172
13,0,29223,Sam Saunders,51.36,113,220
14,0,30944,Jason Kokrak,50.65,155,306
15,0,01810,Phil Mickelson,50.38,133,264
16,0,48081,Xander Schauffele,50.36,138,274
17,0,29420,Billy Horschel,50.20,127,253
18,0,25364,Paul Casey,50.00,106,212
18,0,50526,Tom Lovelady,50.00,128,256
18,0,25804,Bubba Watson,50.00,117,234
21,0,27129,Luke List,49.66,147,296
22,0,35310,Lanto Griffin,49.56,113,228
23,0,29268,Bronson Burgoon,49.52,104,210
23,0,28089,Jason Day,49.52,104,210
25,0,23621,Rory Sabbatini,49.47,139,281
26,0,32333,Kevin Tway,49.10,164,334
27,0,32102,Rickie Fowler,49.06,104,212
28,0,21528,Henrik Stenson,48.81,82,168
29,0,33418,Shawn Stefani,48.74,116,238
30,0,35450,Patrick Cantlay,48.73,115,236
31,0,22056,Cameron Percy,48.72,76,156
32,0,23320,Ryan Palmer,48.69,93,191
33,0,08793,Tiger Woods,48.48,96,198
34,0,24846,Ricky Barnes,48.22,95,197
35,0,27936,Martin Laird,48.10,101,210
36,0,35545,Blayne Barber,47.94,93,194
37,0,37189,Harold Varner III,47.84,133,278
38,0,27349,Alex Noren,47.73,84,176
39,0,32757,Patton Kizzire,47.67,123,258
40,0,33141,Keegan Bradley,47.39,136,287
41,0,28252,Seamus Power,47.13,115,244
42,0,36799,Stephan Jaeger,47.08,113,240
42,0,29484,Peter Uihlein,47.08,113,240
44,0,34264,Hudson Swafford,46.82,103,220
45,0,29461,Jamie Lovemark,46.81,132,282
46,0,27141,J.B. Holmes,46.69,113,242
47,0,35891,Cameron Smith,46.61,110,236
48,0,23325,Vaughn Taylor,46.55,108,232
49,0,29221,Webb Simpson,46.43,117,252
50,0,49964,Aaron Wise,46.27,124,268
51,0,32448,James Hahn,46.21,122,264
52,0,33948,Byeong Hun An,45.97,114,248
53,0,34360,Patrick Reed,45.93,124,270
53,0,32150,Michael Thompson,45.93,79,172
55,0,46501,Ollie Schniederjans,45.83,121,264
56,0,34076,Joel Dahmen,45.80,120,262
57,0,26300,Matt Jones,45.79,87,190
58,0,28307,Matt Every,45.71,112,245
59,0,29478,Kevin Kisner,45.54,102,224
59,0,24138,Ian Poulter,45.54,92,202
61,0,26851,Marc Leishman,45.52,122,268
62,0,40026,Daniel Berger,45.50,101,222
63,0,30978,Kiradech Aphibarnrat,45.45,60,132
64,0,46601,Trey Mullinax,45.24,95,210
65,0,32640,Troy Merritt,45.22,123,272
66,0,32366,Kevin Chappell,45.13,102,226
67,0,30110,Kyle Stanley,45.11,120,266
68,0,37455,Si Woo Kim,45.09,147,326
69,0,34099,Harris English,45.08,110,244
70,0,46435,Austin Cook,45.03,145,322
71,0,25900,Lucas Glover,45.00,99,220
71,0,32839,Hideki Matsuyama,45.00,99,220
71,0,25632,Jimmy Walker,45.00,108,240
74,0,36699,Patrick Rodgers,44.93,133,296
75,0,25396,Kevin Na,44.92,115,256
76,0,28679,Fabián Gómez,44.83,117,261
77,0,45609,Tyler Duncan,44.80,125,279
78,0,19803,Ryan Armour,44.75,145,324
79,0,27064,Jhonattan Vegas,44.72,127,284
80,0,26499,Rafa Cabrera Bello,44.71,93,208
81,0,29535,Brice Garnett,44.63,133,298
82,0,35421,Brandon Harkins,44.59,132,296
83,0,25198,Francesco Molinari,44.50,89,200
84,0,37275,Sam Ryder,44.49,113,254
85,0,35532,Tom Hoge,44.33,129,291
86,0,25493,Nick Taylor,44.22,130,294
87,0,32254,Xinjun Zhang,44.02,103,234
88,0,19846,Brian Gay,44.00,132,300
89,0,24502,Adam Scott,43.98,106,241
90,0,45526,Abraham Ancer,43.96,131,298
90,0,27214,Kevin Streelman,43.96,131,298
92,0,39324,J.J. Spaun,43.91,101,230
93,0,35461,Beau Hossler,43.90,144,328
94,0,24925,Jonathan Byrd,43.88,86,196
94,0,29485,Brett Stegmaier,43.88,86,196
96,0,47993,Denny McCarthy,43.81,85,194
97,0,34563,Chesson Hadley,43.73,136,311
98,0,25892,Steve Wheatcroft,43.68,83,190
99,0,31646,Emiliano Grillo,43.57,122,280
100,0,32876,Martin Piller,43.55,108,248
101,0,30926,Chris Kirk,43.53,148,340
102,0,29974,Branden Grace,43.33,91,210
103,0,29518,Brendan Steele,43.27,90,208
104,0,24361,Pat Perez,43.23,99,229
105,0,30692,Scott Stallings,43.17,120,278
106,0,47128,Richy Werenski,43.06,124,288
107,0,39328,Conrad Shindler,43.02,74,172
108,0,26951,Johnson Wagner,42.92,97,226
109,0,21961,Charles Howell III,42.86,132,308
110,0,39327,Ben Silverman,42.80,113,264
111,0,34409,David Lingmerth,42.74,106,248
111,0,25818,Scott Piercy,42.74,103,241
113,0,24024,Zach Johnson,42.69,111,260
114,0,20157,Retief Goosen,42.59,69,162
115,0,34213,Grayson Murray,42.58,109,256
116,0,33204,Shane Lowry,42.13,75,178
117,0,20229,Stewart Cink,41.98,110,262
118,0,29908,C.T. Pan,41.92,122,291
119,0,12716,Charley Hoffman,41.87,103,246
120,0,20472,Alex Cejka,41.86,90,215
121,0,46402,Talor Gooch,41.85,95,227
122,0,27942,Rob Oppenheim,41.82,92,220
123,0,24781,Hunter Mahan,41.74,91,218
124,0,47347,Adam Schenk,41.73,106,254
125,0,28132,Tyrone Van Aswegen,41.64,122,293
126,0,25834,Daniel Summerhays,41.56,64,154
127,0,22371,Aaron Baddeley,41.39,101,244
128,0,27958,Ryan Blaum,41.38,96,232
129,0,34174,John Huh,41.37,115,278
130,0,39997,Corey Conners,41.20,117,284
131,0,33419,Cameron Tringale,41.18,84,204
132,0,26758,David Hearn,41.15,79,192
133,0,27644,Brian Harman,41.09,106,258
134,0,40058,Zac Blair,41.05,78,190
135,0,34098,Russell Henley,40.99,91,222
136,0,34363,Tyrrell Hatton,40.91,63,154
136,0,26329,Louis Oosthuizen,40.91,63,154
138,0,27649,Brandt Snedeker,40.83,98,240
139,0,27974,Sung Kang,40.81,111,272
140,0,28775,Nate Lashley,40.79,62,152
141,0,31202,William McGirt,40.76,97,238
142,0,34358,Jonathan Randolph,40.70,81,199
143,0,35506,Mackenzie Hughes,40.68,96,236
144,0,39975,Michael Kim,40.65,87,214
144,0,24140,Sean O'Hair,40.65,87,214
146,0,23108,Matt Kuchar,40.63,104,256
146,0,25572,Graeme McDowell,40.63,78,192
148,0,39954,Cody Gribble,40.57,86,212
149,0,34021,Bud Cauley,40.53,77,190
150,0,29926,Danny Lee,40.50,113,279
151,0,26596,Ryan Moore,40.34,96,238
152,0,10809,Jim Furyk,40.30,54,134
153,0,24924,Bill Haas,40.26,93,231
154,0,26331,Charl Schwartzel,40.22,74,184
155,0,28500,Martin Flores,40.15,108,269
156,0,40009,Dominic Bozzelli,40.10,77,192
156,0,33413,Ben Martin,40.10,81,202
158,0,27556,Ted Potter Jr.,40.00,104,260
159,0,34466,Peter Malnati,39.92,103,258
160,0,31416,Derek Fathauer,39.84,98,246
161,0,27095,Nick Watney,39.79,113,284
162,0,33122,Russell Knox,39.78,109,274
163,0,25686,Jason Dufner,39.69,77,194
164,0,27963,Chris Stroud,39.57,91,230
165,0,29479,Scott Brown,39.47,120,304
166,0,27895,Jonas Blixt,39.29,77,196
167,0,34256,Andrew Putnam,39.13,108,276
168,0,31420,Anirban Lahiri,38.93,95,244
169,0,49771,J.T. Poston,38.74,86,222
170,0,48084,Wesley Bryan,38.57,81,210
171,0,47125,Matt Atkins,38.51,67,174
172,0,24358,Robert Garrigus,38.40,96,250
173,0,37278,Nicholas Lindheim,38.14,82,215
174,0,29222,Billy Hurley III,38.07,75,197
175,0,33399,Adam Hadwin,38.03,108,284
176,0,20593,Greg Chalmers,37.65,64,170
177,0,37454,Whee Kim,37.33,109,292
178,0,47287,Ethan Tracy,37.27,82,220
179,0,23353,J.J. Henry,37.13,88,237
180,0,34431,Robert Streb,36.86,87,236
181,0,12510,Chad Campbell,36.80,92,250
182,0,26476,Chez Reavie,36.76,100,272
183,0,33410,Andrew Landry,36.55,87,238
184,0,23541,Ben Crane,36.32,69,190
185,0,31560,Brian Stuard,36.16,111,307
186,0,35879,Kelly Kraft,35.66,102,286
187,0,37338,Zecheng Dou,35.40,57,161
188,0,35376,Roberto Díaz,34.98,71,203
189,0,32816,Satoshi Kodaira,34.62,45,130
190,0,22582,Kyle Thompson,34.46,51,148
191,0,25240,D.A. Points,34.34,68,198
