RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,02100,Tim Simpson,14,8,6
2,0,01797,Rocco Mediate,21,19,2
3,0,01945,Kenny Perry,22,1,21
4,0,01837,Gil Morgan,25,12,13
5,0,01633,Tom Kite,27,24,3
6,0,01938,David Peoples,28,13,15
7,0,01133,Billy Ray Brown,29,5,24
8,0,02322,Richard Zokol,32,21,11
9,0,01042,Paul Azinger,33,10,23
10,0,01569,Peter Jacobsen,34,22,12
10,0,02190,Doug Tewell,34,33,1
12,0,01527,Scott Hoch,36,7,29
13,0,01510,Nolan Henke,38,24,14
13,0,01876,Greg Norman,38,2,36
15,0,02241,Bobby Wadkins,39,31,8
16,0,01690,Bruce Lietzke,40,14,26
17,0,02159,Curtis Strange,41,37,4
18,0,01226,Fred Couples,43,15,28
19,0,02049,Gene Sauers,45,3,42
20,0,01766,Billy Mayfair,47,17,30
21,0,01975,Tom Purtzer,49,39,10
22,0,01313,Steve Elkington,50,8,42
23,0,01599,Steve Jones,59,6,53
23,0,01725,John Mahaffey,59,43,16
25,0,01060,Dave Barr,62,57,5
26,0,01968,Nick Price,64,44,20
27,0,06118,Greg Bruckner,68,35,33
28,0,01035,Tommy Armour III,70,19,51
29,0,01385,Jim Gallagher Jr.,71,16,55
29,0,02067,Ted Schulz,71,31,40
31,0,02180,Harry Taylor,75,58,17
32,0,02303,Robert Wrenn,77,41,36
33,0,01049,Ian Baker-Finch,79,29,50
34,0,01418,Bill Glasson,80,17,63
35,0,01926,Steve Pate,81,29,52
36,0,01715,Mark Lye,83,76,7
37,0,01823,Larry Mize,89,64,25
38,0,01559,Hale Irwin,90,68,22
38,0,01887,Mark O'Meara,90,58,32
40,0,01161,Mark Calcavecchia,92,56,36
41,0,02321,Fuzzy Zoeller,96,39,57
42,0,01388,Robert Gamez,100,11,89
42,0,02148,Ray Stewart,100,83,17
44,0,02170,Hal Sutton,102,48,54
45,0,02146,Payne Stewart,103,23,80
46,0,06284,Jim Hallet,106,66,40
47,0,01723,Andrew Magee,109,37,72
47,0,02010,Loren Roberts,109,100,9
49,0,01219,John Cook,111,94,17
49,0,01390,Buddy Gardner,111,27,84
51,0,01928,Corey Pavin,113,78,35
52,0,01320,Bob Estes,115,50,65
52,0,01783,Mark McCumber,115,79,36
54,0,02101,Joey Sindelar,116,70,46
55,0,01682,Wayne Levi,119,75,44
56,0,01006,John Adams,123,48,75
57,0,01706,Davis Love III,126,27,99
58,0,01014,Fulton Allem,127,26,101
58,0,02133,Craig Stadler,127,3,124
60,0,01203,Russ Cochran,128,81,47
61,0,01307,Joel Edwards,129,53,76
