RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
1,0,06621,Joe Durant,91.27,1077,1180
2,0,02239,Scott Verplank,89.75,1138,1268
3,0,08385,Omar Uresti,88.80,1054,1187
4,0,01381,Fred Funk,88.31,1179,1335
5,0,01139,Olin Browne,88.15,1079,1224
6,0,02214,Kirk Triplett,87.94,1028,1169
7,0,01677,Tom Lehman,87.87,811,923
8,0,01203,Russ Cochran,87.69,748,853
9,0,01142,Bart Bryant,87.58,839,958
10,0,07363,Craig Bowden,87.47,1012,1157
11,0,24024,Zach Johnson,87.42,1307,1495
11,0,20548,Hidemichi Tanaka,87.42,1084,1240
13,0,21959,Ted Purdy,87.25,1362,1561
13,0,21878,Mark Wilson,87.25,753,863
15,0,02246,Duffy Waldorf,87.01,884,1016
16,0,08123,Jeff Brehaut,86.95,1259,1448
17,0,22293,Heath Slocum,86.85,1090,1255
18,0,07457,Steve Flesch,86.68,1276,1472
19,0,06567,Vijay Singh,86.55,1332,1539
20,0,23135,Tim Clark,86.52,1014,1172
21,0,19972,José Coceres,86.35,772,894
21,0,08075,Jerry Kelly,86.35,1310,1517
23,0,20628,Arron Oberholser,86.33,878,1017
24,0,01157,Tom Byrum,86.30,995,1153
25,0,06251,Chris DiMarco,86.21,1182,1371
26,0,23983,Luke Donald,86.20,868,1007
27,0,20498,Briny Baird,86.18,1166,1353
28,0,01797,Rocco Mediate,86.17,573,665
29,0,26287,Roland Thatcher,86.10,793,921
30,0,22913,John Rollins,85.95,1022,1189
31,0,20645,John Senden,85.91,1152,1341
32,0,01766,Billy Mayfair,85.85,1256,1463
33,0,20029,Notah Begay III,85.76,801,934
33,0,02104,Jeff Sluman,85.76,1156,1348
35,0,10885,Robert Allenby,85.75,1053,1228
36,0,01810,Phil Mickelson,85.74,944,1101
37,0,07721,Pat Bates,85.64,1157,1351
38,0,01219,John Cook,85.62,631,737
39,0,21961,Charles Howell III,85.58,1205,1408
40,0,01127,Danny Briggs,85.56,966,1129
40,0,19881,Robert Damron,85.56,1096,1281
42,0,12652,Cameron Beckman,85.55,1143,1336
43,0,06004,Stephen Ames,85.50,1132,1324
44,0,01313,Steve Elkington,85.48,724,847
45,0,10425,Jay Williamson,85.47,1165,1363
46,0,01724,Jeff Maggert,85.34,716,839
47,0,25396,Kevin Na,85.30,1137,1333
48,0,07223,Brian Bateman,85.27,949,1113
48,0,02101,Joey Sindelar,85.27,1164,1365
50,0,19824,Craig Barlow,85.17,925,1086
51,0,22046,Geoff Ogilvy,85.15,1032,1212
52,0,10585,Scott McCarron,85.13,1019,1197
52,0,01941,Tom Pernice Jr.,85.13,1174,1379
54,0,01928,Corey Pavin,85.08,935,1099
55,0,24361,Pat Perez,85.03,1187,1396
56,0,10733,Kent Jones,84.93,1144,1347
57,0,06595,Kevin Sutherland,84.88,960,1131
58,0,11032,Frank Lickliter II,84.76,1018,1201
59,0,10201,Matt Gogel,84.75,995,1174
60,0,10860,Justin Leonard,84.60,1005,1188
61,0,01527,Scott Hoch,84.59,604,714
62,0,22405,Justin Rose,84.56,849,1004
63,0,20098,Stuart Appleby,84.46,924,1094
63,0,01948,Tim Petrovic,84.46,1261,1493
65,0,26420,Richard Johnson,84.43,1198,1419
65,0,02106,Chris Smith,84.43,1236,1464
67,0,10213,Dicky Pride,84.41,742,879
68,0,01553,John Huston,84.40,660,782
69,0,12510,Chad Campbell,84.38,1097,1300
70,0,23623,Bo Van Pelt,84.37,1220,1446
71,0,24290,D.J. Brigman,84.35,895,1061
72,0,02002,John Riegger,84.19,623,740
73,0,08339,Spike McRoy,84.18,1064,1264
74,0,01619,Skip Kendall,84.16,1158,1376
75,0,21633,Steve Allan,84.11,1159,1378
76,0,01577,Lee Janzen,84.06,960,1142
77,0,21209,Sergio Garcia,84.04,753,896
78,0,01388,Robert Gamez,84.02,1204,1433
79,0,24507,Jason Bohn,84.00,1113,1325
80,0,21949,Joe Ogilvie,83.92,1195,1424
81,0,25900,Lucas Glover,83.90,1063,1267
82,0,12823,Carlos Franco,83.88,1155,1377
83,0,23541,Ben Crane,83.85,1080,1288
83,0,12682,Hirofumi Miyase,83.85,737,879
85,0,02010,Loren Roberts,83.84,918,1095
86,0,08931,Glen Day,83.82,1155,1378
86,0,02206,David Toms,83.82,865,1032
88,0,01887,Mark O'Meara,83.81,678,809
89,0,21646,David Branshaw,83.74,958,1144
89,0,12645,Brent Geiberger,83.74,1061,1267
91,0,01927,Dennis Paulson,83.65,829,991
92,0,23353,J.J. Henry,83.60,1198,1433
93,0,06809,Bob Burns,83.58,1003,1200
94,0,01706,Davis Love III,83.54,878,1051
95,0,07867,Woody Austin,83.50,1093,1309
96,0,01457,Jay Haas,83.45,918,1100
97,0,12760,Danny Ellis,83.43,896,1074
97,0,08537,J.P. Hayes,83.43,871,1044
99,0,01685,J.L. Lewis,83.41,1232,1477
100,0,02099,Scott Simpson,83.40,638,765
101,0,21805,Harrison Frazar,83.38,948,1137
102,0,01161,Mark Calcavecchia,83.35,901,1081
102,0,23108,Matt Kuchar,83.35,961,1153
102,0,23325,Vaughn Taylor,83.35,951,1141
105,0,06078,Esteban Toledo,83.33,1045,1254
106,0,06575,Dudley Hart,83.11,674,811
106,0,01761,Len Mattiace,83.11,866,1042
106,0,10107,Deane Pappas,83.11,812,977
109,0,01945,Kenny Perry,83.08,879,1058
110,0,24781,Hunter Mahan,83.07,1089,1311
111,0,12753,David Morland IV,83.01,845,1018
112,0,12680,Shigeki Maruyama,82.97,1072,1292
113,0,23320,Ryan Palmer,82.95,1153,1390
114,0,20157,Retief Goosen,82.94,637,768
115,0,02049,Gene Sauers,82.91,936,1129
116,0,20378,Mathias Grönberg,82.85,1005,1213
117,0,25345,Carl Pettersson,82.83,1119,1351
118,0,06214,Guy Boros,82.77,740,894
119,0,01968,Nick Price,82.71,579,700
120,0,01926,Steve Pate,82.69,793,959
121,0,01320,Bob Estes,82.62,813,984
122,0,01666,Bernhard Langer,82.59,631,764
123,0,10423,Mike Weir,82.57,843,1021
124,0,06332,Neal Lancaster,82.55,1183,1433
125,0,01378,David Frost,82.50,896,1086
126,0,01361,Dan Forsman,82.43,882,1070
127,0,20229,Stewart Cink,82.42,1116,1354
128,0,24357,K.J. Choi,82.41,942,1143
128,0,20094,Jonathan Kaye,82.41,876,1063
130,0,01771,Blaine McCallister,82.40,782,949
131,0,25686,Jason Dufner,82.38,907,1101
132,0,01920,Craig Parry,82.33,573,696
133,0,01261,Jay Delsing,82.28,836,1016
134,0,23621,Rory Sabbatini,82.27,993,1207
135,0,01035,Tommy Armour III,82.25,1001,1217
136,0,22621,Ben Curtis,82.24,602,732
136,0,22548,Patrick Sheehan,82.24,1269,1543
138,0,01226,Fred Couples,82.22,601,731
139,0,06197,Michael Allen,82.21,975,1186
139,0,12660,Jesper Parnevik,82.21,984,1197
141,0,19825,Darren Clarke,82.10,555,676
142,0,20472,Alex Cejka,81.95,799,975
143,0,01329,Brad Faxon,81.92,1015,1239
144,0,20433,Mark Hensby,81.90,1063,1298
145,0,23614,Rich Beem,81.79,876,1071
146,0,20382,Stephen Leaney,81.70,853,1044
147,0,01132,Mark Brooks,81.58,797,977
148,0,01707,Steve Lowery,81.57,1009,1237
149,0,06515,Shaun Micheel,81.55,1039,1274
150,0,20850,Daniel Chopra,81.50,1203,1476
151,0,12782,Tim Herron,81.49,942,1156
152,0,21407,Arjun Atwal,81.45,944,1159
153,0,01938,David Peoples,81.29,908,1117
154,0,21893,Brian Kortan,81.27,703,865
155,0,12602,Dean Wilson,81.25,1118,1376
156,0,08337,Mike Heinen,81.19,600,739
157,0,02223,Bob Tway,81.16,969,1194
158,0,20585,Niclas Fasth,81.12,679,837
159,0,24925,Jonathan Byrd,81.01,934,1153
