RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL PAR 4 HOLES,TOTAL HOLE OUTS
1,0,26476,Chez Reavie,6,921,5
2,0,25818,Scott Piercy,4,914,2
3,0,22371,Aaron Baddeley,3,951,2
3,0,32200,Roberto Castro,3,1035,3
3,0,32366,Kevin Chappell,3,993,2
3,0,29720,Andres Gonzales,3,840,1
3,0,29461,Jamie Lovemark,3,964,2
3,0,25198,Francesco Molinari,3,696,3
3,0,25834,Daniel Summerhays,3,1061,2
3,0,28114,Dawie van der Walt,3,755,3
11,0,24461,Thomas Aiken,2,703,2
11,0,29745,Tyler Aldridge,2,847,2
11,0,40026,Daniel Berger,2,952,0
11,0,29268,Bronson Burgoon,2,853,1
11,0,06522,Ernie Els,2,712,2
11,0,35539,Luke Guthrie,2,591,2
11,0,24924,Bill Haas,2,885,2
11,0,20766,Padraig Harrington,2,585,1
11,0,21961,Charles Howell III,2,970,2
11,0,30925,Dustin Johnson,2,883,2
11,0,26300,Matt Jones,2,865,1
11,0,46440,Smylie Kaufman,2,946,1
11,0,08075,Jerry Kelly,2,813,1
11,0,29478,Kevin Kisner,2,1036,1
11,0,28092,D.H. Lee,2,607,2
11,0,27466,Spencer Levin,2,1075,2
11,0,34409,David Lingmerth,2,873,1
11,0,24781,Hunter Mahan,2,631,0
11,0,32640,Troy Merritt,2,827,2
11,0,23800,Bryce Molder,2,829,2
11,0,30163,Henrik Norlander,2,717,1
11,0,27942,Rob Oppenheim,2,677,2
11,0,25240,D.A. Points,2,546,2
11,0,36699,Patrick Rodgers,2,912,2
11,0,26331,Charl Schwartzel,2,760,2
11,0,24502,Adam Scott,2,832,2
11,0,30692,Scott Stallings,2,758,1
11,0,29518,Brendan Steele,2,896,1
11,0,06527,Steve Stricker,2,579,2
11,0,30927,Brendon Todd,2,675,1
11,0,25632,Jimmy Walker,2,901,2
11,0,31323,Gary Woodland,2,980,1
43,0,45526,Abraham Ancer,1,519,1
43,0,35545,Blayne Barber,1,868,1
43,0,24846,Ricky Barnes,1,1003,1
43,0,27895,Jonas Blixt,1,807,0
43,0,25720,Chad Collins,1,787,1
43,0,24494,Erik Compton,1,675,1
43,0,23541,Ben Crane,1,822,1
43,0,23638,Brendon de Jonge,1,866,1
43,0,27436,Graham DeLaet,1,698,1
43,0,34099,Harris English,1,1061,1
43,0,29725,Tony Finau,1,1020,0
43,0,32102,Rickie Fowler,1,834,0
43,0,10809,Jim Furyk,1,580,1
43,0,21209,Sergio Garcia,1,548,1
43,0,24358,Robert Garrigus,1,706,1
43,0,22892,Jason Gore,1,781,1
43,0,29974,Branden Grace,1,642,0
43,0,34563,Chesson Hadley,1,839,1
43,0,33399,Adam Hadwin,1,998,1
43,0,32448,James Hahn,1,917,0
43,0,26758,David Hearn,1,1013,1
43,0,34098,Russell Henley,1,827,1
43,0,35532,Tom Hoge,1,839,1
43,0,27141,J.B. Holmes,1,795,1
43,0,36801,Mark Hubbard,1,1033,1
43,0,34174,John Huh,1,914,1
43,0,21731,Freddie Jacobson,1,925,1
43,0,24024,Zach Johnson,1,952,0
43,0,37455,Si Woo Kim,1,1175,1
43,0,33122,Russell Knox,1,965,0
43,0,36689,Brooks Koepka,1,765,0
43,0,30944,Jason Kokrak,1,959,1
43,0,23108,Matt Kuchar,1,1046,0
43,0,33410,Andrew Landry,1,533,1
43,0,29926,Danny Lee,1,966,1
43,0,33204,Shane Lowry,1,585,1
43,0,34466,Peter Malnati,1,919,1
43,0,28158,Steve Marino,1,735,1
43,0,33413,Ben Martin,1,947,1
43,0,32839,Hideki Matsuyama,1,784,1
43,0,25572,Graeme McDowell,1,658,1
43,0,28237,Rory McIlroy,1,656,1
43,0,01810,Phil Mickelson,1,777,1
43,0,26596,Ryan Moore,1,873,1
43,0,22046,Geoff Ogilvy,1,627,1
43,0,20691,Greg Owen,1,876,1
43,0,23320,Ryan Palmer,1,925,1
43,0,35451,Scott Pinckney,1,914,0
43,0,34360,Patrick Reed,1,1081,0
43,0,29476,Kyle Reifers,1,1187,1
43,0,22405,Justin Rose,1,655,1
43,0,29221,Webb Simpson,1,768,1
43,0,06567,Vijay Singh,1,779,1
43,0,27649,Brandt Snedeker,1,971,1
43,0,33418,Shawn Stefani,1,944,1
43,0,34431,Robert Streb,1,902,1
43,0,27963,Chris Stroud,1,858,1
43,0,31560,Brian Stuard,1,715,1
43,0,25493,Nick Taylor,1,838,1
43,0,27770,Camilo Villegas,1,847,0
43,0,26951,Johnson Wagner,1,934,1
43,0,25804,Bubba Watson,1,751,1
43,0,25892,Steve Wheatcroft,1,867,1
43,0,34265,Will Wilcox,1,693,1
