RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,23656,Jason Caron,247,Deutsche Bank,1,7 - Par 5 -
2,0,22405,Justin Rose,232,Greensboro,1,17 - Par 3
3,0,20094,Jonathan Kaye,223,Chrysler-Tampa,1,17 - Par 3
4,0,01249,John Daly,220,Bob Hope Chrysl,4,2 - Par 5 -
5,0,24452,John Douma,219,Tucson,2,8 - Par 5 -
6,0,25900,Lucas Glover,218,Western Open,2,12 - Par 3
7,0,19846,Brian Gay,209,Shell Houston,4,3 - Par 3 -
8,0,23338,David Gossett,209,John Deere Clas,2,12 - Par 3
9,0,20378,Mathias Grönberg,208,Chrysler-Tampa,2,15 - Par 3
10,0,01771,Blaine McCallister,202,Buick Champ,1,8 - Par 3 -
11,0,20029,Notah Begay III,199,John Deere Clas,2,9 - Par 4 -
12,0,20433,Mark Hensby,199,John Deere Clas,1,3 - Par 3 -
13,0,06527,Steve Stricker,198,Western Open,3,18 - Par 4
14,0,20498,Briny Baird,197,Buick Open,1,3 - Par 3 -
15,0,01527,Scott Hoch,196,Western Open,2,14 - Par 3
16,0,22621,Ben Curtis,195,84 LUMBER,4,12 - Par 3
17,0,10425,Jay Williamson,193,FedEx St. Jude,2,10 - Par 4
18,0,06197,Michael Allen,193,FedEx St. Jude,3,4 - Par 3 -
19,0,01329,Brad Faxon,190,WGC-Am Express,2,7 - Par 4 -
20,0,10733,Kent Jones,187,EDS B. Nelson,3,8 - Par 4 -
21,0,20472,Alex Cejka,186,Booz Allen,2,8 - Par 4 -
22,0,21949,Joe Ogilvie,186,Reno-Tahoe Open,2,15 - Par 4
23,0,01666,Bernhard Langer,185,Ford Champ,2,6 - Par 4 -
24,0,19881,Robert Damron,182,EDS B. Nelson,4,15 - Par 4
25,0,07707,Mike Small,181,Western Open,2,2 - Par 3 -
26,0,20634,Peter Lonard,178,Western Open,1,5 - Par 4 -
27,0,21959,Ted Purdy,177,Memorial Tourna,2,18 - Par 4
28,0,11032,Frank Lickliter II,176,EDS B. Nelson,2,6 - Par 4 -
30,0,25345,Carl Pettersson,173,Nissan Open,2,14 - Par 3
31,0,19825,Darren Clarke,172,Mercedes Champ,3,17 - Par 4
32,0,06373,José María Olazábal,171,THE PLAYERS,2,13 - Par 3
33,0,01945,Kenny Perry,171,Milwaukee,4,8 - Par 4 -
34,0,01968,Nick Price,170,Ford Champ,3,17 - Par 4
35,0,01938,David Peoples,169,84 LUMBER,1,12 - Par 3
36,0,20593,Greg Chalmers,169,John Deere Clas,4,7 - Par 3 -
37,0,22913,John Rollins,169,John Deere Clas,4,7 - Par 3 -
38,0,22378,Trevor Immelman,169,Deutsche Bank,2,15 - Par 4
40,0,02294,Willie Wood,168,John Deere Clas,3,16 - Par 3
41,0,02131,Mike Springer,166,FedEx St. Jude,2,7 - Par 4 -
42,0,24511,Thongchai Jaidee,165,WGC-Am Express,2,11 - Par 3
43,0,10423,Mike Weir,163,Chrysler-Tampa,1,12 - Par 4
44,0,01577,Lee Janzen,161,Bay Hill Invita,4,11 - Par 4
45,0,01941,Tom Pernice Jr.,159,Memorial Tourna,2,12 - Par 3
46,0,23325,Vaughn Taylor,158,FUNAI-Disney,4,3 - Par 3 -
47,0,20436,Garrett Willis,157,Reno-Tahoe Open,4,16 - Par 3
48,0,12602,Dean Wilson,154,Deutsche Bank,4,9 - Par 4 -
49,0,06515,Shaun Micheel,154,Memorial Tourna,4,1 - Par 4 -
50,0,06251,Chris DiMarco,154,FUNAI-Disney,2,16 - Par 4
52,0,02257,Brian Watts,151,BellSouth Class,3,15 - Par 4
53,0,26476,Chez Reavie,151,Michelin,2,18 - Par 4
54,0,21731,Freddie Jacobson,149,Greensboro,1,10 - Par 4
55,0,10585,Scott McCarron,148,Memorial Tourna,2,18 - Par 4
56,0,01175,Jim Carter,147,FedEx St. Jude,2,8 - Par 3 -
57,0,08123,Jeff Brehaut,146,Shell Houston,3,6 - Par 4 -
58,0,23320,Ryan Palmer,145,Booz Allen,3,9 - Par 3 -
59,0,08075,Jerry Kelly,144,Milwaukee,1,10 - Par 4
61,0,01926,Steve Pate,143,Deutsche Bank,3,10 - Par 4
62,0,12782,Tim Herron,143,FBR Open,3,1 - Par 4 -
63,0,20812,Tjaart van der Walt,143,HP Classic,2,11 - Par 5
65,0,01203,Russ Cochran,142,Shell Houston,2,2 - Par 4 -
66,0,22293,Heath Slocum,142,Deutsche Bank,2,10 - Par 4
67,0,01261,Jay Delsing,142,John Deere Clas,1,13 - Par 4
69,0,02245,Grant Waite,140,Honda Classic,2,4 - Par 4 -
70,0,01797,Rocco Mediate,137,Reno-Tahoe Open,2,3 - Par 4 -
71,0,01810,Phil Mickelson,136,THE TOUR Champ,2,1 - Par 4 -
72,0,25396,Kevin Na,135,Buick Open,2,4 - Par 4 -
73,0,06004,Stephen Ames,133,Shell Houston,3,14 - Par 4
74,0,26497,Casey Wittenberg,132,Deutsche Bank,2,1 - Par 4 -
75,0,06809,Bob Burns,132,Buick Open,1,6 - Par 4 -
76,0,08931,Glen Day,131,EDS B. Nelson,1,1 - Par 4 -
77,0,20104,Ken Duke,131,Buick Invitatio,1,10 - Par 4
79,0,07749,Brett Quigley,130,Wachovia Champ,1,15 - Par 5
80,0,20645,John Senden,129,So. Farm Bureau,1,10 - Par 4
82,0,06575,Dudley Hart,128,Bell Canadian,4,4 - Par 4 -
86,0,07867,Woody Austin,126,Memorial Tourna,4,1 - Par 4 -
87,0,21209,Sergio Garcia,124,THE PLAYERS,2,9 - Par 5 -
88,0,12394,Tom Carter,123,Greensboro,1,7 - Par 4 -
89,0,23108,Matt Kuchar,123,John Deere Clas,4,11 - Par 4
90,0,06332,Neal Lancaster,123,So. Farm Bureau,1,13 - Par 4
91,0,01928,Corey Pavin,121,Buick Champ,1,2 - Par 4 -
93,0,01378,David Frost,121,FUNAI-Disney,3,2 - Par 4 -
94,0,06078,Esteban Toledo,121,FUNAI-Disney,3,18 - Par 4
95,0,19824,Craig Barlow,119,So. Farm Bureau,1,3 - Par 4 -
96,0,01473,Todd Hamilton,119,AT&T Pebble,2,11 - Par 4
97,0,01707,Steve Lowery,118,BellSouth Class,3,3 - Par 4 -
98,0,06214,Guy Boros,117,HP Classic,3,9 - Par 4 -
100,0,06613,Tommy Tolles,116,Ford Champ,2,10 - Par 5
101,0,19822,Bobby Cochran,114,FedEx St. Jude,1,6 - Par 4 -
105,0,01024,Billy Andrade,111,Buick Invitatio,1,2 - Par 4 -
106,0,20850,Daniel Chopra,111,Buick Classic,3,15 - Par 4
107,0,19795,Kelly Mitchum,111,Wachovia Champ,2,10 - Par 5
108,0,21805,Harrison Frazar,110,So. Farm Bureau,2,13 - Par 4
112,0,08385,Omar Uresti,108,Buick Champ,1,2 - Par 4 -
115,0,22046,Geoff Ogilvy,106,Bob Hope Chrysl,2,14 - Par 5
116,0,07363,Craig Bowden,104,Colonial,2,17 - Par 4
117,0,21407,Arjun Atwal,104,Buick Invitatio,4,18 - Par 5
118,0,24290,D.J. Brigman,98,Deutsche Bank,2,18 - Par 5
119,0,01127,Danny Briggs,98,Buick Open,1,1 - Par 5 -
120,0,12753,David Morland IV,96,John Deere Clas,3,6 - Par 4 -
122,0,11123,Chris Couch,94,BellSouth Class,3,18 - Par 5
124,0,06731,Jeff Roth,94,Buick Open,1,7 - Par 5 -
128,0,06567,Vijay Singh,91,Deutsche Bank,2,1 - Par 4 -
129,0,20766,Padraig Harrington,90,BellSouth Class,4,6 - Par 5 -
130,0,01706,Davis Love III,90,Bay Hill Invita,2,8 - Par 4 -
132,0,12510,Chad Campbell,89,Colonial,1,6 - Par 4 -
133,0,01677,Tom Lehman,88,FUNAI-Disney,3,13 - Par 4
135,0,08545,Glen Hnatiuk,86,BellSouth Class,3,6 - Par 5 -
136,0,01116,Michael Bradley,86,Ford Champ,1,5 - Par 4 -
139,0,24781,Hunter Mahan,83,Booz Allen,2,14 - Par 4
142,0,01139,Olin Browne,79,Texas Open,2,1 - Par 5 -
144,0,02239,Scott Verplank,76,Buick Open,4,14 - Par 4
146,0,01014,Fulton Allem,74,Nissan Open,1,10 - Par 4
147,0,02214,Kirk Triplett,73,FBR Open,1,17 - Par 4
149,0,01320,Bob Estes,70,FBR Open,2,15 - Par 5
150,0,01226,Fred Couples,70,Memorial Tourna,3,17 - Par 4
152,0,21878,Mark Wilson,69,Reno-Tahoe Open,3,13 - Par 4
154,0,24980,Scott Gutschewski,67,AT&T Pebble,3,14 - Par 5
155,0,23063,Scott Hend,67,Buick Open,1,6 - Par 4 -
158,0,01444,Ken Green,65,FedEx St. Jude,2,12 - Par 4
159,0,02099,Scott Simpson,63,EDS B. Nelson,4,8 - Par 4 -
161,0,02002,John Riegger,61,Colonial,1,11 - Par 5
162,0,25364,Paul Casey,60,WGC-NEC Invit'l,4,11 - Par 4
164,0,02223,Bob Tway,57,THE PLAYERS,4,12 - Par 4
166,0,12760,Danny Ellis,54,Reno-Tahoe Open,4,1 - Par 4 -
169,0,01685,J.L. Lewis,53,John Deere Clas,3,10 - Par 5
172,0,01035,Tommy Armour III,50,Ford Champ,3,17 - Par 4
174,0,26950,John Morgan,48,Buick Open,1,14 - Par 4
176,0,08633,Per-Ulrik Johansson,48,Honda Classic,2,17 - Par 5
178,0,06573,Brandt Jobe,47,Buick Invitatio,1,1 - Par 4 -
180,0,12682,Hirofumi Miyase,46,FedEx St. Jude,1,5 - Par 5 -
184,0,20229,Stewart Cink,43,WGC-NEC Invit'l,2,10 - Par 4
185,0,01381,Fred Funk,43,Buick Champ,1,15 - Par 4
