RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES,GIR RANK
1,0,08793,Tiger Woods,23.92,267,1116,16
2,0,24925,Jonathan Byrd,23.41,375,1602,2
2,0,30925,Dustin Johnson,23.41,354,1512,80
4,0,29718,Anthony Kim,23.27,310,1332,164
5,0,24781,Hunter Mahan,23.07,382,1656,19
6,0,06004,Stephen Ames,23.04,311,1350,30
7,0,06527,Steve Stricker,22.64,322,1422,57
8,0,01226,Fred Couples,22.63,220,972,42
9,0,28089,Jason Day,22.50,247,1098,117
10,0,21805,Harrison Frazar,22.46,376,1674,87
11,0,20850,Daniel Chopra,22.41,359,1602,152
11,0,10860,Justin Leonard,22.41,367,1638,45
13,0,23623,Bo Van Pelt,22.39,403,1800,54
14,0,23135,Tim Clark,22.29,313,1404,48
15,0,12716,Charley Hoffman,22.05,385,1746,53
16,0,27095,Nick Watney,22.03,341,1548,78
17,0,27936,Martin Laird,21.99,285,1296,67
18,0,25818,Scott Piercy,21.96,336,1530,74
19,0,25900,Lucas Glover,21.92,367,1674,88
20,0,01810,Phil Mickelson,21.87,248,1134,127
21,0,12602,Dean Wilson,21.81,318,1458,109
22,0,24140,Sean O'Hair,21.71,297,1368,27
22,0,26498,Matt Weibring,21.71,254,1170,90
24,0,06621,Joe Durant,21.68,242,1116,3
25,0,21959,Ted Purdy,21.62,393,1818,71
26,0,25804,Bubba Watson,21.61,284,1314,132
27,0,20593,Greg Chalmers,21.57,330,1530,100
28,0,24024,Zach Johnson,21.56,357,1656,28
29,0,22046,Geoff Ogilvy,21.53,279,1296,128
29,0,27214,Kevin Streelman,21.53,376,1746,61
29,0,23788,D.J. Trahan,21.53,372,1728,7
32,0,23497,Tag Ridings,21.44,193,900,65
33,0,21753,Brian Davis,21.41,397,1854,121
34,0,26300,Matt Jones,21.33,215,1008,38
35,0,10809,Jim Furyk,21.22,317,1494,98
35,0,24358,Robert Garrigus,21.22,317,1494,4
35,0,26596,Ryan Moore,21.22,340,1602,77
38,0,23108,Matt Kuchar,21.21,313,1476,132
38,0,27963,Chris Stroud,21.21,336,1584,12
40,0,20070,Matt Bettencourt,21.20,374,1764,155
40,0,28087,Kris Blanks,21.20,229,1080,70
42,0,23621,Rory Sabbatini,21.18,305,1440,96
43,0,08075,Jerry Kelly,21.17,343,1620,124
44,0,23325,Vaughn Taylor,21.15,335,1584,110
45,0,24924,Bill Haas,21.12,346,1638,34
46,0,24663,Y.E. Yang,21.08,315,1494,76
47,0,26695,Michael Letzig,21.06,364,1728,126
48,0,21949,Joe Ogilvie,21.05,322,1530,171
49,0,20160,Charlie Wi,21.01,348,1656,120
50,0,25396,Kevin Na,21.00,344,1638,131
50,0,01945,Kenny Perry,21.00,344,1638,36
52,0,02206,David Toms,20.98,370,1764,20
