RANK,MOVEMENT,PLAYER_ID,PLAYER,BIRDIE TO BOGEY RATIO,TOTAL BIRDIES AND BETTER,TOTAL BOGEYS AND WORSE
1,0,08793,Tiger Woods,2.05,267,130
2,0,06527,Steve Stricker,1.74,322,185
3,0,23135,Tim Clark,1.54,313,203
4,0,10809,Jim Furyk,1.53,317,207
5,0,10860,Justin Leonard,1.50,367,245
6,0,24024,Zach Johnson,1.49,357,239
7,0,02206,David Toms,1.48,370,250
8,0,20593,Greg Chalmers,1.47,330,225
8,0,23108,Matt Kuchar,1.47,313,213
10,0,24925,Jonathan Byrd,1.46,375,257
11,0,25396,Kevin Na,1.45,344,238
12,0,28089,Jason Day,1.44,247,172
13,0,12716,Charley Hoffman,1.43,385,270
14,0,24781,Hunter Mahan,1.42,382,269
15,0,26300,Matt Jones,1.41,215,152
16,0,28158,Steve Marino,1.40,368,263
16,0,01945,Kenny Perry,1.40,344,245
16,0,23623,Bo Van Pelt,1.40,403,288
16,0,02239,Scott Verplank,1.40,331,237
20,0,20645,John Senden,1.39,369,266
21,0,06004,Stephen Ames,1.38,311,226
21,0,08075,Jerry Kelly,1.38,343,249
23,0,24358,Robert Garrigus,1.37,317,232
23,0,30925,Dustin Johnson,1.37,354,259
23,0,26596,Ryan Moore,1.37,340,248
23,0,20127,Chris Riley,1.37,288,210
23,0,21878,Mark Wilson,1.37,358,262
28,0,12510,Chad Campbell,1.36,333,244
28,0,10585,Scott McCarron,1.36,326,240
28,0,01948,Tim Petrovic,1.36,350,257
31,0,19846,Brian Gay,1.35,338,251
31,0,27095,Nick Watney,1.35,341,253
33,0,23541,Ben Crane,1.33,351,264
33,0,23983,Luke Donald,1.33,278,209
33,0,21805,Harrison Frazar,1.33,376,282
33,0,24924,Bill Haas,1.33,346,261
33,0,23800,Bryce Molder,1.33,249,187
38,0,25900,Lucas Glover,1.32,367,279
38,0,22046,Geoff Ogilvy,1.32,279,212
38,0,23788,D.J. Trahan,1.32,372,281
38,0,20160,Charlie Wi,1.32,348,263
42,0,22548,Patrick Sheehan,1.31,179,137
43,0,25686,Jason Dufner,1.30,335,257
43,0,20691,Greg Owen,1.30,356,273
45,0,29718,Anthony Kim,1.29,310,240
45,0,27466,Spencer Levin,1.29,247,191
45,0,25818,Scott Piercy,1.29,336,260
45,0,26498,Matt Weibring,1.29,254,197
49,0,10117,Bob Heintz,1.28,211,165
49,0,24503,Jeff Klauk,1.28,330,258
49,0,27649,Brandt Snedeker,1.28,289,226
52,0,07867,Woody Austin,1.27,305,240
52,0,01320,Bob Estes,1.27,273,215
52,0,08845,Scott Sterling,1.27,175,138
55,0,20498,Briny Baird,1.26,325,258
55,0,24507,Jason Bohn,1.26,321,254
55,0,26695,Michael Letzig,1.26,364,289
55,0,27120,Troy Matteson,1.26,337,268
55,0,01810,Phil Mickelson,1.26,248,197
55,0,24140,Sean O'Hair,1.26,297,235
55,0,26679,Kevin Stadler,1.26,221,175
55,0,06595,Kevin Sutherland,1.26,345,274
55,0,10423,Mike Weir,1.26,307,243
64,0,24490,George McNeill,1.25,305,244
64,0,01941,Tom Pernice Jr.,1.25,282,225
64,0,29221,Webb Simpson,1.25,348,279
64,0,23325,Vaughn Taylor,1.25,335,269
64,0,23349,Charles Warren,1.25,234,187
64,0,12602,Dean Wilson,1.25,318,254
64,0,24663,Y.E. Yang,1.25,315,253
71,0,28087,Kris Blanks,1.24,229,185
71,0,21753,Brian Davis,1.24,397,319
71,0,22348,Nick O'Hern,1.24,313,253
71,0,21949,Joe Ogilvie,1.24,322,259
71,0,23497,Tag Ridings,1.24,193,156
76,0,06251,Chris DiMarco,1.23,326,265
76,0,01313,Steve Elkington,1.23,241,196
76,0,21961,Charles Howell III,1.23,354,287
76,0,20572,Rod Pampling,1.23,264,214
76,0,23621,Rory Sabbatini,1.23,305,248
81,0,06197,Michael Allen,1.22,264,217
81,0,01226,Fred Couples,1.22,220,180
81,0,06621,Joe Durant,1.22,242,198
81,0,21731,Freddie Jacobson,1.22,298,245
81,0,23548,Bill Lunde,1.22,292,239
81,0,24138,Ian Poulter,1.22,194,159
81,0,21959,Ted Purdy,1.22,393,322
81,0,27963,Chris Stroud,1.22,336,275
81,0,27770,Camilo Villegas,1.22,275,226
90,0,06522,Ernie Els,1.21,237,196
90,0,25240,D.A. Points,1.21,369,304
90,0,07749,Brett Quigley,1.21,329,271
90,0,25190,Jeff Quinney,1.21,283,234
90,0,27214,Kevin Streelman,1.21,376,312
95,0,20472,Alex Cejka,1.20,299,250
95,0,20850,Daniel Chopra,1.20,359,298
95,0,23353,J.J. Henry,1.20,327,273
95,0,27933,John Merrick,1.20,337,282
95,0,01928,Corey Pavin,1.20,256,214
95,0,24361,Pat Perez,1.20,270,225
95,0,22405,Justin Rose,1.20,264,220
95,0,22293,Heath Slocum,1.20,330,275
103,0,01577,Lee Janzen,1.19,266,223
103,0,26851,Marc Leishman,1.19,337,283
105,0,01035,Tommy Armour III,1.18,200,170
105,0,23614,Rich Beem,1.18,273,231
105,0,21209,Sergio Garcia,1.18,203,172
105,0,20766,Padraig Harrington,1.18,225,191
105,0,01706,Davis Love III,1.18,311,263
110,0,12652,Cameron Beckman,1.17,300,257
110,0,12782,Tim Herron,1.17,317,270
110,0,01724,Jeff Maggert,1.17,273,234
110,0,27060,John Mallinger,1.17,319,273
110,0,26301,James Nitties,1.17,313,268
110,0,28780,Nicholas Thompson,1.17,362,310
116,0,23638,Brendon de Jonge,1.16,339,292
116,0,02214,Kirk Triplett,1.16,213,183
116,0,25632,Jimmy Walker,1.16,257,222
116,0,10425,Jay Williamson,1.16,231,199
120,0,26420,Richard Johnson,1.15,291,253
120,0,25804,Bubba Watson,1.15,284,246
122,0,01161,Mark Calcavecchia,1.14,270,237
122,0,27936,Martin Laird,1.14,285,250
122,0,23320,Ryan Palmer,1.14,282,247
122,0,26951,Johnson Wagner,1.14,283,248
126,0,07457,Steve Flesch,1.13,254,224
126,0,26476,Chez Reavie,1.13,268,237
128,0,22371,Aaron Baddeley,1.12,239,214
128,0,20157,Retief Goosen,1.12,253,225
128,0,01707,Steve Lowery,1.12,298,265
128,0,26497,Casey Wittenberg,1.12,229,204
132,0,01132,Mark Brooks,1.11,177,159
132,0,08931,Glen Day,1.11,261,235
132,0,20574,Mathew Goggin,1.11,258,233
132,0,26881,Jarrod Lyle,1.11,195,176
132,0,28475,Jeff Overton,1.11,336,302
132,0,22913,John Rollins,1.11,325,292
138,0,12705,Cliff Kresge,1.10,273,249
138,0,28620,Aron Price,1.10,294,267
140,0,20848,Ángel Cabrera,1.09,198,182
140,0,23718,Nathan Green,1.09,347,317
140,0,21350,Ryuji Imada,1.09,291,266
140,0,30711,Colt Knost,1.09,248,228
140,0,26289,Boo Weekley,1.09,277,253
145,0,10885,Robert Allenby,1.08,230,213
145,0,20070,Matt Bettencourt,1.08,374,347
145,0,22961,David Mathis,1.08,272,252
148,0,06643,Paul Goydos,1.07,289,271
149,0,24357,K.J. Choi,1.06,208,196
149,0,10733,Kent Jones,1.06,240,227
151,0,23778,Brad Adamonis,1.05,223,213
151,0,20229,Stewart Cink,1.05,240,229
153,0,22621,Ben Curtis,1.04,196,189
153,0,22892,Jason Gore,1.04,253,243
153,0,25562,Andres Romero,1.04,213,205
153,0,06567,Vijay Singh,1.04,239,229
157,0,20104,Ken Duke,1.03,279,272
157,0,24912,Will MacKenzie,1.03,235,228
159,0,01142,Bart Bryant,1.01,187,185
159,0,25919,Brian Vranesh,1.01,169,168
161,0,01473,Todd Hamilton,1.00,264,265
162,0,01797,Rocco Mediate,.98,261,265
163,0,25345,Carl Pettersson,.97,286,296
163,0,22295,Darron Stiles,.97,174,179
165,0,06539,Rick Price,.96,173,181
166,0,07223,Brian Bateman,.94,171,182
167,0,24846,Ricky Barnes,.93,211,227
167,0,01677,Tom Lehman,.93,154,165
167,0,20634,Peter Lonard,.93,271,290
167,0,24449,Parker McLachlin,.93,242,260
171,0,09011,David Duval,.90,191,213
171,0,31323,Gary Woodland,.90,197,218
173,0,27141,J.B. Holmes,.89,261,292
173,0,01766,Billy Mayfair,.89,257,289
173,0,24502,Adam Scott,.89,174,196
173,0,28118,Peter Tomasulo,.89,203,229
177,0,20098,Stuart Appleby,.88,238,269
177,0,27683,Leif Olson,.88,177,201
179,0,31416,Derek Fathauer,.86,211,245
180,0,26668,Marc Turnesa,.78,223,285
181,0,06012,Greg Kraft,.77,146,189
182,0,23048,Eric Axley,.75,216,287
183,0,30927,Brendon Todd,.73,156,213
184,0,01329,Brad Faxon,.71,165,232
