RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,23541,Ben Crane,.939,61.044,65
2,0,01329,Brad Faxon,.799,46.343,58
3,0,01761,Len Mattiace,.787,59.826,76
4,0,02223,Bob Tway,.736,48.582,66
5,0,08793,Tiger Woods,.659,36.252,55
6,0,21407,Arjun Atwal,.657,40.064,61
7,0,06373,José María Olazábal,.653,26.764,41
8,0,06527,Steve Stricker,.643,37.922,59
9,0,19846,Brian Gay,.584,54.334,93
10,0,22371,Aaron Baddeley,.575,43.735,76
10,0,26420,Richard Johnson,.575,26.428,46
12,0,20229,Stewart Cink,.545,38.674,71
13,0,02010,Loren Roberts,.540,25.928,48
14,0,01887,Mark O'Meara,.470,24.444,52
15,0,12782,Tim Herron,.450,35.127,78
15,0,20663,Brenden Pappas,.450,22.064,49
17,0,12645,Brent Geiberger,.449,23.369,52
18,0,12602,Dean Wilson,.442,35.338,80
19,0,20474,Phillip Price,.439,28.111,64
20,0,06004,Stephen Ames,.426,26.001,61
21,0,06575,Dudley Hart,.406,29.603,73
22,0,02214,Kirk Triplett,.397,17.469,44
23,0,12660,Jesper Parnevik,.386,26.252,68
24,0,10201,Matt Gogel,.384,26.085,68
25,0,01928,Corey Pavin,.380,23.156,61
26,0,23108,Matt Kuchar,.367,20.572,56
27,0,23983,Luke Donald,.362,14.491,40
28,0,23497,Tag Ridings,.360,30.270,84
29,0,20160,Charlie Wi,.359,21.888,61
30,0,01139,Olin Browne,.354,29.777,84
31,0,22548,Patrick Sheehan,.348,33.771,97
32,0,10809,Jim Furyk,.347,24.957,72
33,0,21731,Freddie Jacobson,.344,19.277,56
34,0,24024,Zach Johnson,.330,27.422,83
35,0,10733,Kent Jones,.329,28.921,88
35,0,07749,Brett Quigley,.329,28.006,85
37,0,10117,Bob Heintz,.328,20.314,62
37,0,01823,Larry Mize,.328,15.097,46
39,0,20623,Gavin Coles,.317,20.307,64
40,0,01941,Tom Pernice Jr.,.308,27.414,89
41,0,02206,David Toms,.305,19.493,64
42,0,01024,Billy Andrade,.298,22.017,74
42,0,01142,Bart Bryant,.298,22.910,77
44,0,21961,Charles Howell III,.283,20.398,72
45,0,23621,Rory Sabbatini,.270,16.200,60
46,0,01810,Phil Mickelson,.264,13.183,50
47,0,12680,Shigeki Maruyama,.261,22.218,85
48,0,20812,Tjaart van der Walt,.256,13.810,54
49,0,01313,Steve Elkington,.251,13.799,55
49,0,06595,Kevin Sutherland,.251,18.556,74
51,0,10585,Scott McCarron,.247,15.089,61
52,0,08537,J.P. Hayes,.229,12.160,53
53,0,06251,Chris DiMarco,.225,13.245,59
54,0,01361,Dan Forsman,.205,9.625,47
55,0,23623,Bo Van Pelt,.196,18.258,93
56,0,20121,Todd Fischer,.195,17.145,88
56,0,01706,Davis Love III,.195,11.137,57
58,0,23409,James Driscoll,.193,12.147,63
59,0,20766,Padraig Harrington,.187,7.662,41
60,0,24357,K.J. Choi,.183,9.863,54
61,0,01685,J.L. Lewis,.179,14.712,82
62,0,20850,Daniel Chopra,.176,16.336,93
63,0,21949,Joe Ogilvie,.174,13.769,79
64,0,23540,Jason Allred,.170,10.883,64
65,0,01320,Bob Estes,.169,13.483,80
66,0,22295,Darron Stiles,.167,11.667,70
67,0,12510,Chad Campbell,.165,12.538,76
68,0,12454,Mario Tiziani,.161,9.792,61
69,0,06567,Vijay Singh,.159,14.030,88
70,0,24781,Hunter Mahan,.153,14.216,93
71,0,01157,Tom Byrum,.151,11.482,76
71,0,27095,Nick Watney,.151,12.104,80
73,0,06573,Brandt Jobe,.150,12.339,82
74,0,20628,Arron Oberholser,.149,7.583,51
74,0,23320,Ryan Palmer,.149,12.042,81
76,0,06515,Shaun Micheel,.146,9.344,64
77,0,01666,Bernhard Langer,.145,6.662,46
78,0,06197,Michael Allen,.138,10.614,77
79,0,24604,Hunter Haas,.137,9.980,73
80,0,21878,Mark Wilson,.136,8.724,64
81,0,20572,Rod Pampling,.134,9.404,70
82,0,24140,Sean O'Hair,.133,11.408,86
83,0,01042,Paul Azinger,.126,7.445,59
84,0,22046,Geoff Ogilvy,.124,9.332,75
85,0,01381,Fred Funk,.120,9.858,82
86,0,24138,Ian Poulter,.095,3.404,36
87,0,20157,Retief Goosen,.088,3.804,43
88,0,01388,Robert Gamez,.086,6.977,81
89,0,23552,Hank Kuehne,.077,5.773,75
90,0,20498,Briny Baird,.068,6.047,89
91,0,25396,Kevin Na,.063,5.031,80
92,0,25847,Rob Rashell,.056,3.068,55
93,0,25345,Carl Pettersson,.055,5.173,94
94,0,24980,Scott Gutschewski,.044,3.181,72
95,0,01219,John Cook,.039,2.309,59
95,0,08931,Glen Day,.039,2.864,74
97,0,02246,Duffy Waldorf,.029,2.041,71
98,0,24507,Jason Bohn,.027,2.220,82
99,0,24502,Adam Scott,.016,.847,52
100,0,07457,Steve Flesch,.015,.940,64
101,0,01707,Steve Lowery,.013,1.145,87
102,0,02104,Jeff Sluman,.009,.742,85
103,0,01473,Todd Hamilton,.004,.265,75
104,0,08123,Jeff Brehaut,-.004,-.256,63
105,0,08075,Jerry Kelly,-.008,-.578,76
106,0,01161,Mark Calcavecchia,-.012,-.956,77
107,0,10860,Justin Leonard,-.016,-.903,55
108,0,20382,Stephen Leaney,-.019,-1.436,76
109,0,01577,Lee Janzen,-.023,-1.388,60
110,0,20548,Hidemichi Tanaka,-.028,-2.657,95
111,0,01457,Jay Haas,-.042,-1.629,39
112,0,24361,Pat Perez,-.046,-3.380,74
112,0,20645,John Senden,-.046,-4.182,91
114,0,21951,Joey Snyder III,-.047,-4.359,92
115,0,12652,Cameron Beckman,-.052,-4.432,85
116,0,06599,John Elliott,-.054,-2.822,52
117,0,24925,Jonathan Byrd,-.056,-5.291,94
118,0,06034,Marco Dawson,-.060,-4.752,79
119,0,28088,Matt Davidson,-.062,-3.103,50
120,0,21805,Harrison Frazar,-.063,-5.937,94
121,0,26679,Kevin Stadler,-.064,-5.353,83
122,0,02239,Scott Verplank,-.067,-4.452,66
123,0,20098,Stuart Appleby,-.072,-4.532,63
124,0,01948,Tim Petrovic,-.075,-6.032,80
125,0,12823,Carlos Franco,-.076,-5.096,67
126,0,22293,Heath Slocum,-.077,-6.955,90
127,0,01766,Billy Mayfair,-.080,-8.154,102
128,0,07223,Brian Bateman,-.097,-8.378,86
129,0,22621,Ben Curtis,-.101,-5.056,50
129,0,25900,Lucas Glover,-.101,-7.945,79
131,0,23036,Chris Anderson,-.106,-6.166,58
131,0,01619,Skip Kendall,-.106,-7.514,71
133,0,22913,John Rollins,-.126,-10.444,83
134,0,01724,Jeff Maggert,-.133,-7.976,60
135,0,08993,Franklin Langham,-.138,-10.596,77
136,0,01127,Danny Briggs,-.146,-9.021,62
136,0,23349,Charles Warren,-.146,-11.858,81
138,0,06332,Neal Lancaster,-.158,-13.551,86
138,0,10425,Jay Williamson,-.158,-7.440,47
140,0,24227,Justin Bolli,-.161,-9.490,59
141,0,20094,Jonathan Kaye,-.164,-10.482,64
141,0,20634,Peter Lonard,-.164,-10.800,66
141,0,01945,Kenny Perry,-.164,-9.834,60
144,0,21633,Steve Allan,-.165,-14.674,89
145,0,08725,Tom Gillis,-.170,-11.722,69
145,0,01418,Bill Glasson,-.170,-7.479,44
147,0,10423,Mike Weir,-.171,-8.036,47
148,0,01487,Jeff Hart,-.176,-10.183,58
149,0,23135,Tim Clark,-.177,-11.484,65
150,0,07867,Woody Austin,-.178,-16.167,91
151,0,23725,Brendan Jones,-.184,-13.419,73
152,0,23325,Vaughn Taylor,-.195,-17.558,90
153,0,10885,Robert Allenby,-.207,-15.131,73
154,0,01553,John Huston,-.214,-17.156,80
155,0,20433,Mark Hensby,-.228,-11.419,50
156,0,23353,J.J. Henry,-.245,-21.303,87
156,0,22405,Justin Rose,-.245,-21.794,89
158,0,01035,Tommy Armour III,-.246,-22.601,92
159,0,21959,Ted Purdy,-.249,-24.862,100
160,0,08545,Glen Hnatiuk,-.250,-12.768,51
161,0,20099,Doug Barron,-.254,-16.478,65
161,0,20378,Mathias Grönberg,-.254,-14.242,56
163,0,21209,Sergio Garcia,-.260,-13.525,52
164,0,12826,Paul Claxton,-.266,-17.568,66
165,0,19824,Craig Barlow,-.270,-17.296,64
166,0,11032,Frank Lickliter II,-.278,-23.895,86
167,0,20502,Michael Long,-.294,-18.824,64
168,0,19972,José Coceres,-.306,-16.226,53
169,0,21350,Ryuji Imada,-.308,-20.622,67
170,0,02106,Chris Smith,-.309,-26.609,86
171,0,23788,D.J. Trahan,-.313,-22.257,71
172,0,01249,John Daly,-.324,-18.121,56
173,0,01677,Tom Lehman,-.332,-16.599,50
173,0,01723,Andrew Magee,-.332,-23.599,71
175,0,02101,Joey Sindelar,-.335,-33.201,99
176,0,01132,Mark Brooks,-.357,-22.462,63
177,0,08385,Omar Uresti,-.370,-27.412,74
178,0,20127,Chris Riley,-.383,-16.470,43
179,0,21753,Brian Davis,-.384,-24.572,64
180,0,20396,Lee Westwood,-.387,-12.778,33
181,0,20691,Greg Owen,-.389,-27.633,71
182,0,23614,Rich Beem,-.400,-19.182,48
183,0,21806,Paul Gow,-.402,-27.325,68
184,0,25240,D.A. Points,-.403,-33.464,83
185,0,01927,Dennis Paulson,-.427,-24.348,57
186,0,01797,Rocco Mediate,-.439,-28.946,66
187,0,23322,Brett Wetterich,-.440,-29.904,68
188,0,19881,Robert Damron,-.450,-35.998,80
189,0,24912,Will MacKenzie,-.454,-30.843,68
190,0,01599,Steve Jones,-.464,-21.333,46
191,0,23063,Scott Hend,-.483,-31.390,65
192,0,10962,Bradley Hughes,-.527,-25.840,49
193,0,01226,Fred Couples,-.546,-24.002,44
194,0,26287,Roland Thatcher,-.581,-39.479,68
195,0,21498,Hideto Tanihara,-.586,-26.363,45
196,0,01175,Jim Carter,-.599,-32.919,55
196,0,20472,Alex Cejka,-.599,-41.937,70
198,0,10912,Craig Perks,-.645,-38.044,59
199,0,24290,D.J. Brigman,-.715,-44.329,62
200,0,26758,David Hearn,-.763,-46.541,61
201,0,06621,Joe Durant,-.782,-53.946,69
202,0,12662,Thomas Levet,-.849,-30.578,36
