RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,55789,Taylor Montgomery,0.866,40.708,47
2,0,51977,Max Greyserman,0.749,47.912,64
3,0,35506,Mackenzie Hughes,0.742,62.309,84
4,0,47993,Denny McCarthy,0.699,55.194,79
5,0,40250,Taylor Pendrith,0.592,42.046,71
6,0,50493,Justin Suh,0.589,36.536,62
7,0,60004,Jacob Bridgeman,0.584,35.064,60
8,0,39327,Ben Silverman,0.550,39.033,71
9,0,28089,Jason Day,0.541,31.906,59
10,0,33653,Thomas Detry,0.532,34.599,65
11,0,51894,Vince Whaley,0.518,27.960,54
12,0,48081,Xander Schauffele,0.510,35.209,69
13,0,59836,Pierceson Coody,0.505,31.295,62
14,0,47504,Sam Burns,0.496,32.730,66
14,0,35461,Beau Hossler,0.496,39.150,79
16,0,34099,Harris English,0.491,38.321,78
16,0,50188,S.H. Kim,0.491,44.152,90
18,0,22371,Aaron Baddeley,0.487,28.741,59
19,0,51766,Wyndham Clark,0.476,29.512,62
20,0,45522,Christiaan Bezuidenhout,0.459,33.077,72
21,0,29420,Billy Horschel,0.442,29.646,67
22,0,24024,Zach Johnson,0.420,18.076,43
23,0,40098,Matt Fitzpatrick,0.417,25.828,62
24,0,30927,Brendon Todd,0.409,36.427,89
25,0,47983,Chad Ramey,0.406,27.985,69
26,0,40006,Erik van Rooyen,0.403,28.205,70
27,0,24502,Adam Scott,0.399,24.713,62
28,0,32333,Kevin Tway,0.362,16.310,45
29,0,23108,Matt Kuchar,0.351,23.534,67
29,0,46442,Maverick McNealy,0.351,27.764,79
31,0,40162,Justin Lower,0.350,29.014,83
32,0,35617,Martin Trainer,0.347,14.228,41
33,0,56630,Akshay Bhatia,0.345,27.240,79
34,0,57900,Chandler Phillips,0.322,24.138,75
35,0,52215,Robert MacIntyre,0.321,20.224,63
36,0,33408,Tyson Alexander,0.314,19.160,61
37,0,52372,Cameron Champ,0.310,15.199,49
38,0,55893,Sam Stevens,0.306,24.486,80
39,0,34098,Russell Henley,0.304,19.462,64
40,0,27644,Brian Harman,0.291,23.027,79
41,0,34256,Andrew Putnam,0.289,21.693,75
41,0,47995,Davis Riley,0.289,20.216,70
43,0,57975,Harry Hall,0.279,19.840,71
44,0,46717,Viktor Hovland,0.269,14.008,52
45,0,34563,Chesson Hadley,0.265,16.188,61
46,0,48867,Matti Schmid,0.260,16.358,63
47,0,47591,Eric Cole,0.258,24.753,96
48,0,34466,Peter Malnati,0.257,17.505,68
48,0,51634,Sahith Theegala,0.257,21.839,85
50,0,49771,J.T. Poston,0.252,19.439,77
51,0,33968,Thorbjørn Olesen,0.251,10.021,40
52,0,54591,Ben Griffin,0.238,21.680,91
53,0,35450,Patrick Cantlay,0.234,12.883,55
54,0,27349,Alex Noren,0.213,12.753,60
55,0,49947,Taylor Moore,0.190,16.716,88
56,0,29936,Ryan Fox,0.181,12.512,69
56,0,33486,Roger Sloan,0.181,9.748,54
58,0,50484,Hayden Springer,0.177,9.905,56
59,0,28237,Rory McIlroy,0.173,10.748,62
60,0,46113,Ryan McCormick,0.170,7.973,47
61,0,27936,Martin Laird,0.164,9.532,58
62,0,32791,K.H. Lee,0.155,10.542,68
63,0,27649,Brandt Snedeker,0.147,7.658,52
64,0,47806,Raul Pereda,0.142,5.095,36
65,0,39971,Sungjae Im,0.138,10.891,79
66,0,32102,Rickie Fowler,0.136,9.238,68
67,0,52955,Ludvig Åberg,0.135,8.919,66
68,0,31646,Emiliano Grillo,0.129,9.967,77
68,0,52513,Carson Young,0.129,9.583,74
70,0,47679,Victor Perez,0.126,7.694,61
71,0,48153,Matthieu Pavon,0.125,6.616,53
71,0,36699,Patrick Rodgers,0.125,11.122,89
73,0,50525,Collin Morikawa,0.121,8.341,69
74,0,48119,Ben Taylor,0.113,6.116,54
75,0,29478,Kevin Kisner,0.105,4.924,47
76,0,54783,Dylan Wu,0.103,7.232,70
77,0,46046,Scottie Scheffler,0.095,5.878,62
78,0,39975,Michael Kim,0.084,5.297,63
79,0,51349,Nico Echavarria,0.083,5.845,70
