RANK,MOVEMENT,PLAYER_ID,PLAYER,COMBINED RANK,CARRY EFFICIENCY RANK,TOTAL DIST. EFFIC. RANK
1,0,39954,Cody Gribble,4,3,1
2,0,35461,Beau Hossler,5,2,3
3,0,29485,Brett Stegmaier,8,6,2
4,0,25198,Francesco Molinari,9,1,8
5,0,32102,Rickie Fowler,16,10,6
6,0,34021,Bud Cauley,20,8,12
6,0,47128,Richy Werenski,20,16,4
8,0,29268,Bronson Burgoon,25,18,7
9,0,32816,Satoshi Kodaira,27,22,5
10,0,27895,Jonas Blixt,29,20,9
10,0,46970,Jon Rahm,29,5,24
12,0,01810,Phil Mickelson,32,4,28
13,0,26758,David Hearn,42,22,20
14,0,47993,Denny McCarthy,43,17,26
14,0,37189,Harold Varner III,43,15,28
16,0,28237,Rory McIlroy,46,8,38
16,0,22405,Justin Rose,46,12,34
18,0,35450,Patrick Cantlay,49,26,23
18,0,35891,Cameron Smith,49,27,22
18,0,25493,Nick Taylor,49,31,18
21,0,29223,Sam Saunders,53,11,42
22,0,22056,Cameron Percy,54,39,15
23,0,24140,Sean O'Hair,55,22,33
24,0,29926,Danny Lee,58,30,28
25,0,19846,Brian Gay,62,52,10
25,0,32150,Michael Thompson,62,42,20
27,0,20157,Retief Goosen,65,12,53
28,0,47959,Bryson DeChambeau,67,21,46
28,0,32876,Martin Piller,67,39,28
30,0,23325,Vaughn Taylor,68,57,11
31,0,35545,Blayne Barber,70,27,43
31,0,28089,Jason Day,70,7,63
33,0,23108,Matt Kuchar,71,45,26
34,0,29908,C.T. Pan,73,39,34
35,0,29535,Brice Garnett,74,55,19
36,0,34213,Grayson Murray,75,31,44
37,0,27644,Brian Harman,78,64,14
38,0,48081,Xander Schauffele,79,51,28
39,0,50526,Tom Lovelady,80,12,68
40,0,28307,Matt Every,83,34,49
41,0,46435,Austin Cook,84,59,25
42,0,27958,Ryan Blaum,85,33,52
43,0,25686,Jason Dufner,87,74,13
43,0,46601,Trey Mullinax,87,48,39
45,0,35421,Brandon Harkins,91,44,47
46,0,24358,Robert Garrigus,92,36,56
47,0,29221,Webb Simpson,96,59,37
48,0,33419,Cameron Tringale,101,19,82
49,0,33399,Adam Hadwin,102,38,64
49,0,34046,Jordan Spieth,102,66,36
51,0,32839,Hideki Matsuyama,104,53,51
52,0,29518,Brendan Steele,105,90,15
53,0,34099,Harris English,108,64,44
54,0,30944,Jason Kokrak,111,36,75
55,0,34563,Chesson Hadley,113,43,70
56,0,37454,Whee Kim,115,59,56
57,0,24925,Jonathan Byrd,116,50,66
58,0,33141,Keegan Bradley,117,35,82
58,0,39997,Corey Conners,117,78,39
60,0,30925,Dustin Johnson,120,45,75
61,0,12510,Chad Campbell,122,107,15
62,0,45526,Abraham Ancer,123,74,49
63,0,31420,Anirban Lahiri,128,72,56
64,0,26476,Chez Reavie,132,85,47
65,0,33948,Byeong Hun An,133,27,106
66,0,33448,Justin Thomas,136,82,54
67,0,26851,Marc Leishman,139,59,80
68,0,20472,Alex Cejka,140,48,92
69,0,33410,Andrew Landry,144,80,64
70,0,36799,Stephan Jaeger,149,57,92
71,0,24024,Zach Johnson,150,89,61
72,0,34076,Joel Dahmen,151,59,92
73,0,31560,Brian Stuard,153,78,75
74,0,25818,Scott Piercy,156,102,54
75,0,27974,Sung Kang,157,22,135
76,0,27936,Martin Laird,158,66,92
77,0,23621,Rory Sabbatini,162,90,72
78,0,32448,James Hahn,164,66,98
78,0,23353,J.J. Henry,164,84,80
80,0,29420,Billy Horschel,169,85,84
81,0,39975,Michael Kim,171,81,90
82,0,30692,Scott Stallings,173,85,88
83,0,27649,Brandt Snedeker,174,108,66
84,0,39327,Ben Silverman,175,100,75
85,0,25572,Graeme McDowell,176,120,56
86,0,30911,Tommy Fleetwood,179,71,108
87,0,25240,D.A. Points,180,124,56
88,0,34409,David Lingmerth,184,82,102
88,0,49964,Aaron Wise,184,53,131
90,0,35879,Kelly Kraft,185,72,113
91,0,48084,Wesley Bryan,186,113,73
92,0,27214,Kevin Streelman,187,97,90
92,0,26951,Johnson Wagner,187,113,74
94,0,25892,Steve Wheatcroft,191,123,68
95,0,29725,Tony Finau,192,74,118
95,0,33204,Shane Lowry,192,70,122
95,0,22582,Kyle Thompson,192,151,41
98,0,47125,Matt Atkins,194,66,128
98,0,27129,Luke List,194,45,149
100,0,22371,Aaron Baddeley,195,97,98
101,0,28500,Martin Flores,204,118,86
101,0,32254,Xinjun Zhang,204,108,96
103,0,30110,Kyle Stanley,205,119,86
104,0,49771,J.T. Poston,207,93,114
104,0,28132,Tyrone Van Aswegen,207,93,114
106,0,31202,William McGirt,209,108,101
106,0,26596,Ryan Moore,209,148,61
108,0,33418,Shawn Stefani,211,108,103
109,0,26499,Rafa Cabrera Bello,212,137,75
110,0,26329,Louis Oosthuizen,215,56,159
111,0,32640,Troy Merritt,216,85,131
112,0,34174,John Huh,218,120,98
113,0,35532,Tom Hoge,220,106,114
114,0,23320,Ryan Palmer,221,102,119
115,0,36689,Brooks Koepka,222,95,127
115,0,34466,Peter Malnati,222,116,106
117,0,28775,Nate Lashley,223,127,96
118,0,34363,Tyrrell Hatton,225,74,151
119,0,28679,Fabián Gómez,227,157,70
120,0,25632,Jimmy Walker,239,116,123
121,0,32366,Kevin Chappell,240,92,148
122,0,24924,Bill Haas,244,100,144
122,0,12716,Charley Hoffman,244,102,142
122,0,32757,Patton Kizzire,244,108,136
125,0,27095,Nick Watney,247,102,145
126,0,40058,Zac Blair,250,147,103
127,0,24781,Hunter Mahan,253,95,158
127,0,36699,Patrick Rodgers,253,97,156
129,0,37278,Nicholas Lindheim,255,166,89
130,0,35544,Andrew Yun,256,132,124
131,0,33413,Ben Martin,257,154,103
131,0,27963,Chris Stroud,257,126,131
