RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL VERT. LAUNCH ANGLE,TOTAL ATTEMPTS
1,0,29223,Sam Saunders,14.71,838.62,57
2,0,32448,James Hahn,13.96,865.83,62
3,0,19846,Brian Gay,13.94,1115.02,80
4,0,39954,Cody Gribble,13.67,601.64,44
5,0,26758,David Hearn,13.47,606.08,45
6,0,34021,Bud Cauley,13.42,509.84,38
7,0,20157,Retief Goosen,13.40,495.67,37
8,0,20472,Alex Cejka,13.32,732.53,55
9,0,35461,Beau Hossler,13.30,1050.38,79
10,0,29926,Danny Lee,13.28,863.05,65
11,0,27958,Ryan Blaum,13.20,818.20,62
12,0,29485,Brett Stegmaier,13.15,578.76,44
12,0,23325,Vaughn Taylor,13.15,881.21,67
14,0,47125,Matt Atkins,13.02,481.67,37
15,0,32816,Satoshi Kodaira,12.95,349.73,27
16,0,50526,Tom Lovelady,12.91,826.30,64
17,0,25198,Francesco Molinari,12.72,572.23,45
17,0,33419,Cameron Tringale,12.72,585.28,46
19,0,32366,Kevin Chappell,12.70,635.03,50
20,0,27895,Jonas Blixt,12.62,580.65,46
20,0,39975,Michael Kim,12.62,605.82,48
22,0,46435,Austin Cook,12.61,1046.59,83
23,0,25572,Graeme McDowell,12.60,516.49,41
24,0,26476,Chez Reavie,12.54,576.87,46
25,0,01810,Phil Mickelson,12.53,613.94,49
26,0,37189,Harold Varner III,12.49,849.59,68
27,0,34174,John Huh,12.47,910.60,73
28,0,24140,Sean O'Hair,12.44,659.06,53
29,0,31420,Anirban Lahiri,12.41,782.07,63
30,0,32102,Rickie Fowler,12.38,532.35,43
30,0,32876,Martin Piller,12.38,754.89,61
32,0,27974,Sung Kang,12.37,655.84,53
33,0,27644,Brian Harman,12.31,701.64,57
34,0,24024,Zach Johnson,12.30,750.45,61
35,0,37454,Whee Kim,12.28,699.89,57
36,0,34046,Jordan Spieth,12.26,723.59,59
37,0,35545,Blayne Barber,12.25,624.89,51
38,0,29535,Brice Garnett,12.24,832.56,68
39,0,22056,Cameron Percy,12.21,463.81,38
40,0,40058,Zac Blair,12.18,523.86,43
40,0,35879,Kelly Kraft,12.18,840.32,69
42,0,36799,Stephan Jaeger,12.16,681.01,56
43,0,24361,Pat Perez,12.15,498.00,41
44,0,28089,Jason Day,12.14,485.65,40
45,0,30944,Jason Kokrak,12.12,969.25,80
46,0,33948,Byeong Hun An,12.10,701.56,58
46,0,34363,Tyrrell Hatton,12.10,350.95,29
48,0,25240,D.A. Points,12.09,507.63,42
48,0,22405,Justin Rose,12.09,471.49,39
50,0,47993,Denny McCarthy,12.08,495.19,41
51,0,47128,Richy Werenski,12.07,796.55,66
52,0,47959,Bryson DeChambeau,12.06,711.75,59
53,0,48084,Wesley Bryan,12.03,469.16,39
54,0,34076,Joel Dahmen,12.02,817.50,68
55,0,31560,Brian Stuard,11.99,959.18,80
