RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL CLUB HEAD SPEED,TOTAL ATTEMPTS
1,0,39546,Keith Mitchell,124.83,8738.38,70
2,0,29484,Peter Uihlein,122.99,6149.63,50
3,0,31323,Gary Woodland,122.68,6624.65,54
4,0,36689,Brooks Koepka,122.42,5264.07,43
5,0,32333,Kevin Tway,122.13,9037.69,74
6,0,27064,Jhonattan Vegas,121.87,6215.53,51
7,0,29725,Tony Finau,121.52,8141.85,67
8,0,27129,Luke List,121.44,8379.11,69
9,0,28237,Rory McIlroy,121.42,4978.33,41
10,0,30925,Dustin Johnson,121.38,5340.62,44
11,0,46601,Trey Mullinax,121.29,6064.29,50
11,0,25804,Bubba Watson,121.29,6428.45,53
13,0,24502,Adam Scott,120.85,6163.13,51
14,0,27141,J.B. Holmes,120.83,7129.13,59
15,0,47347,Adam Schenk,120.59,7717.49,64
16,0,50526,Tom Lovelady,120.53,7713.63,64
17,0,08793,Tiger Woods,120.24,5049.93,42
18,0,35310,Lanto Griffin,119.40,5850.37,49
19,0,46501,Ollie Schniederjans,119.28,7157.09,60
20,0,32366,Kevin Chappell,119.25,5962.36,50
21,0,39328,Conrad Shindler,119.23,3457.65,29
22,0,26331,Charl Schwartzel,118.79,3801.16,32
23,0,36699,Patrick Rodgers,118.75,6768.63,57
24,0,28252,Seamus Power,118.71,7122.38,60
25,0,34213,Grayson Murray,118.59,6403.60,54
26,0,46970,Jon Rahm,118.49,4739.52,40
27,0,27095,Nick Watney,118.45,8883.81,75
28,0,34264,Hudson Swafford,118.29,5323.26,45
29,0,30944,Jason Kokrak,118.14,9450.98,80
30,0,26300,Matt Jones,118.06,5076.47,43
31,0,21961,Charles Howell III,118.01,8142.38,69
32,0,47959,Bryson DeChambeau,117.83,6951.99,59
33,0,27349,Alex Noren,117.78,4357.80,37
34,0,48081,Xander Schauffele,117.61,6938.83,59
35,0,46402,Talor Gooch,117.54,5524.49,47
36,0,25364,Paul Casey,117.34,4106.90,35
37,0,33448,Justin Thomas,117.27,6215.42,53
38,0,28089,Jason Day,117.26,4690.55,40
38,0,34360,Patrick Reed,117.26,6097.38,52
40,0,33948,Byeong Hun An,117.20,6797.80,58
41,0,37275,Sam Ryder,117.17,7030.41,60
42,0,24358,Robert Garrigus,117.13,6793.82,58
43,0,30911,Tommy Fleetwood,117.09,5034.84,43
44,0,22405,Justin Rose,117.00,4562.88,39
45,0,24846,Ricky Barnes,116.94,3859.02,33
45,0,32839,Hideki Matsuyama,116.94,4794.44,41
47,0,29518,Brendan Steele,116.88,5259.56,45
48,0,37189,Harold Varner III,116.83,7944.61,68
49,0,24361,Pat Perez,116.79,4788.47,41
50,0,34099,Harris English,116.77,7473.54,64
51,0,35421,Brandon Harkins,116.76,8173.42,70
52,0,23320,Ryan Palmer,116.66,6183.04,53
53,0,37338,Zecheng Dou,116.53,3612.39,31
54,0,01810,Phil Mickelson,116.48,5707.60,49
55,0,47125,Matt Atkins,116.19,4298.85,37
56,0,29461,Jamie Lovemark,116.14,7781.23,67
57,0,47287,Ethan Tracy,115.99,5335.74,46
58,0,32102,Rickie Fowler,115.89,4983.17,43
59,0,21528,Henrik Stenson,115.85,1969.44,17
60,0,12716,Charley Hoffman,115.76,6366.99,55
61,0,49771,J.T. Poston,115.72,6480.36,56
61,0,30692,Scott Stallings,115.72,8331.54,72
63,0,34363,Tyrrell Hatton,115.69,3354.89,29
