RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL APEX HEIGHT,TOTAL ATTEMPTS
1,0,50526,Tom Lovelady,137' 10",8546' 9",62
2,0,32366,Kevin Chappell,127' 7",6379' 9",50
3,0,27129,Luke List,127' 3",8526' 6",67
4,0,30925,Dustin Johnson,125' 8",5402' 4",43
4,0,29223,Sam Saunders,125' 8",6912',55
6,0,33948,Byeong Hun An,125' 7",7031' 9",56
7,0,31323,Gary Woodland,125' 6",6776' 3",54
8,0,01810,Phil Mickelson,125' 0",6000' 8",48
9,0,28237,Rory McIlroy,124' 0",4712' 0",38
10,0,34363,Tyrrell Hatton,123' 11",3593' 1",29
11,0,47959,Bryson DeChambeau,123' 4",7276' 1",59
12,0,47125,Matt Atkins,122' 9",4420' 2",36
12,0,27141,J.B. Holmes,122' 9",6995' 0",57
12,0,46970,Jon Rahm,122' 9",4908' 6",40
15,0,32448,James Hahn,121' 11",7438' 8",61
16,0,37189,Harold Varner III,121' 9",8159' 1",67
17,0,27958,Ryan Blaum,121' 2",7510' 4",62
18,0,36799,Stephan Jaeger,120' 10",6644' 4",55
19,0,29926,Danny Lee,120' 6",7711' 4",64
20,0,33141,Keegan Bradley,120' 3",8537',71
21,0,46601,Trey Mullinax,120' 2",5889' 1",49
22,0,24361,Pat Perez,120' 1",4801',40
23,0,36689,Brooks Koepka,119' 10",5152' 9",43
24,0,20157,Retief Goosen,119' 9",4429' 4",37
24,0,25198,Francesco Molinari,119' 9",5270',44
26,0,32102,Rickie Fowler,119' 6",4900' 5",41
27,0,48081,Xander Schauffele,119' 4",7042' 1",59
28,0,34076,Joel Dahmen,119' 1",8098' 6",68
29,0,30944,Jason Kokrak,119' 0",9402' 9",79
30,0,24140,Sean O'Hair,118' 6",5805' 4",49
31,0,20472,Alex Cejka,118' 1",6492' 5",55
32,0,33419,Cameron Tringale,117' 6",5406' 8",46
33,0,47993,Denny McCarthy,117' 3",4805',41
34,0,34021,Bud Cauley,116' 8",4316',37
34,0,36699,Patrick Rodgers,116' 8",6416',55
36,0,35461,Beau Hossler,115' 10",9036' 8",78
37,0,39954,Cody Gribble,115' 1",5063' 6",44
38,0,26758,David Hearn,114' 7",5155',45
38,0,27974,Sung Kang,114' 7",5958' 5",52
40,0,27895,Jonas Blixt,113' 11",5240' 2",46
40,0,26329,Louis Oosthuizen,113' 11",4672' 2",41
42,0,27936,Martin Laird,113' 9",6030' 6",53
42,0,27349,Alex Noren,113' 9",4096' 2",36
44,0,39546,Keith Mitchell,113' 7",7837' 8",69
45,0,30911,Tommy Fleetwood,113' 4",4873' 5",43
46,0,35891,Cameron Smith,113' 2",5092' 5",45
47,0,40009,Dominic Bozzelli,113' 1",5994' 7",53
47,0,21528,Henrik Stenson,113' 1",1808' 9",16
47,0,25804,Bubba Watson,113' 1",5993' 8",53
50,0,35421,Brandon Harkins,112' 7",7657' 3",68
51,0,33204,Shane Lowry,112' 6",4723' 7",42
52,0,24358,Robert Garrigus,112' 4",6513' 2",58
52,0,32839,Hideki Matsuyama,112' 4",4604',41
54,0,35450,Patrick Cantlay,112' 0",6273' 0",56
54,0,29725,Tony Finau,112' 0",7503' 7",67
56,0,28089,Jason Day,111' 10",4474' 1",40
57,0,32816,Satoshi Kodaira,111' 9",2906' 1",26
58,0,22405,Justin Rose,111' 7",4350',39
59,0,33399,Adam Hadwin,111' 5",5791' 6",52
59,0,32640,Troy Merritt,111' 5",7466' 3",67
59,0,33448,Justin Thomas,111' 5",5792' 7",52
62,0,29420,Billy Horschel,111' 3",7789' 3",70
62,0,24781,Hunter Mahan,111' 3",5450' 6",49
62,0,29908,C.T. Pan,111' 3",7455',67
65,0,26851,Marc Leishman,110' 10",6318' 3",57
66,0,34046,Jordan Spieth,110' 9",6312',57
67,0,31420,Anirban Lahiri,110' 5",6848' 2",62
68,0,34213,Grayson Murray,110' 2",5839',53
69,0,29461,Jamie Lovemark,109' 11",7362' 7",67
70,0,24925,Jonathan Byrd,109' 7",4711',43
70,0,46435,Austin Cook,109' 7",8769' 1",80
70,0,39975,Michael Kim,109' 7",5042' 7",46
73,0,23320,Ryan Palmer,109' 2",5678' 9",52
73,0,32150,Michael Thompson,109' 2",5786' 3",53
73,0,49964,Aaron Wise,109' 2",6985' 7",64
76,0,32254,Xinjun Zhang,109' 0",5230' 4",48
77,0,12716,Charley Hoffman,108' 10",5878' 4",54
77,0,30692,Scott Stallings,108' 10",7837',72
79,0,24924,Bill Haas,108' 9",5110' 3",47
79,0,39324,J.J. Spaun,108' 9",6417' 8",59
81,0,37454,Whee Kim,108' 8",6196' 4",57
82,0,35545,Blayne Barber,108' 4",5523',51
83,0,29268,Bronson Burgoon,108' 1",5189' 7",48
84,0,25632,Jimmy Walker,107' 9",5280' 4",49
85,0,25572,Graeme McDowell,107' 6",4406',41
86,0,32757,Patton Kizzire,107' 4",7298' 3",68
87,0,23621,Rory Sabbatini,107' 1",7388' 9",69
88,0,23353,J.J. Henry,107' 0",5563' 3",52
89,0,45526,Abraham Ancer,106' 7",8529' 6",80
89,0,29485,Brett Stegmaier,106' 7",4689' 2",44
91,0,40058,Zac Blair,106' 5",4575' 9",43
92,0,35879,Kelly Kraft,106' 3",7121' 1",67
93,0,34563,Chesson Hadley,106' 1",8487' 3",80
94,0,30978,Kiradech Aphibarnrat,106' 0",2861' 3",27
95,0,19846,Brian Gay,105' 11",8475' 1",80
96,0,29484,Peter Uihlein,105' 9",5180' 5",49
97,0,32876,Martin Piller,105' 7",6439' 9",61
98,0,35506,Mackenzie Hughes,105' 5",6640' 7",63
99,0,40026,Daniel Berger,105' 4",5581' 5",53
99,0,29535,Brice Garnett,105' 4",7056' 0",67
101,0,35532,Tom Hoge,104' 11",8291' 0",79
102,0,24502,Adam Scott,104' 10",5241',50
103,0,25818,Scott Piercy,104' 9",5131' 4",49
104,0,34264,Hudson Swafford,104' 6",4598' 0",44
105,0,37338,Zecheng Dou,104' 4",3233' 9",31
106,0,29221,Webb Simpson,104' 3",7192' 9",69
107,0,08793,Tiger Woods,104' 2",3959' 0",38
108,0,27644,Brian Harman,104' 1",5931',57
108,0,34466,Peter Malnati,104' 1",7080' 3",68
110,0,28307,Matt Every,104' 0",5509',53
110,0,25493,Nick Taylor,104' 0",6969' 2",67
112,0,27064,Jhonattan Vegas,103' 11",5298' 4",51
113,0,26331,Charl Schwartzel,103' 10",3219',31
114,0,33418,Shawn Stefani,103' 7",5281' 7",51
115,0,47128,Richy Werenski,103' 3",6708' 8",65
116,0,24024,Zach Johnson,103' 2",6192' 6",60
116,0,34409,David Lingmerth,103' 2",6397' 0",62
116,0,25240,D.A. Points,103' 2",4128' 4",40
119,0,25364,Paul Casey,102' 11",3498' 4",34
120,0,29478,Kevin Kisner,102' 2",5822' 8",57
120,0,34360,Patrick Reed,102' 2",5208' 7",51
122,0,29518,Brendan Steele,102' 1",4493' 2",44
123,0,30110,Kyle Stanley,101' 10",5908' 7",58
124,0,23325,Vaughn Taylor,101' 9",6817' 4",67
125,0,25686,Jason Dufner,101' 8",4370' 8",43
126,0,28500,Martin Flores,101' 7",6501' 4",64
126,0,27214,Kevin Streelman,101' 7",7515' 9",74
128,0,27963,Chris Stroud,101' 6",5076' 1",50
129,0,31560,Brian Stuard,101' 2",7993' 6",79
130,0,39997,Corey Conners,100' 11",7668' 3",76
131,0,28775,Nate Lashley,100' 8",3322' 7",33
132,0,33410,Andrew Landry,100' 2",6512' 3",65
133,0,23108,Matt Kuchar,100' 1",5604' 7",56
133,0,22056,Cameron Percy,100' 1",3802' 7",38
133,0,26476,Chez Reavie,100' 1",4403' 4",44
136,0,34099,Harris English,100' 0",6398' 7",64
136,0,32333,Kevin Tway,100' 0",7299' 6",73
138,0,22371,Aaron Baddeley,99' 11",5993' 5",60
139,0,27649,Brandt Snedeker,99' 9",5887' 5",59
140,0,31646,Emiliano Grillo,99' 8",6775' 6",68
141,0,49771,J.T. Poston,99' 7",5577' 7",56
142,0,26951,Johnson Wagner,99' 6",4577' 2",46
143,0,27556,Ted Potter Jr.,99' 2",6839',69
143,0,39327,Ben Silverman,99' 2",6546' 9",66
145,0,34256,Andrew Putnam,99' 0",6730',68
146,0,26300,Matt Jones,98' 7",4043' 0",41
147,0,20229,Stewart Cink,98' 6",6206' 6",63
148,0,29479,Scott Brown,97' 11",6660',68
148,0,48084,Wesley Bryan,97' 11",3719',38
150,0,27095,Nick Watney,97' 8",7324' 4",75
151,0,39328,Conrad Shindler,97' 7",2829' 5",29
152,0,34174,John Huh,97' 4",7009' 7",72
153,0,47347,Adam Schenk,97' 0",6207' 0",64
154,0,29222,Billy Hurley III,96' 5",5303' 4",55
155,0,28252,Seamus Power,96' 2",5769' 7",60
156,0,33413,Ben Martin,95' 10",5367' 9",56
156,0,37275,Sam Ryder,95' 10",5557',58
158,0,30926,Chris Kirk,95' 6",8500' 6",89
158,0,28132,Tyrone Van Aswegen,95' 6",6495' 2",68
160,0,23541,Ben Crane,95' 5",4196' 9",44
160,0,45609,Tyler Duncan,95' 5",6201' 6",65
162,0,37455,Si Woo Kim,95' 4",6389' 2",67
163,0,25900,Lucas Glover,94' 11",3892' 4",41
163,0,46402,Talor Gooch,94' 11",4459',47
163,0,47287,Ethan Tracy,94' 11",4269' 5",45
166,0,31202,William McGirt,94' 10",6637' 2",70
167,0,29974,Branden Grace,94' 8",3030' 5",32
168,0,26499,Rafa Cabrera Bello,94' 7",3498' 8",37
168,0,12510,Chad Campbell,94' 7",4539' 5",48
168,0,33122,Russell Knox,94' 7",6146' 6",65
171,0,25892,Steve Wheatcroft,93' 7",3836' 6",41
172,0,28679,Fabián Gómez,93' 3",5781' 7",62
173,0,25396,Kevin Na,93' 0",5580' 9",60
174,0,27942,Rob Oppenheim,91' 3",4472' 4",49
175,0,21961,Charles Howell III,90' 3",5956' 8",66
176,0,26596,Ryan Moore,89' 11",5304' 2",59
177,0,22582,Kyle Thompson,89' 5",2951' 2",33
178,0,20593,Greg Chalmers,88' 8",3547',40
179,0,31416,Derek Fathauer,88' 6",5221' 7",59
179,0,35544,Andrew Yun,88' 6",2565' 4",29
181,0,35376,Roberto Díaz,88' 3",4590' 6",52
182,0,34358,Jonathan Randolph,88' 1",5197' 8",59
183,0,25834,Daniel Summerhays,87' 11",2901' 7",33
184,0,19803,Ryan Armour,87' 6",7787' 2",89
185,0,37278,Nicholas Lindheim,86' 0",4386' 3",51
186,0,46501,Ollie Schniederjans,85' 11",5155' 3",60
186,0,34431,Robert Streb,85' 11",4812' 3",56
188,0,34098,Russell Henley,85' 8",3683',43
189,0,24138,Ian Poulter,85' 3",3496' 5",41
190,0,10809,Jim Furyk,84' 4",2782' 3",33
191,0,20572,Rod Pampling,83' 3",3578',43
192,0,35310,Lanto Griffin,82' 1",4024' 1",49
193,0,24846,Ricky Barnes,71' 10",2369' 7",33
