RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,46601,Trey Mullinax,182.22,9111.20,50
2,0,29725,Tony Finau,181.74,12176.33,67
3,0,39546,Keith Mitchell,181.68,12717.26,70
4,0,28237,Rory McIlroy,181.57,7444.48,41
4,0,29484,Peter Uihlein,181.57,9078.34,50
6,0,25804,Bubba Watson,181.40,9614.14,53
7,0,27064,Jhonattan Vegas,181.35,9248.87,51
8,0,30925,Dustin Johnson,181.27,7975.85,44
9,0,32333,Kevin Tway,181.25,13412.86,74
10,0,27129,Luke List,181.24,12505.23,69
11,0,24502,Adam Scott,180.85,9223.39,51
12,0,36689,Brooks Koepka,180.65,7768.11,43
13,0,31323,Gary Woodland,180.37,9740.15,54
14,0,50526,Tom Lovelady,180.24,11535.47,64
15,0,35310,Lanto Griffin,178.59,8750.71,49
16,0,27095,Nick Watney,178.53,13389.79,75
17,0,34213,Grayson Murray,178.34,9630.42,54
18,0,08793,Tiger Woods,178.23,7485.85,42
19,0,27141,J.B. Holmes,178.22,10514.90,59
20,0,28252,Seamus Power,177.80,10667.76,60
21,0,47347,Adam Schenk,177.58,11365.08,64
22,0,46501,Ollie Schniederjans,177.43,10645.74,60
23,0,30944,Jason Kokrak,177.41,14193.11,80
24,0,46970,Jon Rahm,177.12,7084.78,40
25,0,32366,Kevin Chappell,177.04,8851.92,50
26,0,36699,Patrick Rodgers,177.01,10089.58,57
27,0,28089,Jason Day,176.39,7055.69,40
28,0,33948,Byeong Hun An,176.22,10220.61,58
29,0,24358,Robert Garrigus,176.19,10219.18,58
30,0,33448,Justin Thomas,176.17,9337.08,53
31,0,26300,Matt Jones,176.11,7572.86,43
32,0,25364,Paul Casey,175.97,6159.10,35
33,0,34099,Harris English,175.75,11248.26,64
34,0,26331,Charl Schwartzel,175.55,5617.71,32
35,0,47959,Bryson DeChambeau,175.52,10355.87,59
36,0,30911,Tommy Fleetwood,175.35,7540.00,43
37,0,35421,Brandon Harkins,175.21,12264.54,70
38,0,21961,Charles Howell III,174.85,12064.78,69
39,0,29518,Brendan Steele,174.55,7854.54,45
40,0,21528,Henrik Stenson,174.48,2966.09,17
41,0,46402,Talor Gooch,174.46,8199.67,47
42,0,48081,Xander Schauffele,174.34,10286.10,59
43,0,01810,Phil Mickelson,174.07,8529.47,49
44,0,25632,Jimmy Walker,173.97,8524.68,49
45,0,34264,Hudson Swafford,173.93,7826.81,45
46,0,23320,Ryan Palmer,173.80,9211.64,53
47,0,32102,Rickie Fowler,173.70,7469.18,43
48,0,29974,Branden Grace,173.69,5558.15,32
49,0,37189,Harold Varner III,173.53,11800.19,68
50,0,34360,Patrick Reed,173.50,9022.19,52
51,0,32839,Hideki Matsuyama,173.41,7109.76,41
52,0,30692,Scott Stallings,173.38,12483.52,72
53,0,27349,Alex Noren,173.28,6411.25,37
54,0,26851,Marc Leishman,173.10,9866.62,57
55,0,35450,Patrick Cantlay,173.07,9691.82,56
56,0,22405,Justin Rose,172.64,6733.09,39
57,0,34363,Tyrrell Hatton,172.56,5004.34,29
58,0,12716,Charley Hoffman,172.40,9481.89,55
59,0,39997,Corey Conners,172.13,13253.83,77
60,0,29461,Jamie Lovemark,172.07,11528.47,67
61,0,25900,Lucas Glover,171.90,7048.07,41
62,0,32757,Patton Kizzire,171.88,11859.43,69
63,0,49964,Aaron Wise,171.85,10998.56,64
64,0,49771,J.T. Poston,171.83,9622.46,56
65,0,34563,Chesson Hadley,171.81,14260.30,83
65,0,33204,Shane Lowry,171.81,7387.84,43
67,0,24140,Sean O'Hair,171.76,9103.11,53
67,0,47287,Ethan Tracy,171.76,7900.91,46
69,0,20229,Stewart Cink,171.43,10971.65,64
69,0,34431,Robert Streb,171.43,9600.05,56
71,0,26329,Louis Oosthuizen,171.42,7028.33,41
72,0,33141,Keegan Bradley,171.27,12331.11,72
73,0,27936,Martin Laird,171.22,9074.64,53
74,0,40009,Dominic Bozzelli,171.08,9067.29,53
75,0,28500,Martin Flores,171.00,10943.77,64
76,0,35506,Mackenzie Hughes,170.72,10926.15,64
77,0,22371,Aaron Baddeley,170.68,10240.74,60
78,0,29223,Sam Saunders,170.67,9728.19,57
79,0,34046,Jordan Spieth,170.46,10056.91,59
80,0,29268,Bronson Burgoon,170.27,8173.12,48
81,0,47125,Matt Atkins,170.18,6296.67,37
81,0,40026,Daniel Berger,170.18,9019.60,53
83,0,29420,Billy Horschel,170.04,12242.83,72
84,0,35891,Cameron Smith,169.98,7818.97,46
85,0,24846,Ricky Barnes,169.94,5607.88,33
86,0,39328,Conrad Shindler,169.92,4927.59,29
87,0,24924,Bill Haas,169.91,7986.00,47
88,0,37275,Sam Ryder,169.88,10193.02,60
89,0,36799,Stephan Jaeger,169.40,9486.35,56
90,0,33418,Shawn Stefani,169.38,8638.20,51
91,0,47993,Denny McCarthy,169.32,6942.10,41
92,0,32254,Xinjun Zhang,169.29,8295.14,49
93,0,27214,Kevin Streelman,169.20,12689.76,75
94,0,31646,Emiliano Grillo,169.17,11503.42,68
95,0,25686,Jason Dufner,169.16,7442.84,44
96,0,28307,Matt Every,169.10,8962.04,53
97,0,28775,Nate Lashley,168.96,5575.64,33
98,0,25198,Francesco Molinari,168.94,7602.17,45
99,0,24781,Hunter Mahan,168.91,8445.38,50
100,0,27974,Sung Kang,168.69,8940.76,53
101,0,29535,Brice Garnett,168.59,11464.12,68
102,0,37278,Nicholas Lindheim,168.57,8597.01,51
103,0,25818,Scott Piercy,168.51,8425.30,50
104,0,24361,Pat Perez,168.41,6904.84,41
105,0,30978,Kiradech Aphibarnrat,168.40,4546.78,27
106,0,34021,Bud Cauley,168.39,6398.82,38
107,0,39954,Cody Gribble,168.33,7406.48,44
108,0,33399,Adam Hadwin,168.20,8746.53,52
109,0,30110,Kyle Stanley,168.09,9749.16,58
110,0,28132,Tyrone Van Aswegen,167.96,11757.43,70
111,0,34076,Joel Dahmen,167.94,11420.20,68
112,0,32448,James Hahn,167.88,10408.72,62
113,0,34098,Russell Henley,167.69,7210.54,43
114,0,45526,Abraham Ancer,167.57,13405.23,80
115,0,23353,J.J. Henry,167.53,8711.31,52
116,0,26499,Rafa Cabrera Bello,167.46,6196.15,37
116,0,29908,C.T. Pan,167.46,11555.04,69
118,0,24138,Ian Poulter,167.36,7029.16,42
119,0,31420,Anirban Lahiri,167.32,10541.26,63
120,0,35461,Beau Hossler,167.31,13217.27,79
120,0,34256,Andrew Putnam,167.31,11544.18,69
122,0,39324,J.J. Spaun,167.24,9867.12,59
123,0,32150,Michael Thompson,167.02,8852.25,53
124,0,35545,Blayne Barber,166.91,8512.52,51
125,0,32640,Troy Merritt,166.88,11180.64,67
126,0,22056,Cameron Percy,166.61,6331.21,38
127,0,20157,Retief Goosen,166.59,6163.73,37
128,0,45609,Tyler Duncan,166.51,10823.28,65
129,0,27942,Rob Oppenheim,166.50,8158.72,49
130,0,39327,Ben Silverman,166.43,10984.32,66
131,0,33410,Andrew Landry,166.35,10812.69,65
132,0,24925,Jonathan Byrd,166.28,7149.96,43
132,0,25396,Kevin Na,166.28,9976.74,60
134,0,37455,Si Woo Kim,166.27,11306.58,68
135,0,23621,Rory Sabbatini,166.25,11471.13,69
136,0,46435,Austin Cook,166.22,13795.86,83
137,0,27963,Chris Stroud,166.06,8469.18,51
138,0,29485,Brett Stegmaier,166.03,7305.14,44
139,0,35532,Tom Hoge,166.00,13113.73,79
140,0,29479,Scott Brown,165.98,11452.42,69
141,0,33122,Russell Knox,165.97,11120.32,67
142,0,30926,Chris Kirk,165.84,14925.56,90
143,0,37338,Zecheng Dou,165.76,5138.63,31
143,0,27556,Ted Potter Jr.,165.76,11602.94,70
145,0,29926,Danny Lee,165.68,10769.22,65
146,0,33413,Ben Martin,165.61,9274.23,56
147,0,31416,Derek Fathauer,165.60,9936.09,60
148,0,27649,Brandt Snedeker,165.37,9756.54,59
