RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE CARRY DIST. YARDS,AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST CARRY EFFICIENCY
1,0,25198,Francesco Molinari,2.545,286.8,112.678,43,0234002743
2,0,35461,Beau Hossler,2.541,283.0,111.365,74,0215302749
3,0,39954,Cody Gribble,2.540,285.3,112.311,44,0225902810
4,0,01810,Phil Mickelson,2.536,295.2,116.378,48,0226302768
5,0,46970,Jon Rahm,2.532,299.9,118.437,37,0223002822
6,0,29485,Brett Stegmaier,2.522,279.5,110.853,44,0214202747
7,0,28089,Jason Day,2.521,295.6,117.236,39,0226002747
8,0,34021,Bud Cauley,2.520,282.8,112.212,36,0221502747
8,0,28237,Rory McIlroy,2.520,305.6,121.277,38,0218902783
10,0,32102,Rickie Fowler,2.516,291.5,115.850,38,0226902770
11,0,29223,Sam Saunders,2.514,285.0,113.376,53,0221202719
12,0,20157,Retief Goosen,2.512,281.6,112.106,34,0213102715
12,0,50526,Tom Lovelady,2.512,302.6,120.479,61,0213802790
12,0,22405,Justin Rose,2.512,293.5,116.836,36,0221702750
15,0,37189,Harold Varner III,2.509,293.1,116.788,60,0229002672
16,0,47128,Richy Werenski,2.507,273.5,109.109,64,0224702745
17,0,47993,Denny McCarthy,2.506,283.7,113.202,40,0225502730
18,0,29268,Bronson Burgoon,2.501,283.3,113.281,46,0217302682
19,0,33419,Cameron Tringale,2.499,278.1,111.309,44,0226602686
20,0,27895,Jonas Blixt,2.498,276.2,110.547,43,0205202712
21,0,47959,Bryson DeChambeau,2.497,294.2,117.842,58,0220602693
22,0,26758,David Hearn,2.496,268.4,107.535,45,0224702710
22,0,27974,Sung Kang,2.496,280.9,112.549,46,0215802722
22,0,32816,Satoshi Kodaira,2.496,276.8,110.876,26,0226202706
22,0,24140,Sean O'Hair,2.496,285.4,114.366,48,0223102719
26,0,35450,Patrick Cantlay,2.495,286.5,114.803,56,0228102732
27,0,33948,Byeong Hun An,2.494,292.2,117.137,55,0221402710
27,0,35545,Blayne Barber,2.494,277.2,111.110,49,0232302702
27,0,35891,Cameron Smith,2.494,282.8,113.393,44,0218702675
30,0,29926,Danny Lee,2.493,276.6,110.912,64,0217902742
31,0,34213,Grayson Murray,2.491,295.2,118.503,50,0220002686
31,0,25493,Nick Taylor,2.491,273.8,109.927,65,0220302801
33,0,27958,Ryan Blaum,2.490,269.0,108.031,58,0222602683
34,0,28307,Matt Every,2.489,281.3,113.002,51,0229702755
35,0,33141,Keegan Bradley,2.488,284.5,114.350,67,0220402698
36,0,24358,Robert Garrigus,2.487,291.3,117.138,57,0202702700
36,0,30944,Jason Kokrak,2.487,293.7,118.075,76,0217302699
38,0,33399,Adam Hadwin,2.486,277.7,111.699,51,0221102746
39,0,29908,C.T. Pan,2.485,276.6,111.297,66,0217302671
39,0,22056,Cameron Percy,2.485,276.1,111.130,36,0231202716
39,0,32876,Martin Piller,2.485,272.6,109.667,60,0226302643
42,0,32150,Michael Thompson,2.482,277.3,111.713,52,0230502638
