RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,19972,José Coceres,53.33,8,15
2,0,20634,Peter Lonard,47.37,9,19
3,0,01677,Tom Lehman,45.45,5,11
4,0,12388,Michael Clark II,44.44,16,36
4,0,08793,Tiger Woods,44.44,4,9
6,0,08993,Franklin Langham,43.75,14,32
6,0,06527,Steve Stricker,43.75,7,16
8,0,08553,Lee Porter,43.33,13,30
9,0,08339,Spike McRoy,42.86,9,21
10,0,24937,Jess Daley,42.31,11,26
11,0,06197,Michael Allen,42.11,8,19
12,0,01761,Len Mattiace,41.67,15,36
13,0,23541,Ben Crane,40.91,9,22
14,0,19824,Craig Barlow,40.00,12,30
14,0,01569,Peter Jacobsen,40.00,8,20
14,0,20502,Michael Long,40.00,10,25
17,0,23135,Tim Clark,39.13,9,23
17,0,02170,Hal Sutton,39.13,9,23
19,0,06373,José María Olazábal,38.89,14,36
20,0,20095,Carl Paulson,38.71,12,31
21,0,08535,Gary Nicklaus,38.46,10,26
22,0,20498,Briny Baird,38.24,13,34
23,0,02206,David Toms,38.10,8,21
24,0,12663,Phil Tataurangi,37.93,11,29
25,0,21961,Charles Howell III,37.50,6,16
25,0,06350,Bob May,37.50,9,24
27,0,07457,Steve Flesch,37.04,10,27
27,0,06573,Brandt Jobe,37.04,10,27
29,0,01320,Bob Estes,36.84,7,19
30,0,01024,Billy Andrade,36.67,11,30
30,0,01132,Mark Brooks,36.67,11,30
32,0,23621,Rory Sabbatini,36.36,8,22
33,0,11011,Mike Sposa,35.71,15,42
34,0,01723,Andrew Magee,35.48,11,31
35,0,07749,Brett Quigley,35.42,17,48
36,0,01219,John Cook,35.29,6,17
36,0,23983,Luke Donald,35.29,6,17
38,0,06012,Greg Kraft,35.14,13,37
38,0,20127,Chris Riley,35.14,13,37
40,0,08075,Jerry Kelly,35.00,7,20
40,0,02239,Scott Verplank,35.00,7,20
42,0,01042,Paul Azinger,34.78,8,23
42,0,10423,Mike Weir,34.78,8,23
44,0,01175,Jim Carter,34.62,9,26
44,0,24361,Pat Perez,34.62,9,26
44,0,01945,Kenny Perry,34.62,9,26
47,0,01157,Tom Byrum,34.38,11,32
47,0,10860,Justin Leonard,34.38,11,32
49,0,19817,Michael Muehr,34.21,13,38
50,0,02104,Jeff Sluman,34.04,16,47
51,0,06004,Stephen Ames,33.33,7,21
51,0,01139,Olin Browne,33.33,11,33
51,0,06809,Bob Burns,33.33,10,30
51,0,23125,Brad Elder,33.33,9,27
51,0,01378,David Frost,33.33,14,42
51,0,06498,Matt Peterson,33.33,11,33
51,0,02002,John Riegger,33.33,7,21
58,0,12823,Carlos Franco,32.43,12,37
59,0,06332,Neal Lancaster,32.35,11,34
