RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,46970,Jon Rahm,35.89%,3320,9250,4,10
2,0,46046,Scottie Scheffler,29.26%,3146,10750,2,15
3,0,28237,Rory McIlroy,28.10%,2304,8200,2,10
4,0,39977,Max Homa,19.00%,2128,11200,2,9
5,0,46717,Viktor Hovland,16.70%,1795,10750,1,7
6,0,33141,Keegan Bradley,16.50%,1774,10750,2,5
7,0,51766,Wyndham Clark,15.13%,1944,12850,2,7
8,0,32102,Rickie Fowler,14.93%,1732,11600,1,8
9,0,35450,Patrick Cantlay,14.80%,1443,9750,0,8
10,0,29725,Tony Finau,14.78%,1655,11200,2,5
11,0,27644,Brian Harman,14.33%,1827,12750,1,6
12,0,34363,Tyrrell Hatton,14.24%,1381,9700,0,7
13,0,48081,Xander Schauffele,13.72%,1406,10250,0,9
14,0,28089,Jason Day,13.44%,1506,11200,1,8
15,0,30911,Tommy Fleetwood,12.27%,1184,9650,0,7
16,0,55182,Tom Kim,11.61%,1422,12250,1,7
17,0,34098,Russell Henley,11.52%,1296,11250,1,3
18,0,22405,Justin Rose,11.33%,1088,9600,1,5
19,0,25493,Nick Taylor,11.21%,1463,13050,1,6
20,0,50525,Collin Morikawa,11.08%,1246,11250,0,5
21,0,47504,Sam Burns,10.90%,1335,12250,1,5
22,0,34046,Jordan Spieth,10.73%,1099,10250,0,6
23,0,49960,Sepp Straka,10.66%,1413,13250,1,5
24,0,37455,Si Woo Kim,10.39%,1372,13200,1,5
24,0,48117,Kurt Kitayama,10.39%,1216,11700,1,4
26,0,39997,Corey Conners,9.81%,1103,11250,1,3
27,0,40098,Matt Fitzpatrick,9.76%,1049,10750,1,4
28,0,31646,Emiliano Grillo,9.55%,1275,13350,1,7
29,0,28252,Seamus Power,8.89%,1133,12750,1,3
30,0,30926,Chris Kirk,8.83%,1161,13150,1,4
31,0,49947,Taylor Moore,8.46%,1193,14100,1,3
32,0,47993,Denny McCarthy,8.39%,1179,14050,0,6
33,0,57366,Cameron Young,8.27%,889,10750,0,5
34,0,47347,Adam Schenk,7.80%,1213,15550,0,5
35,0,51634,Sahith Theegala,7.75%,1065,13750,0,7
36,0,39971,Sungjae Im,7.70%,1098,14250,0,7
37,0,52453,Nicolai Hojgaard,7.24%,438,6050,0,2
37,0,30927,Brendon Todd,7.24%,973,13450,0,6
39,0,47529,Mito Pereira,7.14%,236,3300,0,1
40,0,25900,Lucas Glover,7.05%,885,12550,1,4
41,0,33948,Byeong Hun An,7.04%,1041,14800,0,4
41,0,35506,Mackenzie Hughes,7.04%,890,12650,1,2
43,0,33399,Adam Hadwin,6.99%,908,13000,0,5
44,0,33653,Thomas Detry,6.95%,851,12250,0,3
45,0,40115,Adam Svensson,6.92%,1014,14650,1,3
46,0,54628,Lee Hodges,6.81%,1052,15450,1,3
47,0,55708,Hayden Buckley,6.58%,754,11450,0,4
48,0,24502,Adam Scott,6.45%,597,9250,0,4
49,0,34099,Harris English,6.44%,914,14200,0,4
50,0,49771,J.T. Poston,6.39%,907,14200,0,7
51,0,34256,Andrew Putnam,6.29%,918,14600,0,4
52,0,47591,Eric Cole,6.17%,950,15400,0,3
53,0,55789,Taylor Montgomery,6.09%,823,13500,0,4
54,0,35532,Tom Hoge,6.08%,897,14750,0,4
55,0,36699,Patrick Rodgers,6.07%,914,15050,0,5
56,0,32839,Hideki Matsuyama,6.05%,742,12250,0,2
57,0,46340,Alex Smalley,6.02%,864,14350,0,4
58,0,47988,Nick Hardy,5.96%,868,14550,1,2
59,0,58696,Peter Kuest,5.90%,242,4100,0,1
60,0,23108,Matt Kuchar,5.82%,695,11950,0,4
61,0,33204,Shane Lowry,5.80%,563,9700,0,1
62,0,33448,Justin Thomas,5.68%,608,10700,0,3
63,0,37378,Min Woo Lee,5.62%,399,7100,0,3
64,0,52955,Ludvig Åberg,5.58%,254,4550,0,1
65,0,45242,Kevin Yu,5.56%,445,8000,0,3
66,0,47483,Will Zalatoris,5.54%,244,4400,0,1
67,0,45157,Cam Davis,5.48%,685,12500,0,5
68,0,39546,Keith Mitchell,5.41%,698,12900,0,5
69,0,51070,Vincent Norrman,5.17%,636,12300,1,3
70,0,52374,Brandon Wu,5.16%,763,14800,0,3
71,0,47995,Davis Riley,5.13%,768,14950,1,2
72,0,56630,Akshay Bhatia,4.97%,435,8750,1,4
73,0,36799,Stephan Jaeger,4.90%,692,14100,0,2
74,0,39324,J.J. Spaun,4.78%,634,13250,0,3
75,0,29908,C.T. Pan,4.74%,308,6500,0,2
75,0,55893,Sam Stevens,4.74%,670,14150,0,3
77,0,37275,Sam Ryder,4.71%,675,14350,0,4
78,0,36871,Matt NeSmith,4.70%,642,13650,0,4
79,0,35461,Beau Hossler,4.65%,658,14150,0,3
80,0,58168,Davis Thompson,4.59%,596,13000,0,2
81,0,46414,Aaron Rai,4.54%,670,14750,0,3
