RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,1,46717,Viktor Hovland,-27,3,9,0
2,13,48081,Xander Schauffele,-22,0,11,0
3,6,51766,Wyndham Clark,-16,2,8,0
4,-1,28237,Rory McIlroy,-14,2,13,0
5,2,35450,Patrick Cantlay,-13,0,10,0
6,5,30911,Tommy Fleetwood,-11,0,9,0
6,18,50525,Collin Morikawa,-11,0,6,0
6,-5,46046,Scottie Scheffler,-11,2,17,0
9,4,33141,Keegan Bradley,-10,2,6,0
9,17,47504,Sam Burns,-10,1,6,0
9,1,40098,Matt Fitzpatrick,-10,1,6,0
9,-3,39977,Max Homa,-10,2,12,0
9,14,47347,Adam Schenk,-10,0,7,0
14,-2,34098,Russell Henley,-9,1,5,0
14,16,49960,Sepp Straka,-9,1,5,0
16,-2,32102,Rickie Fowler,-8,1,8,0
16,12,34363,Tyrrell Hatton,-8,0,7,0
18,-13,25900,Lucas Glover,-7,2,5,0
18,-14,46970,Jon Rahm,-7,4,10,0
20,-2,29725,Tony Finau,-6,2,5,0
20,0,37455,Si Woo Kim,-6,1,5,0
20,-4,55182,Tom Kim,-6,1,8,0
23,-15,27644,Brian Harman,-4,1,7,0
24,-7,39971,Sungjae Im,-3,0,9,0
25,-3,25493,Nick Taylor,-2,1,6,0
26,-7,39997,Corey Conners,-1,1,5,0
27,2,34046,Jordan Spieth,+1,0,7,0
28,-3,28089,Jason Day,+3,1,8,0
29,-2,31646,Emiliano Grillo,+6,1,7,0
29,-8,49947,Taylor Moore,+6,1,4,0
31,0,51634,Sahith Theegala,1494,0,7,0
32,0,30926,Chris Kirk,1476,1,4,0
33,0,47993,Denny McCarthy,1454,0,7,0
34,0,22405,Justin Rose,1412,1,5,0
35,0,34256,Andrew Putnam,1309,0,5,0
36,0,48117,Kurt Kitayama,1300,1,4,0
37,0,40115,Adam Svensson,1280,1,3,0
38,0,34099,Harris English,1201,0,5,0
39,0,49771,J.T. Poston,1193,0,7,0
40,0,54628,Lee Hodges,1187,1,3,0
41,0,28252,Seamus Power,1185,1,3,0
42,0,57366,Cameron Young,1181,0,5,0
43,0,47591,Eric Cole,1175,0,3,0
44,0,33948,Byeong Hun An,1159,0,4,0
45,0,33399,Adam Hadwin,1156,0,5,0
46,0,35532,Tom Hoge,1113,0,4,0
47,0,30927,Brendon Todd,1075,0,6,0
48,0,45157,Cam Davis,1072,0,6,0
49,0,36699,Patrick Rodgers,1011,0,5,0
50,0,32839,Hideki Matsuyama,942,0,2,0
51,0,35506,Mackenzie Hughes,911,1,2,0
52,0,47988,Nick Hardy,902,1,2,0
53,0,55789,Taylor Montgomery,889,0,4,0
54,0,46340,Alex Smalley,880,0,4,0
55,0,33653,Thomas Detry,870,0,3,0
56,0,36799,Stephan Jaeger,860,0,2,0
57,0,52374,Brandon Wu,829,0,3,0
58,0,35461,Beau Hossler,826,0,3,0
59,0,47995,Davis Riley,812,1,2,0
60,0,55708,Hayden Buckley,779,0,4,0
61,0,37275,Sam Ryder,767,0,4,0
62,0,39324,J.J. Spaun,764,0,3,0
63,0,54591,Ben Griffin,747,0,1,0
64,0,39546,Keith Mitchell,742,0,5,0
65,0,55893,Sam Stevens,736,0,3,0
66,0,23108,Matt Kuchar,714,0,4,0
67,0,36801,Mark Hubbard,711,0,5,0
68,0,46414,Aaron Rai,704,0,3,0
69,0,51070,Vincent Norrman,670,1,3,0
70,0,36871,Matt NeSmith,662,0,4,0
71,0,33448,Justin Thomas,608,0,3,0
72,0,24502,Adam Scott,597,0,4,0
73,0,58168,Davis Thompson,596,0,2,0
74,0,57362,Austin Eckroat,594,0,3,0
75,0,48119,Ben Taylor,592,0,4,0
76,0,54421,Garrick Higgo,586,0,1,0
77,0,32791,K.H. Lee,567,0,3,0
78,0,33204,Shane Lowry,563,0,1,0
79,0,39975,Michael Kim,563,0,4,0
80,0,34409,David Lingmerth,561,0,5,0
81,0,50493,Justin Suh,548,0,2,0
82,0,48887,Matt Wallace,548,1,2,0
83,0,50188,S.H. Kim,546,0,1,0
84,0,34076,Joel Dahmen,519,0,4,0
85,0,32139,Danny Willett,511,0,1,0
86,0,54783,Dylan Wu,509,0,2,0
87,0,27214,Kevin Streelman,505,0,2,0
88,0,57975,Harry Hall,499,0,3,0
89,0,34255,Joseph Bramlett,489,0,3,0
90,0,29420,Billy Horschel,485,0,3,0
91,0,48699,Callum Tarren,474,0,1,0
92,0,46441,Robby Shelton,467,0,2,0
93,0,40058,Zac Blair,465,0,2,0
94,0,31323,Gary Woodland,465,0,2,0
95,0,26476,Chez Reavie,464,0,2,0
96,0,22371,Aaron Baddeley,458,0,3,0
97,0,28775,Nate Lashley,455,0,2,0
98,0,36326,David Lipsky,450,0,2,0
99,0,45242,Kevin Yu,445,0,3,0
100,0,56762,Will Gordon,440,0,1,0
101,0,27349,Alex Noren,437,0,2,0
102,0,56630,Akshay Bhatia,435,1,4,0
103,0,40162,Justin Lower,430,0,3,0
104,0,33408,Tyson Alexander,425,0,1,0
105,0,51997,Andrew Novak,424,0,2,0
106,0,51890,Greyson Sigg,420,0,1,0
107,0,51349,Nico Echavarria,417,1,1,0
108,0,46442,Maverick McNealy,414,0,3,0
109,0,45522,Christiaan Bezuidenhout,405,0,0,0
110,0,45609,Tyler Duncan,403,0,2,0
111,0,52513,Carson Young,397,0,1,0
112,0,27936,Martin Laird,391,0,1,0
113,0,33413,Ben Martin,387,0,3,0
114,0,40250,Taylor Pendrith,379,0,2,0
115,0,47983,Chad Ramey,362,0,1,0
116,0,34466,Peter Malnati,354,0,2,0
117,0,52375,Doug Ghim,345,0,0,0
118,0,39067,MJ Daffue,330,0,0,0
119,0,27129,Luke List,309,0,0,0
120,0,29908,C.T. Pan,308,0,2,0
121,0,34563,Chesson Hadley,304,0,1,0
122,0,32757,Patton Kizzire,303,0,2,0
