RANK,MOVEMENT,PLAYER_ID,PLAYER,FINISH POSITION,# OF WINS,# OF TOP-10S
1,0,46717,Viktor Hovland,-27,3,9
2,0,48081,Xander Schauffele,-22,0,11
3,0,51766,Wyndham Clark,-16,2,8
4,0,28237,Rory McIlroy,-14,2,13
5,0,35450,Patrick Cantlay,-13,0,10
6,0,30911,Tommy Fleetwood,-11,0,9
6,0,50525,Collin Morikawa,-11,1,7
6,0,46046,Scottie Scheffler,-11,2,17
9,0,33141,Keegan Bradley,-10,2,6
9,0,47504,Sam Burns,-10,1,6
9,0,40098,Matt Fitzpatrick,-10,1,6
9,0,39977,Max Homa,-10,2,13
9,0,47347,Adam Schenk,-10,0,7
14,0,34098,Russell Henley,-9,1,5
14,0,49960,Sepp Straka,-9,1,5
16,0,32102,Rickie Fowler,-8,1,8
16,0,34363,Tyrrell Hatton,-8,0,7
18,0,25900,Lucas Glover,-7,2,5
18,0,46970,Jon Rahm,-7,4,10
20,0,29725,Tony Finau,-6,2,5
20,0,37455,Si Woo Kim,-6,1,5
20,0,55182,Tom Kim,-6,2,9
23,0,27644,Brian Harman,-4,1,7
24,0,39971,Sungjae Im,-3,0,9
25,0,25493,Nick Taylor,-2,1,6
26,0,39997,Corey Conners,-1,1,5
27,0,34046,Jordan Spieth,1,0,7
28,0,28089,Jason Day,3,1,8
29,0,31646,Emiliano Grillo,6,1,8
29,0,49947,Taylor Moore,6,1,4
31,0,51634,Sahith Theegala,1494,1,8,2724
32,0,30926,Chris Kirk,1476,1,4,2742
33,0,47993,Denny McCarthy,1454,0,8,2764
34,0,22405,Justin Rose,1412,1,5,2806
35,0,34256,Andrew Putnam,1309,0,6,2909
36,0,48117,Kurt Kitayama,1300,1,4,2918
37,0,40115,Adam Svensson,1280,1,4,2938
38,0,34099,Harris English,1201,0,5,3017
39,0,49771,J.T. Poston,1193,0,8,3025
40,0,54628,Lee Hodges,1187,1,3,3031
41,0,28252,Seamus Power,1185,1,3,3033
42,0,57366,Cameron Young,1181,0,5,3037
43,0,47591,Eric Cole,1175,0,7,3043
44,0,33948,Byeong Hun An,1159,0,4,3059
45,0,33399,Adam Hadwin,1156,0,6,3062
46,0,35532,Tom Hoge,1113,0,4,3105
47,0,30927,Brendon Todd,1075,0,7,3143
48,0,45157,Cam Davis,1072,0,8,3146
49,0,36699,Patrick Rodgers,1011,0,5,3207
50,0,32839,Hideki Matsuyama,942,0,2,3276
51,0,35506,Mackenzie Hughes,911,1,4,3307
52,0,47988,Nick Hardy,902,1,2,3316
53,0,55789,Taylor Montgomery,889,0,5,3329
54,0,46340,Alex Smalley,880,0,4,3338
55,0,33653,Thomas Detry,870,0,3,3348
56,0,36799,Stephan Jaeger,860,0,2,3358
57,0,52374,Brandon Wu,829,0,3,3389
58,0,35461,Beau Hossler,826,0,5,3392
59,0,47995,Davis Riley,812,1,2,3406
60,0,55708,Hayden Buckley,779,0,4,3439
61,0,37275,Sam Ryder,767,0,5,3451
62,0,39324,J.J. Spaun,764,0,4,3454
63,0,54591,Ben Griffin,747,0,3,3471
64,0,39546,Keith Mitchell,742,0,5,3476
65,0,55893,Sam Stevens,736,0,3,3482
