RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,46970,Jon Rahm,3320,4,10,0
2,0,46046,Scottie Scheffler,3146,2,15,174
3,0,28237,Rory McIlroy,2304,2,10,1016
4,0,39977,Max Homa,2128,2,9,1192
5,0,51766,Wyndham Clark,1944,2,7,1376
6,0,27644,Brian Harman,1827,1,6,1493
7,0,46717,Viktor Hovland,1795,1,7,1525
8,0,33141,Keegan Bradley,1774,2,5,1546
9,0,32102,Rickie Fowler,1732,1,8,1588
10,0,29725,Tony Finau,1655,2,5,1665
11,0,28089,Jason Day,1506,1,8,1814
12,0,25493,Nick Taylor,1463,1,6,1857
13,0,35450,Patrick Cantlay,1443,0,8,1877
14,0,55182,Tom Kim,1422,1,7,1898
15,0,49960,Sepp Straka,1413,1,5,1907
16,0,48081,Xander Schauffele,1406,0,9,1914
17,0,34363,Tyrrell Hatton,1381,0,7,1939
18,0,37455,Si Woo Kim,1372,1,5,1948
19,0,47504,Sam Burns,1335,1,5,1985
20,0,34098,Russell Henley,1296,1,3,2024
21,0,31646,Emiliano Grillo,1275,1,7,2045
22,0,50525,Collin Morikawa,1246,0,5,2074
23,0,48117,Kurt Kitayama,1216,1,4,2104
24,0,47347,Adam Schenk,1213,0,5,2107
25,0,49947,Taylor Moore,1193,1,3,2127
26,0,30911,Tommy Fleetwood,1184,0,7,2136
27,0,47993,Denny McCarthy,1179,0,6,2141
28,0,30926,Chris Kirk,1161,1,4,2159
29,0,28252,Seamus Power,1133,1,3,2187
30,0,39997,Corey Conners,1103,1,3,2217
31,0,34046,Jordan Spieth,1099,0,6,2221
32,0,39971,Sungjae Im,1098,0,7,2222
33,0,22405,Justin Rose,1088,1,5,2232
34,0,51634,Sahith Theegala,1065,0,7,2255
35,0,54628,Lee Hodges,1052,1,3,2268
36,0,40098,Matt Fitzpatrick,1049,1,4,2271
37,0,33948,Byeong Hun An,1041,0,4,2279
38,0,40115,Adam Svensson,1014,1,3,2306
39,0,30927,Brendon Todd,973,0,6,2347
40,0,47591,Eric Cole,950,0,3,2370
41,0,34256,Andrew Putnam,918,0,4,2402
42,0,34099,Harris English,914,0,4,2406
43,0,36699,Patrick Rodgers,914,0,5,2406
44,0,33399,Adam Hadwin,908,0,5,2412
45,0,49771,J.T. Poston,907,0,7,2413
46,0,35532,Tom Hoge,897,0,4,2423
47,0,35506,Mackenzie Hughes,890,1,2,2430
48,0,57366,Cameron Young,889,0,5,2431
49,0,25900,Lucas Glover,885,1,4,2435
50,0,47988,Nick Hardy,868,1,2,2452
51,0,46340,Alex Smalley,864,0,4,2456
52,0,33653,Thomas Detry,851,0,3,2469
53,0,55789,Taylor Montgomery,823,0,4,2497
54,0,47995,Davis Riley,768,1,2,2552
55,0,52374,Brandon Wu,763,0,3,2557
56,0,55708,Hayden Buckley,754,0,4,2566
57,0,32839,Hideki Matsuyama,742,0,2,2578
58,0,39546,Keith Mitchell,698,0,5,2622
59,0,36801,Mark Hubbard,697,0,5,2623
60,0,23108,Matt Kuchar,695,0,4,2625
61,0,36799,Stephan Jaeger,692,0,2,2628
62,0,45157,Cam Davis,685,0,5,2635
63,0,37275,Sam Ryder,675,0,4,2645
64,0,55893,Sam Stevens,670,0,3,2650
65,0,46414,Aaron Rai,670,0,3,2650
66,0,35461,Beau Hossler,658,0,3,2662
67,0,36871,Matt NeSmith,642,0,4,2678
68,0,51070,Vincent Norrman,636,1,3,2684
69,0,39324,J.J. Spaun,634,0,3,2686
70,0,54591,Ben Griffin,617,0,1,2703
71,0,33448,Justin Thomas,608,0,3,2712
72,0,24502,Adam Scott,597,0,4,2723
73,0,58168,Davis Thompson,596,0,2,2724
74,0,57362,Austin Eckroat,594,0,3,2726
75,0,48119,Ben Taylor,592,0,4,2728
76,0,54421,Garrick Higgo,586,0,1,2734
77,0,32791,K.H. Lee,567,0,3,2753
78,0,33204,Shane Lowry,563,0,1,2757
79,0,39975,Michael Kim,563,0,4,2757
80,0,34409,David Lingmerth,561,0,5,2759
81,0,50493,Justin Suh,548,0,2,2772
82,0,48887,Matt Wallace,548,1,2,2772
83,0,50188,S.H. Kim,546,0,1,2774
84,0,34076,Joel Dahmen,519,0,4,2801
85,0,32139,Danny Willett,511,0,1,2809
86,0,54783,Dylan Wu,509,0,2,2811
87,0,27214,Kevin Streelman,505,0,2,2815
88,0,57975,Harry Hall,499,0,3,2821
89,0,34255,Joseph Bramlett,489,0,3,2831
90,0,29420,Billy Horschel,485,0,3,2835
91,0,48699,Callum Tarren,474,0,1,2846
92,0,46441,Robby Shelton,467,0,2,2853
93,0,40058,Zac Blair,465,0,2,2855
94,0,31323,Gary Woodland,465,0,2,2855
95,0,26476,Chez Reavie,464,0,2,2856
96,0,22371,Aaron Baddeley,458,0,3,2862
97,0,28775,Nate Lashley,455,0,2,2865
98,0,36326,David Lipsky,450,0,2,2870
99,0,45242,Kevin Yu,445,0,3,2875
100,0,56762,Will Gordon,440,0,1,2880
101,0,52453,Nicolai Hojgaard,438,0,2,2882
102,0,27349,Alex Noren,437,0,2,2883
103,0,56630,Akshay Bhatia,435,1,4,2885
104,0,40162,Justin Lower,430,0,3,2890
105,0,33408,Tyson Alexander,425,0,1,2895
106,0,51997,Andrew Novak,424,0,2,2896
107,0,51890,Greyson Sigg,420,0,1,2900
108,0,51349,Nico Echavarria,417,1,1,2903
109,0,46442,Maverick McNealy,414,0,3,2906
110,0,45522,Christiaan Bezuidenhout,405,0,0,2915
111,0,45609,Tyler Duncan,403,0,2,2917
112,0,37378,Min Woo Lee,399,0,3,2921
113,0,52513,Carson Young,397,0,1,2923
114,0,27936,Martin Laird,391,0,1,2929
115,0,33413,Ben Martin,387,0,3,2933
116,0,40250,Taylor Pendrith,379,0,2,2941
117,0,47983,Chad Ramey,362,0,1,2958
118,0,34466,Peter Malnati,354,0,2,2966
119,0,52375,Doug Ghim,345,0,0,2975
120,0,39067,MJ Daffue,330,0,0,2990
121,0,59018,Ryan Gerard,322,0,2,2998
122,0,27129,Luke List,309,0,0,3011
123,0,29908,C.T. Pan,308,0,2,3012
124,0,29936,Ryan Fox,304,0,0,3016
125,0,34563,Chesson Hadley,304,0,1,3016
126,0,32757,Patton Kizzire,303,0,2,3017
127,0,37338,Zecheng Dou,299,0,1,3021
128,0,25632,Jimmy Walker,294,0,0,3026
129,0,50095,Austin Smotherman,293,0,1,3027
130,0,46601,Trey Mullinax,291,0,2,3029
131,0,49964,Aaron Wise,289,0,1,3031
132,0,30692,Scott Stallings,282,0,0,3038
133,0,47079,Harrison Endycott,282,0,1,3038
134,0,25818,Scott Piercy,280,0,0,3040
135,0,40006,Erik van Rooyen,275,0,3,3045
136,0,33597,Harry Higgs,274,0,1,3046
137,0,32640,Troy Merritt,273,0,1,3047
138,0,35901,Paul Haley II,259,0,1,3061
139,0,52955,Ludvig Åberg,254,0,1,3066
140,0,29221,Webb Simpson,252,0,2,3068
141,0,12716,Charley Hoffman,246,0,0,3074
142,0,47483,Will Zalatoris,244,0,1,3076
143,0,58696,Peter Kuest,242,0,1,3078
144,0,49298,Kramer Hickok,236,0,0,3084
145,0,47529,Mito Pereira,236,0,1,3084
146,0,30163,Henrik Norlander,229,0,0,3091
147,0,35449,Adam Long,222,0,0,3098
148,0,52372,Cameron Champ,219,0,2,3101
149,0,33122,Russell Knox,219,0,0,3101
150,0,47128,Richy Werenski,217,0,0,3103
151,0,39954,Cody Gribble,209,0,2,3111
152,0,32333,Kevin Tway,207,0,0,3113
153,0,48867,Matti Schmid,206,0,1,3114
154,0,34610,Matthias Schwab,204,0,2,3116
155,0,26596,Ryan Moore,201,0,1,3119
156,0,55454,Carl Yuan,199,0,0,3121
157,0,22056,Cameron Percy,199,0,0,3121
158,0,39058,Lucas Herbert,199,0,1,3121
159,0,24024,Zach Johnson,196,0,0,3124
160,0,23320,Ryan Palmer,193,0,1,3127
161,0,19803,Ryan Armour,191,0,0,3129
162,0,24140,Sean O'Hair,185,0,1,3135
163,0,29289,S.Y. Noh,184,0,0,3136
164,0,53165,Doc Redman,181,0,1,3139
165,0,29970,Dylan Frittelli,180,0,0,3140
166,0,31577,Tano Goya,175,0,0,3145
167,0,49453,Trevor Cone,174,0,1,3146
168,0,29535,Brice Garnett,173,0,1,3147
169,0,34213,Grayson Murray,172,0,2,3148
170,0,32448,James Hahn,164,0,1,3156
171,0,51414,Brent Grant,158,0,1,3162
172,0,20229,Stewart Cink,156,0,0,3164
173,0,27963,Chris Stroud,155,0,1,3165
174,0,28420,Ryan Brehm,155,0,0,3165
175,0,36724,Augusto Núñez,149,0,0,3171
176,0,34374,Erik Barnes,149,0,1,3171
177,0,25686,Jason Dufner,146,0,0,3174
178,0,34431,Robert Streb,145,0,0,3175
179,0,39335,Kevin Roy,143,0,0,3177
180,0,51950,Max McGreevy,142,0,1,3178
181,0,46435,Austin Cook,140,0,0,3180
182,0,32150,Michael Thompson,139,0,0,3181
183,0,35617,Martin Trainer,139,0,1,3181
184,0,32366,Kevin Chappell,138,0,0,3182
185,0,20766,Padraig Harrington,133,0,1,3187
186,0,29518,Brendan Steele,133,0,0,3187
187,0,23983,Luke Donald,127,0,0,3193
188,0,24925,Jonathan Byrd,125,0,0,3195
189,0,25198,Francesco Molinari,121,0,0,3199
190,0,32816,Satoshi Kodaira,120,0,0,3200
191,0,29926,Danny Lee,112,0,0,3208
192,0,27064,Jhonattan Vegas,112,0,0,3208
193,0,58967,Trevor Werbylo,111,0,0,3209
194,0,27554,Scott Harrington,107,0,0,3213
195,0,48084,Wesley Bryan,104,0,1,3216
196,0,35879,Kelly Kraft,103,0,0,3217
197,0,51491,Brandon Matthews,101,0,1,3219
198,0,27974,Sung Kang,98,0,0,3222
199,0,27095,Nick Watney,96,0,0,3224
200,0,31557,Jim Herman,95,0,0,3225
201,0,52411,Kyle Westmoreland,95,0,0,3225
202,0,27895,Jonas Blixt,91,0,0,3229
203,0,31560,Brian Stuard,90,0,0,3230
204,0,49766,Hank Lebioda,89,0,0,3231
205,0,31202,William McGirt,86,0,0,3234
206,0,35310,Lanto Griffin,85,0,0,3235
207,0,29478,Kevin Kisner,70,0,0,3250
208,0,24846,Ricky Barnes,67,0,1,3253
209,0,19846,Brian Gay,67,0,0,3253
210,0,24924,Bill Haas,65,0,0,3255
211,0,22046,Geoff Ogilvy,63,0,0,3257
212,0,32662,Michael Gligic,63,0,0,3257
213,0,48822,Sebastián Muñoz,59,0,0,3261
214,0,28679,Fabián Gómez,55,0,0,3265
215,0,23621,Rory Sabbatini,55,0,0,3265
216,0,33410,Andrew Landry,49,0,0,3271
217,0,30750,Tommy Gainey,46,0,0,3274
218,0,34174,John Huh,45,0,0,3275
219,0,27556,Ted Potter Jr.,37,0,0,3283
220,0,27649,Brandt Snedeker,35,0,0,3285
221,0,49303,Anders Albertson,34,0,0,3286
222,0,37278,Nicholas Lindheim,29,0,0,3291
223,0,20593,Greg Chalmers,28,0,0,3292
224,0,37273,Derek Ernst,27,0,0,3293
225,0,27797,Derek Lamely,26,0,0,3294
226,0,29479,Scott Brown,26,0,0,3294
227,0,51894,Vince Whaley,22,0,0,3298
228,0,54813,Philip Knowles,18,0,0,3302
229,0,27770,Camilo Villegas,14,0,0,3306
230,0,23541,Ben Crane,13,0,0,3307
231,0,28259,Sangmoon Bae,12,0,0,3308
232,0,30110,Kyle Stanley,11,0,0,3309
233,0,08793,Tiger Woods,11,0,0,3309
234,0,01226,Fred Couples,9,0,0,3311
235,0,25240,D.A. Points,9,0,0,3311
236,0,21407,Arjun Atwal,8,0,0,3312
237,0,27141,J.B. Holmes,7,0,0,3313
