RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PLAYOFF POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,46717,Viktor Hovland,55.73%,2229,4000,2,2
2,0,25900,Lucas Glover,53.90%,2156,4000,1,1
3,0,35450,Patrick Cantlay,35.00%,1400,4000,0,2
4,0,28237,Rory McIlroy,29.75%,1190,4000,0,3
5,0,46046,Scottie Scheffler,26.80%,1072,4000,0,2
6,0,40098,Matt Fitzpatrick,24.84%,994,4000,0,2
7,0,30911,Tommy Fleetwood,19.58%,783,4000,0,2
8,0,39977,Max Homa,18.57%,743,4000,0,3
9,0,39971,Sungjae Im,17.07%,683,4000,0,2
10,0,34098,Russell Henley,16.32%,653,4000,0,2
11,0,39997,Corey Conners,14.61%,584,4000,0,2
12,0,27644,Brian Harman,12.80%,512,4000,0,1
13,0,49947,Taylor Moore,11.90%,476,4000,0,1
14,0,48081,Xander Schauffele,11.50%,460,4000,0,2
15,0,51634,Sahith Theegala,10.73%,429,4000,0,0
16,0,47347,Adam Schenk,10.17%,407,4000,0,2
16,0,34046,Jordan Spieth,10.17%,407,4000,0,1
18,0,55182,Tom Kim,9.79%,392,4000,0,1
18,0,34256,Andrew Putnam,9.79%,392,4000,0,1
20,0,45157,Cam Davis,9.67%,387,4000,0,1
21,0,50525,Collin Morikawa,9.06%,362,4000,0,1
22,0,35461,Beau Hossler,8.40%,168,2000,0,0
22,0,36799,Stephan Jaeger,8.40%,168,2000,0,0
24,0,22405,Justin Rose,8.10%,324,4000,0,0
25,0,30926,Chris Kirk,7.88%,315,4000,0,0
26,0,37455,Si Woo Kim,7.50%,300,4000,0,0
27,0,57366,Cameron Young,7.30%,292,4000,0,0
28,0,34099,Harris English,7.18%,287,4000,0,1
29,0,49771,J.T. Poston,7.15%,286,4000,0,0
30,0,47993,Denny McCarthy,6.88%,275,4000,0,1
31,0,31646,Emiliano Grillo,6.70%,268,4000,0,0
32,0,40115,Adam Svensson,6.65%,266,4000,0,0
33,0,54591,Ben Griffin,6.50%,130,2000,0,0
33,0,39324,J.J. Spaun,6.50%,130,2000,0,0
35,0,33399,Adam Hadwin,6.20%,248,4000,0,0
36,0,47504,Sam Burns,5.64%,226,4000,0,1
37,0,47591,Eric Cole,5.63%,225,4000,0,0
38,0,35532,Tom Hoge,5.40%,216,4000,0,0
39,0,51766,Wyndham Clark,5.34%,214,4000,0,1
40,0,32839,Hideki Matsuyama,5.00%,200,4000,0,0
41,0,37275,Sam Ryder,4.60%,92,2000,0,0
42,0,25493,Nick Taylor,4.25%,170,4000,0,0
43,0,46970,Jon Rahm,4.15%,166,4000,0,0
44,0,33141,Keegan Bradley,3.98%,159,4000,0,1
45,0,32102,Rickie Fowler,3.85%,154,4000,0,0
46,0,54628,Lee Hodges,3.38%,135,4000,0,0
47,0,55789,Taylor Montgomery,3.30%,66,2000,0,0
47,0,55893,Sam Stevens,3.30%,66,2000,0,0
47,0,52374,Brandon Wu,3.30%,66,2000,0,0
50,0,34363,Tyrrell Hatton,3.20%,128,4000,0,0
51,0,33948,Byeong Hun An,2.95%,118,4000,0,0
52,0,30927,Brendon Todd,2.55%,102,4000,0,0
53,0,36699,Patrick Rodgers,2.44%,98,4000,0,0
54,0,49960,Sepp Straka,2.24%,90,4000,0,0
55,0,29725,Tony Finau,2.22%,89,4000,0,0
56,0,39546,Keith Mitchell,2.20%,44,2000,0,0
56,0,47995,Davis Riley,2.20%,44,2000,0,0
58,0,48117,Kurt Kitayama,2.09%,84,4000,0,0
59,0,28089,Jason Day,1.72%,69,4000,0,0
60,0,47988,Nick Hardy,1.70%,34,2000,0,0
60,0,51070,Vincent Norrman,1.70%,34,2000,0,0
60,0,46414,Aaron Rai,1.70%,34,2000,0,0
63,0,28252,Seamus Power,1.29%,52,4000,0,0
64,0,55708,Hayden Buckley,1.28%,26,2000,0,0
65,0,35506,Mackenzie Hughes,1.04%,21,2000,0,0
65,0,36871,Matt NeSmith,1.04%,21,2000,0,0
67,0,33653,Thomas Detry,.94%,19,2000,0,0
67,0,23108,Matt Kuchar,.94%,19,2000,0,0
69,0,46340,Alex Smalley,.80%,16,2000,0,0
70,0,36801,Mark Hubbard,.68%,14,2000,0,0
