RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF PUTTS,# OF HOLES
1,0,06004,Stephen Ames,1.478,1383,936
2,0,01905,Joe Ozaki,1.484,1523,1026
3,0,01887,Mark O'Meara,1.485,1818,1224
4,0,06522,Ernie Els,1.487,1285,864
5,0,02159,Curtis Strange,1.491,1342,900
5,0,06527,Steve Stricker,1.491,2201,1476
7,0,01329,Brad Faxon,1.493,2203,1476
8,0,01378,David Frost,1.499,1943,1296
9,0,02010,Loren Roberts,1.505,2167,1440
10,0,02146,Payne Stewart,1.507,2061,1368
11,0,01706,Davis Love III,1.511,2012,1332
12,0,01331,Rick Fehr,1.513,1688,1116
13,0,01717,Sandy Lyle,1.515,1663,1098
14,0,01920,Craig Parry,1.518,1284,846
15,0,01968,Nick Price,1.520,1696,1116
16,0,09011,David Duval,1.523,2275,1494
17,0,20229,Stewart Cink,1.524,2661,1746
18,0,01320,Bob Estes,1.525,2854,1872
18,0,01326,Nick Faldo,1.525,1345,882
20,0,01132,Mark Brooks,1.530,2534,1656
20,0,10809,Jim Furyk,1.530,2782,1818
20,0,01810,Phil Mickelson,1.530,2176,1422
23,0,12660,Jesper Parnevik,1.531,1902,1242
24,0,01226,Fred Couples,1.533,1877,1224
25,0,01553,John Huston,1.536,2572,1674
25,0,08793,Tiger Woods,1.536,2018,1314
27,0,10860,Justin Leonard,1.541,2774,1800
27,0,01928,Corey Pavin,1.541,1859,1206
29,0,06270,Bobby Gage,1.544,1445,936
29,0,06575,Dudley Hart,1.544,2306,1494
31,0,01823,Larry Mize,1.545,2252,1458
32,0,01282,Trevor Dodds,1.546,2532,1638
32,0,10457,Frank Nobilo,1.546,1725,1116
34,0,01599,Steve Jones,1.548,2229,1440
35,0,01577,Lee Janzen,1.551,2289,1476
36,0,20098,Stuart Appleby,1.554,1818,1170
37,0,08931,Glen Day,1.556,2576,1656
37,0,08537,J.P. Hayes,1.556,1877,1206
37,0,01766,Billy Mayfair,1.556,2521,1620
40,0,01249,John Daly,1.558,2160,1386
41,0,02267,D.A. Weibring,1.566,1945,1242
42,0,01724,Jeff Maggert,1.570,2346,1494
43,0,01619,Skip Kendall,1.571,2941,1872
44,0,01161,Mark Calcavecchia,1.572,2716,1728
44,0,02007,Larry Rinker,1.572,2632,1674
46,0,01761,Len Mattiace,1.573,2917,1854
46,0,06567,Vijay Singh,1.573,2633,1674
48,0,01302,R.W. Eaks,1.574,2266,1440
49,0,01527,Scott Hoch,1.577,2838,1800
49,0,01633,Tom Kite,1.577,1873,1188
51,0,02223,Bob Tway,1.578,2840,1800
52,0,06012,Greg Kraft,1.582,2363,1494
53,0,19881,Robert Damron,1.587,2514,1584
53,0,01723,Andrew Magee,1.587,2685,1692
55,0,01042,Paul Azinger,1.588,2001,1260
56,0,12663,Phil Tataurangi,1.590,2261,1422
57,0,01024,Billy Andrade,1.594,2725,1710
57,0,01096,Phil Blackmar,1.594,2295,1440
59,0,01414,Bob Gilder,1.595,2325,1458
60,0,01261,Jay Delsing,1.598,2157,1350
60,0,06643,Paul Goydos,1.598,2876,1800
62,0,06617,Brian Henninger,1.599,2734,1710
63,0,08993,Franklin Langham,1.601,2652,1656
64,0,01748,Doug Martin,1.602,3171,1980
64,0,02321,Fuzzy Zoeller,1.602,1961,1224
66,0,06621,Joe Durant,1.603,2280,1422
66,0,12645,Brent Geiberger,1.603,2568,1602
66,0,01891,David Ogrin,1.603,2886,1800
66,0,01926,Steve Pate,1.603,2452,1530
66,0,02131,Mike Springer,1.603,3029,1890
66,0,02279,Mark Wiebe,1.603,2279,1422
72,0,08075,Jerry Kelly,1.605,2686,1674
72,0,02133,Craig Stadler,1.605,1762,1098
72,0,07753,Kevin Wentworth,1.605,2253,1404
72,0,02294,Willie Wood,1.605,2398,1494
76,0,01945,Kenny Perry,1.606,2371,1476
77,0,02239,Scott Verplank,1.608,2778,1728
78,0,10569,Mike Brisky,1.609,2519,1566
78,0,06064,Jeff Gallagher,1.609,2577,1602
78,0,01960,Don Pooley,1.609,1738,1080
81,0,01201,Lennie Clements,1.610,2029,1260
81,0,01457,Jay Haas,1.610,2289,1422
81,0,08385,Omar Uresti,1.610,3159,1962
84,0,02135,Mike Standly,1.612,2495,1548
85,0,01941,Tom Pernice Jr.,1.613,2293,1422
85,0,07101,Dave Stockton Jr.,1.613,1887,1170
87,0,02104,Jeff Sluman,1.614,3079,1908
87,0,06613,Tommy Tolles,1.614,2353,1458
89,0,01381,Fred Funk,1.615,3315,2052
89,0,20094,Jonathan Kaye,1.615,1831,1134
89,0,01943,Chris Perry,1.615,3110,1926
92,0,20154,Guy Hill,1.616,2065,1278
92,0,06332,Neal Lancaster,1.616,2502,1548
92,0,02218,Ted Tryba,1.616,3054,1890
95,0,01063,Ben Bates,1.617,2910,1800
95,0,08339,Spike McRoy,1.617,2532,1566
97,0,01510,Nolan Henke,1.618,2563,1584
98,0,06214,Guy Boros,1.619,2535,1566
98,0,01175,Jim Carter,1.619,3089,1908
98,0,01353,Bruce Fleisher,1.619,2244,1386
98,0,21805,Harrison Frazar,1.619,2361,1458
98,0,01685,J.L. Lewis,1.619,2740,1692
103,0,06056,Jim Estes,1.620,1866,1152
103,0,08553,Lee Porter,1.620,2653,1638
105,0,11032,Frank Lickliter II,1.621,3092,1908
105,0,02206,David Toms,1.621,2480,1530
107,0,01185,Brandel Chamblee,1.622,2336,1440
108,0,10195,Tim Conley,1.623,2045,1260
108,0,10585,Scott McCarron,1.623,2425,1494
108,0,10423,Mike Weir,1.623,2249,1386
111,0,01533,P.H. Horgan III,1.625,3071,1890
112,0,01569,Peter Jacobsen,1.626,1902,1170
112,0,01677,Tom Lehman,1.626,2312,1422
112,0,21631,Iain Steel,1.626,1815,1116
112,0,06595,Kevin Sutherland,1.626,2926,1800
116,0,01408,Kelly Gibson,1.627,3133,1926
116,0,21007,Gabriel Hjertstedt,1.627,2108,1296
118,0,01072,Chip Beck,1.628,1817,1116
118,0,01139,Olin Browne,1.628,2257,1386
118,0,01191,Barry Cheesman,1.628,2725,1674
118,0,02008,Lee Rinker,1.628,3048,1872
122,0,06090,Jim McGovern,1.629,2493,1530
122,0,02002,John Riegger,1.629,2433,1494
124,0,01116,Michael Bradley,1.630,2054,1260
124,0,07457,Steve Flesch,1.630,2905,1782
126,0,01006,John Adams,1.631,1820,1116
127,0,01035,Tommy Armour III,1.632,2555,1566
127,0,01098,Jay Don Blake,1.632,2292,1404
127,0,06315,Pete Jordan,1.632,2615,1602
127,0,01707,Steve Lowery,1.632,2527,1548
127,0,06132,Sonny Skinner,1.632,2527,1548
132,0,20099,Doug Barron,1.633,2616,1602
132,0,01376,Bob Friend,1.633,2498,1530
132,0,12782,Tim Herron,1.633,2763,1692
132,0,07087,Hugh Royer III,1.633,2410,1476
132,0,06078,Esteban Toledo,1.633,2734,1674
137,0,06251,Chris DiMarco,1.634,2824,1728
137,0,01334,Keith Fergus,1.634,1559,954
137,0,01549,Mike Hulbert,1.634,2617,1602
137,0,01607,Brian Kamm,1.634,2059,1260
141,0,01323,Brad Fabel,1.635,2708,1656
142,0,01361,Dan Forsman,1.636,2268,1386
143,0,01475,Donnie Hammond,1.637,2564,1566
143,0,01604,Steve Jurgensen,1.637,2121,1296
143,0,02170,Hal Sutton,1.637,3065,1872
146,0,01203,Russ Cochran,1.638,2594,1584
147,0,01219,John Cook,1.639,2715,1656
147,0,07235,John Morse,1.639,1741,1062
147,0,10213,Dicky Pride,1.639,1741,1062
147,0,01996,Mike Reid,1.639,2301,1404
151,0,01093,Ronnie Black,1.640,2302,1404
151,0,02023,Clarence Rose,1.640,2893,1764
151,0,02099,Scott Simpson,1.640,1683,1026
154,0,07707,Mike Small,1.641,1920,1170
155,0,01797,Rocco Mediate,1.642,2424,1476
155,0,06581,David Sutherland,1.642,2748,1674
155,0,02214,Kirk Triplett,1.642,2424,1476
158,0,01266,Clark Dennis,1.643,2218,1350
158,0,06044,Scott Gump,1.643,2868,1746
158,0,08545,Glen Hnatiuk,1.643,2454,1494
161,0,01014,Fulton Allem,1.644,1746,1062
162,0,01157,Tom Byrum,1.645,2724,1656
163,0,08375,Paul Stankowski,1.646,2281,1386
163,0,06791,Mark Wurtz,1.646,1630,990
165,0,21584,Richie Coughlan,1.647,2786,1692
165,0,01385,Jim Gallagher Jr.,1.647,2135,1296
167,0,10733,Kent Jones,1.649,2583,1566
168,0,10207,Jimmy Johnston,1.652,1725,1044
168,0,02101,Joey Sindelar,1.652,2855,1728
170,0,01771,Blaine McCallister,1.653,3095,1872
171,0,07749,Brett Quigley,1.654,2620,1584
172,0,01306,David Edwards,1.656,2265,1368
172,0,02106,Chris Smith,1.656,2743,1656
174,0,07569,Mark Carnevale,1.658,2776,1674
174,0,01468,Gary Hallberg,1.658,1821,1098
176,0,01388,Robert Gamez,1.660,2062,1242
177,0,12755,Vance Veazey,1.661,2003,1206
178,0,02241,Bobby Wadkins,1.662,2693,1620
179,0,19824,Craig Barlow,1.665,2427,1458
