RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE IN INCHES
1,0,35617,Martin Trainer,56
2,0,47993,Denny McCarthy,55
2,0,46442,Maverick McNealy,55
2,0,23621,Rory Sabbatini,55
5,0,29478,Kevin Kisner,54
5,0,28237,Rory McIlroy,54
5,0,39546,Keith Mitchell,54
5,0,22405,Justin Rose,54
5,0,40115,Adam Svensson,54
5,0,34264,Hudson Swafford,54
5,0,30927,Brendon Todd,54
5,0,56278,Matthew Wolff,54
13,0,34363,Tyrrell Hatton,53
13,0,39058,Lucas Herbert,53
13,0,35461,Beau Hossler,53
13,0,27974,Sung Kang,53
13,0,40162,Justin Lower,53
13,0,32640,Troy Merritt,53
13,0,24138,Ian Poulter,53
13,0,48699,Callum Tarren,53
21,0,27895,Jonas Blixt,52
21,0,47504,Sam Burns,52
21,0,46717,Viktor Hovland,52
21,0,35506,Mackenzie Hughes,52
21,0,48117,Kurt Kitayama,52
21,0,36852,Jim Knous,52
21,0,36689,Brooks Koepka,52
21,0,36884,Ben Kohles,52
21,0,26851,Marc Leishman,52
21,0,36699,Patrick Rodgers,52
21,0,37275,Sam Ryder,52
21,0,46046,Scottie Scheffler,52
21,0,49960,Sepp Straka,52
21,0,32150,Michael Thompson,52
21,0,47128,Richy Werenski,52
21,0,54783,Dylan Wu,52
37,0,45522,Christiaan Bezuidenhout,51
37,0,48084,Wesley Bryan,51
37,0,32366,Kevin Chappell,51
37,0,51766,Wyndham Clark,51
37,0,46435,Austin Cook,51
37,0,40098,Matt Fitzpatrick,51
37,0,30911,Tommy Fleetwood,51
37,0,34563,Chesson Hadley,51
37,0,39977,Max Homa,51
37,0,36799,Stephan Jaeger,51
37,0,28775,Nate Lashley,51
37,0,36326,David Lipsky,51
37,0,35449,Adam Long,51
37,0,49947,Taylor Moore,51
37,0,48822,Sebastián Muñoz,51
37,0,28252,Seamus Power,51
37,0,46970,Jon Rahm,51
37,0,47983,Chad Ramey,51
37,0,47995,Davis Riley,51
37,0,35891,Cameron Smith,51
37,0,30692,Scott Stallings,51
37,0,10381,Curtis Thompson,51
37,0,57366,Cameron Young,51
60,0,37212,Paul Barjon,50
60,0,35450,Patrick Cantlay,50
60,0,20229,Stewart Cink,50
60,0,34076,Joel Dahmen,50
60,0,45157,Cam Davis,50
60,0,28089,Jason Day,50
60,0,29725,Tony Finau,50
60,0,29535,Brice Garnett,50
60,0,35310,Lanto Griffin,50
60,0,31646,Emiliano Grillo,50
60,0,33399,Adam Hadwin,50
60,0,34098,Russell Henley,50
60,0,49298,Kramer Hickok,50
60,0,33597,Harry Higgs,50
60,0,35532,Tom Hoge,50
60,0,39971,Sungjae Im,50
60,0,35879,Kelly Kraft,50
60,0,23108,Matt Kuchar,50
60,0,49766,Hank Lebioda,50
60,0,34466,Peter Malnati,50
60,0,45486,Joaquin Niemann,50
60,0,27349,Alex Noren,50
60,0,40250,Taylor Pendrith,50
60,0,24361,Pat Perez,50
60,0,34256,Andrew Putnam,50
60,0,53165,Doc Redman,50
60,0,34610,Matthias Schwab,50
60,0,24502,Adam Scott,50
60,0,29221,Webb Simpson,50
60,0,33486,Roger Sloan,50
60,0,48887,Matt Wallace,50
60,0,27095,Nick Watney,50
60,0,32139,Danny Willett,50
93,0,33141,Keegan Bradley,49
93,0,55708,Hayden Buckley,49
93,0,39436,Joshua Creel,49
93,0,23983,Luke Donald,49
93,0,25900,Lucas Glover,49
93,0,54421,Garrick Higgo,49
93,0,29420,Billy Horschel,49
93,0,34174,John Huh,49
93,0,24024,Zach Johnson,49
93,0,32791,K.H. Lee,49
93,0,27129,Luke List,49
93,0,33204,Shane Lowry,49
93,0,50525,Collin Morikawa,49
93,0,29289,S.Y. Noh,49
93,0,29908,C.T. Pan,49
93,0,22056,Cameron Percy,49
93,0,25818,Scott Piercy,49
93,0,49771,J.T. Poston,49
93,0,47856,Seth Reeves,49
93,0,48081,Xander Schauffele,49
93,0,27139,David Skinns,49
93,0,39324,J.J. Spaun,49
93,0,25493,Nick Taylor,49
93,0,33448,Justin Thomas,49
93,0,40006,Erik van Rooyen,49
93,0,51894,Vince Whaley,49
93,0,49964,Aaron Wise,49
93,0,45540,Jared Wolfe,49
93,0,31323,Gary Woodland,49
93,0,52374,Brandon Wu,49
93,0,47483,Will Zalatoris,49
124,0,45526,Abraham Ancer,48
124,0,24925,Jonathan Byrd,48
124,0,39997,Corey Conners,48
124,0,46550,Brandon Hagy,48
124,0,33490,Bo Hoag,48
124,0,54628,Lee Hodges,48
124,0,36801,Mark Hubbard,48
124,0,30926,Chris Kirk,48
124,0,32816,Satoshi Kodaira,48
124,0,30944,Jason Kokrak,48
124,0,29926,Danny Lee,48
124,0,32839,Hideki Matsuyama,48
124,0,25198,Francesco Molinari,48
124,0,51997,Andrew Novak,48
124,0,33667,Carlos Ortiz,48
124,0,47529,Mito Pereira,48
124,0,34360,Patrick Reed,48
124,0,39953,Chase Seiffert,48
124,0,46340,Alex Smalley,48
124,0,23325,Vaughn Taylor,48
124,0,51634,Sahith Theegala,48
124,0,33419,Cameron Tringale,48
124,0,28114,Dawie van der Walt,48
147,0,19803,Ryan Armour,47
147,0,25686,Jason Dufner,47
147,0,45609,Tyler Duncan,47
147,0,29970,Dylan Frittelli,47
147,0,46402,Talor Gooch,47
147,0,47988,Nick Hardy,47
147,0,31557,Jim Herman,47
147,0,21961,Charles Howell III,47
147,0,37455,Si Woo Kim,47
147,0,32757,Patton Kizzire,47
147,0,51950,Max McGreevy,47
147,0,46601,Trey Mullinax,47
147,0,23320,Ryan Palmer,47
147,0,26476,Chez Reavie,47
147,0,47347,Adam Schenk,47
147,0,51890,Greyson Sigg,47
147,0,27649,Brandt Snedeker,47
147,0,32333,Kevin Tway,47
147,0,37189,Harold Varner III,47
147,0,27770,Camilo Villegas,47
167,0,30978,Kiradech Aphibarnrat,46
167,0,52372,Cameron Champ,46
167,0,35110,Brett Drewitt,46
167,0,52375,Doug Ghim,46
167,0,24924,Bill Haas,46
167,0,27644,Brian Harman,46
167,0,27936,Martin Laird,46
167,0,36871,Matthew NeSmith,46
167,0,50095,Austin Smotherman,46
167,0,34046,Jordan Spieth,46
167,0,34431,Robert Streb,46
167,0,27214,Kevin Streelman,46
167,0,27064,Jhonattan Vegas,46
180,0,32102,Rickie Fowler,45
180,0,32662,Michael Gligic,45
180,0,24980,Scott Gutschewski,45
180,0,32448,James Hahn,45
180,0,33122,Russell Knox,45
180,0,31420,Anirban Lahiri,45
180,0,46414,Aaron Rai,45
187,0,34255,Joseph Bramlett,44
187,0,29974,Branden Grace,44
187,0,12716,Charley Hoffman,44
187,0,26300,Matt Jones,44
187,0,30163,Henrik Norlander,44
187,0,29518,Brendan Steele,44
187,0,31560,Brian Stuard,44
