RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,39058,Lucas Herbert,52' 1",52.083,1,52,52' 1"
2,0,21961,Charles Howell III,49' 4",49.333,1,49,49' 4"
3,0,35110,Brett Drewitt,45' 1",45.083,1,45,45' 1"
4,0,29289,S.Y. Noh,38' 1",76.167,2,58,17' 9"
5,0,29518,Brendan Steele,36' 8",36.667,1,37,36' 8"
6,0,29420,Billy Horschel,34' 11",174.667,5,57,10' 5"
7,0,51997,Andrew Novak,34' 0",34.000,1,34,34' 0"
8,0,31646,Emiliano Grillo,33' 0",197.750,6,72,6' 9"
9,0,36852,Jim Knous,32' 11",65.750,2,52,13' 8"
10,0,47483,Will Zalatoris,32' 5",64.750,2,61,3' 8"
11,0,26476,Chez Reavie,31' 10",127.333,4,70,1' 6"
12,0,47983,Chad Ramey,31' 9",95.250,3,54,7' 9"
13,0,35461,Beau Hossler,31' 1",124.167,4,55,2' 0"
14,0,34466,Peter Malnati,30' 11",92.667,3,59,5' 1"
15,0,34360,Patrick Reed,30' 10",30.833,1,31,30' 10"
16,0,33419,Cameron Tringale,30' 0",240.000,8,55,5' 8"
17,0,34563,Chesson Hadley,29' 9",29.750,1,30,29' 9"
18,0,35450,Patrick Cantlay,29' 6",147.333,5,64,5' 3"
19,0,47504,Sam Burns,28' 4",141.667,5,76,4' 3"
20,0,35879,Kelly Kraft,27' 9",55.500,2,45,10' 5"
21,0,27895,Jonas Blixt,27' 8",82.917,3,44,10' 9"
22,0,20229,Stewart Cink,27' 6",82.583,3,40,7' 5"
23,0,29535,Brice Garnett,26' 11",80.667,3,56,11' 4"
24,0,37189,Harold Varner III,26' 7",106.250,4,48,5' 3"
25,0,24361,Pat Perez,25' 9",51.500,2,46,5' 10"
26,0,33597,Harry Higgs,25' 0",100.083,4,36,3' 11"
27,0,52375,Doug Ghim,24' 11",74.750,3,40,6' 11"
28,0,25686,Jason Dufner,24' 10",24.833,1,25,24' 10"
29,0,29221,Webb Simpson,24' 8",49.333,2,27,22' 2"
29,0,33448,Justin Thomas,24' 8",221.833,9,64,1' 2"
31,0,35310,Lanto Griffin,24' 7",49.167,2,39,10' 3"
31,0,39546,Keith Mitchell,24' 7",122.833,5,60,3' 8"
33,0,40250,Taylor Pendrith,24' 1",96.417,4,46,4' 3"
34,0,29725,Tony Finau,24' 0",71.917,3,38,11' 11"
34,0,35891,Cameron Smith,24' 0",120.167,5,44,8' 10"
34,0,27095,Nick Watney,24' 0",120.167,5,46,9' 5"
37,0,48699,Callum Tarren,23' 11",167.583,7,60,4' 7"
38,0,39953,Chase Seiffert,23' 7",23.583,1,24,23' 7"
39,0,46402,Talor Gooch,22' 9",159.500,7,66,4' 10"
40,0,30163,Henrik Norlander,22' 8",68.083,3,40,7' 2"
41,0,40115,Adam Svensson,22' 5",89.583,4,31,4' 6"
42,0,28775,Nate Lashley,22' 4",89.333,4,53,2' 1"
43,0,33490,Bo Hoag,22' 2",44.333,2,33,11' 8"
44,0,54628,Lee Hodges,21' 11",131.583,6,67,4' 7"
45,0,32662,Michael Gligic,21' 8",151.583,7,51,11' 7"
45,0,39977,Max Homa,21' 8",151.583,7,61,3' 10"
47,0,25818,Scott Piercy,21' 6",107.583,5,47,10' 7"
48,0,37455,Si Woo Kim,21' 5",21.417,1,21,21' 5"
48,0,50095,Austin Smotherman,21' 5",42.833,2,33,9' 9"
50,0,29970,Dylan Frittelli,21' 4",42.583,2,34,9' 1"
51,0,22405,Justin Rose,21' 3",84.917,4,29,6' 9"
52,0,24925,Jonathan Byrd,21' 2",21.167,1,21,21' 2"
52,0,27139,David Skinns,21' 2",42.333,2,25,17' 2"
54,0,39324,J.J. Spaun,20' 8",62.000,3,34,12' 0"
55,0,27349,Alex Noren,20' 2",40.250,2,34,6' 8"
56,0,32366,Kevin Chappell,20' 0",60.000,3,40,4' 4"
57,0,57366,Cameron Young,19' 9",118.583,6,30,11' 10"
58,0,46970,Jon Rahm,19' 6",136.750,7,42,4' 1"
59,0,36884,Ben Kohles,19' 5",38.833,2,26,12' 7"
59,0,30944,Jason Kokrak,19' 5",116.667,6,46,6' 9"
59,0,27129,Luke List,19' 5",136.167,7,55,1' 3"
62,0,23320,Ryan Palmer,19' 3",115.667,6,48,7' 8"
63,0,33204,Shane Lowry,18' 10",94.000,5,57,4' 9"
64,0,49947,Taylor Moore,18' 9",37.417,2,33,4' 1"
64,0,34431,Robert Streb,18' 9",75.000,4,39,4' 6"
66,0,26851,Marc Leishman,18' 6",148.000,8,39,5' 10"
67,0,51894,Vince Whaley,18' 4",55.083,3,24,13' 3"
68,0,51634,Sahith Theegala,18' 3",109.500,6,36,5' 10"
69,0,46442,Maverick McNealy,18' 1",216.500,12,48,5' 10"
70,0,36326,David Lipsky,18' 0",161.917,9,31,2' 5"
71,0,45540,Jared Wolfe,17' 11",89.667,5,46,4' 10"
72,0,34363,Tyrrell Hatton,17' 10",71.250,4,42,3' 1"
73,0,33667,Carlos Ortiz,17' 5",87.250,5,28,7' 11"
74,0,35506,Mackenzie Hughes,17' 4",69.417,4,37,4' 0"
74,0,33486,Roger Sloan,17' 4",34.667,2,28,6' 3"
74,0,35617,Martin Trainer,17' 4",69.417,4,19,15' 10"
77,0,36801,Mark Hubbard,17' 1",119.500,7,49,3' 2"
77,0,49771,J.T. Poston,17' 1",136.667,8,37,3' 9"
79,0,49766,Hank Lebioda,17' 0",33.917,2,20,13' 10"
80,0,46717,Viktor Hovland,16' 9",33.417,2,22,11' 2"
81,0,49960,Sepp Straka,16' 7",33.083,2,22,10' 8"
82,0,34098,Russell Henley,16' 6",82.417,5,38,3' 0"
82,0,28237,Rory McIlroy,16' 6",98.917,6,41,2' 4"
84,0,32640,Troy Merritt,16' 5",114.750,7,42,5' 8"
85,0,47995,Davis Riley,16' 1",112.833,7,35,8' 2"
86,0,46550,Brandon Hagy,16' 0",32.000,2,22,9' 7"
87,0,30927,Brendon Todd,15' 11",31.750,2,23,8' 4"
87,0,32333,Kevin Tway,15' 11",63.583,4,20,12' 11"
89,0,32448,James Hahn,15' 10",79.167,5,45,2' 7"
90,0,36799,Stephan Jaeger,15' 7",124.667,8,31,3' 6"
90,0,27649,Brandt Snedeker,15' 7",62.250,4,21,7' 6"
90,0,47128,Richy Werenski,15' 7",31.167,2,24,7' 5"
93,0,30926,Chris Kirk,15' 6",154.667,10,36,5' 2"
93,0,29926,Danny Lee,15' 6",46.583,3,20,9' 11"
95,0,23621,Rory Sabbatini,15' 5",92.417,6,31,5' 9"
96,0,47993,Denny McCarthy,15' 3",76.083,5,23,5' 0"
