RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST (FT),TOT EAGLES PUTTS MADE.,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,30711,Colt Knost,83' 9",83.750,1,84,84
2,0,19846,Brian Gay,57' 3",57.250,1,57,57
3,0,28475,Jeff Overton,37' 2",186.000,5,92,8
4,0,08931,Glen Day,36' 9",73.500,2,38,36
5,0,01320,Bob Estes,36' 2",108.417,3,53,5
6,0,23135,Tim Clark,35' 6",70.917,2,51,20
7,0,22405,Justin Rose,34' 9",34.750,1,35,35
8,0,26497,Casey Wittenberg,32' 8",97.917,3,77,5
9,0,22913,John Rollins,31' 8",189.750,6,52,8
10,0,24449,Parker McLachlin,30' 10",92.500,3,56,18
11,0,24503,Jeff Klauk,30' 9",30.750,1,31,31
12,0,23623,Bo Van Pelt,27' 11",167.583,6,65,7
13,0,20070,Matt Bettencourt,27' 3",190.667,7,60,10
14,0,22348,Nick O'Hern,27' 2",135.917,5,63,3
15,0,30925,Dustin Johnson,27' 0",108.083,4,47,11
16,0,26668,Marc Turnesa,26' 10",53.583,2,39,15
17,0,20098,Stuart Appleby,25' 10",25.833,1,26,26
18,0,23638,Brendon de Jonge,25' 8",51.333,2,30,21
19,0,01948,Tim Petrovic,25' 0",50.000,2,43,7
20,0,01928,Corey Pavin,24' 5",24.417,1,24,24
21,0,01329,Brad Faxon,24' 4",48.667,2,47,2
22,0,01577,Lee Janzen,24' 2",48.333,2,30,19
22,0,26300,Matt Jones,24' 2",72.583,3,53,10
24,0,23718,Nathan Green,23' 10",71.583,3,49,1
25,0,22371,Aaron Baddeley,23' 5",163.833,7,38,9
25,0,20160,Charlie Wi,23' 5",70.167,3,39,4
27,0,20104,Ken Duke,23' 2",92.500,4,39,9
28,0,25562,Andres Romero,23' 1",92.167,4,46,4
29,0,23320,Ryan Palmer,22' 11",114.750,5,42,8
30,0,10885,Robert Allenby,22' 10",91.417,4,60,5
31,0,22961,David Mathis,22' 9",22.750,1,23,23
32,0,21949,Joe Ogilvie,22' 5",112.083,5,56,4
33,0,01706,Davis Love III,22' 3",111.083,5,45,8
34,0,06197,Michael Allen,21' 11",87.750,4,29,12
34,0,01724,Jeff Maggert,21' 11",65.750,3,34,3
36,0,07749,Brett Quigley,21' 6",86.083,4,38,4
37,0,01313,Steve Elkington,21' 4",42.667,2,27,16
38,0,24490,George McNeill,21' 3",127.500,6,35,5
39,0,26596,Ryan Moore,21' 0",63.083,3,29,7
40,0,24781,Hunter Mahan,20' 11",83.583,4,38,4
41,0,25345,Carl Pettersson,20' 10",104.000,5,45,5
42,0,01797,Rocco Mediate,20' 7",82.333,4,38,5
43,0,23788,D.J. Trahan,20' 2",141.167,7,37,4
44,0,01945,Kenny Perry,20' 0",79.833,4,36,8
44,0,20645,John Senden,20' 0",239.833,12,39,6
46,0,23353,J.J. Henry,19' 11",139.583,7,45,3
47,0,26476,Chez Reavie,19' 10",59.500,3,41,7
48,0,01707,Steve Lowery,19' 8",58.917,3,47,5
49,0,27214,Kevin Streelman,19' 6",97.583,5,43,2
50,0,06004,Stephen Ames,19' 5",77.500,4,32,9
50,0,28089,Jason Day,19' 5",77.667,4,32,6
50,0,06527,Steve Stricker,19' 5",58.167,3,48,5
53,0,27963,Chris Stroud,19' 2",172.167,9,48,4
54,0,26951,Johnson Wagner,19' 1",152.917,8,40,1
55,0,26498,Matt Weibring,18' 11",56.833,3,33,12
56,0,01132,Mark Brooks,18' 10",37.583,2,32,5
56,0,27936,Martin Laird,18' 10",150.667,8,50,5
58,0,06643,Paul Goydos,18' 9",37.500,2,29,9
58,0,24361,Pat Perez,18' 9",187.250,10,39,3
58,0,27770,Camilo Villegas,18' 9",37.417,2,21,16
61,0,01226,Fred Couples,18' 7",37.083,2,34,4
61,0,30927,Brendon Todd,18' 7",18.583,1,19,19
63,0,29221,Webb Simpson,18' 6",74.083,4,31,2
64,0,12510,Chad Campbell,18' 0",90.083,5,32,6
64,0,08845,Scott Sterling,18' 0",18.000,1,18,18
66,0,06595,Kevin Sutherland,17' 10",53.417,3,36,7
67,0,10423,Mike Weir,17' 9",106.583,6,31,2
68,0,25240,D.A. Points,17' 8",70.667,4,40,3
69,0,24502,Adam Scott,17' 6",34.917,2,33,2
69,0,25804,Bubba Watson,17' 6",140.250,8,38,9
71,0,10585,Scott McCarron,17' 3",69.083,4,38,6
72,0,21959,Ted Purdy,17' 2",86.000,5,27,9
73,0,01810,Phil Mickelson,17' 1",85.333,5,38,3
73,0,22046,Geoff Ogilvy,17' 1",68.417,4,26,2
73,0,26289,Boo Weekley,17' 1",34.083,2,27,7
76,0,02214,Kirk Triplett,17' 0",67.833,4,28,6
77,0,26301,James Nitties,16' 11",50.667,3,21,13
78,0,21878,Mark Wilson,16' 10",67.167,4,25,7
79,0,02239,Scott Verplank,16' 4",65.250,4,40,4"
80,0,23778,Brad Adamonis,16' 0",79.917,5,31,10
81,0,12652,Cameron Beckman,15' 10",126.583,8,42,6
82,0,24507,Jason Bohn,15' 9",62.833,4,28,6
83,0,20766,Padraig Harrington,15' 8",31.333,2,20,12
83,0,12716,Charley Hoffman,15' 8",141.167,9,30,2
85,0,26881,Jarrod Lyle,15' 7",46.667,3,23,9
86,0,22892,Jason Gore,15' 5",30.833,2,17,14
87,0,24846,Ricky Barnes,15' 4",61.250,4,27,6
87,0,21753,Brian Davis,15' 4",46.083,3,26,6
87,0,21209,Sergio Garcia,15' 4",107.083,7,32,2
87,0,27933,John Merrick,15' 4",76.667,5,37,2
91,0,07867,Woody Austin,15' 2",30.250,2,20,10
92,0,09011,David Duval,15' 1",45.250,3,21,9
93,0,28158,Steve Marino,15' 0",15.000,1,15,15
94,0,01941,Tom Pernice Jr.,14' 11",14.917,1,15,15
95,0,07223,Brian Bateman,14' 10",14.833,1,15,15
96,0,23621,Rory Sabbatini,14' 9",58.833,4,18,11
97,0,27120,Troy Matteson,14' 8",88.000,6,26,2
98,0,24924,Bill Haas,14' 7",102.250,7,46,7
98,0,10860,Justin Leonard,14' 7",43.667,3,25,6
98,0,01766,Billy Mayfair,14' 7",58.250,4,39,3
98,0,02206,David Toms,14' 7",58.417,4,38,1
102,0,20593,Greg Chalmers,14' 6",43.417,3,22,7
103,0,23497,Tag Ridings,14' 5",57.667,4,24,8
104,0,24140,Sean O'Hair,14' 4",85.917,6,26,6
104,0,28118,Peter Tomasulo,14' 4",71.500,5,28,8"
106,0,23800,Bryce Molder,14' 3",28.417,2,24,5
106,0,25396,Kevin Na,14' 3",114.083,8,51,2"
108,0,23349,Charles Warren,14' 2",42.500,3,23,4
109,0,01473,Todd Hamilton,14' 1",56.167,4,21,4
110,0,24925,Jonathan Byrd,13' 11",97.250,7,40,2
111,0,12602,Dean Wilson,13' 10",13.833,1,14,14
112,0,20157,Retief Goosen,13' 8",136.250,10,43,4
113,0,28780,Nicholas Thompson,13' 6",108.167,8,24,4
114,0,08793,Tiger Woods,13' 2",79.167,6,25,4
114,0,24663,Y.E. Yang,13' 2",79.083,6,29,8
116,0,21961,Charles Howell III,13' 1",13.083,1,13,13
117,0,27060,John Mallinger,13' 0",78.167,6,45,3
118,0,12782,Tim Herron,12' 11",51.583,4,22,5
118,0,25919,Brian Vranesh,12' 11",38.667,3,17,10
120,0,23541,Ben Crane,12' 10",51.417,4,33,3
120,0,07457,Steve Flesch,12' 10",51.333,4,25,6
120,0,25632,Jimmy Walker,12' 10",115.417,9,28,3
123,0,26679,Kevin Stadler,12' 8",88.917,7,26,5
124,0,06522,Ernie Els,12' 7",62.917,5,30,5
124,0,26851,Marc Leishman,12' 7",75.250,6,24,7
126,0,22621,Ben Curtis,12' 6",12.500,1,13,13
127,0,20498,Briny Baird,12' 5",61.917,5,18,5
127,0,20229,Stewart Cink,12' 5",49.583,4,22,8
127,0,27095,Nick Watney,12' 5",86.750,7,29,4
130,0,31416,Derek Fathauer,12' 4",12.333,1,12,12
131,0,21805,Harrison Frazar,12' 3",73.417,6,21,6"
132,0,28087,Kris Blanks,12' 1",36.167,3,19,7
133,0,24358,Robert Garrigus,12' 0",71.750,6,29,2
134,0,20574,Mathew Goggin,11' 11",35.833,3,14,9
135,0,20850,Daniel Chopra,11' 10",71.000,6,29,2
135,0,24024,Zach Johnson,11' 10",106.417,9,39,2
135,0,23548,Bill Lunde,11' 10",70.750,6,19,3
138,0,23614,Rich Beem,11' 9",46.917,4,25,4
139,0,06567,Vijay Singh,11' 7",11.583,1,12,12
140,0,25900,Lucas Glover,11' 6",11.500,1,12,12
141,0,23048,Eric Axley,11' 3",22.417,2,19,3
142,0,20691,Greg Owen,10' 8",64.167,6,25,3
143,0,26695,Michael Letzig,10' 4",82.833,8,32,2
143,0,25190,Jeff Quinney,10' 4",20.667,2,19,2
145,0,20127,Chris Riley,9' 11",39.667,4,14,5
146,0,10809,Jim Furyk,9' 6",9.500,1,10,10
147,0,28620,Aron Price,9' 3",36.833,4,20,3
148,0,23108,Matt Kuchar,9' 1",18.167,2,14,4
149,0,24357,K.J. Choi,8' 8",8.667,1,9,9
150,0,27141,J.B. Holmes,8' 7",25.667,3,13,4
151,0,25686,Jason Dufner,7' 10",23.583,3,11,3
152,0,20848,Ángel Cabrera,7' 5",14.750,2,9,6
153,0,23325,Vaughn Taylor,7' 2",14.250,2,9,6
154,0,01035,Tommy Armour III,6' 11",6.917,1,7,7
154,0,27683,Leif Olson,6' 11",20.667,3,11,2
154,0,22295,Darron Stiles,6' 11",6.917,1,7,7
157,0,29718,Anthony Kim,6' 10",27.333,4,16,7"
158,0,20572,Rod Pampling,6' 7",26.333,4,9,3
159,0,06251,Chris DiMarco,6' 6",6.500,1,7,7
160,0,08075,Jerry Kelly,6' 3",12.417,2,9,4
161,0,20472,Alex Cejka,6' 0",11.917,2,9,3
161,0,06539,Rick Price,6' 0",6.000,1,6,6
163,0,01142,Bart Bryant,5' 9",5.750,1,6,6
164,0,25818,Scott Piercy,5' 0",14.917,3,7,4
165,0,22293,Heath Slocum,4' 2",8.250,2,6,2
166,0,10733,Kent Jones,4' 0",7.917,2,5,3
166,0,27466,Spencer Levin,4' 0",4.000,1,4,4
166,0,24912,Will MacKenzie,4' 0",4.000,1,4,4
169,0,10425,Jay Williamson,3' 10",7.583,2,6,2
170,0,27649,Brandt Snedeker,3' 6",7.000,2,5,2
171,0,21350,Ryuji Imada,1' 11",1.917,1,2,2
