RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,ATTEMPTS,TOTAL DISTANCE (FEET)
1,0,27933,John Merrick,2' 0",756,1536.083
2,0,24846,Ricky Barnes,2' 1",598,1223.000
2,0,06522,Ernie Els,2' 1",572,1206.167
2,0,20157,Retief Goosen,2' 1",571,1193.417
2,0,10117,Bob Heintz,2' 1",519,1087.833
2,0,21961,Charles Howell III,2' 1",916,1901.417
2,0,20127,Chris Riley,2' 1",680,1409.417
2,0,23325,Vaughn Taylor,2' 1",835,1732.250
2,0,02239,Scott Verplank,2' 1",847,1783.667
10,0,24507,Jason Bohn,2' 2",923,1962.167
10,0,01132,Mark Brooks,2' 2",415,882.000
10,0,20472,Alex Cejka,2' 2",767,1671.417
10,0,24357,K.J. Choi,2' 2",553,1217.917
10,0,20229,Stewart Cink,2' 2",625,1335.417
10,0,01226,Fred Couples,2' 2",460,1008.833
10,0,23983,Luke Donald,2' 2",591,1296.917
10,0,01313,Steve Elkington,2' 2",702,1537.500
10,0,01320,Bob Estes,2' 2",705,1531.917
10,0,10809,Jim Furyk,2' 2",642,1372.750
10,0,01473,Todd Hamilton,2' 2",696,1536.750
10,0,23353,J.J. Henry,2' 2",965,2105.167
10,0,10860,Justin Leonard,2' 2",785,1725.333
10,0,26881,Jarrod Lyle,2' 2",573,1241.000
10,0,10585,Scott McCarron,2' 2",848,1848.167
10,0,22348,Nick O'Hern,2' 2",918,2027.000
10,0,25345,Carl Pettersson,2' 2",785,1724.333
10,0,08845,Scott Sterling,2' 2",439,966.750
10,0,02206,David Toms,2' 2",862,1882.500
10,0,26951,Johnson Wagner,2' 2",813,1791.333
10,0,25804,Bubba Watson,2' 2",601,1322.833
31,0,06197,Michael Allen,2' 3",641,1452.417
31,0,20098,Stuart Appleby,2' 3",734,1670.667
31,0,28087,Kris Blanks,2' 3",511,1130.417
31,0,01142,Bart Bryant,2' 3",575,1311.833
31,0,24925,Jonathan Byrd,2' 3",877,1939.333
31,0,12510,Chad Campbell,2' 3",770,1737.250
31,0,08931,Glen Day,2' 3",714,1611.750
31,0,23638,Brendon de Jonge,2' 3",875,1956.000
31,0,06251,Chris DiMarco,2' 3",920,2068.917
31,0,20104,Ken Duke,2' 3",754,1684.833
31,0,06621,Joe Durant,2' 3",545,1221.667
31,0,31416,Derek Fathauer,2' 3",549,1242.917
31,0,01329,Brad Faxon,2' 3",522,1184.583
31,0,21209,Sergio Garcia,2' 3",482,1088.750
31,0,01577,Lee Janzen,2' 3",623,1424.000
31,0,01677,Tom Lehman,2' 3",423,936.000
31,0,27466,Spencer Levin,2' 3",729,1642.833
31,0,27120,Troy Matteson,2' 3",982,2190.333
31,0,25396,Kevin Na,2' 3",786,1796.750
31,0,20572,Rod Pampling,2' 3",667,1508.417
31,0,01928,Corey Pavin,2' 3",571,1261.917
31,0,23497,Tag Ridings,2' 3",463,1031.917
31,0,22548,Patrick Sheehan,2' 3",430,971.833
31,0,06567,Vijay Singh,2' 3",558,1260.417
31,0,06527,Steve Stricker,2' 3",616,1392.667
31,0,26498,Matt Weibring,2' 3",571,1303.500
31,0,20160,Charlie Wi,2' 3",809,1821.500
31,0,08793,Tiger Woods,2' 3",474,1066.917
59,0,23778,Brad Adamonis,2' 4",654,1525.333
59,0,01035,Tommy Armour III,2' 4",579,1344.333
59,0,20498,Briny Baird,2' 4",810,1868.167
59,0,20850,Daniel Chopra,2' 4",831,1956.417
59,0,22621,Ben Curtis,2' 4",491,1163.667
59,0,21753,Brian Davis,2' 4",929,2202.250
59,0,28089,Jason Day,2' 4",500,1168.667
59,0,25686,Jason Dufner,2' 4",831,1972.833
59,0,21805,Harrison Frazar,2' 4",872,2044.500
59,0,19846,Brian Gay,2' 4",799,1867.833
59,0,25900,Lucas Glover,2' 4",827,1957.083
59,0,20574,Mathew Goggin,2' 4",667,1549.417
59,0,20766,Padraig Harrington,2' 4",460,1077.750
59,0,12782,Tim Herron,2' 4",854,1983.167
59,0,12716,Charley Hoffman,2' 4",908,2093.833
59,0,21350,Ryuji Imada,2' 4",697,1618.917
59,0,26420,Richard Johnson,2' 4",807,1878.750
59,0,24024,Zach Johnson,2' 4",818,1911.167
59,0,10733,Kent Jones,2' 4",678,1607.500
59,0,08075,Jerry Kelly,2' 4",783,1795.417
59,0,24503,Jeff Klauk,2' 4",957,2265.833
59,0,30711,Colt Knost,2' 4",621,1443.167
59,0,06012,Greg Kraft,2' 4",452,1054.583
59,0,23108,Matt Kuchar,2' 4",705,1621.250
59,0,01706,Davis Love III,2' 4",858,1992.917
59,0,27060,John Mallinger,2' 4",740,1737.833
59,0,01766,Billy Mayfair,2' 4",801,1896.333
59,0,24490,George McNeill,2' 4",782,1808.667
59,0,23800,Bryce Molder,2' 4",562,1291.917
59,0,24361,Pat Perez,2' 4",621,1464.083
59,0,01941,Tom Pernice Jr.,2' 4",786,1818.500
59,0,01948,Tim Petrovic,2' 4",884,2086.583
59,0,07749,Brett Quigley,2' 4",817,1892.417
59,0,22913,John Rollins,2' 4",844,1992.833
59,0,23621,Rory Sabbatini,2' 4",708,1659.167
59,0,29221,Webb Simpson,2' 4",857,2017.083
59,0,27649,Brandt Snedeker,2' 4",656,1508.250
59,0,26679,Kevin Stadler,2' 4",590,1352.750
59,0,27963,Chris Stroud,2' 4",855,1995.833
59,0,06595,Kevin Sutherland,2' 4",783,1832.000
59,0,26668,Marc Turnesa,2' 4",806,1879.417
59,0,27770,Camilo Villegas,2' 4",617,1457.000
59,0,25632,Jimmy Walker,2' 4",668,1544.833
59,0,23349,Charles Warren,2' 4",594,1405.750
59,0,26289,Boo Weekley,2' 4",738,1721.583
59,0,10423,Mike Weir,2' 4",659,1540.667
59,0,21878,Mark Wilson,2' 4",932,2154.333
106,0,10885,Robert Allenby,2' 5",632,1545.000
106,0,06004,Stephen Ames,2' 5",602,1457.333
106,0,22371,Aaron Baddeley,2' 5",571,1398.667
106,0,07223,Brian Bateman,2' 5",535,1280.000
106,0,12652,Cameron Beckman,2' 5",818,1980.000
106,0,23614,Rich Beem,2' 5",643,1574.417
106,0,20848,Ángel Cabrera,2' 5",382,935.250
106,0,20593,Greg Chalmers,2' 5",725,1733.917
106,0,23135,Tim Clark,2' 5",593,1418.083
106,0,06643,Paul Goydos,2' 5",678,1628.500
106,0,24924,Bill Haas,2' 5",875,2124.750
106,0,26695,Michael Letzig,2' 5",887,2120.750
106,0,20634,Peter Lonard,2' 5",866,2092.500
106,0,24912,Will MacKenzie,2' 5",705,1730.000
106,0,24781,Hunter Mahan,2' 5",792,1915.917
106,0,28158,Steve Marino,2' 5",911,2236.083
106,0,22961,David Mathis,2' 5",712,1745.917
106,0,24449,Parker McLachlin,2' 5",664,1578.250
106,0,01797,Rocco Mediate,2' 5",737,1791.750
106,0,26301,James Nitties,2' 5",801,1939.667
106,0,22046,Geoff Ogilvy,2' 5",587,1399.333
106,0,20691,Greg Owen,2' 5",945,2245.250
106,0,25818,Scott Piercy,2' 5",831,2005.333
