RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. (INCHES),TOTAL ROUNDS,AVG DIST.,BEST ROUND
1,0,20593,Greg Chalmers,82' 5",70200,71,465,3001002102
2,0,20070,Matt Bettencourt,82' 0",85577,87,460,4503001924
3,0,19846,Brian Gay,80' 3",78978,82,452,4104001821
3,0,21959,Ted Purdy,80' 3",85665,89,451,2904002018
5,0,23541,Ben Crane,80' 2",76992,80,453,2001002060
6,0,24449,Parker McLachlin,80' 1",64404,67,450,0401001924
6,0,29221,Webb Simpson,80' 1",83582,87,450,0504002176
8,0,01329,Brad Faxon,80' 0",49918,52,450,2702001907
9,0,21949,Joe Ogilvie,79' 7",73528,77,447,4803001578
10,0,22621,Ben Curtis,79' 6",44820,47,444,4202001536
10,0,25396,Kevin Na,79' 6",74428,78,446,0404001759
12,0,23983,Luke Donald,79' 5",58151,61,446,4003001568
13,0,27936,Martin Laird,79' 3",58949,62,445,3204001891
14,0,23108,Matt Kuchar,79' 2",67419,71,446,0401002355
15,0,06004,Stephen Ames,78' 11",54004,57,443,2104001776
15,0,07867,Woody Austin,78' 11",71962,76,444,2301002332
17,0,24781,Hunter Mahan,78' 10",70922,75,443,3504001989
18,0,01945,Kenny Perry,78' 6",68770,73,440,0402001690
19,0,22371,Aaron Baddeley,78' 4",54529,58,440,2004001826
20,0,22961,David Mathis,78' 3",64822,69,441,2501001887
20,0,22046,Geoff Ogilvy,78' 3",54488,58,443,1504001547
20,0,28475,Jeff Overton,78' 3",71391,76,439,3903001726
23,0,12602,Dean Wilson,78' 2",65686,70,443,0501001581
24,0,24361,Pat Perez,78' 1",58069,62,440,4501001714
25,0,21350,Ryuji Imada,77' 8",64310,69,437,1401002174
25,0,20160,Charlie Wi,77' 8",73656,79,436,1003001907
27,0,10117,Bob Heintz,77' 5",47403,51,433,3201001462
28,0,23135,Tim Clark,77' 4",54776,59,436,2004001826
28,0,23623,Bo Van Pelt,77' 4",76107,82,434,2402001879
30,0,26851,Marc Leishman,77' 3",77885,84,434,3902001773
31,0,27649,Brandt Snedeker,77' 1",60102,65,432,2801001766
32,0,26596,Ryan Moore,77' 0",69264,75,433,1802001683
33,0,28089,Jason Day,76' 11",46146,50,433,2401001602
33,0,30925,Dustin Johnson,76' 11",59078,64,437,3801001615
35,0,26301,James Nitties,76' 10",70046,76,432,1001001607
35,0,10423,Mike Weir,76' 10",61753,67,431,2402001769
37,0,24503,Jeff Klauk,76' 9",81011,88,431,1002001780
38,0,22348,Nick O'Hern,76' 8",78177,85,429,4804002215
38,0,21878,Mark Wilson,76' 8",80955,88,431,2401001583
40,0,25562,Andres Romero,76' 7",39520,43,429,3401001733
41,0,08793,Tiger Woods,76' 6",44083,48,431,2801001753
42,0,08075,Jerry Kelly,76' 5",70627,77,429,1802001763
43,0,20572,Rod Pampling,76' 4",58622,64,432,2803002103
43,0,25345,Carl Pettersson,76' 4",67776,74,428,0402001866
45,0,23718,Nathan Green,76' 3",84222,92,427,4401002227
46,0,27095,Nick Watney,76' 1",62098,68,428,4103001792
47,0,24140,Sean O'Hair,76' 0",52899,58,426,4101001665
48,0,28620,Aron Price,75' 11",70160,77,425,1001001684
49,0,06643,Paul Goydos,75' 10",59158,65,429,2503001636
49,0,28158,Steve Marino,75' 10",76430,84,426,2802001816
49,0,22405,Justin Rose,75' 10",51870,57,425,1801001711
52,0,23548,Bill Lunde,75' 9",68181,75,426,2803001512
52,0,25240,D.A. Points,75' 9",78206,86,425,3203001983
54,0,01577,Lee Janzen,75' 8",55384,61,428,2101001763
54,0,24024,Zach Johnson,75' 8",71743,79,427,4104001788
54,0,06595,Kevin Sutherland,75' 8",66306,73,423,3703001904
57,0,25190,Jeff Quinney,75' 7",64367,71,427,3203001463
57,0,26668,Marc Turnesa,75' 7",64407,71,424,4501001565
59,0,23800,Bryce Molder,75' 5",48894,54,423,3802001417
60,0,27466,Spencer Levin,75' 4",60583,67,424,4201001746
60,0,01707,Steve Lowery,75' 4",69635,77,424,0201001797
62,0,10809,Jim Furyk,75' 3",58678,65,426,2801001968
63,0,27214,Kevin Streelman,75' 2",78466,87,423,4401001668
63,0,02206,David Toms,75' 2",72150,80,423,1903001833
65,0,01948,Tim Petrovic,75' 0",77441,86,421,0202001562
66,0,12652,Cameron Beckman,74' 11",67462,75,423,4801001786
66,0,25900,Lucas Glover,74' 11",71022,79,422,1803001671
68,0,21805,Harrison Frazar,74' 9",75370,84,420,2301002256
68,0,22548,Patrick Sheehan,74' 9",35000,39,423,3401002011
70,0,25919,Brian Vranesh,74' 8",38516,43,421,2504001188
71,0,20850,Daniel Chopra,74' 5",74154,83,420,2801001737
71,0,21731,Freddie Jacobson,74' 5",65173,73,418,3801001567
73,0,26420,Richard Johnson,74' 4",65994,74,417,1901001603
73,0,02214,Kirk Triplett,74' 4",49056,55,417,3403001523
75,0,25818,Scott Piercy,74' 3",67696,76,419,3303001701
76,0,22913,John Rollins,74' 2",70333,79,416,0502002316
77,0,26951,Johnson Wagner,74' 1",65790,74,418,1404001873
78,0,28087,Kris Blanks,74' 0",41741,47,414,3301002202
78,0,29718,Anthony Kim,74' 0",53271,60,417,2801001437
80,0,24490,George McNeill,73' 11",67427,76,416,2402001575
80,0,20645,John Senden,73' 11",81595,92,413,2304001590
80,0,26498,Matt Weibring,73' 11",48795,55,418,4203001679
83,0,01161,Mark Calcavecchia,73' 10",54952,62,416,2401001672
83,0,06527,Steve Stricker,73' 10",54933,62,416,2301002008
85,0,23320,Ryan Palmer,73' 9",61970,70,415,2302001893
86,0,01928,Corey Pavin,73' 8",47743,54,418,3301001701
87,0,23048,Eric Axley,73' 7",52086,59,415,0702001344
87,0,07223,Brian Bateman,73' 7",42385,48,412,2101001711
89,0,21209,Sergio Garcia,73' 6",38803,44,411,3502001445
89,0,30927,Brendon Todd,73' 6",41452,47,414,0202001709
91,0,26695,Michael Letzig,73' 4",75705,86,415,3303001770
91,0,23788,D.J. Trahan,73' 4",70387,80,413,0203001698
91,0,31323,Gary Woodland,73' 4",32571,37,413,2101001542
94,0,20127,Chris Riley,73' 3",58919,67,416,3401001966
94,0,26497,Casey Wittenberg,73' 3",47451,54,412,0303001972
94,0,24663,Y.E. Yang,73' 3",61545,70,412,3301001809
97,0,01320,Bob Estes,73' 2",60596,69,412,1402001707
97,0,24358,Robert Garrigus,73' 2",63202,72,411,3702001730
99,0,26300,Matt Jones,73' 1",39460,45,413,0504002075
100,0,21753,Brian Davis,72' 11",79611,91,410,3002001337
100,0,01810,Phil Mickelson,72' 11",42001,48,409,3904001667
102,0,23614,Rich Beem,72' 10",50668,58,406,1302001630
102,0,20848,Ángel Cabrera,72' 10",33210,38,412,4104001713
102,0,20229,Stewart Cink,72' 10",51554,59,411,2401001464
105,0,24924,Bill Haas,72' 9",71560,82,408,3904001761
105,0,10585,Scott McCarron,72' 9",70715,81,410,2204001775
107,0,27060,John Mallinger,72' 8",61893,71,410,0304001486
108,0,01473,Todd Hamilton,72' 7",55731,64,408,1801001692
108,0,06012,Greg Kraft,72' 7",35697,41,405,4402001590
108,0,27963,Chris Stroud,72' 7",66231,76,407,1801001624
111,0,27683,Leif Olson,72' 6",37411,43,410,3301001648
112,0,10860,Justin Leonard,72' 5",65154,75,408,3304001721
113,0,01132,Mark Brooks,72' 3",34675,40,408,3302001797
113,0,01142,Bart Bryant,72' 3",45098,52,406,2303001955
115,0,10733,Kent Jones,72' 2",52836,61,407,2901001582
115,0,30711,Colt Knost,72' 2",48484,56,405,1501001636
117,0,09011,David Duval,71' 11",37993,44,404,3303002029
118,0,25686,Jason Dufner,71' 10",67206,78,404,3202001667
119,0,31416,Derek Fathauer,71' 9",43908,51,402,3204001437
119,0,20766,Padraig Harrington,71' 9",41305,48,406,2501001401
119,0,12705,Cliff Kresge,71' 9",57686,67,402,0402001733
119,0,20634,Peter Lonard,71' 9",66266,77,402,2802001810
119,0,01941,Tom Pernice Jr.,71' 9",64562,75,404,2202001573
119,0,23621,Rory Sabbatini,71' 9",57700,67,405,2201001549
125,0,06197,Michael Allen,71' 7",49841,58,401,3701001578
