RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,2ND,3RD
1,0,10809,Jim Furyk,13,3,1
1,0,01706,Davis Love III,13,2,1
3,0,01527,Scott Hoch,11,1,1,1
4,0,01677,Tom Lehman,9,1,1
4,0,12660,Jesper Parnevik,9,5,1
4,0,02010,Loren Roberts,9,1,1,1
4,0,06613,Tommy Tolles,9,1
4,0,08793,Tiger Woods,9,4,1,1
9,0,10860,Justin Leonard,8,2,1,1
9,0,01968,Nick Price,8,1,1,2
11,0,01161,Mark Calcavecchia,7,1,1
11,0,01226,Fred Couples,7
11,0,09011,David Duval,7,3,2
11,0,06522,Ernie Els,7,2,1
11,0,01577,Lee Janzen,7,2
11,0,01723,Andrew Magee,7,2
11,0,10585,Scott McCarron,7,1
11,0,01876,Greg Norman,7,2,2,1
11,0,01891,David Ogrin,7,2
11,0,02146,Payne Stewart,7,1,1
21,0,10569,Mike Brisky,6,1
21,0,01219,John Cook,6,1,1
21,0,01329,Brad Faxon,6,1,3
21,0,01418,Bill Glasson,6,1,2
21,0,12782,Tim Herron,6,1
21,0,01599,Steve Jones,6,2,1
21,0,01724,Jeff Maggert,6,2,1
21,0,01887,Mark O'Meara,6,2,1
21,0,02133,Craig Stadler,6,2
30,0,20098,Stuart Appleby,5,1,2
30,0,01157,Tom Byrum,5,2
30,0,01203,Russ Cochran,5,1
30,0,06643,Paul Goydos,5
30,0,01633,Tom Kite,5,1
30,0,01707,Steve Lowery,5,2
30,0,01810,Phil Mickelson,5,2,1
30,0,08375,Paul Stankowski,5,1,1
30,0,02223,Bob Tway,5
30,0,02256,Tom Watson,5,1
40,0,01014,Fulton Allem,4
40,0,01024,Billy Andrade,4
40,0,20229,Stewart Cink,4,1,1
40,0,19881,Robert Damron,4,2
40,0,08931,Glen Day,4
40,0,01323,Brad Fabel,4,1
40,0,01361,Dan Forsman,4,1,1
40,0,01457,Jay Haas,4
40,0,01549,Mike Hulbert,4,1
40,0,10457,Frank Nobilo,4,1,1
40,0,01920,Craig Parry,4,1
40,0,01926,Steve Pate,4
40,0,01960,Don Pooley,4
40,0,06567,Vijay Singh,4,2
40,0,06595,Kevin Sutherland,4,1
40,0,02170,Hal Sutton,4,1
40,0,02214,Kirk Triplett,4,1
40,0,02245,Grant Waite,4,1
40,0,02246,Duffy Waldorf,4,2
59,0,01006,John Adams,3
59,0,01042,Paul Azinger,3
59,0,01093,Ronnie Black,3
59,0,01096,Phil Blackmar,3,1
59,0,01098,Jay Don Blake,3
59,0,01116,Michael Bradley,3,1
59,0,01143,Brad Bryant,3,1
59,0,01185,Brandel Chamblee,3,2
59,0,06621,Joe Durant,3
59,0,01313,Steve Elkington,3,2,1
59,0,01320,Bob Estes,3,1
59,0,01381,Fred Funk,3,1
59,0,01388,Robert Gamez,3,1
59,0,06575,Dudley Hart,3,1
59,0,06617,Brian Henninger,3,1
59,0,01533,P.H. Horgan III,3
59,0,08075,Jerry Kelly,3
59,0,01682,Wayne Levi,3
59,0,11032,Frank Lickliter II,3
59,0,01748,Doug Martin,3
59,0,08635,Colin Montgomerie,3,1
59,0,01996,Mike Reid,3,1
59,0,02008,Lee Rinker,3,2
59,0,02023,Clarence Rose,3
59,0,02104,Jeff Sluman,3,1,1
59,0,02131,Mike Springer,3,1
59,0,02135,Mike Standly,3,1
86,0,20099,Doug Barron,2
86,0,01139,Olin Browne,2
86,0,01175,Jim Carter,2
86,0,12387,Michael Christie,2
86,0,01326,Nick Faldo,2,1,1
86,0,01331,Rick Fehr,2,1
86,0,01353,Bruce Fleisher,2
86,0,01378,David Frost,2,1
86,0,01475,Donnie Hammond,2,1
86,0,01569,Peter Jacobsen,2,1
86,0,01619,Skip Kendall,2,1
86,0,01797,Rocco Mediate,2
86,0,01905,Joe Ozaki,2,1
86,0,01943,Chris Perry,2,1
86,0,01945,Kenny Perry,2
86,0,02007,Larry Rinker,2
86,0,02049,Gene Sauers,2
86,0,06581,David Sutherland,2,1
86,0,12663,Phil Tataurangi,2,1
86,0,02206,David Toms,2,1
86,0,02218,Ted Tryba,2,1
86,0,08385,Omar Uresti,2,1
108,0,10885,Robert Allenby,1
108,0,06004,Stephen Ames,1
108,0,07867,Woody Austin,1
108,0,07003,David Berganio Jr.,1
108,0,06214,Guy Boros,1,1
108,0,01132,Mark Brooks,1
108,0,01133,Billy Ray Brown,1,1
108,0,10837,Kevin Burton,1
108,0,01196,Brian Claar,1
108,0,19825,Darren Clarke,1,1
108,0,01201,Lennie Clements,1
108,0,01249,John Daly,1
108,0,01261,Jay Delsing,1
108,0,01288,Ed Dougherty,1
