RANK,MOVEMENT,PLAYER_ID,PLAYER,VICTORIES
1,0,46046,Scottie Scheffler,7
2,0,59866,Nick Dunlap,2
2,0,57362,Austin Eckroat,2
2,0,52215,Robert MacIntyre,2
2,0,32839,Hideki Matsuyama,2
2,0,28237,Rory McIlroy,2
2,0,48081,Xander Schauffele,2
8,0,56630,Akshay Bhatia,1
8,0,33141,Keegan Bradley,1
8,0,32070,Rafael Campos,1
8,0,51766,Wyndham Clark,1
8,0,45157,Cam Davis,1
8,0,47959,Bryson DeChambeau,1
8,0,51349,Nico Echavarria,1
8,0,29535,Brice Garnett,1
8,0,59095,Chris Gotterup,1
8,0,57975,Harry Hall,1
8,0,29420,Billy Horschel,1
8,0,36799,Stephan Jaeger,1
8,0,30926,Chris Kirk,1
8,0,32757,Patton Kizzire,1
8,0,47420,Jake Knapp,1
8,0,33204,Shane Lowry,1
8,0,34466,Peter Malnati,1
8,0,59141,Matt McCarty,1
8,0,46442,Maverick McNealy,1
8,0,34213,Grayson Murray,1
8,0,48153,Matthieu Pavon,1
8,0,40250,Taylor Pendrith,1
8,0,49771,J.T. Poston,1
8,0,46414,Aaron Rai,1
8,0,47995,Davis Riley,1
8,0,25493,Nick Taylor,1
8,0,58168,Davis Thompson,1
8,0,27064,Jhonattan Vegas,1
8,0,45242,Kevin Yu,1
37,0,66415,Ryan Abbate,0
37,0,52955,Ludvig Åberg,0
37,0,51856,Tom Adrounie,0
37,0,24461,Thomas Aiken,0
37,0,64267,Blaze Akana,0
37,0,67118,Kihei Akina,0
37,0,49303,Anders Albertson,0
37,0,33408,Tyson Alexander,0
37,0,33948,Byeong Hun An,0
37,0,45526,Abraham Ancer,0
37,0,52370,Mason Andersen,0
37,0,57321,Matthew Anderson,0
37,0,01024,Billy Andrade,0
37,0,30978,Kiradech Aphibarnrat,0
37,0,45194,Marcus Armitage,0
37,0,19803,Ryan Armour,0
37,0,52096,Adri Arnaus,0
37,0,47125,Matt Atkins,0
37,0,45527,Kevin Aylwin,0
37,0,64052,Angel Ayora,0
37,0,51661,Nick Bachem,0
37,0,22371,Aaron Baddeley,0
37,0,28259,Sangmoon Bae,0
37,0,60369,Sam Bairstow,0
37,0,33404,Chris Baker,0
37,0,32622,Matthew Baldwin,0
37,0,37212,Paul Barjon,0
37,0,34374,Erik Barnes,0
37,0,24846,Ricky Barnes,0
37,0,46955,Haydn Barron,0
37,0,35490,Wil Bateman,0
37,0,48001,Zach Bauchou,0
37,0,23614,Rich Beem,0
37,0,66624,Parker Bell,0
37,0,49117,Isidro Benitez,0
37,0,59652,Sam Bennett,0
37,0,40026,Daniel Berger,0
37,0,58989,Brandon Berry,0
37,0,57330,Matthis Besard,0
37,0,66506,Josh Bevell,0
37,0,45522,Christiaan Bezuidenhout,0
37,0,28697,Gaganjeet Bhullar,0
37,0,36964,Francisco Bidé,0
37,0,58248,Nick Bienz,0
37,0,55930,Fred Biondi,0
37,0,34310,Alexander Björk,0
37,0,49371,Otto Black,0
37,0,50759,Michael Blair,0
37,0,40058,Zac Blair,0
37,0,01098,Jay Don Blake,0
37,0,54788,Chandler Blanchet,0
37,0,22764,Michael Block,0
