RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01928,Corey Pavin,17.25,137,794,+0.146
2,0,01329,Brad Faxon,12.72,130,1022,+0.262
3,0,02110,Jerry Smith,10.15,119,1172,+0.277
4,0,02101,Joey Sindelar,9.36,99,1058,+0.051
5,0,01948,Tim Petrovic,8.71,101,1160,+0.059
6,0,01139,Olin Browne,8.54,103,1206,+0.078
7,0,01381,Fred Funk,8.52,101,1185,+0.040
8,0,01577,Lee Janzen,8.26,78,944,+0.244
9,0,01219,John Cook,8.12,62,764,+0.242
10,0,06575,Dudley Hart,8.09,80,989,+0.138
11,0,20382,Stephen Leaney,8.04,86,1070,-0.012
12,0,01320,Bob Estes,7.97,83,1042,+0.145
13,0,01823,Larry Mize,7.89,45,570,+0.200
14,0,01313,Steve Elkington,7.81,50,640,E
14,0,10860,Justin Leonard,7.81,71,909,+0.085
16,0,19846,Brian Gay,7.70,107,1390,+0.056
17,0,10505,Shane Bertsch,7.59,95,1251,+0.211
18,0,01142,Bart Bryant,7.55,75,993,+0.040
19,0,06515,Shaun Micheel,7.38,80,1084,+0.100
20,0,01388,Robert Gamez,7.16,82,1146,+0.159
21,0,09011,David Duval,7.14,53,742,+0.019
22,0,26420,Richard Johnson,7.11,84,1182,+0.155
23,0,08075,Jerry Kelly,7.09,83,1170,-0.024
24,0,01473,Todd Hamilton,7.03,55,782,+0.218
25,0,01887,Mark O'Meara,7.00,35,500,+0.257
26,0,21959,Ted Purdy,6.96,78,1120,+0.321
27,0,01599,Steve Jones,6.95,67,964,+0.164
28,0,21878,Mark Wilson,6.88,69,1003,+0.130
29,0,23673,Michael Connell,6.83,40,586,+0.400
30,0,12602,Dean Wilson,6.80,88,1294,+0.068
31,0,25804,Bubba Watson,6.79,68,1002,+0.074
32,0,24507,Jason Bohn,6.76,84,1242,+0.214
33,0,23718,Nathan Green,6.72,88,1310,+0.227
34,0,23541,Ben Crane,6.68,57,853,E
35,0,10809,Jim Furyk,6.49,62,956,-0.016
36,0,01677,Tom Lehman,6.42,42,654,E
37,0,20634,Peter Lonard,6.39,59,923,+0.119
38,0,20127,Chris Riley,6.35,61,960,+0.213
39,0,01132,Mark Brooks,6.30,65,1032,+0.108
40,0,08375,Paul Stankowski,6.26,55,878,+0.291
41,0,22892,Jason Gore,6.24,63,1010,+0.190
42,0,01161,Mark Calcavecchia,6.17,68,1102,+0.191
43,0,20498,Briny Baird,6.15,60,976,+0.183
43,0,10565,Ian Leggatt,6.15,60,976,+0.217
45,0,24140,Sean O'Hair,6.10,65,1066,+0.308
46,0,07223,Brian Bateman,6.09,50,821,+0.160
47,0,25345,Carl Pettersson,6.08,64,1052,+0.281
48,0,19913,Ron Whittaker,6.06,60,990,+0.333
