RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,27141,J.B. Holmes,62.95,554,880,-0.126
2,0,25804,Bubba Watson,57.19,573,1002,-0.187
3,0,01249,John Daly,53.31,306,574,-0.072
4,0,24358,Robert Garrigus,45.65,472,1034,-0.133
5,0,23322,Brett Wetterich,45.46,461,1014,-0.178
6,0,23616,Ryan Hietala,43.82,312,712,-0.087
7,0,12716,Charley Hoffman,42.25,523,1238,-0.184
8,0,23497,Tag Ridings,41.65,521,1251,-0.119
9,0,21805,Harrison Frazar,41.03,430,1048,-0.198
10,0,24980,Scott Gutschewski,38.22,240,628,-0.233
11,0,27770,Camilo Villegas,37.94,434,1144,-0.233
12,0,01810,Phil Mickelson,37.84,249,658,-0.261
13,0,08793,Tiger Woods,37.64,195,518,-0.338
14,0,01706,Davis Love III,36.22,289,798,-0.187
15,0,11123,Chris Couch,35.94,335,932,-0.194
16,0,22892,Jason Gore,35.74,361,1010,-0.144
17,0,25900,Lucas Glover,35.22,424,1204,-0.229
18,0,28475,Jeff Overton,35.20,428,1216,-0.159
19,0,24925,Jonathan Byrd,35.11,263,749,-0.171
20,0,20850,Daniel Chopra,34.85,437,1254,-0.249
21,0,02106,Chris Smith,34.43,282,819,-0.167
22,0,25936,Alex Aragon,34.22,258,754,-0.085
23,0,01226,Fred Couples,33.93,152,448,-0.138
24,0,27943,Matt Hansen,33.79,273,808,-0.136
25,0,26360,Bubba Dickerson,33.78,405,1199,-0.160
26,0,08835,Kris Cox,33.27,334,1004,-0.189
27,0,27120,Troy Matteson,33.17,407,1227,-0.157
28,0,24502,Adam Scott,33.05,235,711,-0.221
29,0,25842,Jon Mills,32.67,247,756,-0.146
30,0,23614,Rich Beem,32.16,292,908,-0.195
31,0,23349,Charles Warren,32.09,362,1128,-0.207
32,0,27095,Nick Watney,31.92,383,1200,-0.198
33,0,28780,Nicholas Thompson,31.71,345,1088,-0.139
34,0,23409,James Driscoll,31.23,331,1060,-0.163
35,0,24912,Will MacKenzie,31.13,325,1044,-0.197
36,0,06567,Vijay Singh,31.04,365,1176,-0.249
37,0,20378,Mathias Grönberg,30.92,341,1103,-0.173
38,0,22046,Geoff Ogilvy,30.87,226,732,-0.190
39,0,20574,Mathew Goggin,29.68,241,812,-0.141
40,0,06573,Brandt Jobe,29.51,288,976,-0.201
41,0,21961,Charles Howell III,29.47,325,1103,-0.188
42,0,24924,Bill Haas,29.36,360,1226,-0.192
43,0,23307,Roger Tambellini,29.19,216,740,-0.185
44,0,01945,Kenny Perry,29.17,245,840,-0.102
45,0,20157,Retief Goosen,29.13,187,642,-0.166
46,0,22946,Henrik Bjornstad,29.10,362,1244,-0.160
47,0,23623,Bo Van Pelt,29.06,365,1256,-0.233
48,0,24361,Pat Perez,28.91,170,588,-0.135
49,0,23320,Ryan Palmer,28.67,328,1144,-0.198
50,0,20645,John Senden,28.65,316,1103,-0.285
51,0,09011,David Duval,28.57,212,742,-0.189
52,0,25632,Jimmy Walker,28.08,219,780,-0.192
53,0,08375,Paul Stankowski,28.02,246,878,-0.183
54,0,23353,J.J. Henry,27.93,300,1074,-0.180
55,0,19824,Craig Barlow,27.59,224,812,-0.254
56,0,22913,John Rollins,27.55,292,1060,-0.260
57,0,21209,Sergio Garcia,27.45,151,550,-0.152
58,0,20094,Jonathan Kaye,27.31,328,1201,-0.201
59,0,12823,Carlos Franco,27.19,292,1074,-0.192
60,0,23048,Eric Axley,26.00,286,1100,-0.217
61,0,22378,Trevor Immelman,25.86,263,1017,-0.262
62,0,23621,Rory Sabbatini,25.67,229,892,-0.197
63,0,24140,Sean O'Hair,25.61,273,1066,-0.168
64,0,12782,Tim Herron,25.58,221,864,-0.163
65,0,10885,Robert Allenby,24.64,206,836,-0.175
66,0,21660,Jason Schultz,24.28,220,906,-0.114
67,0,20691,Greg Owen,24.25,210,866,-0.233
68,0,21731,Freddie Jacobson,23.81,180,756,-0.161
69,0,06350,Bob May,23.80,178,748,-0.174
70,0,12510,Chad Campbell,23.77,222,934,-0.144
71,0,07223,Brian Bateman,23.75,195,821,-0.123
72,0,12660,Jesper Parnevik,23.58,240,1018,-0.300
73,0,07013,Wes Short Jr.,23.57,281,1192,-0.132
74,0,06197,Michael Allen,22.92,231,1008,-0.173
75,0,20098,Stuart Appleby,22.77,204,896,-0.157
76,0,12760,Danny Ellis,22.67,190,838,-0.221
77,0,23788,D.J. Trahan,22.64,240,1060,-0.233
78,0,21949,Joe Ogilvie,22.55,246,1091,-0.207
79,0,24781,Hunter Mahan,22.54,279,1238,-0.186
80,0,06595,Kevin Sutherland,22.19,269,1212,-0.227
81,0,10565,Ian Leggatt,22.13,216,976,-0.102
82,0,06034,Marco Dawson,21.99,236,1073,-0.199
83,0,20105,Jeff Gove,21.83,246,1127,-0.171
84,0,21959,Ted Purdy,21.79,244,1120,-0.205
85,0,22405,Justin Rose,21.77,261,1199,-0.249
86,0,20229,Stewart Cink,21.70,220,1014,-0.255
87,0,06522,Ernie Els,21.56,141,654,-0.177
88,0,02206,David Toms,21.33,186,872,-0.312
89,0,01553,John Huston,20.91,189,904,-0.169
90,0,25935,John Engler Jr.,19.89,175,880,-0.137
91,0,22548,Patrick Sheehan,19.87,241,1213,-0.207
92,0,24507,Jason Bohn,19.81,246,1242,-0.195
93,0,20766,Padraig Harrington,19.74,105,532,-0.257
94,0,26596,Ryan Moore,19.53,158,809,-0.234
95,0,20608,David Howell,19.52,82,420,-0.146
96,0,01761,Len Mattiace,19.36,140,723,-0.057
97,0,20572,Rod Pampling,19.32,175,906,-0.246
98,0,25345,Carl Pettersson,19.30,203,1052,-0.197
99,0,01677,Tom Lehman,19.11,125,654,-0.120
100,0,23325,Vaughn Taylor,19.02,205,1078,-0.239
101,0,06515,Shaun Micheel,19.00,206,1084,-0.199
102,0,08537,J.P. Hayes,18.82,131,696,-0.221
103,0,01707,Steve Lowery,18.77,217,1156,-0.226
104,0,21407,Arjun Atwal,18.48,211,1142,-0.194
105,0,12662,Thomas Levet,18.45,124,672,-0.032
106,0,12755,Vance Veazey,18.39,139,756,-0.201
107,0,20472,Alex Cejka,18.37,205,1116,-0.171
108,0,24357,K.J. Choi,17.97,198,1102,-0.232
109,0,07749,Brett Quigley,17.80,233,1309,-0.219
110,0,20628,Arron Oberholser,17.74,154,868,-0.208
111,0,01313,Steve Elkington,17.66,113,640,-0.177
112,0,01473,Todd Hamilton,17.65,138,782,-0.152
112,0,12680,Shigeki Maruyama,17.65,197,1116,-0.228
114,0,06373,José María Olazábal,17.61,96,545,-0.125
115,0,10860,Justin Leonard,17.27,157,909,-0.083
116,0,25240,D.A. Points,17.24,171,992,-0.187
117,0,06004,Stephen Ames,17.05,105,616,-0.305
118,0,11011,Mike Sposa,17.04,138,810,-0.239
119,0,12645,Brent Geiberger,16.92,212,1253,-0.198
120,0,20498,Briny Baird,16.91,165,976,-0.291
121,0,02223,Bob Tway,16.88,158,936,-0.165
122,0,21753,Brian Davis,16.87,191,1132,-0.183
123,0,06621,Joe Durant,16.84,225,1336,-0.262
124,0,01042,Paul Azinger,16.79,187,1114,-0.241
125,0,07867,Woody Austin,16.78,217,1293,-0.161
126,0,20634,Peter Lonard,16.58,153,923,-0.105
127,0,01666,Bernhard Langer,16.57,136,821,-0.221
128,0,20631,David McKenzie,16.22,156,962,-0.141
129,0,22371,Aaron Baddeley,16.21,154,950,-0.104
130,0,11032,Frank Lickliter II,16.16,191,1182,-0.215
131,0,02246,Duffy Waldorf,16.14,184,1140,-0.190
132,0,01161,Mark Calcavecchia,15.97,176,1102,-0.182
133,0,21646,David Branshaw,15.95,193,1210,-0.207
133,0,20593,Greg Chalmers,15.95,127,796,-0.142
135,0,24024,Zach Johnson,15.83,170,1074,-0.235
136,0,10809,Jim Furyk,15.59,149,956,-0.201
137,0,23541,Ben Crane,15.36,131,853,-0.176
138,0,07457,Steve Flesch,15.31,220,1437,-0.268
139,0,10733,Kent Jones,15.03,184,1224,-0.217
140,0,20127,Chris Riley,14.79,142,960,-0.176
141,0,21350,Ryuji Imada,14.63,177,1210,-0.232
142,0,08123,Jeff Brehaut,14.61,173,1184,-0.260
143,0,06575,Dudley Hart,14.56,144,989,-0.201
144,0,01577,Lee Janzen,14.51,137,944,-0.146
145,0,01142,Bart Bryant,14.50,144,993,E
146,0,01320,Bob Estes,14.49,151,1042,-0.364
147,0,01685,J.L. Lewis,14.43,101,700,-0.257
148,0,01948,Tim Petrovic,14.40,167,1160,-0.162
149,0,10423,Mike Weir,14.24,125,878,-0.232
150,0,20812,Tjaart van der Walt,14.19,103,726,-0.146
151,0,02101,Joey Sindelar,14.08,149,1058,-0.215
152,0,01035,Tommy Armour III,13.86,102,736,-0.069
153,0,23983,Luke Donald,13.46,81,602,-0.198
154,0,01388,Robert Gamez,13.44,154,1146,-0.195
155,0,22293,Heath Slocum,13.12,154,1174,-0.136
156,0,01766,Billy Mayfair,13.10,141,1076,-0.248
157,0,26420,Richard Johnson,12.86,152,1182,-0.342
158,0,21470,Daisuke Maruyama,12.81,125,976,-0.224
159,0,01724,Jeff Maggert,12.63,120,950,-0.100
160,0,19881,Robert Damron,12.60,144,1143,-0.208
160,0,12602,Dean Wilson,12.60,163,1294,-0.233
162,0,01941,Tom Pernice Jr.,12.48,151,1210,-0.205
163,0,23718,Nathan Green,12.44,163,1310,-0.325
164,0,24138,Ian Poulter,12.41,73,588,-0.247
165,0,06527,Steve Stricker,12.33,89,722,-0.213
166,0,02214,Kirk Triplett,12.24,84,686,-0.226
167,0,23673,Michael Connell,11.95,70,586,-0.214
168,0,19913,Ron Whittaker,11.92,118,990,-0.186
169,0,21878,Mark Wilson,11.76,118,1003,-0.178
170,0,01024,Billy Andrade,11.75,98,834,-0.214
171,0,08385,Omar Uresti,11.41,81,710,-0.074
172,0,01619,Skip Kendall,11.22,92,820,-0.250
173,0,01219,John Cook,11.13,85,764,-0.212
174,0,01139,Olin Browne,11.11,134,1206,-0.172
175,0,10505,Shane Bertsch,11.03,138,1251,-0.196
176,0,06251,Chris DiMarco,11.01,94,854,-0.191
177,0,02110,Jerry Smith,10.92,128,1172,-0.234
178,0,02104,Jeff Sluman,10.23,118,1154,-0.178
179,0,06012,Greg Kraft,10.15,95,936,-0.147
180,0,20548,Hidemichi Tanaka,9.91,90,908,-0.044
181,0,22621,Ben Curtis,9.74,91,934,-0.176
182,0,08075,Jerry Kelly,9.49,111,1170,-0.243
183,0,06643,Paul Goydos,9.44,84,890,-0.155
183,0,01599,Steve Jones,9.44,91,964,-0.154
185,0,20121,Todd Fischer,9.27,116,1252,-0.095
186,0,01381,Fred Funk,8.27,98,1185,-0.184
187,0,01823,Larry Mize,8.07,46,570,-0.087
188,0,01329,Brad Faxon,7.83,80,1022,-0.288
189,0,02239,Scott Verplank,7.73,73,944,-0.247
190,0,19846,Brian Gay,7.70,107,1390,-0.234
191,0,23135,Tim Clark,7.67,62,808,E
192,0,20099,Doug Barron,7.27,68,935,-0.147
193,0,01132,Mark Brooks,6.69,69,1032,-0.072
194,0,20382,Stephen Leaney,6.54,70,1070,-0.243
195,0,01887,Mark O'Meara,6.00,30,500,-0.333
196,0,01928,Corey Pavin,5.54,44,794,-0.295
