RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,27141,J.B. Holmes,81.34,109,134,-0.38
2,0,25804,Bubba Watson,76.58,121,158,-0.28
3,0,01249,John Daly,68.60,59,86,-0.24
4,0,24358,Robert Garrigus,68.07,113,166,-0.19
5,0,23322,Brett Wetterich,65.38,102,156,-0.28
6,0,23616,Ryan Hietala,61.86,73,118,-0.22
7,0,23497,Tag Ridings,61.22,120,196,-0.26
8,0,08793,Tiger Woods,59.21,45,76,-0.40
9,0,21805,Harrison Frazar,56.90,99,174,-0.39
10,0,12716,Charley Hoffman,55.32,104,188,-0.17
11,0,01226,Fred Couples,53.95,41,76,-0.12
12,0,25936,Alex Aragon,52.46,64,122,-0.05
13,0,27943,Matt Hansen,51.52,68,132,-0.21
14,0,24980,Scott Gutschewski,50.98,52,102,-0.37
15,0,27095,Nick Watney,50.00,95,190,-0.32
16,0,26360,Bubba Dickerson,48.44,93,192,-0.16
17,0,25900,Lucas Glover,48.35,88,182,-0.41
18,0,01810,Phil Mickelson,48.11,51,106,-0.47
19,0,20157,Retief Goosen,47.83,44,92,-0.30
20,0,27770,Camilo Villegas,47.70,83,174,-0.35
21,0,01706,Davis Love III,47.66,61,128,-0.25
22,0,08835,Kris Cox,47.53,77,162,-0.25
23,0,06573,Brandt Jobe,47.37,72,152,-0.17
24,0,24502,Adam Scott,47.12,49,104,-0.31
25,0,02106,Chris Smith,47.01,63,134,-0.22
26,0,25842,Jon Mills,46.97,62,132,-0.13
27,0,28475,Jeff Overton,46.77,87,186,-0.07
28,0,23307,Roger Tambellini,46.72,57,122,-0.09
29,0,27120,Troy Matteson,46.04,93,202,-0.30
30,0,24925,Jonathan Byrd,45.97,57,124,-0.33
31,0,11123,Chris Couch,45.89,67,146,-0.27
32,0,20850,Daniel Chopra,45.15,93,206,-0.17
33,0,22892,Jason Gore,45.00,72,160,-0.33
34,0,24924,Bill Haas,44.79,86,192,-0.28
35,0,23349,Charles Warren,44.77,77,172,-0.43
36,0,24912,Will MacKenzie,44.32,78,176,-0.33
37,0,09011,David Duval,43.86,50,114,-0.30
