RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY PER EVENT,TOTAL MONEY
1,0,08793,Tiger Woods,$962500,5775000
2,0,20766,Padraig Harrington,$287570,4313550
3,0,06567,Vijay Singh,$287004,6601094
4,0,21209,Sergio Garcia,$255695,4858223
5,0,01810,Phil Mickelson,$247089,5188874
6,0,29718,Anthony Kim,$211648,4656265
7,0,27770,Camilo Villegas,$201029,4422640
8,0,01945,Kenny Perry,$179376,4663793
9,0,20229,Stewart Cink,$173013,3979300
10,0,06522,Ernie Els,$158580,2537289
11,0,10860,Justin Leonard,$157741,3943542
12,0,20396,Lee Westwood,$155088,1550880
13,0,22046,Geoff Ogilvy,$144004,2880099
14,0,21528,Henrik Stenson,$137568,1238117
15,0,10809,Jim Furyk,$132912,3455713
16,0,23983,Luke Donald,$132422,1456650
17,0,24502,Adam Scott,$131943,1979159
18,0,10885,Robert Allenby,$128810,3606699
19,0,24357,K.J. Choi,$127782,2683442
20,0,01876,Greg Norman,$127404,509617
21,0,21350,Ryuji Imada,$121174,3029363
22,0,22621,Ben Curtis,$118899,2615798
23,0,22378,Trevor Immelman,$116645,2566198
24,0,10423,Mike Weir,$116159,3020135
25,0,06527,Steve Stricker,$110832,2438304
26,0,20098,Stuart Appleby,$108027,2484630
27,0,25562,Andres Romero,$103230,2064611
28,0,19970,Robert Karlsson,$101523,812184
29,0,06575,Dudley Hart,$100855,2218816
30,0,26289,Boo Weekley,$99947,2398750
31,0,06595,Kevin Sutherland,$99281,2581310
32,0,24138,Ian Poulter,$99214,1488214
33,0,24184,Alastair Forsyth,$97208,194416
34,0,06004,Stephen Ames,$95237,2285707
35,0,25345,Carl Pettersson,$86639,2512538
36,0,12510,Chad Campbell,$85884,2404770
37,0,23788,D.J. Trahan,$85346,2304368
38,0,24140,Sean O'Hair,$83594,2089856
39,0,27141,J.B. Holmes,$83312,2166130
40,0,24781,Hunter Mahan,$81809,2208854
41,0,20157,Retief Goosen,$79553,1431965
42,0,22371,Aaron Baddeley,$75708,1665587
43,0,27349,Alex Noren,$75484,75484
43,0,06431,Jean Van de Velde,$75484,75484
43,0,23162,Simon Wakefield,$75484,75484
43,0,31113,Paul Waring,$75484,75484
47,0,01142,Bart Bryant,$74745,1719153
48,0,01706,Davis Love III,$73705,1695237
49,0,01666,Bernhard Langer,$73625,147250
50,0,20574,Mathew Goggin,$72961,1969962
51,0,25364,Paul Casey,$72275,1156414
52,0,07867,Woody Austin,$71547,2146430
53,0,25190,Jeff Quinney,$71406,1999371
54,0,19846,Brian Gay,$71145,2205512
55,0,22405,Justin Rose,$69856,1047853
56,0,20498,Briny Baird,$67993,2039807
57,0,20104,Ken Duke,$67844,2238884
58,0,23621,Rory Sabbatini,$67794,1559277
59,0,21731,Freddie Jacobson,$66559,1597423
60,0,23320,Ryan Palmer,$66053,1453182
61,0,06643,Paul Goydos,$65629,1640737
62,0,28158,Steve Marino,$65445,2094266
63,0,24361,Pat Perez,$65038,1756038
64,0,24024,Zach Johnson,$64604,1615123
65,0,20608,David Howell,$64581,193743
66,0,23135,Tim Clark,$63778,1722029
67,0,01707,Steve Lowery,$60971,1524275
68,0,20572,Rod Pampling,$60819,1702952
69,0,19958,Miguel Angel Jiménez,$60805,486446
70,0,20850,Daniel Chopra,$60395,1630689
71,0,01766,Billy Mayfair,$60368,1750682
72,0,01035,Tommy Armour III,$60050,1501255
73,0,30925,Dustin Johnson,$59663,1789894
74,0,23541,Ben Crane,$59540,1488504
75,0,27649,Brandt Snedeker,$58901,1531441
76,0,24507,Jason Bohn,$57785,866785
77,0,06012,Greg Kraft,$57359,1204559
78,0,02239,Scott Verplank,$56650,1359620
