RANK,MOVEMENT,PLAYER_ID,PLAYER,% UNDER THEN OVER PAR,TOTAL UNDER THEN OVER PAR,UNDER PAR
1,0,01306,David Edwards,10.00,21,210
2,0,01444,Ken Green,10.68,30,281
3,0,02267,D.A. Weibring,11.76,22,187
4,0,02100,Tim Simpson,12.14,38,313
5,0,01527,Scott Hoch,12.36,33,267
6,0,01226,Fred Couples,12.50,29,232
7,0,01320,Bob Estes,12.74,33,259
8,0,01014,Fulton Allem,12.92,27,209
9,0,02010,Loren Roberts,13.00,42,323
10,0,01168,David Canipe,13.11,27,206
11,0,01837,Gil Morgan,13.15,33,251
12,0,01510,Nolan Henke,13.16,35,266
13,0,02186,Brian Tennyson,13.23,41,310
14,0,01156,Curt Byrum,13.28,34,256
15,0,06284,Jim Hallet,13.29,40,301
16,0,01284,Mike Donald,13.50,49,363
16,0,01876,Greg Norman,13.50,27,200
18,0,02099,Scott Simpson,13.64,21,154
19,0,01219,John Cook,13.74,43,313
20,0,02322,Richard Zokol,13.79,28,203
21,0,01823,Larry Mize,13.82,38,275
22,0,01507,Webb Heintzelman,13.85,32,231
22,0,01928,Corey Pavin,13.85,45,325
24,0,01096,Phil Blackmar,13.88,39,281
25,0,01355,Raymond Floyd,13.92,22,158
26,0,01161,Mark Calcavecchia,13.99,47,336
27,0,01715,Mark Lye,14.04,41,292
27,0,01723,Andrew Magee,14.04,40,285
29,0,01946,Peter Persons,14.10,33,234
30,0,01766,Billy Mayfair,14.12,49,347
31,0,01333,Jack Ferenz,14.18,19,134
32,0,01331,Rick Fehr,14.39,38,264
33,0,01323,Brad Fabel,14.41,33,229
34,0,01891,David Ogrin,14.42,30,208
35,0,02201,Jim Thorpe,14.71,40,272
36,0,01381,Fred Funk,14.78,34,230
37,0,01633,Tom Kite,14.86,41,276
38,0,01571,Barry Jaeckel,14.88,18,121
39,0,01943,Chris Perry,14.89,42,282
40,0,01968,Nick Price,14.97,47,314
41,0,02298,Jim Woodward,15.00,27,180
42,0,01599,Steve Jones,15.02,35,233
43,0,02303,Robert Wrenn,15.05,45,299
44,0,01203,Russ Cochran,15.12,39,258
45,0,01835,Tommy Moore,15.21,33,217
46,0,01725,John Mahaffey,15.36,41,267
47,0,02190,Doug Tewell,15.38,34,221
48,0,01042,Paul Azinger,15.43,48,311
49,0,01996,Mike Reid,15.50,31,200
49,0,02104,Jeff Sluman,15.50,51,329
51,0,01469,Dan Halldorson,15.52,18,116
52,0,02170,Hal Sutton,15.60,44,282
52,0,02242,Lanny Wadkins,15.60,39,250
54,0,01682,Wayne Levi,15.68,37,236
55,0,01313,Steve Elkington,15.71,49,312
56,0,01361,Dan Forsman,15.77,47,298
57,0,01157,Tom Byrum,15.79,36,228
58,0,01457,Jay Haas,15.81,46,291
59,0,01390,Buddy Gardner,15.86,49,309
60,0,01475,Donnie Hammond,15.87,33,208
61,0,02007,Larry Rinker,15.88,47,296
62,0,02049,Gene Sauers,15.92,53,333
62,0,02146,Payne Stewart,15.92,53,333
64,0,01797,Rocco Mediate,16.00,40,250
65,0,01975,Tom Purtzer,16.03,38,237
66,0,01154,Bill Buttner,16.10,38,236
66,0,01945,Kenny Perry,16.10,38,236
66,0,02214,Kirk Triplett,16.10,33,205
69,0,02101,Joey Sindelar,16.13,40,248
70,0,02185,Lance Ten Broeck,16.17,43,266
71,0,01346,Ed Fiori,16.25,45,277
72,0,01639,Kenny Knox,16.28,42,258
73,0,01559,Hale Irwin,16.29,29,178
74,0,01049,Ian Baker-Finch,16.36,45,275
75,0,06130,Jeffrey Wilson,16.37,28,171
76,0,02241,Bobby Wadkins,16.39,49,299
77,0,01385,Jim Gallagher Jr.,16.42,56,341
78,0,01458,Jerry Haas,16.44,37,225
79,0,01569,Peter Jacobsen,16.67,41,246
79,0,01846,Jodie Mudd,16.67,41,246
79,0,02246,Duffy Waldorf,16.67,41,246
82,0,01151,Clark Burroughs,16.84,49,291
83,0,01143,Brad Bryant,16.85,46,273
84,0,02159,Curtis Strange,17.04,38,223
85,0,01960,Don Pooley,17.09,40,234
86,0,01133,Billy Ray Brown,17.14,42,245
87,0,01006,John Adams,17.16,46,268
87,0,01443,Hubert Green,17.16,29,169
89,0,02215,Paul Trittler,17.21,37,215
90,0,06142,Mitch Adcock,17.24,25,145
91,0,01941,Tom Pernice Jr.,17.29,23,133
92,0,02148,Ray Stewart,17.34,43,248
93,0,02245,Grant Waite,17.37,29,167
94,0,01098,Jay Don Blake,17.38,53,305
95,0,01971,Dillard Pruitt,17.39,32,184
96,0,01024,Billy Andrade,17.40,59,339
97,0,06332,Neal Lancaster,17.41,35,201
98,0,01035,Tommy Armour III,17.45,52,298
99,0,01701,Bob Lohr,17.49,46,263
99,0,02090,Tom Sieckmann,17.49,46,263
101,0,01577,Lee Janzen,17.52,48,274
102,0,01783,Mark McCumber,17.53,44,251
103,0,01736,Roger Maltbie,17.58,32,182
104,0,02067,Ted Schulz,17.60,60,341
105,0,02256,Tom Watson,17.61,28,159
106,0,01196,Brian Claar,17.65,45,255
106,0,02111,Mike Smith,17.65,42,238
108,0,02223,Bob Tway,17.68,58,328
109,0,01266,Clark Dennis,17.72,42,237
110,0,02118,J.C. Snead,17.74,33,186
111,0,02094,Tony Sills,17.75,30,169
112,0,01201,Lennie Clements,17.78,40,225
113,0,02133,Craig Stadler,17.80,34,191
114,0,01060,Dave Barr,17.87,52,291
114,0,01072,Chip Beck,17.87,42,235
114,0,01435,Wayne Grady,17.87,42,235
117,0,02279,Mark Wiebe,17.92,55,307
118,0,06118,Greg Bruckner,17.94,40,223
119,0,01557,John Inman,17.96,44,245
120,0,01329,Brad Faxon,18.05,48,266
121,0,01887,Mark O'Meara,18.12,54,298
122,0,02292,Bob Wolcott,18.15,47,259
123,0,01061,Ray Barr Jr.,18.18,28,154
124,0,01132,Mark Brooks,18.32,61,333
125,0,01129,Bill Britton,18.34,53,289
126,0,02041,Bill Sander,18.39,55,299
127,0,02167,Mike Sullivan,18.48,39,211
128,0,01307,Joel Edwards,18.50,42,227
129,0,02225,Howard Twitty,18.52,45,243
130,0,01106,Jim Booros,18.55,41,221
131,0,01553,John Huston,18.57,39,210
131,0,01690,Bruce Lietzke,18.57,39,210
133,0,01926,Steve Pate,18.58,60,323
134,0,01414,Bob Gilder,18.64,44,236
135,0,01706,Davis Love III,18.73,59,315
135,0,01938,David Peoples,18.73,65,347
137,0,02294,Willie Wood,18.82,35,186
138,0,01235,Ben Crenshaw,18.88,37,196
139,0,01068,Andy Bean,18.93,39,206
139,0,02033,Dave Rummells,18.93,39,206
141,0,01200,Keith Clearwater,19.00,38,200
142,0,06197,Michael Allen,19.01,50,263
143,0,01499,Mark Hayes,19.17,46,240
144,0,01093,Ronnie Black,19.30,44,228
145,0,01418,Bill Glasson,19.31,39,202
146,0,01641,Gary Koch,19.35,30,155
147,0,01549,Mike Hulbert,19.42,60,309
147,0,06140,Sean Murphy,19.42,27,139
149,0,01495,Morris Hatalsky,19.50,47,241
150,0,02195,Leonard Thompson,19.62,52,265
151,0,06144,John Dowdall,19.69,25,127
152,0,01040,Emlyn Aubrey,19.79,57,288
153,0,01771,Blaine McCallister,19.84,51,257
154,0,01150,George Burns,20.00,54,270
154,0,01197,Bobby Clampett,20.00,29,145
154,0,02180,Harry Taylor,20.00,28,140
157,0,01303,Bob Eastwood,20.33,49,241
158,0,01023,Jerry Anderson,20.34,24,118
159,0,01487,Jeff Hart,20.35,47,231
160,0,01310,Dave Eichelberger,20.40,61,299
161,0,01078,Jim Benepe,20.69,48,232
162,0,01261,Jay Delsing,20.82,61,293
163,0,02230,Stan Utley,21.02,62,295
164,0,01378,David Frost,21.07,51,242
165,0,01468,Gary Hallberg,21.18,54,255
166,0,01288,Ed Dougherty,21.21,42,198
167,0,02239,Scott Verplank,21.45,59,275
168,0,01175,Jim Carter,21.51,57,265
169,0,01321,Tom Eubank,21.62,32,148
170,0,02095,Larry Silveira,21.70,51,235
171,0,06136,Mike Schuchart,21.82,36,165
172,0,02321,Fuzzy Zoeller,21.96,47,214
173,0,01388,Robert Gamez,22.05,56,254
174,0,02087,Don Shirey Jr.,22.08,53,240
175,0,06128,Steve Lamontagne,22.12,50,226
176,0,01533,P.H. Horgan III,22.40,56,250
177,0,01935,Calvin Peete,22.42,37,165
178,0,01522,Lon Hinkle,22.60,47,208
179,0,06124,Patrick Burke,23.14,28,121
180,0,06132,Sonny Skinner,23.49,39,166
181,0,02023,Clarence Rose,23.64,52,220
182,0,06425,Rick Todd,23.76,24,101
183,0,02224,Greg Twiggs,23.87,53,222
184,0,01489,Steve Hart,23.98,41,171
185,0,01790,Pat McGowan,25.33,58,229
186,0,06122,Greg Hickman,25.53,36,141
187,0,06150,Carl Cooper,25.60,32,125
188,0,01878,Andy North,26.67,44,165
189,0,01925,Jerry Pate,27.27,45,165
190,0,06148,Dennis Harrington,27.62,58,210
191,0,01037,Dewey Arnette,28.10,43,153
192,0,01607,Brian Kamm,29.09,32,110
