RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
119,0,01475,Donnie Hammond,12.87,13,101
119,0,01938,David Peoples,12.87,13,101
119,0,10425,Jay Williamson,12.87,13,101
122,0,12645,Brent Geiberger,12.86,9,70
123,0,01035,Tommy Armour III,12.82,10,78
124,0,01388,Robert Gamez,12.68,18,142
125,0,20121,Todd Fischer,12.50,17,136
125,0,20572,Rod Pampling,12.50,11,88
127,0,22621,Ben Curtis,12.33,9,73
128,0,21633,Steve Allan,12.31,8,65
129,0,01132,Mark Brooks,12.26,13,106
130,0,10423,Mike Weir,12.16,9,74
131,0,07749,Brett Quigley,12.03,16,133
132,0,01157,Tom Byrum,12.00,12,100
133,0,06251,Chris DiMarco,11.90,10,84
134,0,22293,Heath Slocum,11.88,12,101
135,0,23036,Chris Anderson,11.76,12,102
135,0,01024,Billy Andrade,11.76,14,119
135,0,06575,Dudley Hart,11.76,8,68
138,0,22913,John Rollins,11.69,9,77
139,0,01553,John Huston,11.46,11,96
140,0,21739,Aaron Barber,11.43,12,105
141,0,11032,Frank Lickliter II,11.40,13,114
142,0,20099,Doug Barron,11.36,15,132
143,0,19824,Craig Barlow,11.34,11,97
144,0,24356,Jason Buha,11.11,8,72
144,0,19972,José Coceres,11.11,6,54
144,0,08075,Jerry Kelly,11.11,12,108
144,0,10107,Deane Pappas,11.11,11,99
148,0,20634,Peter Lonard,10.91,12,110
149,0,06515,Shaun Micheel,10.83,13,120
150,0,23353,J.J. Henry,10.81,12,111
151,0,20771,Steven Alker,10.78,11,102
152,0,10809,Jim Furyk,10.67,8,75
153,0,06078,Esteban Toledo,10.64,15,141
154,0,02101,Joey Sindelar,10.48,11,105
155,0,12661,Todd Barranger,10.38,11,106
156,0,06643,Paul Goydos,10.31,10,97
157,0,01666,Bernhard Langer,10.29,7,68
158,0,08123,Jeff Brehaut,10.27,15,146
159,0,01139,Olin Browne,10.16,13,128
160,0,23135,Tim Clark,10.00,6,60
161,0,08547,John Maginnes,9.90,10,101
162,0,24361,Pat Perez,9.89,9,91
163,0,12782,Tim Herron,9.77,13,133
164,0,20628,Arron Oberholser,9.68,12,124
165,0,23108,Matt Kuchar,9.64,8,83
166,0,10912,Craig Perks,9.62,10,104
167,0,08633,Per-Ulrik Johansson,9.35,10,107
168,0,01175,Jim Carter,9.32,11,118
169,0,19881,Robert Damron,9.30,8,86
170,0,20472,Alex Cejka,9.01,10,111
171,0,23621,Rory Sabbatini,9.00,9,100
172,0,01797,Rocco Mediate,8.96,6,67
173,0,02170,Hal Sutton,8.86,7,79
174,0,23034,Brent Schwarzrock,8.82,6,68
175,0,08537,J.P. Hayes,8.54,7,82
176,0,01569,Peter Jacobsen,8.45,6,71
177,0,01098,Jay Don Blake,8.33,7,84
177,0,24357,K.J. Choi,8.33,10,120
177,0,20623,Gavin Coles,8.33,4,48
180,0,06809,Bob Burns,7.92,8,101
181,0,07941,Mike Grob,6.94,5,72
182,0,08545,Glen Hnatiuk,6.85,5,73
183,0,01381,Fred Funk,6.67,6,90
184,0,01307,Joel Edwards,6.58,5,76
185,0,01766,Billy Mayfair,6.17,5,81
186,0,20566,Kaname Yokoo,5.71,4,70
187,0,12388,Michael Clark II,5.17,3,58
188,0,20568,Anthony Painter,4.31,5,116
189,0,01457,Jay Haas,4.30,4,93
190,0,23983,Luke Donald,3.42,4,117
